1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1A0000005697BB21
Is Mission Active?  true
Mission Start:  Tue Jul 19 11:31:00 PDT 2022
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  911
Total Samples:  1027
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/19/22 11:31:00 AM,C,12.5
7/19/22 11:41:00 AM,C,13
7/19/22 11:51:00 AM,C,12.5
7/19/22 12:01:00 PM,C,11.5
7/19/22 12:11:00 PM,C,10
7/19/22 12:21:00 PM,C,9.5
7/19/22 12:31:00 PM,C,9.5
7/19/22 12:41:00 PM,C,10
7/19/22 12:51:00 PM,C,9.5
7/19/22 1:01:00 PM,C,9.5
7/19/22 1:11:00 PM,C,9.5
7/19/22 1:21:00 PM,C,9.5
7/19/22 1:31:00 PM,C,9.5
7/19/22 1:41:00 PM,C,9.5
7/19/22 1:51:00 PM,C,10
7/19/22 2:01:00 PM,C,10
7/19/22 2:11:00 PM,C,10
7/19/22 2:21:00 PM,C,10.5
7/19/22 2:31:00 PM,C,10.5
7/19/22 2:41:00 PM,C,10
7/19/22 2:51:00 PM,C,7.5
7/19/22 3:01:00 PM,C,6.5
7/19/22 3:11:00 PM,C,5.5
7/19/22 3:21:00 PM,C,6
7/19/22 3:31:00 PM,C,5.5
7/19/22 3:41:00 PM,C,6
7/19/22 3:51:00 PM,C,7
7/19/22 4:01:00 PM,C,5.5
7/19/22 4:11:00 PM,C,5
7/19/22 4:21:00 PM,C,5
7/19/22 4:31:00 PM,C,4.5
7/19/22 4:41:00 PM,C,3
7/19/22 4:51:00 PM,C,3.5
7/19/22 5:01:00 PM,C,3
7/19/22 5:11:00 PM,C,2.5
7/19/22 5:21:00 PM,C,3
7/19/22 5:31:00 PM,C,3
7/19/22 5:41:00 PM,C,3.5
7/19/22 5:51:00 PM,C,3.5
7/19/22 6:01:00 PM,C,2.5
7/19/22 6:11:00 PM,C,3
7/19/22 6:21:00 PM,C,2.5
7/19/22 6:31:00 PM,C,3
7/19/22 6:41:00 PM,C,2.5
7/19/22 6:51:00 PM,C,1.5
7/19/22 7:01:00 PM,C,2.5
7/19/22 7:11:00 PM,C,1.5
7/19/22 7:21:00 PM,C,1.5
7/19/22 7:31:00 PM,C,1.5
7/19/22 7:41:00 PM,C,1.5
7/19/22 7:51:00 PM,C,1.5
7/19/22 8:01:00 PM,C,1.5
7/19/22 8:11:00 PM,C,1
7/19/22 8:21:00 PM,C,1
7/19/22 8:31:00 PM,C,1
7/19/22 8:41:00 PM,C,1
7/19/22 8:51:00 PM,C,1
7/19/22 9:01:00 PM,C,0.5
7/19/22 9:11:00 PM,C,0.5
7/19/22 9:21:00 PM,C,0.5
7/19/22 9:31:00 PM,C,0.5
7/19/22 9:41:00 PM,C,0.5
7/19/22 9:51:00 PM,C,0.5
