"Plot Title: 10573753"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10573753, SEN S/N: 10567019, LBL: T1)","Temp, °F (LGR S/N: 10573753, SEN S/N: 10993622, LBL: T2)","Temp, °F (LGR S/N: 10573753, SEN S/N: 21247484, LBL: Tair)","RH, % (LGR S/N: 10573753, SEN S/N: 21247484, LBL: RH)"
1,06/11/22 01:00:01 PM,72.997,72.136,72.639,50.155
2,06/11/22 01:15:01 PM,75.810,74.077,74.892,46.149
3,06/11/22 01:30:01 PM,76.419,75.204,75.047,45.867
4,06/11/22 01:45:01 PM,70.502,69.985,67.518,52.985
5,06/11/22 02:00:01 PM,68.443,68.484,66.625,56.979
6,06/11/22 02:15:01 PM,67.928,67.971,66.601,57.386
7,06/11/22 02:30:01 PM,67.671,67.627,66.553,57.760
8,06/11/22 02:45:01 PM,67.500,67.372,66.452,57.743
9,06/11/22 03:00:01 PM,67.329,67.199,66.335,57.607
10,06/11/22 03:15:01 PM,67.199,67.028,66.312,57.871
11,06/11/22 03:30:01 PM,67.114,66.900,66.283,57.781
12,06/11/22 03:45:01 PM,66.985,66.772,66.182,57.827
13,06/11/22 04:00:01 PM,66.857,66.686,66.051,57.624
14,06/11/22 04:15:01 PM,66.729,66.558,65.959,57.017
15,06/11/22 04:30:01 PM,66.515,66.429,65.611,56.023
16,06/11/22 04:45:01 PM,66.472,66.344,65.743,57.189
17,06/11/22 05:00:01 PM,66.558,66.344,66.004,57.696
18,06/11/22 05:15:01 PM,66.686,66.385,66.205,57.949
19,06/11/22 05:30:01 PM,66.772,66.472,66.297,57.922
20,06/11/22 05:45:01 PM,66.857,66.558,66.389,57.661
21,06/11/22 06:00:01 PM,66.814,66.600,66.168,55.891
22,06/11/22 06:15:01 PM,66.900,66.643,66.427,57.487
23,06/11/22 06:30:01 PM,67.028,66.729,66.519,57.095
24,06/11/22 06:45:01 PM,67.114,66.814,66.693,57.958
25,06/11/22 07:00:01 PM,67.242,66.943,66.760,58.961
26,06/11/22 07:15:01 PM,67.329,67.071,66.742,59.287
27,06/11/22 07:30:01 PM,67.329,67.158,66.423,57.259
28,06/11/22 07:45:01 PM,67.158,67.071,66.274,57.183
29,06/11/22 08:00:01 PM,66.985,66.900,65.964,56.381
30,06/11/22 08:15:01 PM,67.028,66.857,66.274,57.208
31,06/11/22 08:30:01 PM,66.985,66.814,66.225,55.795
32,06/11/22 08:45:01 PM,66.900,66.772,66.182,57.406
33,06/11/22 09:00:01 PM,66.943,66.729,66.306,55.650
34,06/11/22 09:15:01 PM,66.900,66.686,66.303,56.818
35,06/11/22 09:30:01 PM,66.857,66.643,66.259,56.623
36,06/11/22 09:45:01 PM,66.900,66.643,66.360,58.277
37,06/11/22 10:00:01 PM,67.028,66.729,66.475,57.707
38,06/11/22 10:15:01 PM,67.158,66.857,66.475,57.081
39,06/11/22 10:30:01 PM,67.199,66.943,66.544,57.433
40,06/11/22 10:45:01 PM,67.329,67.028,66.693,57.993
41,06/11/22 11:00:01 PM,67.456,67.158,66.848,58.633
42,06/11/22 11:15:01 PM,67.456,67.242,66.625,58.271
43,06/11/22 11:30:01 PM,67.586,67.329,66.871,57.780
44,06/11/22 11:45:01 PM,67.627,67.372,66.880,58.326
45,06/12/22 12:00:01 AM,67.714,67.413,67.084,58.791
46,06/12/22 12:15:01 AM,67.798,67.456,67.248,59.875
47,06/12/22 12:30:01 AM,67.842,67.500,67.210,59.463
48,06/12/22 12:45:01 AM,67.757,67.500,67.001,59.088
49,06/12/22 01:00:01 AM,67.627,67.413,66.745,59.051
50,06/12/22 01:15:01 AM,67.500,67.329,66.564,58.773
51,06/12/22 01:30:01 AM,67.329,67.199,66.409,58.479
52,06/12/22 01:45:01 AM,67.199,67.071,66.277,57.986
53,06/12/22 02:00:01 AM,67.071,66.943,66.168,57.835
54,06/12/22 02:15:01 AM,66.985,66.814,66.085,57.710
55,06/12/22 02:30:01 AM,66.857,66.729,66.013,57.758
56,06/12/22 02:45:01 AM,66.772,66.643,65.858,57.682
57,06/12/22 03:00:01 AM,66.643,66.515,65.746,57.719
58,06/12/22 03:15:01 AM,66.515,66.429,65.680,57.633
59,06/12/22 03:30:01 AM,66.429,66.301,65.579,57.754
60,06/12/22 03:45:01 AM,66.344,66.214,65.473,57.806
61,06/12/22 04:00:01 AM,66.258,66.130,65.404,57.742
62,06/12/22 04:15:01 AM,66.173,66.043,65.381,57.707
63,06/12/22 04:30:01 AM,66.087,66.000,65.278,57.682
64,06/12/22 04:45:01 AM,66.000,65.916,65.197,57.702
65,06/12/22 05:00:01 AM,65.959,65.829,65.163,57.719
66,06/12/22 05:15:01 AM,65.872,65.788,65.077,57.871
