Plot,Title:,10700599,,,,
#,Date Time,,Temp (degF) (2m unprotected) ,"Temp (surface, unprotected)",Temp (2m protected),Relative Humidity (Protected)
1,6/11/22,13:00,70.329,68.484,73.719,47.985
2,6/11/22,13:15,70.502,68.27,74.674,45.963
3,6/11/22,13:30,70.846,71.533,75.409,44.718
4,6/11/22,13:45,69.343,68.828,69.834,49.567
5,6/11/22,14:00,67.714,67.671,68.401,53.742
6,6/11/22,14:15,67.456,67.372,68.146,54.537
7,6/11/22,14:30,67.285,67.199,67.91,55.143
8,6/11/22,14:45,67.114,67.114,67.721,55.407
9,6/11/22,15:00,66.943,66.943,67.514,55.454
10,6/11/22,15:15,66.857,66.857,67.33,55.779
11,6/11/22,15:30,66.772,66.772,67.167,55.967
12,6/11/22,15:45,66.686,66.686,67.026,56.066
13,6/11/22,16:00,66.515,66.558,66.895,56.025
14,6/11/22,16:15,66.385,66.385,66.76,55.756
15,6/11/22,16:30,66.258,66.13,66.582,54.331
16,6/11/22,16:45,66.258,66,66.466,55.442
17,6/11/22,17:00,66.429,66.173,66.472,56.301
18,6/11/22,17:15,66.558,66.301,66.466,56.851
19,6/11/22,17:30,66.686,66.429,66.49,57.101
20,6/11/22,17:45,66.772,66.515,66.529,57.017
21,6/11/22,18:00,66.729,66.385,66.529,55.396
22,6/11/22,18:15,66.814,66.558,66.553,56.42
23,6/11/22,18:30,66.9,66.643,66.596,56.609
24,6/11/22,18:45,67.071,66.772,66.645,57.211
25,6/11/22,19:00,67.242,66.857,66.731,57.934
26,6/11/22,19:15,67.329,66.943,66.785,58.17
27,6/11/22,19:30,67.329,66.772,66.808,56.538
28,6/11/22,19:45,67.071,66.6,66.731,55.879
29,6/11/22,20:00,66.857,66.385,66.645,54.942
30,6/11/22,20:15,66.943,66.515,66.63,55.972
31,6/11/22,20:30,66.9,66.515,66.607,55.291
32,6/11/22,20:45,66.814,66.472,66.567,56.118
33,6/11/22,21:00,66.772,66.558,66.538,55.731
34,6/11/22,21:15,66.772,66.515,66.515,56.092
35,6/11/22,21:30,66.686,66.515,66.501,55.985
36,6/11/22,21:45,66.857,66.472,66.486,57.076
37,6/11/22,22:00,67.071,66.6,66.515,57.096
38,6/11/22,22:15,67.114,66.686,66.547,56.727
39,6/11/22,22:30,67.242,66.729,66.592,56.834
40,6/11/22,22:45,67.372,66.857,66.654,57.516
41,6/11/22,23:00,67.543,66.985,66.731,58.227
42,6/11/22,23:15,67.586,66.9,66.79,57.63
43,6/11/22,23:30,67.627,67.071,66.837,57.433
44,6/11/22,23:45,67.671,67.114,66.871,57.551
45,6/12/22,0:00,67.714,67.285,66.929,57.945
46,6/12/22,0:15,67.842,67.413,67.006,58.958
47,6/12/22,0:30,67.842,67.456,67.069,58.654
48,6/12/22,0:45,67.671,67.372,67.084,58.326
49,6/12/22,1:00,67.5,67.199,67.064,57.835
50,6/12/22,1:15,67.372,67.028,67.026,57.371
51,6/12/22,1:30,67.242,66.9,66.963,56.957
52,6/12/22,1:45,67.071,66.729,66.895,56.577
53,6/12/22,2:00,66.943,66.6,66.819,56.388
54,6/12/22,2:15,66.814,66.472,66.742,56.274
55,6/12/22,2:30,66.729,66.385,66.654,56.262
56,6/12/22,2:45,66.6,66.258,66.567,56.152
57,6/12/22,3:00,66.472,66.13,66.472,56.143
58,6/12/22,3:15,66.385,66.043,66.389,56.1
59,6/12/22,3:30,66.258,65.916,66.303,56.167
60,6/12/22,3:45,66.173,65.829,66.211,56.193
61,6/12/22,4:00,66.087,65.745,66.139,56.13
