1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: AA0000005FCA2E21
Is Mission Active?  true
Mission Start:  Sat Jul 16 10:39:00 PDT 2022
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  13482
Total Samples:  13576
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/16/22 10:39:00 AM,C,12
7/16/22 10:40:00 AM,C,13.5
7/16/22 10:41:00 AM,C,13
7/16/22 10:42:00 AM,C,12.5
7/16/22 10:43:00 AM,C,12
7/16/22 10:44:00 AM,C,12
7/16/22 10:45:00 AM,C,12
7/16/22 10:46:00 AM,C,12
7/16/22 10:47:00 AM,C,12
7/16/22 10:48:00 AM,C,11.5
7/16/22 10:49:00 AM,C,11.5
7/16/22 10:50:00 AM,C,11.5
7/16/22 10:51:00 AM,C,11.5
7/16/22 10:52:00 AM,C,11.5
7/16/22 10:53:00 AM,C,11.5
7/16/22 10:54:00 AM,C,11
7/16/22 10:55:00 AM,C,11
7/16/22 10:56:00 AM,C,11
7/16/22 10:57:00 AM,C,11
7/16/22 10:58:00 AM,C,11
7/16/22 10:59:00 AM,C,11
7/16/22 11:00:00 AM,C,11
7/16/22 11:01:00 AM,C,10.5
7/16/22 11:02:00 AM,C,10.5
7/16/22 11:03:00 AM,C,10.5
7/16/22 11:04:00 AM,C,10.5
7/16/22 11:05:00 AM,C,10.5
7/16/22 11:06:00 AM,C,10.5
7/16/22 11:07:00 AM,C,10.5
7/16/22 11:08:00 AM,C,10.5
7/16/22 11:09:00 AM,C,10.5
7/16/22 11:10:00 AM,C,10.5
7/16/22 11:11:00 AM,C,10.5
7/16/22 11:12:00 AM,C,10.5
7/16/22 11:13:00 AM,C,10.5
7/16/22 11:14:00 AM,C,10.5
7/16/22 11:15:00 AM,C,10.5
7/16/22 11:16:00 AM,C,10
7/16/22 11:17:00 AM,C,10
7/16/22 11:18:00 AM,C,10
7/16/22 11:19:00 AM,C,10
7/16/22 11:20:00 AM,C,10
7/16/22 11:21:00 AM,C,10
