1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: A80000005FC2F521
Is Mission Active?  true
Mission Start:  Thu Jul 21 15:38:00 PDT 2022
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  307
Total Samples:  717
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/21/22 3:38:00 PM,C,15
7/21/22 3:48:00 PM,C,11.5
7/21/22 3:58:00 PM,C,10
7/21/22 4:08:00 PM,C,9.5
7/21/22 4:18:00 PM,C,9
7/21/22 4:28:00 PM,C,8.5
7/21/22 4:38:00 PM,C,4.5
7/21/22 4:48:00 PM,C,2.5
7/21/22 4:58:00 PM,C,2.5
7/21/22 5:08:00 PM,C,3
7/21/22 5:18:00 PM,C,2
7/21/22 5:28:00 PM,C,2
7/21/22 5:38:00 PM,C,2
7/21/22 5:48:00 PM,C,1.5
7/21/22 5:58:00 PM,C,1.5
7/21/22 6:08:00 PM,C,1.5
7/21/22 6:18:00 PM,C,1.5
7/21/22 6:28:00 PM,C,1
7/21/22 6:38:00 PM,C,1
7/21/22 6:48:00 PM,C,1
7/21/22 6:58:00 PM,C,1
7/21/22 7:08:00 PM,C,1.5
7/21/22 7:18:00 PM,C,1.5
7/21/22 7:28:00 PM,C,1
7/21/22 7:38:00 PM,C,1
7/21/22 7:48:00 PM,C,0.5
7/21/22 7:58:00 PM,C,0.5
7/21/22 8:08:00 PM,C,0.5
7/21/22 8:18:00 PM,C,0.5
7/21/22 8:28:00 PM,C,0
7/21/22 8:38:00 PM,C,0
7/21/22 8:48:00 PM,C,0
7/21/22 8:58:00 PM,C,-0.5
7/21/22 9:08:00 PM,C,-0.5
7/21/22 9:18:00 PM,C,-0.5
7/21/22 9:28:00 PM,C,-0.5
7/21/22 9:38:00 PM,C,-0.5
7/21/22 9:48:00 PM,C,-0.5
7/21/22 9:58:00 PM,C,-0.5
7/21/22 10:08:00 PM,C,-0.5
7/21/22 10:18:00 PM,C,-1
7/21/22 10:28:00 PM,C,-1
7/21/22 10:38:00 PM,C,-1
7/21/22 10:48:00 PM,C,-1
7/21/22 10:58:00 PM,C,-1
7/21/22 11:08:00 PM,C,-1
7/21/22 11:18:00 PM,C,-1
7/21/22 11:28:00 PM,C,-0.5
7/21/22 11:38:00 PM,C,-1
7/21/22 11:48:00 PM,C,-0.5
7/21/22 11:58:00 PM,C,-1
7/22/22 12:08:00 AM,C,-1
7/22/22 12:18:00 AM,C,-1
7/22/22 12:28:00 AM,C,-1
7/22/22 12:38:00 AM,C,-1
7/22/22 12:48:00 AM,C,-1
7/22/22 12:58:00 AM,C,-1
7/22/22 1:08:00 AM,C,-1
