1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 87000000568F2921
Is Mission Active?  true
Mission Start:  Tue Jul 19 11:33:00 PDT 2022
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  911
Total Samples:  1022
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/19/22 11:33:00 AM,C,12.5
7/19/22 11:43:00 AM,C,14.5
7/19/22 11:53:00 AM,C,12.5
7/19/22 12:03:00 PM,C,11
7/19/22 12:13:00 PM,C,10
7/19/22 12:23:00 PM,C,10
7/19/22 12:33:00 PM,C,10
7/19/22 12:43:00 PM,C,10.5
7/19/22 12:53:00 PM,C,10.5
7/19/22 1:03:00 PM,C,10
7/19/22 1:13:00 PM,C,10
7/19/22 1:23:00 PM,C,10
7/19/22 1:33:00 PM,C,10
7/19/22 1:43:00 PM,C,10
7/19/22 1:53:00 PM,C,10
7/19/22 2:03:00 PM,C,10.5
7/19/22 2:13:00 PM,C,10.5
7/19/22 2:23:00 PM,C,10.5
7/19/22 2:33:00 PM,C,10.5
7/19/22 2:43:00 PM,C,10
7/19/22 2:53:00 PM,C,6.5
7/19/22 3:03:00 PM,C,6.5
7/19/22 3:13:00 PM,C,6.5
7/19/22 3:23:00 PM,C,7
7/19/22 3:33:00 PM,C,8.5
7/19/22 3:43:00 PM,C,9
7/19/22 3:53:00 PM,C,10
7/19/22 4:03:00 PM,C,10.5
7/19/22 4:13:00 PM,C,11
7/19/22 4:23:00 PM,C,11
7/19/22 4:33:00 PM,C,9
7/19/22 4:43:00 PM,C,8.5
7/19/22 4:53:00 PM,C,6.5
7/19/22 5:03:00 PM,C,6.5
7/19/22 5:13:00 PM,C,2
7/19/22 5:23:00 PM,C,1.5
7/19/22 5:33:00 PM,C,2
7/19/22 5:43:00 PM,C,1.5
