1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 8C000000623C1121
Is Mission Active?  false
Mission Start:  Thu Oct 05 13:08:00 PDT 2023
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  92
Total Samples:  1154
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
10/5/23 1:08:00 PM,C,24.5
10/5/23 1:09:00 PM,C,24
10/5/23 1:10:00 PM,C,24
10/5/23 1:11:00 PM,C,23.5
10/5/23 1:12:00 PM,C,23.5
10/5/23 1:13:00 PM,C,23.5
10/5/23 1:14:00 PM,C,23.5
10/5/23 1:15:00 PM,C,23.5
10/5/23 1:16:00 PM,C,23.5
10/5/23 1:17:00 PM,C,23.5
10/5/23 1:18:00 PM,C,23.5
10/5/23 1:19:00 PM,C,23.5
10/5/23 1:20:00 PM,C,23.5
10/5/23 1:21:00 PM,C,23.5
10/5/23 1:22:00 PM,C,23.5
10/5/23 1:23:00 PM,C,23.5
10/5/23 1:24:00 PM,C,23.5
10/5/23 1:25:00 PM,C,23.5
10/5/23 1:26:00 PM,C,23.5
10/5/23 1:27:00 PM,C,23.5
10/5/23 1:28:00 PM,C,23.5
10/5/23 1:29:00 PM,C,23.5
10/5/23 1:30:00 PM,C,23
10/5/23 1:31:00 PM,C,17.5
10/5/23 1:32:00 PM,C,11
10/5/23 1:33:00 PM,C,9
10/5/23 1:34:00 PM,C,6
10/5/23 1:35:00 PM,C,4
10/5/23 1:36:00 PM,C,3
10/5/23 1:37:00 PM,C,2
10/5/23 1:38:00 PM,C,1.5
10/5/23 1:39:00 PM,C,1
10/5/23 1:40:00 PM,C,1
10/5/23 1:41:00 PM,C,0.5
10/5/23 1:42:00 PM,C,0.5
10/5/23 1:43:00 PM,C,0.5
10/5/23 1:44:00 PM,C,0.5
10/5/23 1:45:00 PM,C,0.5
10/5/23 1:46:00 PM,C,0.5
10/5/23 1:47:00 PM,C,0.5
10/5/23 1:48:00 PM,C,0.5
10/5/23 1:49:00 PM,C,0.5
10/5/23 1:50:00 PM,C,0.5
10/5/23 1:51:00 PM,C,0.5
10/5/23 1:52:00 PM,C,0.5
10/5/23 1:53:00 PM,C,0.5
10/5/23 1:54:00 PM,C,0.5
10/5/23 1:55:00 PM,C,0.5
10/5/23 1:56:00 PM,C,0.5
10/5/23 1:57:00 PM,C,0.5
10/5/23 1:58:00 PM,C,0
10/5/23 1:59:00 PM,C,0
10/5/23 2:00:00 PM,C,0
10/5/23 2:01:00 PM,C,0
10/5/23 2:02:00 PM,C,0
10/5/23 2:03:00 PM,C,0
10/5/23 2:04:00 PM,C,0
10/5/23 2:05:00 PM,C,0
10/5/23 2:06:00 PM,C,0
10/5/23 2:07:00 PM,C,0
10/5/23 2:08:00 PM,C,0
10/5/23 2:09:00 PM,C,0
10/5/23 2:10:00 PM,C,0
10/5/23 2:11:00 PM,C,0
10/5/23 2:12:00 PM,C,0
10/5/23 2:13:00 PM,C,0
10/5/23 2:14:00 PM,C,0
10/5/23 2:15:00 PM,C,0.5
10/5/23 2:16:00 PM,C,0.5
10/5/23 2:17:00 PM,C,0.5
10/5/23 2:18:00 PM,C,0.5
10/5/23 2:19:00 PM,C,0.5
10/5/23 2:20:00 PM,C,0.5
10/5/23 2:21:00 PM,C,0.5
10/5/23 2:22:00 PM,C,0.5
10/5/23 2:23:00 PM,C,0.5
10/5/23 2:24:00 PM,C,0.5
10/5/23 2:25:00 PM,C,0.5
10/5/23 2:26:00 PM,C,0.5
10/5/23 2:27:00 PM,C,0.5
10/5/23 2:28:00 PM,C,0.5
10/5/23 2:29:00 PM,C,0.5
10/5/23 2:30:00 PM,C,0.5
10/5/23 2:31:00 PM,C,0.5
10/5/23 2:32:00 PM,C,0.5
10/5/23 2:33:00 PM,C,0.5
10/5/23 2:34:00 PM,C,1
10/5/23 2:35:00 PM,C,2
10/5/23 2:36:00 PM,C,4
10/5/23 2:37:00 PM,C,12
10/5/23 2:38:00 PM,C,15.5
10/5/23 2:39:00 PM,C,17
