#,Date-Time (AKDT),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,06/24/2024 09:47:03,17.20,100.12,,,,
2,06/24/2024 09:52:03,18.02,0.64,,,,
3,06/24/2024 09:57:03,20.42,0.00,,,,
4,06/24/2024 10:02:03,23.08,0.28,,,,
5,06/24/2024 10:07:03,20.89,558.72,,,,
6,06/24/2024 10:12:03,13.81,658.88,,,,
7,06/24/2024 10:17:03,9.48,694.08,,,,
8,06/24/2024 10:22:03,6.82,753.60,,,,
9,06/24/2024 10:27:03,5.15,728.96,,,,
10,06/24/2024 10:32:03,4.07,747.84,,,,
11,06/24/2024 10:37:03,3.56,790.08,,,,
12,06/24/2024 10:42:03,3.17,848.32,,,,
13,06/24/2024 10:47:03,2.96,819.84,,,,
14,06/24/2024 10:52:03,2.83,788.80,,,,
15,06/24/2024 10:57:03,2.74,835.52,,,,
16,06/24/2024 11:02:03,2.61,851.52,,,,
17,06/24/2024 11:07:03,2.61,902.40,,,,
18,06/24/2024 11:12:03,2.57,904.00,,,,
19,06/24/2024 11:17:03,2.61,796.80,,,,
20,06/24/2024 11:22:03,2.44,631.36,,,,
21,06/24/2024 11:27:03,2.40,739.84,,,,
22,06/24/2024 11:32:03,2.40,857.92,,,,
23,06/24/2024 11:37:03,2.91,872.96,,,,
24,06/24/2024 11:42:03,2.83,763.52,,,,
25,06/24/2024 11:47:03,2.70,749.12,,,,
26,06/24/2024 11:52:03,2.74,809.60,,,,
27,06/24/2024 11:57:03,2.70,693.76,,,,
28,06/24/2024 12:02:03,2.79,661.44,,,,
29,06/24/2024 12:07:03,2.70,666.56,,,,
30,06/24/2024 12:12:03,2.66,689.60,,,,
31,06/24/2024 12:17:03,2.70,740.48,,,,
32,06/24/2024 12:22:03,2.70,721.28,,,,
33,06/24/2024 12:27:03,2.70,727.68,,,,
34,06/24/2024 12:32:03,2.70,754.24,,,,
35,06/24/2024 12:37:03,2.66,694.08,,,,
36,06/24/2024 12:42:03,2.61,694.08,,,,
37,06/24/2024 12:47:03,2.53,719.68,,,,
38,06/24/2024 12:52:03,2.61,717.76,,,,
39,06/24/2024 12:57:03,2.53,696.96,,,,
40,06/24/2024 13:02:03,2.53,733.44,,,,
41,06/24/2024 13:07:03,2.53,772.48,,,,
42,06/24/2024 13:12:03,2.57,797.44,,,,
43,06/24/2024 13:17:03,2.66,811.84,,,,
44,06/24/2024 13:22:03,2.61,774.40,,,,
45,06/24/2024 13:27:03,2.61,807.36,,,,
46,06/24/2024 13:32:03,2.61,833.28,,,,
47,06/24/2024 13:37:03,2.70,842.56,,,,
48,06/24/2024 13:42:03,2.66,857.28,,,,
49,06/24/2024 13:47:03,2.70,867.20,,,,
50,06/24/2024 13:52:03,2.70,864.96,,,,
51,06/24/2024 13:57:03,2.74,880.96,,,,
52,06/24/2024 14:02:03,2.79,874.24,,,,
53,06/24/2024 14:07:03,2.79,861.44,,,,
54,06/24/2024 14:12:03,2.79,866.56,,,,
55,06/24/2024 14:17:03,2.79,932.48,,,,
56,06/24/2024 14:22:03,2.83,901.76,,,,
57,06/24/2024 14:27:03,2.79,701.76,,,,
58,06/24/2024 14:32:03,2.74,772.48,,,,
59,06/24/2024 14:37:03,2.74,754.24,,,,
60,06/24/2024 14:42:03,2.70,717.12,,,,
61,06/24/2024 14:47:03,2.61,678.08,,,,
62,06/24/2024 14:52:03,2.61,626.24,,,,
63,06/24/2024 14:57:03,2.53,491.04,,,,
64,06/24/2024 15:02:03,2.36,416.32,,,,
65,06/24/2024 15:07:03,2.27,461.60,,,,
66,06/24/2024 15:12:03,2.23,661.44,,,,
67,06/24/2024 15:17:03,2.31,818.88,,,,
68,06/24/2024 15:22:03,2.36,761.60,,,,
69,06/24/2024 15:27:03,2.36,729.28,,,,
70,06/24/2024 15:32:03,2.36,616.48,,,,
71,06/24/2024 15:37:03,2.31,610.08,,,,
72,06/24/2024 15:42:03,2.36,769.60,,,,
73,06/24/2024 15:47:03,2.44,878.72,,,,
74,06/24/2024 15:52:03,2.44,670.08,,,,
75,06/24/2024 15:57:03,2.40,678.08,,,,
76,06/24/2024 16:02:03,2.40,607.20,,,,
77,06/24/2024 16:07:03,2.36,582.40,,,,
78,06/24/2024 16:12:03,2.31,604.96,,,,
79,06/24/2024 16:17:03,2.27,578.40,,,,
80,06/24/2024 16:22:03,2.23,532.00,,,,
81,06/24/2024 16:27:03,2.23,530.56,,,,
82,06/24/2024 16:32:03,2.14,529.60,,,,
83,06/24/2024 16:37:03,2.14,534.56,,,,
84,06/24/2024 16:42:03,2.14,580.16,,,,
85,06/24/2024 16:47:03,2.14,568.00,,,,
86,06/24/2024 16:52:03,2.10,526.24,,,,
87,06/24/2024 16:57:03,2.10,488.32,,,,
88,06/24/2024 17:02:03,2.06,484.32,,,,
89,06/24/2024 17:07:03,2.06,460.16,,,,
90,06/24/2024 17:12:03,2.01,482.56,,,,
91,06/24/2024 17:17:03,2.06,537.44,,,,
92,06/24/2024 17:22:03,2.06,503.68,,,,
93,06/24/2024 17:27:03,2.01,485.44,,,,
94,06/24/2024 17:32:03,2.10,503.04,,,,
95,06/24/2024 17:37:03,2.10,567.04,,,,
96,06/24/2024 17:42:03,2.06,584.16,,,,
97,06/24/2024 17:47:03,2.06,541.44,,,,
98,06/24/2024 17:52:03,2.06,546.72,,,,
99,06/24/2024 17:57:03,2.01,512.64,,,,
100,06/24/2024 18:02:03,1.97,488.16,,,,
101,06/24/2024 18:07:03,2.01,502.24,,,,
102,06/24/2024 18:12:03,1.97,446.24,,,,
103,06/24/2024 18:17:03,1.93,433.60,,,,
104,06/24/2024 18:22:03,1.93,453.28,,,,
105,06/24/2024 18:27:03,1.88,403.84,,,,
106,06/24/2024 18:32:03,1.84,398.72,,,,
107,06/24/2024 18:37:03,1.80,372.16,,,,
108,06/24/2024 18:42:03,1.80,391.20,,,,
109,06/24/2024 18:47:03,1.80,410.88,,,,
110,06/24/2024 18:52:03,1.76,439.68,,,,
111,06/24/2024 18:57:03,1.76,457.28,,,,
112,06/24/2024 19:02:03,1.80,454.88,,,,
113,06/24/2024 19:07:03,1.80,469.12,,,,
114,06/24/2024 19:12:03,2.27,2168.32,,,,
115,06/24/2024 19:17:03,3.00,1957.12,,,,
116,06/24/2024 19:22:03,3.30,2013.44,,,,
117,06/24/2024 19:27:03,3.69,2145.28,,,,
118,06/24/2024 19:32:03,4.03,2312.32,,,,
119,06/24/2024 19:37:03,4.29,2085.12,,,,
120,06/24/2024 19:42:03,4.37,1734.40,,,,
121,06/24/2024 19:47:03,4.20,1520.00,,,,
122,06/24/2024 19:52:03,4.07,1445.12,,,,
123,06/24/2024 19:57:03,4.03,1353.60,,,,
124,06/24/2024 20:02:03,3.86,1252.48,,,,
125,06/24/2024 20:07:03,3.82,1143.36,,,,
126,06/24/2024 20:12:03,3.69,1046.72,,,,
127,06/24/2024 20:17:03,3.60,955.52,,,,
128,06/24/2024 20:22:03,2.83,87.56,,,,
129,06/24/2024 20:27:03,2.23,80.00,,,,
130,06/24/2024 20:32:03,1.97,72.52,,,,
131,06/24/2024 20:37:03,1.76,70.20,,,,
132,06/24/2024 20:42:03,1.71,64.94,,,,
133,06/24/2024 20:47:03,1.63,62.34,,,,
134,06/24/2024 20:52:03,1.76,309.36,,,,
135,06/24/2024 20:57:03,1.76,65.24,,,,
136,06/24/2024 21:02:03,1.67,58.02,,,,
137,06/24/2024 21:07:03,1.58,50.16,,,,
138,06/24/2024 21:12:03,1.63,41.16,,,,
139,06/24/2024 21:17:03,1.54,37.41,,,,
140,06/24/2024 21:22:03,1.58,30.74,,,,
141,06/24/2024 21:27:03,1.58,24.65,,,,
142,06/24/2024 21:32:03,1.58,21.60,,,,
143,06/24/2024 21:37:03,1.54,19.42,,,,
144,06/24/2024 21:42:03,1.63,17.67,,,,
145,06/24/2024 21:47:03,1.58,12.32,,,,
146,06/24/2024 21:52:03,1.46,10.00,,,,
147,06/24/2024 21:57:03,1.54,8.54,,,,
148,06/24/2024 22:02:03,1.58,7.10,,,,
149,06/24/2024 22:07:03,1.54,5.72,,,,
150,06/24/2024 22:12:03,1.54,4.34,,,,
151,06/24/2024 22:17:03,1.54,3.18,,,,
152,06/24/2024 22:22:03,1.41,2.74,,,,
153,06/24/2024 22:27:03,1.37,2.01,,,,
154,06/24/2024 22:32:03,1.41,1.44,,,,
155,06/24/2024 22:37:03,1.33,0.79,,,,
156,06/24/2024 22:42:03,1.24,0.57,,,,
157,06/24/2024 22:47:03,1.28,0.43,,,,
158,06/24/2024 22:52:03,1.28,0.28,,,,
159,06/24/2024 22:57:03,1.24,0.14,,,,
160,06/24/2024 23:02:03,1.20,0.07,,,,
161,06/24/2024 23:07:03,1.11,0.00,,,,
162,06/24/2024 23:12:03,1.20,0.00,,,,
163,06/24/2024 23:17:03,1.16,0.00,,,,
164,06/24/2024 23:22:03,1.07,0.00,,,,
165,06/24/2024 23:27:03,1.11,0.00,,,,
166,06/24/2024 23:32:03,1.07,0.00,,,,
167,06/24/2024 23:37:03,0.98,0.00,,,,
168,06/24/2024 23:42:03,0.98,0.00,,,,
169,06/24/2024 23:47:03,0.94,0.00,,,,
170,06/24/2024 23:52:03,1.07,0.00,,,,
171,06/24/2024 23:57:03,1.11,0.00,,,,
172,06/25/2024 00:02:03,1.07,0.00,,,,
173,06/25/2024 00:07:03,1.07,0.00,,,,
174,06/25/2024 00:12:03,1.07,0.00,,,,
175,06/25/2024 00:17:03,1.07,0.00,,,,
176,06/25/2024 00:22:03,0.98,0.00,,,,
177,06/25/2024 00:27:03,0.98,0.00,,,,
178,06/25/2024 00:32:03,0.98,0.00,,,,
179,06/25/2024 00:37:03,0.98,0.00,,,,
180,06/25/2024 00:42:03,0.94,0.00,,,,
181,06/25/2024 00:47:03,0.98,0.00,,,,
182,06/25/2024 00:52:03,0.90,0.00,,,,
183,06/25/2024 00:57:03,1.03,0.00,,,,
184,06/25/2024 01:02:03,0.98,0.00,,,,
185,06/25/2024 01:07:03,1.07,0.00,,,,
186,06/25/2024 01:12:03,1.07,0.00,,,,
187,06/25/2024 01:17:03,1.07,0.00,,,,
188,06/25/2024 01:22:03,1.03,0.00,,,,
189,06/25/2024 01:27:03,0.98,0.00,,,,
190,06/25/2024 01:32:03,1.07,0.00,,,,
191,06/25/2024 01:37:03,1.07,0.00,,,,
192,06/25/2024 01:42:03,1.11,0.00,,,,
193,06/25/2024 01:47:03,1.11,0.00,,,,
194,06/25/2024 01:52:03,1.03,0.00,,,,
195,06/25/2024 01:57:03,1.11,0.00,,,,
196,06/25/2024 02:02:03,1.07,0.00,,,,
197,06/25/2024 02:07:03,0.98,0.00,,,,
198,06/25/2024 02:12:03,1.03,0.00,,,,
199,06/25/2024 02:17:03,1.07,0.00,,,,
200,06/25/2024 02:22:03,1.07,0.00,,,,
201,06/25/2024 02:27:03,1.03,0.00,,,,
202,06/25/2024 02:32:03,0.94,0.00,,,,
203,06/25/2024 02:37:03,0.90,0.00,,,,
204,06/25/2024 02:42:03,0.90,0.00,,,,
205,06/25/2024 02:47:03,0.86,0.00,,,,
206,06/25/2024 02:52:03,0.81,0.00,,,,
207,06/25/2024 02:57:03,0.86,0.00,,,,
208,06/25/2024 03:02:03,0.81,0.07,,,,
209,06/25/2024 03:07:03,0.81,0.14,,,,
210,06/25/2024 03:12:03,0.77,0.28,,,,
211,06/25/2024 03:17:03,0.81,0.50,,,,
212,06/25/2024 03:22:03,0.77,0.86,,,,
213,06/25/2024 03:27:03,0.77,1.15,,,,
214,06/25/2024 03:32:03,0.77,1.80,,,,
215,06/25/2024 03:37:03,0.81,2.30,,,,
216,06/25/2024 03:42:03,0.73,2.82,,,,
217,06/25/2024 03:47:03,0.77,3.68,,,,
218,06/25/2024 03:52:03,0.81,4.92,,,,
219,06/25/2024 03:57:03,0.77,6.65,,,,
220,06/25/2024 04:02:03,0.77,7.67,,,,
221,06/25/2024 04:07:03,0.77,8.68,,,,
222,06/25/2024 04:12:03,0.73,10.57,,,,
223,06/25/2024 04:17:03,0.77,12.90,,,,
224,06/25/2024 04:22:03,0.77,15.94,,,,
225,06/25/2024 04:27:03,0.77,19.42,,,,
226,06/25/2024 04:32:03,0.77,20.86,,,,
227,06/25/2024 04:37:03,0.73,23.33,,,,
228,06/25/2024 04:42:03,0.77,26.67,,,,
229,06/25/2024 04:47:03,0.81,32.18,,,,
230,06/25/2024 04:52:03,0.77,35.68,,,,
231,06/25/2024 04:57:03,0.77,40.00,,,,
232,06/25/2024 05:02:03,0.77,44.94,,,,
233,06/25/2024 05:07:03,0.81,51.02,,,,
234,06/25/2024 05:12:03,0.81,57.12,,,,
235,06/25/2024 05:17:03,0.77,61.78,,,,
236,06/25/2024 05:22:03,0.81,63.50,,,,
237,06/25/2024 05:27:03,0.81,64.36,,,,
238,06/25/2024 05:32:03,0.81,69.62,,,,
239,06/25/2024 05:37:03,0.86,75.68,,,,
240,06/25/2024 05:42:03,0.86,83.84,,,,
241,06/25/2024 05:47:03,0.81,94.28,,,,
242,06/25/2024 05:52:03,0.90,100.04,,,,
243,06/25/2024 05:57:03,0.94,113.08,,,,
244,06/25/2024 06:02:03,0.90,114.24,,,,
245,06/25/2024 06:07:03,0.94,127.00,,,,
246,06/25/2024 06:12:03,0.94,140.92,,,,
247,06/25/2024 06:17:03,0.98,143.52,,,,
248,06/25/2024 06:22:03,1.03,145.32,,,,
249,06/25/2024 06:27:03,1.03,149.08,,,,
250,06/25/2024 06:32:03,1.07,151.96,,,,
251,06/25/2024 06:37:03,1.11,165.36,,,,
252,06/25/2024 06:42:03,1.16,190.00,,,,
253,06/25/2024 06:47:03,1.20,206.40,,,,
254,06/25/2024 06:52:03,1.20,225.04,,,,
255,06/25/2024 06:57:03,1.24,246.24,,,,
256,06/25/2024 07:02:03,1.28,277.20,,,,
257,06/25/2024 07:07:03,1.33,339.36,,,,
258,06/25/2024 07:12:03,1.46,394.72,,,,
259,06/25/2024 07:17:03,1.67,3522.56,,,,
260,06/25/2024 07:22:03,1.88,326.96,,,,
261,06/25/2024 07:27:03,1.71,332.16,,,,
262,06/25/2024 07:32:03,1.71,366.72,,,,
263,06/25/2024 07:37:03,1.76,367.36,,,,
264,06/25/2024 07:42:03,1.71,344.16,,,,
265,06/25/2024 07:47:03,1.67,341.12,,,,
266,06/25/2024 07:52:03,1.67,346.88,,,,
267,06/25/2024 07:57:03,1.71,356.96,,,,
268,06/25/2024 08:02:03,1.71,352.64,,,,
269,06/25/2024 08:07:03,1.76,366.72,,,,
270,06/25/2024 08:12:03,2.14,1009.60,,,,
271,06/25/2024 08:17:03,2.31,1035.52,,,,
272,06/25/2024 08:22:03,2.40,1048.96,,,,
273,06/25/2024 08:27:03,2.57,1152.00,,,,
274,06/25/2024 08:32:03,2.74,1245.44,,,,
275,06/25/2024 08:37:03,2.79,1110.08,,,,
276,06/25/2024 08:42:03,2.87,1202.88,,,,
277,06/25/2024 08:47:03,2.96,1232.96,,,,
278,06/25/2024 08:52:03,3.04,1291.84,,,,
279,06/25/2024 08:57:03,3.13,1416.32,,,,
280,06/25/2024 09:02:03,3.30,1432.32,,,,
281,06/25/2024 09:07:03,3.60,5808.64,,,,
282,06/25/2024 09:12:03,4.29,612.96,,,,
283,06/25/2024 09:17:03,3.69,663.04,,,,
284,06/25/2024 09:22:03,3.94,1143.04,,,,
285,06/25/2024 09:27:03,3.60,686.72,,,,
286,06/25/2024 09:32:03,3.34,649.28,,,,
287,06/25/2024 09:37:03,3.09,638.40,,,,
288,06/25/2024 09:42:03,3.04,656.00,,,,
289,06/25/2024 09:47:03,3.00,735.04,,,,
290,06/25/2024 09:52:03,3.00,682.24,,,,
291,06/25/2024 09:57:03,2.91,696.00,,,,
292,06/25/2024 10:02:03,2.87,651.04,,,,
293,06/25/2024 10:07:03,2.91,626.88,,,,
294,06/25/2024 10:12:03,2.83,611.20,,,,
295,06/25/2024 10:17:03,2.96,630.24,,,,
296,06/25/2024 10:22:03,2.96,582.40,,,,
297,06/25/2024 10:27:03,2.87,541.44,,,,
298,06/25/2024 10:32:03,2.83,581.28,,,,
299,06/25/2024 10:37:03,2.70,596.80,,,,
300,06/25/2024 10:42:03,2.70,569.12,,,,
301,06/25/2024 10:47:03,2.61,645.92,,,,
302,06/25/2024 10:52:03,2.57,582.40,,,,
303,06/25/2024 10:57:03,2.53,673.92,,,,
304,06/25/2024 11:02:03,2.61,630.88,,,,
305,06/25/2024 11:07:03,2.53,595.68,,,,
306,06/25/2024 11:12:03,2.57,491.36,,,,
307,06/25/2024 11:17:03,2.44,461.92,,,,
308,06/25/2024 11:22:03,2.44,482.40,,,,
309,06/25/2024 11:27:03,2.36,480.32,,,,
310,06/25/2024 11:32:03,2.31,434.72,,,,
311,06/25/2024 11:37:03,2.27,430.40,,,,
312,06/25/2024 11:42:03,2.23,400.80,,,,
313,06/25/2024 11:47:03,2.19,396.64,,,,
314,06/25/2024 11:52:03,2.14,386.24,,,,
315,06/25/2024 11:57:03,2.14,377.92,,,,
316,06/25/2024 12:02:03,2.10,372.80,,,,
317,06/25/2024 12:07:03,2.06,369.28,,,,
318,06/25/2024 12:12:03,2.06,366.72,,,,
319,06/25/2024 12:17:03,2.14,1066.88,,,,
320,06/25/2024 12:22:03,2.31,1001.60,,,,
321,06/25/2024 12:27:03,2.40,960.00,,,,
322,06/25/2024 12:32:03,2.49,916.80,,,,
323,06/25/2024 12:37:03,2.49,872.96,,,,
324,06/25/2024 12:42:03,2.53,827.52,,,,
325,06/25/2024 12:47:03,2.49,788.16,,,,
326,06/25/2024 12:52:03,2.49,747.20,,,,
327,06/25/2024 12:57:03,2.44,706.88,,,,
328,06/25/2024 13:02:03,2.40,665.92,,,,
329,06/25/2024 13:07:03,2.40,569.76,,,,
330,06/25/2024 13:12:03,2.31,542.88,,,,
331,06/25/2024 13:17:03,2.27,554.40,,,,
332,06/25/2024 13:22:03,2.23,488.32,,,,
333,06/25/2024 13:27:03,2.14,427.52,,,,
334,06/25/2024 13:32:03,2.19,608.96,,,,
335,06/25/2024 13:37:03,2.19,645.28,,,,
336,06/25/2024 13:42:03,2.19,640.00,,,,
337,06/25/2024 13:47:03,2.14,552.48,,,,
338,06/25/2024 13:52:03,2.19,500.80,,,,
339,06/25/2024 13:57:03,2.10,470.88,,,,
