#,Date-Time (AKDT),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,Stopped,End of File
1,06/24/2024 09:44:28,14.03,87.04,,,,,
2,06/24/2024 09:49:28,13.73,0.98,,,,,
3,06/24/2024 09:54:28,14.93,2.36,,,,,
4,06/24/2024 09:59:28,16.39,1.57,,,,,
5,06/24/2024 10:04:28,18.36,2.55,,,,,
6,06/24/2024 10:09:28,13.77,245.04,,,,,
7,06/24/2024 10:14:28,9.44,283.04,,,,,
8,06/24/2024 10:19:28,6.60,305.04,,,,,
9,06/24/2024 10:24:28,4.80,305.28,,,,,
10,06/24/2024 10:29:28,3.52,311.52,,,,,
11,06/24/2024 10:34:28,2.70,306.80,,,,,
12,06/24/2024 10:39:28,2.23,330.40,,,,,
13,06/24/2024 10:44:28,1.84,343.84,,,,,
14,06/24/2024 10:49:28,1.58,330.40,,,,,
15,06/24/2024 10:54:28,1.37,315.44,,,,,
16,06/24/2024 10:59:28,1.28,336.64,,,,,
17,06/24/2024 11:04:28,1.16,355.04,,,,,
18,06/24/2024 11:09:28,1.11,355.68,,,,,
19,06/24/2024 11:14:28,1.07,335.84,,,,,
20,06/24/2024 11:19:28,1.07,273.60,,,,,
21,06/24/2024 11:24:28,1.03,271.20,,,,,
22,06/24/2024 11:29:28,0.98,320.16,,,,,
23,06/24/2024 11:34:28,1.84,32.50,,,,,
24,06/24/2024 11:39:28,4.63,111.72,,,,,
25,06/24/2024 11:44:28,6.99,101.40,,,,,
26,06/24/2024 11:49:28,9.05,61.76,,,,,
27,06/24/2024 11:54:28,10.89,63.28,,,,,
28,06/24/2024 11:59:28,8.41,60.08,,,,,
29,06/24/2024 12:04:28,5.02,50.20,,,,,
30,06/24/2024 12:09:28,3.26,45.88,,,,,
31,06/24/2024 12:14:28,2.27,54.18,,,,,
32,06/24/2024 12:19:28,1.76,52.96,,,,,
33,06/24/2024 12:24:28,1.46,51.38,,,,,
34,06/24/2024 12:29:28,1.20,51.78,,,,,
35,06/24/2024 12:34:28,1.24,50.20,,,,,
36,06/24/2024 12:39:28,1.07,47.44,,,,,
37,06/24/2024 12:44:28,1.07,48.24,,,,,
38,06/24/2024 12:49:28,1.03,48.62,,,,,
39,06/24/2024 12:54:28,0.94,49.80,,,,,
40,06/24/2024 12:59:28,0.98,49.86,,,,,
41,06/24/2024 13:04:28,0.94,53.00,,,,,
42,06/24/2024 13:09:28,0.94,54.58,,,,,
43,06/24/2024 13:14:28,0.94,56.54,,,,,
44,06/24/2024 13:19:28,0.94,53.00,,,,,
45,06/24/2024 13:24:28,0.98,54.96,,,,,
46,06/24/2024 13:29:28,0.94,55.36,,,,,
47,06/24/2024 13:34:28,0.94,55.80,,,,,
48,06/24/2024 13:39:28,0.98,57.38,,,,,
49,06/24/2024 13:44:28,0.94,56.60,,,,,
50,06/24/2024 13:49:28,0.98,60.92,,,,,
51,06/24/2024 13:54:28,0.94,56.60,,,,,
52,06/24/2024 13:59:28,0.98,55.42,,,,,
53,06/24/2024 14:04:28,1.03,58.16,,,,,
54,06/24/2024 14:09:28,0.94,55.02,,,,,
55,06/24/2024 14:14:28,1.07,56.60,,,,,
56,06/24/2024 14:19:28,0.98,59.74,,,,,
57,06/24/2024 14:24:28,0.94,48.68,,,,,
58,06/24/2024 14:29:28,0.98,45.48,,,,,
59,06/24/2024 14:34:28,0.98,51.42,,,,,
60,06/24/2024 14:39:28,0.98,46.66,,,,,
61,06/24/2024 14:44:28,0.94,41.16,,,,,
62,06/24/2024 14:49:28,0.94,45.48,,,,,
63,06/24/2024 14:54:28,0.98,34.81,,,,,
64,06/24/2024 14:59:28,0.98,27.68,,,,,
65,06/24/2024 15:04:28,0.94,27.24,,,,,
66,06/24/2024 15:09:28,0.94,33.98,,,,,
67,06/24/2024 15:14:28,0.98,47.10,,,,,
68,06/24/2024 15:19:28,1.07,47.50,,,,,
69,06/24/2024 15:24:28,1.11,46.70,,,,,
70,06/24/2024 15:29:28,1.16,41.16,,,,,
71,06/24/2024 15:34:28,1.20,36.39,,,,,
72,06/24/2024 15:39:28,1.11,40.32,,,,,
73,06/24/2024 15:44:28,1.16,51.82,,,,,
