#,Date-Time (PDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
1,05/14/2025 12:43:46,22.13,Logged,,,,
2,05/14/2025 12:44:46,22.31,,,,,
3,05/14/2025 12:45:46,22.31,,,,,
4,05/14/2025 12:46:46,22.26,,,,,
5,05/14/2025 12:47:46,14.75,,,,,
6,05/14/2025 12:48:46,9.99,,,,,
7,05/14/2025 12:49:46,7.08,,,,,
8,05/14/2025 12:50:46,5.27,,,,,
9,05/14/2025 12:51:46,4.07,,,,,
10,05/14/2025 12:52:46,3.21,,,,,
11,05/14/2025 12:53:46,2.61,,,,,
12,05/14/2025 12:54:46,2.23,,,,,
13,05/14/2025 12:55:46,1.88,,,,,
14,05/14/2025 12:56:46,1.67,,,,,
15,05/14/2025 12:57:46,1.46,,,,,
16,05/14/2025 12:58:46,1.33,,,,,
17,05/14/2025 12:59:46,1.28,,,,,
18,05/14/2025 13:00:46,1.16,,,,,
19,05/14/2025 13:01:46,1.11,,,,,
20,05/14/2025 13:02:46,1.03,,,,,
21,05/14/2025 13:03:46,1.03,,,,,
22,05/14/2025 13:04:46,0.98,,,,,
23,05/14/2025 13:05:46,0.98,,,,,
24,05/14/2025 13:06:46,0.94,,,,,
25,05/14/2025 13:07:46,0.98,,,,,
26,05/14/2025 13:08:46,1.03,,,,,
27,05/14/2025 13:09:46,0.98,,,,,
28,05/14/2025 13:10:46,0.94,,,,,
29,05/14/2025 13:11:46,0.98,,,,,
30,05/14/2025 13:12:46,1.11,,,,,
31,05/14/2025 13:13:46,1.28,,,,,
32,05/14/2025 13:14:46,1.33,,,,,
33,05/14/2025 13:15:46,1.37,,,,,
34,05/14/2025 13:16:46,1.46,,,,,
35,05/14/2025 13:17:46,1.46,,,,,
36,05/14/2025 13:18:46,1.46,,,,,
37,05/14/2025 13:19:46,1.50,,,,,
38,05/14/2025 13:20:46,1.54,,,,,
39,05/14/2025 13:21:46,1.54,,,,,
40,05/14/2025 13:22:46,1.54,,,,,
41,05/14/2025 13:23:46,1.54,,,,,
42,05/14/2025 13:24:46,1.54,,,,,
43,05/14/2025 13:25:46,1.58,,,,,
44,05/14/2025 13:26:46,1.58,,,,,
45,05/14/2025 13:27:46,1.58,,,,,
46,05/14/2025 13:28:46,1.63,,,,,
47,05/14/2025 13:29:46,1.54,,,,,
48,05/14/2025 13:30:46,1.58,,,,,
49,05/14/2025 13:31:46,1.58,,,,,
50,05/14/2025 13:32:46,1.71,,,,,
51,05/14/2025 13:33:46,1.93,,,,,
52,05/14/2025 13:34:46,2.19,,,,,
53,05/14/2025 13:35:46,2.40,,,,,
54,05/14/2025 13:36:46,2.66,,,,,
55,05/14/2025 13:37:46,2.96,,,,,
56,05/14/2025 13:38:46,3.30,,,,,
57,05/14/2025 13:39:46,3.60,,,,,
58,05/14/2025 13:40:46,3.90,,,,,
59,05/14/2025 13:41:46,4.24,,,,,
60,05/14/2025 13:42:46,4.54,,,,,
61,05/14/2025 13:43:46,4.84,,,,,
62,05/14/2025 13:44:46,5.23,,,,,
63,05/14/2025 13:45:46,5.53,,,,,
64,05/14/2025 13:46:46,5.83,,,,,
65,05/14/2025 13:47:46,6.22,,,,,
66,05/14/2025 13:48:46,6.56,,,,,
67,05/14/2025 13:49:46,6.90,,,,,
68,05/14/2025 13:50:46,7.16,,,,,
69,05/14/2025 13:51:46,7.46,,,,,
70,05/14/2025 13:52:46,7.76,,,,,
71,05/14/2025 13:53:46,8.06,,,,,
72,05/14/2025 13:54:46,8.28,,,,,
73,05/14/2025 13:55:46,8.62,,,,,
74,05/14/2025 13:56:46,8.88,,,,,
75,05/14/2025 13:57:46,9.09,,,,,
76,05/14/2025 13:58:46,9.31,,,,,
77,05/14/2025 13:59:46,9.61,,,,,
78,05/14/2025 14:00:46,9.78,,,,,
79,05/14/2025 14:01:46,9.99,,,,,
80,05/14/2025 14:02:46,10.16,,,,,
81,05/14/2025 14:03:46,10.38,,,,,
82,05/14/2025 14:04:46,10.59,,,,,
83,05/14/2025 14:05:46,10.77,,,,,
84,05/14/2025 14:06:46,10.94,,,,,
85,05/14/2025 14:07:46,11.11,,,,,
86,05/14/2025 14:08:46,11.32,,,,,
87,05/14/2025 14:09:46,11.49,,,,,
88,05/14/2025 14:10:46,11.62,,,,,
89,05/14/2025 14:11:46,11.79,,,,,
90,05/14/2025 14:12:46,11.92,,,,,
91,05/14/2025 14:13:46,12.05,,,,,
92,05/14/2025 14:14:46,12.22,,,,,
93,05/14/2025 14:15:46,12.35,,,,,
94,05/14/2025 14:16:46,12.48,,,,,
95,05/14/2025 14:17:46,12.61,,,,,
96,05/14/2025 14:18:46,12.74,,,,,
97,05/14/2025 14:19:46,12.87,,,,,
98,05/14/2025 14:20:46,12.95,,,,,
99,05/14/2025 14:21:46,13.08,,,,,
100,05/14/2025 14:22:46,13.21,,,,,
101,05/14/2025 14:23:46,13.30,,,,,
102,05/14/2025 14:24:46,13.38,,,,,
103,05/14/2025 14:25:46,13.43,,,,,
104,05/14/2025 14:26:46,13.55,,,,,
105,05/14/2025 14:27:46,13.64,,,,,
106,05/14/2025 14:28:46,13.77,,,,,
107,05/14/2025 14:29:46,13.81,,,,,
108,05/14/2025 14:30:46,13.94,,,,,
109,05/14/2025 14:31:46,14.03,,,,,
110,05/14/2025 14:32:46,14.07,,,,,
111,05/14/2025 14:33:46,14.15,,,,,
112,05/14/2025 14:34:46,14.24,,,,,
113,05/14/2025 14:35:46,14.33,,,,,
114,05/14/2025 14:36:46,14.37,,,,,
115,05/14/2025 14:37:46,14.45,,,,,
116,05/14/2025 14:38:46,14.50,,,,,
117,05/14/2025 14:39:46,14.63,,,,,
118,05/14/2025 14:40:46,14.67,,,,,
119,05/14/2025 14:41:46,14.71,,,,,
120,05/14/2025 14:42:46,14.80,,,,,
121,05/14/2025 14:43:46,14.84,,,,,
122,05/14/2025 14:44:46,14.88,,,,,
123,05/14/2025 14:45:46,14.97,,,,,
124,05/14/2025 14:46:46,15.01,,,,,
125,05/14/2025 14:47:46,15.10,,,,,
126,05/14/2025 14:48:46,15.14,,,,,
127,05/14/2025 14:49:46,15.14,,,,,
128,05/14/2025 14:50:46,15.27,,,,,
129,05/14/2025 14:51:46,15.27,,,,,
130,05/14/2025 14:52:46,15.36,,,,,
131,05/14/2025 14:53:46,15.40,,,,,
132,05/14/2025 14:54:46,15.44,,,,,
133,05/14/2025 14:55:46,15.48,,,,,
134,05/14/2025 14:56:46,15.57,,,,,
135,05/14/2025 14:57:46,15.61,,,,,
136,05/14/2025 14:58:46,15.70,,,,,
137,05/14/2025 14:59:46,15.70,,,,,
138,05/14/2025 15:00:46,15.74,,,,,
139,05/14/2025 15:01:46,15.74,,,,,
140,05/14/2025 15:02:46,15.78,,,,,
141,05/14/2025 15:03:46,15.83,,,,,
142,05/14/2025 15:04:46,15.87,,,,,
143,05/14/2025 15:05:46,15.91,,,,,
144,05/14/2025 15:06:46,15.91,,,,,
145,05/14/2025 15:07:46,16.00,,,,,
146,05/14/2025 15:08:46,16.00,,,,,
147,05/14/2025 15:09:46,16.04,,,,,
148,05/14/2025 15:10:46,16.13,,,,,
149,05/14/2025 15:11:46,16.13,,,,,
150,05/14/2025 15:12:46,16.17,,,,,
151,05/14/2025 15:13:46,16.21,,,,,
152,05/14/2025 15:14:46,16.21,,,,,
153,05/14/2025 15:15:46,16.26,,,,,
154,05/14/2025 15:16:46,16.26,,,,,
155,05/14/2025 15:17:46,16.30,,,,,
156,05/14/2025 15:18:46,16.34,,,,,
157,05/14/2025 15:19:46,16.34,,,,,
158,05/14/2025 15:20:46,16.39,,,,,
159,05/14/2025 15:21:46,16.43,,,,,
160,05/14/2025 15:22:46,16.43,,,,,
161,05/14/2025 15:23:46,16.47,,,,,
162,05/14/2025 15:24:46,16.47,,,,,
163,05/14/2025 15:25:46,16.51,,,,,
164,05/14/2025 15:26:46,16.51,,,,,
165,05/14/2025 15:27:46,16.56,,,,,
166,05/14/2025 15:28:46,16.56,,,,,
167,05/14/2025 15:29:46,16.56,,,,,
168,05/14/2025 15:30:46,16.64,,,,,
169,05/14/2025 15:31:46,16.64,,,,,
170,05/14/2025 15:32:46,16.64,,,,,
171,05/14/2025 15:33:11,,,Logged,Logged,,
172,05/14/2025 15:33:16,,,,,Logged,Logged
