#,Date-Time (PDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,Stopped,End of File
1,05/14/2025 12:38:30,21.40,Logged,,,,,
2,05/14/2025 12:39:00,21.40,,,,,,
3,05/14/2025 12:39:30,21.36,,,,,,
4,05/14/2025 12:39:53,,,Logged,Logged,,,
5,05/14/2025 12:40:00,21.40,,,,,,
6,05/14/2025 12:40:30,21.49,,,,,,
7,05/14/2025 12:41:00,21.53,,,,,,
8,05/14/2025 12:41:30,21.53,,,,,,
9,05/14/2025 12:42:00,21.53,,,,,,
10,05/14/2025 12:42:30,21.53,,,,,,
11,05/14/2025 12:43:00,21.40,,,,,,
12,05/14/2025 12:43:30,21.40,,,,,,
13,05/14/2025 12:44:00,21.40,,,,,,
14,05/14/2025 12:44:30,21.40,,,,,,
15,05/14/2025 12:44:38,,,Logged,Logged,,,
16,05/14/2025 12:45:00,21.49,,,,,,
17,05/14/2025 12:45:30,21.53,,,,,,
18,05/14/2025 12:46:00,21.40,,,,,,
19,05/14/2025 12:46:30,21.45,,,,,,
20,05/14/2025 12:47:00,19.47,,,,,,
21,05/14/2025 12:47:30,15.66,,,,,,
22,05/14/2025 12:48:00,12.74,,,,,,
23,05/14/2025 12:48:30,10.42,,,,,,
24,05/14/2025 12:49:00,8.79,,,,,,
25,05/14/2025 12:49:30,7.38,,,,,,
26,05/14/2025 12:50:00,6.22,,,,,,
27,05/14/2025 12:50:30,5.40,,,,,,
28,05/14/2025 12:51:00,4.67,,,,,,
29,05/14/2025 12:51:30,4.07,,,,,,
30,05/14/2025 12:52:00,3.64,,,,,,
31,05/14/2025 12:52:30,3.26,,,,,,
32,05/14/2025 12:53:00,2.87,,,,,,
33,05/14/2025 12:53:30,2.57,,,,,,
34,05/14/2025 12:54:00,2.36,,,,,,
35,05/14/2025 12:54:30,2.14,,,,,,
36,05/14/2025 12:55:00,2.01,,,,,,
37,05/14/2025 12:55:30,1.84,,,,,,
38,05/14/2025 12:56:00,1.71,,,,,,
39,05/14/2025 12:56:30,1.54,,,,,,
40,05/14/2025 12:57:00,1.50,,,,,,
41,05/14/2025 12:57:30,1.41,,,,,,
42,05/14/2025 12:58:00,1.37,,,,,,
43,05/14/2025 12:58:30,1.28,,,,,,
44,05/14/2025 12:59:00,1.20,,,,,,
45,05/14/2025 12:59:30,1.16,,,,,,
46,05/14/2025 13:00:00,1.11,,,,,,
47,05/14/2025 13:00:30,1.07,,,,,,
48,05/14/2025 13:01:00,1.07,,,,,,
49,05/14/2025 13:01:30,1.07,,,,,,
50,05/14/2025 13:02:00,1.07,,,,,,
51,05/14/2025 13:02:30,1.03,,,,,,
52,05/14/2025 13:03:00,0.98,,,,,,
53,05/14/2025 13:03:30,1.03,,,,,,
54,05/14/2025 13:04:00,1.03,,,,,,
55,05/14/2025 13:04:30,0.98,,,,,,
56,05/14/2025 13:05:00,0.94,,,,,,
57,05/14/2025 13:05:30,0.94,,,,,,
58,05/14/2025 13:06:00,0.94,,,,,,
59,05/14/2025 13:06:30,0.90,,,,,,
60,05/14/2025 13:07:00,0.94,,,,,,
61,05/14/2025 13:07:30,0.94,,,,,,
62,05/14/2025 13:08:00,0.94,,,,,,
63,05/14/2025 13:08:30,0.94,,,,,,
64,05/14/2025 13:09:00,0.98,,,,,,
65,05/14/2025 13:09:30,0.98,,,,,,
66,05/14/2025 13:10:00,0.94,,,,,,
67,05/14/2025 13:10:30,0.98,,,,,,
68,05/14/2025 13:11:00,0.98,,,,,,
69,05/14/2025 13:11:30,0.98,,,,,,
70,05/14/2025 13:12:00,1.03,,,,,,
71,05/14/2025 13:12:30,1.07,,,,,,
72,05/14/2025 13:13:00,1.24,,,,,,
73,05/14/2025 13:13:30,1.28,,,,,,
74,05/14/2025 13:14:00,1.33,,,,,,
75,05/14/2025 13:14:30,1.37,,,,,,
76,05/14/2025 13:15:00,1.46,,,,,,
77,05/14/2025 13:15:30,1.41,,,,,,
78,05/14/2025 13:16:00,1.50,,,,,,
79,05/14/2025 13:16:30,1.50,,,,,,
80,05/14/2025 13:17:00,1.54,,,,,,
81,05/14/2025 13:17:30,1.54,,,,,,
82,05/14/2025 13:18:00,1.50,,,,,,
83,05/14/2025 13:18:30,1.54,,,,,,
84,05/14/2025 13:19:00,1.54,,,,,,
85,05/14/2025 13:19:30,1.54,,,,,,
86,05/14/2025 13:20:00,1.54,,,,,,
87,05/14/2025 13:20:30,1.54,,,,,,
88,05/14/2025 13:21:00,1.54,,,,,,
89,05/14/2025 13:21:30,1.58,,,,,,
90,05/14/2025 13:22:00,1.58,,,,,,
91,05/14/2025 13:22:30,1.63,,,,,,
92,05/14/2025 13:23:00,1.58,,,,,,
93,05/14/2025 13:23:30,1.58,,,,,,
94,05/14/2025 13:24:00,1.63,,,,,,
95,05/14/2025 13:24:30,1.63,,,,,,
