#,Date-Time (PDT),Temperature   (°C),Started,Host Connected,Button Down,Button Up,End of File
1,05/14/2025 12:41:00,21.70,Logged,,,,
2,05/14/2025 12:41:11,,,Logged,,,
3,05/14/2025 12:41:30,21.70,,,,,
4,05/14/2025 12:42:00,21.66,,,,,
5,05/14/2025 12:42:30,21.66,,,,,
6,05/14/2025 12:43:00,21.58,,,,,
7,05/14/2025 12:43:30,21.58,,,,,
8,05/14/2025 12:44:00,21.53,,,,,
9,05/14/2025 12:44:30,21.53,,,,,
10,05/14/2025 12:44:33,,,,Logged,Logged,
11,05/14/2025 12:45:00,21.62,,,,,
12,05/14/2025 12:45:30,21.70,,,,,
13,05/14/2025 12:46:00,21.66,,,,,
14,05/14/2025 12:46:30,21.70,,,,,
15,05/14/2025 12:47:00,19.69,,,,,
16,05/14/2025 12:47:30,15.70,,,,,
17,05/14/2025 12:48:00,12.70,,,,,
18,05/14/2025 12:48:30,10.46,,,,,
19,05/14/2025 12:49:00,8.66,,,,,
20,05/14/2025 12:49:30,7.38,,,,,
21,05/14/2025 12:50:00,6.26,,,,,
22,05/14/2025 12:50:30,5.36,,,,,
23,05/14/2025 12:51:00,4.72,,,,,
24,05/14/2025 12:51:30,4.12,,,,,
25,05/14/2025 12:52:00,3.69,,,,,
26,05/14/2025 12:52:30,3.34,,,,,
27,05/14/2025 12:53:00,3.09,,,,,
28,05/14/2025 12:53:30,2.83,,,,,
29,05/14/2025 12:54:00,2.74,,,,,
30,05/14/2025 12:54:30,2.49,,,,,
31,05/14/2025 12:55:00,2.40,,,,,
32,05/14/2025 12:55:30,2.23,,,,,
33,05/14/2025 12:56:00,2.19,,,,,
34,05/14/2025 12:56:30,2.14,,,,,
35,05/14/2025 12:57:00,2.01,,,,,
36,05/14/2025 12:57:30,1.97,,,,,
37,05/14/2025 12:58:00,1.84,,,,,
38,05/14/2025 12:58:30,1.84,,,,,
39,05/14/2025 12:59:00,1.76,,,,,
40,05/14/2025 12:59:30,1.76,,,,,
41,05/14/2025 13:00:00,1.71,,,,,
42,05/14/2025 13:00:30,1.76,,,,,
43,05/14/2025 13:01:00,1.67,,,,,
44,05/14/2025 13:01:30,1.67,,,,,
45,05/14/2025 13:02:00,1.67,,,,,
46,05/14/2025 13:02:30,1.63,,,,,
47,05/14/2025 13:03:00,1.63,,,,,
48,05/14/2025 13:03:30,1.63,,,,,
49,05/14/2025 13:04:00,1.58,,,,,
50,05/14/2025 13:04:30,1.58,,,,,
51,05/14/2025 13:05:00,1.63,,,,,
52,05/14/2025 13:05:30,1.58,,,,,
53,05/14/2025 13:06:00,1.63,,,,,
54,05/14/2025 13:06:30,1.58,,,,,
55,05/14/2025 13:07:00,1.58,,,,,
56,05/14/2025 13:07:30,1.54,,,,,
57,05/14/2025 13:08:00,1.63,,,,,
58,05/14/2025 13:08:30,1.63,,,,,
59,05/14/2025 13:09:00,1.63,,,,,
60,05/14/2025 13:09:30,1.63,,,,,
61,05/14/2025 13:10:00,1.63,,,,,
62,05/14/2025 13:10:30,1.63,,,,,
63,05/14/2025 13:11:00,1.67,,,,,
64,05/14/2025 13:11:30,1.67,,,,,
65,05/14/2025 13:12:00,1.67,,,,,
66,05/14/2025 13:12:30,1.58,,,,,
67,05/14/2025 13:13:00,1.54,,,,,
68,05/14/2025 13:13:30,1.54,,,,,
