#,Date-Time (AKDT),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,06/29/2024 10:06:39,37.75,16358.40,,,,
2,06/29/2024 10:21:39,38.69,29173.76,,,,
3,06/29/2024 10:36:39,34.10,29184.00,,,,
4,06/29/2024 10:51:39,26.85,26542.08,,,,
5,06/29/2024 11:06:39,31.31,19466.24,,,,
6,06/29/2024 11:21:39,33.59,24657.92,,,,
7,06/29/2024 11:36:39,22.65,18611.20,,,,
8,06/29/2024 11:51:39,19.17,18995.20,,,,
9,06/29/2024 12:06:39,19.56,20613.12,,,,
10,06/29/2024 12:21:39,22.18,21084.16,,,,
11,06/29/2024 12:36:39,27.02,25671.68,,,,
12,06/29/2024 12:51:39,26.90,20208.64,,,,
13,06/29/2024 13:06:39,22.26,22200.32,,,,
14,06/29/2024 13:21:39,17.24,14151.68,,,,
15,06/29/2024 13:36:39,16.30,10478.08,,,,
16,06/29/2024 13:51:39,14.88,8435.20,,,,
17,06/29/2024 14:06:39,13.73,11253.76,,,,
18,06/29/2024 14:21:39,14.28,10024.96,,,,
19,06/29/2024 14:36:39,12.40,7943.68,,,,
20,06/29/2024 14:51:39,11.88,7905.28,,,,
21,06/29/2024 15:06:39,12.44,11950.08,,,,
22,06/29/2024 15:21:39,13.77,15283.20,,,,
23,06/29/2024 15:36:39,13.25,9361.92,,,,
24,06/29/2024 15:51:39,10.34,7331.84,,,,
25,06/29/2024 16:06:39,10.16,6545.92,,,,
26,06/29/2024 16:21:39,10.08,7854.08,,,,
27,06/29/2024 16:36:39,9.26,5184.00,,,,
28,06/29/2024 16:51:39,9.44,7838.72,,,,
29,06/29/2024 17:06:39,9.18,7464.96,,,,
30,06/29/2024 17:21:39,9.14,6832.64,,,,
31,06/29/2024 17:36:39,9.65,7756.80,,,,
32,06/29/2024 17:51:39,10.42,8652.80,,,,
33,06/29/2024 18:06:39,10.81,8202.24,,,,
34,06/29/2024 18:21:39,10.81,7984.64,,,,
