#,Date-Time (AKDT),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,07/18/2024 05:00:00,20.76,29.26,,,,
2,07/18/2024 05:15:00,20.89,7.59,,,,
3,07/18/2024 05:30:00,20.85,0.72,,,,
4,07/18/2024 05:45:00,20.85,0.00,,,,
5,07/18/2024 06:00:00,20.89,0.00,,,,
6,07/18/2024 06:15:00,20.98,0.00,,,,
7,07/18/2024 06:30:00,21.02,0.00,,,,
8,07/18/2024 06:45:00,21.06,0.00,,,,
9,07/18/2024 07:00:00,21.10,0.00,,,,
10,07/18/2024 07:15:00,21.19,0.07,,,,
11,07/18/2024 07:30:00,20.63,0.00,,,,
12,07/18/2024 07:45:00,19.47,0.00,,,,
13,07/18/2024 08:00:00,18.44,0.00,,,,
14,07/18/2024 08:15:00,17.63,0.00,,,,
15,07/18/2024 08:30:00,16.30,0.00,,,,
16,07/18/2024 08:45:00,14.63,0.00,,,,
17,07/18/2024 09:00:00,13.25,0.00,,,,
18,07/18/2024 09:15:00,12.22,0.00,,,,
19,07/18/2024 09:30:00,11.45,0.00,,,,
20,07/18/2024 09:45:00,10.68,0.00,,,,
21,07/18/2024 10:00:00,10.16,0.00,,,,
22,07/18/2024 10:15:00,9.91,0.00,,,,
23,07/18/2024 10:30:00,10.21,0.00,,,,
24,07/18/2024 10:45:00,10.51,0.00,,,,
25,07/18/2024 11:00:00,10.55,0.00,,,,
26,07/18/2024 11:15:00,10.55,0.00,,,,
27,07/18/2024 11:30:00,10.72,0.00,,,,
28,07/18/2024 11:45:00,11.37,0.00,,,,
29,07/18/2024 12:00:00,12.18,0.00,,,,
30,07/18/2024 12:15:00,13.04,0.00,,,,
31,07/18/2024 12:30:00,13.94,0.00,,,,
32,07/18/2024 12:45:00,14.84,0.00,,,,
33,07/18/2024 13:00:00,15.87,0.00,,,,
34,07/18/2024 13:15:00,16.73,0.07,,,,
35,07/18/2024 13:30:00,17.54,0.07,,,,
36,07/18/2024 13:45:00,18.27,0.07,,,,
37,07/18/2024 14:00:00,19.00,0.50,,,,
38,07/18/2024 14:15:00,21.10,0.36,,,,
39,07/18/2024 14:30:00,22.35,0.21,,,,
40,07/18/2024 14:45:00,23.08,0.28,,,,
