"Plot Title: 22008796"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 22008796, SEN S/N: 22008796)","Coupler Detached (LGR S/N: 22008796, SEN S/N: 22008796)","Coupler Attached (LGR S/N: 22008796, SEN S/N: 22008796)","Host Connected (LGR S/N: 22008796, SEN S/N: 22008796)","Stopped (LGR S/N: 22008796, SEN S/N: 22008796)","End Of File (LGR S/N: 22008796, SEN S/N: 22008796)"
1,07/11/24 12:24:24 PM,55.884,,,,,
2,07/11/24 12:25:40 PM,,Logged,,,,
3,07/11/24 12:39:24 PM,55.537,,,,,
4,07/11/24 12:54:24 PM,50.995,,,,,
5,07/11/24 01:09:24 PM,50.113,,,,,
6,07/11/24 01:24:24 PM,49.937,,,,,
7,07/11/24 01:39:24 PM,49.228,,,,,
8,07/11/24 01:54:24 PM,49.228,,,,,
9,07/11/24 02:09:24 PM,49.937,,,,,
10,07/11/24 02:24:24 PM,50.819,,,,,
11,07/11/24 02:39:24 PM,53.623,,,,,
12,07/11/24 02:54:24 PM,53.973,,,,,
13,07/11/24 03:09:24 PM,54.147,,,,,
14,07/11/24 03:24:24 PM,52.750,,,,,
15,07/11/24 03:39:24 PM,52.401,,,,,
16,07/11/24 03:54:24 PM,51.523,,,,,
17,07/11/24 04:09:24 PM,52.401,,,,,
18,07/11/24 04:24:24 PM,52.401,,,,,
19,07/11/24 04:39:24 PM,53.798,,,,,
20,07/11/24 04:54:24 PM,53.798,,,,,
21,07/11/24 05:09:24 PM,52.925,,,,,
22,07/11/24 05:24:24 PM,50.819,,,,,
23,07/11/24 05:39:24 PM,47.982,,,,,
24,07/11/24 05:54:24 PM,47.446,,,,,
25,07/11/24 06:09:24 PM,47.982,,,,,
26,07/11/24 06:24:24 PM,47.088,,,,,
27,07/11/24 06:39:24 PM,45.648,,,,,
28,07/11/24 06:54:24 PM,44.195,,,,,
29,07/11/24 07:09:24 PM,44.379,,,,,
30,07/11/24 07:24:24 PM,44.742,,,,,
31,07/11/24 07:39:24 PM,44.379,,,,,
32,07/11/24 07:54:24 PM,43.282,,,,,
33,07/11/24 08:09:24 PM,42.179,,,,,
34,07/11/24 08:24:24 PM,41.994,,,,,
35,07/11/24 08:39:24 PM,41.439,,,,,
36,07/11/24 08:54:24 PM,41.254,,,,,
37,07/11/24 09:09:24 PM,41.439,,,,,
38,07/11/24 09:24:24 PM,41.625,,,,,
39,07/11/24 09:39:24 PM,41.625,,,,,
40,07/11/24 09:54:24 PM,40.881,,,,,
41,07/11/24 10:09:24 PM,41.254,,,,,
42,07/11/24 10:24:24 PM,41.067,,,,,
43,07/11/24 10:39:24 PM,41.254,,,,,
44,07/11/24 10:54:24 PM,41.067,,,,,
45,07/11/24 11:09:24 PM,40.881,,,,,
46,07/11/24 11:24:24 PM,40.881,,,,,
47,07/11/24 11:39:24 PM,41.067,,,,,
48,07/11/24 11:54:24 PM,40.881,,,,,
49,07/12/24 12:09:24 AM,40.881,,,,,
50,07/12/24 12:24:24 AM,41.067,,,,,
51,07/12/24 12:39:24 AM,41.067,,,,,
52,07/12/24 12:54:24 AM,40.881,,,,,
53,07/12/24 01:09:24 AM,40.881,,,,,
54,07/12/24 01:24:24 AM,40.881,,,,,
55,07/12/24 01:39:24 AM,40.881,,,,,
56,07/12/24 01:54:24 AM,40.696,,,,,
57,07/12/24 02:09:24 AM,40.881,,,,,
58,07/12/24 02:24:24 AM,40.881,,,,,
59,07/12/24 02:39:24 AM,41.067,,,,,
60,07/12/24 02:54:24 AM,40.881,,,,,
61,07/12/24 03:09:24 AM,40.696,,,,,
62,07/12/24 03:24:24 AM,40.881,,,,,
63,07/12/24 03:39:24 AM,40.881,,,,,
