"Plot Title: 20422703"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20422703, SEN S/N: 20422703)","Host Connected (LGR S/N: 20422703, SEN S/N: 20422703)","Coupler Detached (LGR S/N: 20422703, SEN S/N: 20422703)","Bad Battery (LGR S/N: 20422703, SEN S/N: 20422703)","End Of File (LGR S/N: 20422703, SEN S/N: 20422703)"
1,07/11/24 12:07:06 PM,54.842,,,,
2,07/11/24 12:07:38 PM,,Logged,,,
3,07/11/24 12:07:50 PM,,,Logged,,
4,07/11/24 12:22:06 PM,54.147,,,,
5,07/11/24 12:37:06 PM,50.643,,,,
6,07/11/24 12:52:06 PM,49.937,,,,
7,07/11/24 01:07:06 PM,49.759,,,,
8,07/11/24 01:22:06 PM,50.290,,,,
9,07/11/24 01:37:06 PM,50.113,,,,
10,07/11/24 01:52:06 PM,50.113,,,,
11,07/11/24 02:07:06 PM,50.113,,,,
12,07/11/24 02:22:06 PM,48.339,,,,
13,07/11/24 02:37:06 PM,49.937,,,,
14,07/11/24 02:52:06 PM,49.759,,,,
15,07/11/24 03:07:06 PM,49.759,,,,
16,07/11/24 03:22:06 PM,47.266,,,,
17,07/11/24 03:37:06 PM,48.517,,,,
18,07/11/24 03:52:06 PM,46.548,,,,
19,07/11/24 04:07:06 PM,47.446,,,,
20,07/11/24 04:22:06 PM,46.188,,,,
21,07/11/24 04:37:06 PM,47.266,,,,
22,07/11/24 04:52:06 PM,47.624,,,,
23,07/11/24 05:07:06 PM,46.008,,,,
24,07/11/24 05:22:06 PM,44.560,,,,
25,07/11/24 05:37:06 PM,43.282,,,,
26,07/11/24 05:52:06 PM,42.548,,,,
27,07/11/24 06:07:06 PM,42.915,,,,
28,07/11/24 06:22:06 PM,41.994,,,,
29,07/11/24 06:37:06 PM,41.625,,,,
30,07/11/24 06:52:06 PM,40.881,,,,
31,07/11/24 07:07:06 PM,40.134,,,,
32,07/11/24 07:22:06 PM,39.947,,,,
33,07/11/24 07:37:06 PM,39.760,,,,
34,07/11/24 07:52:06 PM,39.760,,,,
35,07/11/24 08:07:06 PM,39.384,,,,
36,07/11/24 08:22:06 PM,38.818,,,,
37,07/11/24 08:37:06 PM,38.629,,,,
38,07/11/24 08:52:06 PM,38.440,,,,
39,07/11/24 09:07:06 PM,38.629,,,,
40,07/11/24 09:22:06 PM,38.440,,,,
41,07/11/24 09:37:06 PM,38.629,,,,
42,07/11/24 09:52:06 PM,38.629,,,,
43,07/11/24 10:07:06 PM,38.440,,,,
