site,latitude,longitude,site_elevation,deploy_date,deploy_time,pickup_date,pickup_time,abl_initial_cm,abl_final_cm,height_change,anchor_melted_out,base_melted_in,wx_notes,sfc_notes,sun_cup_long_ax_lens_cm,wind_dir_offset_deg,pickup_notes,notes,retrieved_by,photos_by,approx_elev
A01,58.60366,-134.17993,982,6/20/25,15:45,7/18/25,15:44,81,201,120,FALSE,FALSE,"Blue sky, sunny, light breeze","Sun cups, melt runnels","55.9,38.1,35.6",,Anchor only 30 cm below sfc. Tilted towards NE. SE base pole melted out 20cm. N-S facing loose [base] pole shifted towards N,,Christina,Christina,TRUE
A02,58.63437,-134.23695,1109,6/11/25,16:50,7/18/25,17:26,,,0,FALSE,TRUE,"Sunny, blue sky, some low clouds rolling in.",Lots of small sun cups,"33, 30, 39",,Based melted in towards NE ~30 cm. Thicker side of pole melted in.,,Christina,Christina,TRUE
A03,58.6563,-134.27822,1196,6/21/25,18:30,7/18/25,16:25,,,0,FALSE,TRUE,"Sunny, blue sky","Small sun cups, no wind","32,25,36",,Tilted towards S ~ 30 deg. Both N facing poles melted out and approx 15 cm above sfc.,Anchor only 30 cm below sfc. Base melted in tilted towards the south,Christina,Christina,TRUE
A04,58.66958,-134.3067,1237,6/21/25,18:00,7/27/25,14:55,,,0,FALSE,FALSE,"Sunny, blue sky",Small sun cups,"30, 42,50",,Station remained straight up,,Greg,Greg,TRUE
A05,58.69179,-134.26079,1300,6/16/25,17:50,7/27/25,15:16,,,0,FALSE,FALSE,"Sunny, blue sky",Small sun cups,"30, 42,50",,Station remained straight up,,Greg,Greg,TRUE
A06,58.7693,-134.19497,1544,6/16/25,16:49,8/2/25,14:16,,,0,FALSE,FALSE,"partly sunny, many medium height clouds, some low clouds","flat surface, many small-medium suncups","35,40,40",,"stand slightly tilted, not melted in",,Francis,Francis,TRUE
A07,58.83711,-134.16882,1825,6/17/25,19:20,7/30/25,16:51,,,0,FALSE,FALSE,"Overcast, light precip plus occasional sun","Flat, shallow sun cups","20,30,25",,Measured sensor heights ~4 cm below nominal. Some damage on 100 cm sensor shielding,In AK time,Christina + Ali,Ali,TRUE
A08,58.90988,-134.10559,1767,6/17/25,19:35,7/28/25,16:28,,,0,FALSE,FALSE,"Sunny, blue sky, light breeze",Lots of sun cups,"23,32,16",,Anchor 30 cm below sfc. Anchor bamboo broken.,,Christina + Margo,Christina,TRUE
A10,58.99744,-134.11973,1476,6/17/25,16:15,8/8/25,00:00,,,0,,,,,,,,approx pickup datetime,,,TRUE
B01,58.57443,-134.25014,1097,6/20/25,14:20,7/6/25,19:16,,,0,FALSE,FALSE,"Cloudy, light wind","Some wind blown snow, relatively flat. Smaller sun cups",30,,Wx station in great condition. some slight wear on foil over senors (in photos). no ablation stake,,Scott Braddock,Scott Braddock,TRUE
B02,58.53802,-134.2998,1212,6/12/25,17:07,7/6/25,18:45,0,95.8,95.8,FALSE,FALSE,"Cloudy, light wind","Relatively flat, small sun cups","35,34,38",,Wx station in great condition. Anchor melted down 62.5 cm. ,,Scott Braddock,Scott Braddock,TRUE
B03,58.5024,-134.33709,1209,6/12/25,16:45,7/6/25,18:04,100,236.5,136.5,FALSE,FALSE,"Very cloudy, very low vis","Relatively flat, small sun cups, site near crevasse (~1m from crack)","36,32,45",,Wx station in great condition. Sensors looked great. Base station sitting well on surface and ablation stake still verticle.,Initial ablation stake height is approx -- missing notes.,Scott Braddock,Scott Braddock,TRUE
C02,58.62039,-134.31916,1237,6/20/25,17:10,7/14/25,16:07,79,165.5,86.5,FALSE,FALSE,"Partial clouds, light wind","relatively flat sun cups, wet snow",40,,10 degree tilt w/ sensors towards C-10 (east),,Francis + Margo,Francis,TRUE
D01,58.68831,-134.38218,1333,6/21/25,17:20,7/17/25,12:41,6,117,111,TRUE,FALSE,"Partly cloudy, sunny",Small sun cups,"38.1, 30.48, 38.1",,Base stand pole towards south 15 cm above surface,,Christina,Christina,TRUE
D02,58.68347,-134.44378,1406,6/21/25,13:25,7/16/25,14:41,20,116,96,FALSE,FALSE,"High clouds, no precip, no wind",A little bit of sun cupping,"22,35.5,28",,Small tilt towards west. Base melted in a bit towards west. East base pole ~15 cm above snowpack.,Sun cup inches converted to cm,Christina,Christina,TRUE
D04,58.64266,-134.54149,1564,6/21/25,12:25,7/16/25,13:17,20,104,84,FALSE,FALSE,"High clouds, no precip, no wind","flat, tiny suncups",25.4,,Small tilt towards SE. Pic with snowmachine for scale,Sun cup inches converted to cm,Christina,Christina,TRUE
E01,58.633,-134.41981,1477,6/21/25,16:35,7/16/25,21:30,16,109,93,FALSE,TRUE,"Evening sun, partly cloudly, light winds, no precip.",Sun cups but not deep. Small but many.,"38.1,30.5,28.0",,NE facing base pole melted in slightly. Slightly tilted to the north. Dead fly at base.,,Christina,Christina,TRUE
E03,58.57856,-134.41147,1595,6/21/25,15:25,7/16/25,16:58,,,0,FALSE,TRUE,"High clouds, no precip, no wind","Flat, very shallow suncups",12.7,,"Base melted in 15 cm to the west. Tilted a little bit to the NW. W base poles ~15 cm melted in, E pole 5 cm above surface.",Sun cup inches converted to cm,Christina,Christina,TRUE
E04,58.53996,-134.39298,1584,6/21/25,14:45,7/16/25,16:15,,,0,FALSE,TRUE,"High clouds, no precip, no wind","Flat, soft snow (I sink in more than at the other sites, ~20 cm). No sun cups",0,,"Based melted in 15 cm. Sensor pole pretty straight. Anchor only 30 cm buried, was able to recover everything",,Christina,Christina,TRUE
F03,58.82171,-134.21209,1782,6/22/25,11:45,7/26/25,11:59,,,0,FALSE,TRUE,"Sunny, some high clouds","Very low slope angle, nearly flat/slight tilt to sensor. Some med sun cups.","27,29,29",,Anchor 368 cm to surf. Base melted in ~4 cm.,Approx pickup time. Sometime after F05?,Francis,Francis,TRUE
F05,58.81264,-134.16386,1793,6/22/25,12:20,7/26/25,13:28,,,0,FALSE,TRUE,"Sunny, light wind, some high clouds","Relatively flat null on mathes main branch. Some sun cups, varied size","22, 40, 28",,Anchor 151 cm to surf. Base melted in slightly ~10 cm.,,Francis,Francis,TRUE
F06,58.80668,-134.14089,1983,6/22/25,15:00,7/26/25,12:51,,,0,FALSE,FALSE,"Sunny, light wind, some high clouds","Slight lsope angle (~10 deg). Beginnings of small sun cups, near C8 nunatack","18, 19,28,23",,,,Francis,Francis,TRUE
G01,58.62173,-134.26298,1128,6/22/25,18:30,7/18/25,16:57,,,0,FALSE,TRUE,"Sunny, blue sky, light breeze",Small sun cups,"36, 37, 33",,"Base melted in towards N, NE",,Christina,Christina,TRUE
G02,58.62827,-134.25018,1125,6/22/25,18:50,7/18/25,17:16,,,0,FALSE,TRUE,"Sunny, blue sky, light breeze",Lots of small sun cups,"33, 39, 37",,All 4 base poles melted in ~10-15 cm. Stake straight up [no tilt].,,Christina,Christina,TRUE
G03,58.64256,-134.22363,1110,6/23/25,05:30,7/18/25,17:42,,,0,TRUE,TRUE,"Blue sky, sunny, some low clouds rolling in",Lots of small sun cups,"25, 39, 31",,"Base melted in towards S. 100 cm sensors different [from normal], 2 sensors","Field notebook page is labelled A02, but notes 2 sensors at the 1m level,. Which makes this G03.",Christina,Wilder,TRUE
G04,58.65039,-134.21077,1091,6/23/25,05:15:00,7/18/25,18:00,,,0,FALSE,TRUE,"Sunny, blue sky, no wind",Some huge sun cups with red algae,"113, 57,45",,Base melted in towards SW. Thicker poles again melted in more ~30cm. Full anchor retrieved.,"No pickup time listed, approx time used. Page labelled G03, but actually G04 because the G03 page was labelled A02, and G04 and G03 were swapped on the sensor bag labels.",Christina,Wilder,TRUE
Lee1,58.93683,-134.10061,1701,6/17/25,19:00,7/28/25,16:22,62,202,140,FALSE,FALSE,"Blue sky, sunny, light breeze",Lots of sun cups,"36,27,39",18,[Sensor pole] straight up. Bracket direction 336 NW. Wind direction 205 SW @ 16:32 (canada time?).,What timezone?,Christina + Margo,Christina,
