Date Time,Temp (°F) LGR S/N: 22133650 c:1,Button Down LGR S/N: 22133650,Button Up LGR S/N: 22133650,Host Connected LGR S/N: 22133650,End Of File LGR S/N: 22133650
06/11/25 16:02:06,41.34,,,,
06/11/25 16:03:06,41.26,,,,
06/11/25 16:04:06,41.18,,,,
06/11/25 16:05:06,41.03,,,,
06/11/25 16:06:06,41.03,,,,
06/11/25 16:07:06,40.88,,,,
06/11/25 16:08:06,40.88,,,,
06/11/25 16:09:06,40.80,,,,
06/11/25 16:10:06,40.64,,,,
06/11/25 16:11:06,40.64,,,,
06/11/25 16:12:06,40.57,,,,
06/11/25 16:13:06,40.41,,,,
06/11/25 16:14:06,40.33,,,,
06/11/25 16:15:06,40.33,,,,
06/11/25 16:16:06,40.18,,,,
06/11/25 16:17:06,40.10,,,,
06/11/25 16:18:06,40.03,,,,
06/11/25 16:19:06,39.87,,,,
06/11/25 16:20:06,39.64,,,,
06/11/25 16:21:06,39.49,,,,
06/11/25 16:22:06,39.41,,,,
06/11/25 16:23:06,39.33,,,,
06/11/25 16:24:06,39.33,,,,
06/11/25 16:25:06,39.25,,,,
06/11/25 16:26:06,39.02,,,,
06/11/25 16:27:06,38.94,,,,
06/11/25 16:28:06,38.79,,,,
06/11/25 16:29:06,38.79,,,,
06/11/25 16:30:06,38.64,,,,
06/11/25 16:31:06,38.56,,,,
06/11/25 16:32:06,38.48,,,,
06/11/25 16:33:06,38.40,,,,
06/11/25 16:34:06,38.33,,,,
06/11/25 16:35:06,38.25,,,,
06/11/25 16:36:06,38.33,,,,
06/11/25 16:37:06,38.25,,,,
06/11/25 16:38:06,38.33,,,,
06/11/25 16:39:06,38.40,,,,
06/11/25 16:40:06,38.64,,,,
06/11/25 16:41:06,38.79,,,,
06/11/25 16:42:06,38.87,,,,
06/11/25 16:43:06,38.87,,,,
06/11/25 16:44:06,39.02,,,,
06/11/25 16:45:06,39.10,,,,
06/11/25 16:46:06,39.10,,,,
06/11/25 16:47:06,39.02,,,,
06/11/25 16:48:06,39.02,,,,
06/11/25 16:49:06,39.10,,,,
06/11/25 16:50:06,39.18,,,,
06/11/25 16:51:06,39.18,,,,
06/11/25 16:52:06,39.10,,,,
06/11/25 16:53:06,39.10,,,,
06/11/25 16:54:06,38.94,,,,
06/11/25 16:55:06,38.94,,,,
06/11/25 16:56:06,38.94,,,,
06/11/25 16:57:06,38.94,,,,
06/11/25 16:58:06,38.87,,,,
06/11/25 16:59:06,38.79,,,,
06/11/25 17:00:06,38.56,,,,
06/11/25 17:01:06,38.48,,,,
06/11/25 17:02:06,38.48,,,,
06/11/25 17:03:06,38.33,,,,
06/11/25 17:04:06,38.33,,,,
06/11/25 17:05:06,38.17,,,,
06/11/25 17:06:06,38.17,,,,
06/11/25 17:07:06,38.33,,,,
06/11/25 17:08:06,38.25,,,,
06/11/25 17:09:06,38.40,,,,
06/11/25 17:10:06,38.40,,,,
06/11/25 17:11:06,38.40,,,,
06/11/25 17:12:06,38.33,,,,
06/11/25 17:13:06,38.40,,,,
06/11/25 17:14:06,38.48,,,,
06/11/25 17:15:06,38.48,,,,
06/11/25 17:16:06,38.56,,,,
06/11/25 17:17:06,38.64,,,,
06/11/25 17:18:06,38.56,,,,
06/11/25 17:19:06,38.48,,,,
06/11/25 17:20:06,38.40,,,,
06/11/25 17:21:06,38.33,,,,
06/11/25 17:22:06,38.33,,,,
06/11/25 17:23:06,38.33,,,,
06/11/25 17:24:06,38.25,,,,
06/11/25 17:25:06,38.25,,,,
06/11/25 17:26:06,38.33,,,,
06/11/25 17:27:06,38.40,,,,
06/11/25 17:28:06,38.40,,,,
06/11/25 17:29:06,38.40,,,,
06/11/25 17:30:06,38.40,,,,
06/11/25 17:31:06,38.40,,,,
06/11/25 17:32:06,38.40,,,,
06/11/25 17:33:06,38.40,,,,
06/11/25 17:34:06,38.10,,,,
06/11/25 17:35:06,37.94,,,,
