Date Time,Temp (°F) LGR S/N: 10568651 c:1,Intensity (lum/ft²) LGR S/N: 10568651 c:2,End Of File LGR S/N: 10568651
06/15/25 09:00:00,64.310,0.0,
06/15/25 09:05:00,63.455,0.0,
06/15/25 09:10:00,62.425,0.0,
06/15/25 09:15:00,61.398,0.0,
06/15/25 09:20:00,60.539,0.0,
06/15/25 09:25:00,59.680,0.0,
06/15/25 09:30:00,58.820,0.0,
06/15/25 09:35:00,57.958,0.0,
06/15/25 09:40:00,57.268,0.0,
06/15/25 09:45:00,56.577,0.0,
06/15/25 09:50:00,55.884,0.0,
06/15/25 09:55:00,55.189,0.0,
06/15/25 10:00:00,54.669,0.0,
06/15/25 10:05:00,54.147,0.0,
06/15/25 10:10:00,53.449,0.0,
06/15/25 10:15:00,53.100,0.0,
06/15/25 10:20:00,52.576,0.0,
06/15/25 10:25:00,52.225,0.0,
06/15/25 10:30:00,51.874,0.0,
06/15/25 10:35:00,51.523,0.0,
06/15/25 10:40:00,51.172,0.0,
06/15/25 10:45:00,50.819,0.0,
06/15/25 10:50:00,50.466,0.0,
06/15/25 10:55:00,50.113,0.0,
06/15/25 11:00:00,49.759,0.0,
06/15/25 11:05:00,49.759,992.0,
06/15/25 11:10:00,59.851,1984.0,
06/15/25 11:15:00,74.446,2304.0,
06/15/25 11:20:00,86.277,2304.0,
06/15/25 11:25:00,85.194,19456.0,
06/15/25 11:30:00,86.277,19456.0,
06/15/25 11:35:00,85.735,19456.0,
06/15/25 11:40:00,87.733,19456.0,
06/15/25 11:45:00,89.017,19456.0,
06/15/25 11:50:00,87.915,19456.0,
06/15/25 11:55:00,85.194,19456.0,
06/15/25 12:00:00,83.579,19456.0,
06/15/25 12:05:00,83.579,19456.0,
06/15/25 12:10:00,83.579,19456.0,
06/15/25 12:15:00,85.194,19456.0,
06/15/25 12:20:00,85.915,19456.0,
06/15/25 12:25:00,87.004,19456.0,
06/15/25 12:30:00,87.552,19456.0,
06/15/25 12:35:00,88.650,19456.0,
06/15/25 12:40:00,93.682,19456.0,
06/15/25 12:45:00,83.935,19456.0,
06/15/25 12:50:00,85.014,19456.0,
06/15/25 12:55:00,84.474,19456.0,
06/15/25 13:00:00,82.508,19456.0,
06/15/25 13:05:00,81.797,19456.0,
06/15/25 13:10:00,79.853,19456.0,
06/15/25 13:15:00,78.098,19456.0,
06/15/25 13:20:00,78.624,18432.0,
06/15/25 13:25:00,81.090,18432.0,
06/15/25 13:30:00,80.911,18432.0,
06/15/25 13:35:00,80.382,18432.0,
06/15/25 13:40:00,80.911,18432.0,
06/15/25 13:45:00,82.864,18432.0,
06/15/25 13:50:00,72.891,1088.0,
06/15/25 13:55:00,57.268,97.0,
06/15/25 14:00:00,57.096,93.0,
06/15/25 14:05:00,57.096,101.0,
06/15/25 14:10:00,56.923,96.0,
