Date Time,Temp (°F) LGR S/N: 22133660 c:1,Button Down LGR S/N: 22133660,Button Up LGR S/N: 22133660,Host Connected LGR S/N: 22133660,End Of File LGR S/N: 22133660
06/16/25 16:50:00,32.69,,,,
06/16/25 16:55:00,32.69,,,,
06/16/25 17:00:00,32.69,,,,
06/16/25 17:05:00,32.46,,,,
06/16/25 17:10:00,32.38,,,,
06/16/25 17:15:00,32.23,,,,
06/16/25 17:20:00,32.23,,,,
06/16/25 17:25:00,32.23,,,,
06/16/25 17:30:00,32.23,,,,
06/16/25 17:35:00,33.46,,,,
06/16/25 17:40:00,33.54,,,,
06/16/25 17:45:00,32.69,,,,
06/16/25 17:50:00,32.69,,,,
06/16/25 17:55:00,31.38,,,,
06/16/25 18:00:00,30.61,,,,
06/16/25 18:05:00,31.76,,,,
06/16/25 18:10:00,31.38,,,,
06/16/25 18:15:00,20.72,,,,
06/16/25 18:20:00,21.57,,,,
06/16/25 18:25:00,25.20,,,,
06/16/25 18:30:00,31.45,,,,
06/16/25 18:35:00,33.00,,,,
06/16/25 18:40:00,34.08,,,,
06/16/25 18:45:00,33.77,,,,
06/16/25 18:50:00,36.01,,,,
06/16/25 18:55:00,36.24,,,,
06/16/25 19:00:00,37.01,,,,
06/16/25 19:05:00,37.71,,,,
06/16/25 19:10:00,38.25,,,,
06/16/25 19:15:00,38.40,,,,
06/16/25 19:20:00,38.02,,,,
06/16/25 19:25:00,37.63,,,,
06/16/25 19:30:00,37.17,,,,
06/16/25 19:35:00,36.63,,,,
06/16/25 19:40:00,37.48,,,,
06/16/25 19:45:00,37.55,,,,
06/16/25 19:50:00,37.55,,,,
06/16/25 19:55:00,38.56,,,,
06/16/25 20:00:00,37.94,,,,
06/16/25 20:05:00,37.32,,,,
06/16/25 20:10:00,37.32,,,,
06/16/25 20:15:00,39.49,,,,
06/16/25 20:20:00,40.57,,,,
06/16/25 20:25:00,41.03,,,,
06/16/25 20:30:00,41.96,,,,
06/16/25 20:35:00,42.03,,,,
06/16/25 20:40:00,42.57,,,,
06/16/25 20:45:00,43.58,,,,
06/16/25 20:50:00,43.58,,,,
06/16/25 20:55:00,44.35,,,,
06/16/25 21:00:00,45.05,,,,
06/16/25 21:05:00,44.74,,,,
06/16/25 21:10:00,44.50,,,,
06/16/25 21:15:00,44.43,,,,
06/16/25 21:20:00,44.89,,,,
06/16/25 21:25:00,45.12,,,,
06/16/25 21:30:00,45.12,,,,
06/16/25 21:35:00,45.28,,,,
06/16/25 21:40:00,45.74,,,,
06/16/25 21:45:00,45.74,,,,
06/16/25 21:50:00,45.51,,,,
06/16/25 21:55:00,45.51,,,,
06/16/25 22:00:00,45.59,,,,
06/16/25 22:05:00,46.51,,,,
06/16/25 22:10:00,46.59,,,,
06/16/25 22:15:00,48.13,,,,
06/16/25 22:20:00,48.21,,,,
06/16/25 22:25:00,47.67,,,,
06/16/25 22:30:00,47.21,,,,
06/16/25 22:35:00,47.05,,,,
06/16/25 22:40:00,46.98,,,,
06/16/25 22:45:00,47.21,,,,
06/16/25 22:50:00,47.21,,,,
06/16/25 22:55:00,48.06,,,,
06/16/25 23:00:00,47.98,,,,
06/16/25 23:05:00,48.44,,,,
06/16/25 23:10:00,48.37,,,,
06/16/25 23:15:00,47.36,,,,
06/16/25 23:20:00,48.67,,,,
06/16/25 23:25:00,49.29,,,,
06/16/25 23:30:00,49.99,,,,
06/16/25 23:35:00,50.14,,,,
06/16/25 23:40:00,50.99,,,,
06/16/25 23:45:00,51.07,,,,
06/16/25 23:50:00,50.37,,,,
06/16/25 23:55:00,47.83,,,,
06/17/25 00:00:00,47.13,,,,
06/17/25 00:05:00,46.82,,,,
06/17/25 00:10:00,44.97,,,,
06/17/25 00:15:00,44.35,,,,
06/17/25 00:20:00,44.58,,,,
06/17/25 00:25:00,43.42,,,,
06/17/25 00:30:00,44.35,,,,
06/17/25 00:35:00,43.66,,,,
06/17/25 00:40:00,43.81,,,,
06/17/25 00:45:00,42.34,,,,
06/17/25 00:50:00,42.73,,,,
06/17/25 00:55:00,44.50,,,,
06/17/25 01:00:00,45.05,,,,
06/17/25 01:05:00,45.12,,,,
06/17/25 01:10:00,44.35,,,,
06/17/25 01:15:00,42.50,,,,
06/17/25 01:20:00,41.42,,,,
06/17/25 01:25:00,41.80,,,,
06/17/25 01:30:00,42.73,,,,
06/17/25 01:35:00,42.34,,,,
06/17/25 01:40:00,43.50,,,,
06/17/25 01:45:00,41.96,,,,
06/17/25 01:50:00,41.88,,,,
06/17/25 01:55:00,41.11,,,,
06/17/25 02:00:00,41.65,,,,
06/17/25 02:05:00,42.03,,,,
06/17/25 02:10:00,42.42,,,,
06/17/25 02:15:00,43.04,,,,
06/17/25 02:20:00,43.50,,,,
06/17/25 02:25:00,45.59,,,,
06/17/25 02:30:00,41.88,,,,
06/17/25 02:35:00,40.03,,,,
06/17/25 02:40:00,38.56,,,,
06/17/25 02:45:00,39.49,,,,
06/17/25 02:50:00,39.18,,,,
06/17/25 02:55:00,38.48,,,,
06/17/25 03:00:00,38.40,,,,
06/17/25 03:05:00,39.72,,,,
06/17/25 03:10:00,41.65,,,,
06/17/25 03:15:00,42.96,,,,
06/17/25 03:20:00,41.18,,,,
06/17/25 03:25:00,40.03,,,,
06/17/25 03:30:00,39.49,,,,
06/17/25 03:35:00,38.10,,,,
06/17/25 03:40:00,39.41,,,,
06/17/25 03:45:00,39.87,,,,
06/17/25 03:50:00,39.02,,,,
06/17/25 03:55:00,38.02,,,,
06/17/25 04:00:00,37.55,,,,
06/17/25 04:05:00,39.25,,,,
06/17/25 04:10:00,39.25,,,,
06/17/25 04:15:00,39.49,,,,
06/17/25 04:20:00,38.94,,,,
06/17/25 04:25:00,38.48,,,,
06/17/25 04:30:00,37.48,,,,
06/17/25 04:35:00,37.63,,,,
06/17/25 04:40:00,38.02,,,,
06/17/25 04:45:00,38.17,,,,
06/17/25 04:50:00,38.94,,,,
06/17/25 04:55:00,38.40,,,,
06/17/25 05:00:00,37.32,,,,
06/17/25 05:05:00,37.48,,,,
06/17/25 05:10:00,37.79,,,,
06/17/25 05:15:00,40.49,,,,
06/17/25 05:20:00,43.42,,,,
06/17/25 05:25:00,44.58,,,,
06/17/25 05:30:00,44.89,,,,
06/17/25 05:35:00,43.96,,,,
06/17/25 05:40:00,44.50,,,,
06/17/25 05:45:00,44.97,,,,
06/17/25 05:50:00,44.89,,,,
06/17/25 05:55:00,43.96,,,,
06/17/25 06:00:00,41.72,,,,
06/17/25 06:05:00,41.42,,,,
06/17/25 06:10:00,40.72,,,,
06/17/25 06:15:00,42.42,,,,
06/17/25 06:20:00,43.11,,,,
06/17/25 06:25:00,41.72,,,,
06/17/25 06:30:00,39.87,,,,
06/17/25 06:35:00,39.64,,,,
06/17/25 06:40:00,39.95,,,,
06/17/25 06:45:00,39.95,,,,
06/17/25 06:50:00,40.03,,,,
06/17/25 06:55:00,38.94,,,,
06/17/25 07:00:00,38.17,,,,
06/17/25 07:05:00,40.03,,,,
06/17/25 07:10:00,41.88,,,,
06/17/25 07:15:00,39.56,,,,
06/17/25 07:20:00,40.88,,,,
06/17/25 07:25:00,41.34,,,,
06/17/25 07:30:00,40.33,,,,
06/17/25 07:35:00,41.11,,,,
06/17/25 07:40:00,42.34,,,,
06/17/25 07:45:00,42.03,,,,
06/17/25 07:50:00,41.88,,,,
06/17/25 07:55:00,41.03,,,,
