Date Time,Temp (°F) LGR S/N: 10568642 c:1,Intensity (lum/ft²) LGR S/N: 10568642 c:2,Bad Battery LGR S/N: 10568642,End Of File LGR S/N: 10568642
06/15/25 09:00:00,60.024,0.0,,
06/15/25 09:05:00,59.337,0.0,,
06/15/25 09:10:00,58.476,0.0,,
06/15/25 09:15:00,57.785,0.0,,
06/15/25 09:20:00,57.268,0.0,,
06/15/25 09:25:00,56.577,0.0,,
06/15/25 09:30:00,55.884,0.0,,
06/15/25 09:35:00,55.364,0.0,,
06/15/25 09:40:00,54.669,0.0,,
06/15/25 09:45:00,54.147,0.0,,
06/15/25 09:50:00,53.623,0.0,,
06/15/25 09:55:00,53.100,0.0,,
06/15/25 10:00:00,52.750,0.0,,
06/15/25 10:05:00,52.401,0.0,,
06/15/25 10:10:00,51.874,0.0,,
06/15/25 10:15:00,51.523,0.0,,
06/15/25 10:20:00,51.172,0.0,,
06/15/25 10:25:00,50.819,0.0,,
06/15/25 10:30:00,50.643,0.0,,
06/15/25 10:35:00,50.290,0.0,,
06/15/25 10:40:00,50.113,0.0,,
06/15/25 10:45:00,49.759,0.0,,
06/15/25 10:50:00,49.582,0.0,,
06/15/25 10:55:00,49.228,0.0,,
06/15/25 11:00:00,49.050,0.0,,
06/15/25 11:05:00,49.404,6400.0,,
06/15/25 11:10:00,70.995,8704.0,,
06/15/25 11:15:00,90.124,8704.0,,
06/15/25 11:20:00,101.685,8192.0,,
06/15/25 11:25:00,108.322,6912.0,,
06/15/25 11:30:00,110.919,6912.0,,
06/15/25 11:35:00,95.590,2816.0,,
06/15/25 11:40:00,79.151,0.0,,
06/15/25 11:45:00,67.221,0.0,,
06/15/25 11:50:00,60.024,0.0,,
06/15/25 11:55:00,55.537,0.0,,
06/15/25 12:00:00,52.401,0.0,,
06/15/25 12:05:00,50.290,0.0,,
06/15/25 12:10:00,48.695,0.0,,
06/15/25 12:15:00,47.624,0.0,,
06/15/25 12:20:00,46.728,0.0,,
06/15/25 12:25:00,46.188,0.0,,
06/15/25 12:30:00,45.648,0.0,,
06/15/25 12:35:00,45.286,0.0,,
06/15/25 12:40:00,45.104,0.0,,
06/15/25 12:45:00,44.742,0.0,,
06/15/25 12:50:00,44.560,0.0,,
06/15/25 12:55:00,44.379,0.0,,
06/15/25 13:00:00,44.379,0.0,,
06/15/25 13:05:00,44.195,0.0,,
06/15/25 13:10:00,44.195,0.0,,
06/15/25 13:15:00,44.013,0.0,,
06/15/25 13:20:00,44.013,0.0,,
06/15/25 13:25:00,44.013,0.0,,
06/15/25 13:30:00,44.013,0.0,,
06/15/25 13:35:00,44.013,0.0,,
06/15/25 13:40:00,44.013,0.0,,
06/15/25 13:45:00,44.013,0.0,,
06/15/25 13:50:00,44.013,0.0,,
06/15/25 13:55:00,43.831,0.0,,
06/15/25 14:00:00,43.831,0.0,,
06/15/25 14:05:00,43.831,0.0,,
06/15/25 14:10:00,43.831,0.0,,
06/15/25 14:15:00,43.831,0.0,,
06/15/25 14:20:00,43.831,0.0,,
06/15/25 14:25:00,43.831,0.0,,
06/15/25 14:30:00,43.831,0.0,,
06/15/25 14:35:00,43.831,0.0,,
06/15/25 14:40:00,43.831,0.0,,
06/15/25 14:45:00,43.831,0.0,,
06/15/25 14:50:00,43.831,0.0,,
06/15/25 14:55:00,43.831,0.0,,
06/15/25 15:00:00,43.831,0.0,,
06/15/25 15:05:00,43.831,0.0,,
06/15/25 15:10:00,43.831,0.0,,
06/15/25 15:15:00,43.831,0.0,,
06/15/25 15:20:00,44.013,0.0,,
06/15/25 15:25:00,44.195,0.0,,
06/15/25 15:30:00,44.560,3.0,,
