Date Time,Temp (°F) LGR S/N: 10383462 c:1,Intensity (lum/ft²) LGR S/N: 10383462 c:2,Coupler Attached LGR S/N: 10383462,Host Connected LGR S/N: 10383462,Stopped LGR S/N: 10383462,End Of File LGR S/N: 10383462
06/22/25 08:00:00,65.851,1.0,,,,
06/22/25 08:05:00,65.851,7.0,,,,
06/22/25 08:10:00,71.168,0.0,,,,
06/22/25 08:15:00,69.622,0.0,,,,
06/22/25 08:20:00,67.735,0.0,,,,
06/22/25 08:25:00,66.366,0.0,,,,
06/22/25 08:30:00,65.167,0.0,,,,
06/22/25 08:35:00,64.310,0.0,,,,
06/22/25 08:40:00,63.282,0.0,,,,
06/22/25 08:45:00,62.425,0.0,,,,
06/22/25 08:50:00,62.940,0.0,,,,
06/22/25 08:55:00,67.050,0.0,,,,
06/22/25 09:00:00,65.680,0.0,,,,
06/22/25 09:05:00,63.626,0.0,,,,
06/22/25 09:10:00,61.227,0.0,,,,
06/22/25 09:15:00,59.164,0.0,,,,
06/22/25 09:20:00,57.268,0.0,,,,
06/22/25 09:25:00,55.884,0.0,,,,
06/22/25 09:30:00,54.147,0.0,,,,
06/22/25 09:35:00,52.925,0.0,,,,
06/22/25 09:40:00,57.441,0.0,,,,
06/22/25 09:45:00,58.647,0.0,,,,
06/22/25 09:50:00,61.398,0.0,,,,
06/22/25 09:55:00,69.278,0.0,,,,
06/22/25 10:00:00,73.407,0.0,,,,
06/22/25 10:05:00,75.832,0.0,,,,
06/22/25 10:10:00,77.400,0.0,,,,
06/22/25 10:15:00,78.449,0.0,,,,
06/22/25 10:20:00,79.502,0.0,,,,
06/22/25 10:25:00,80.735,0.0,,,,
06/22/25 10:30:00,81.975,0.0,,,,
06/22/25 10:35:00,83.399,0.0,,,,
06/22/25 10:40:00,84.474,0.0,,,,
06/22/25 10:45:00,85.014,0.0,,,,
06/22/25 10:50:00,85.554,0.0,,,,
06/22/25 10:55:00,86.097,0.0,,,,
06/22/25 11:00:00,86.459,0.0,,,,
06/22/25 11:05:00,86.641,0.0,,,,
06/22/25 11:10:00,86.823,0.0,,,,
