Date Time,Temp (°F) LGR S/N: 22038778 c:1,Intensity (lum/ft²) LGR S/N: 22038778 c:2,Button Down LGR S/N: 22038778,Button Up LGR S/N: 22038778,Host Connected LGR S/N: 22038778,End Of File LGR S/N: 22038778
06/17/25 14:10:00,65.20,8485.80,,,,
06/17/25 14:15:00,65.35,8337.39,,,,
06/17/25 14:20:00,64.58,8386.86,,,,
06/17/25 14:25:00,64.58,8367.83,,,,
06/17/25 14:30:00,66.28,8546.68,,,,
06/17/25 14:35:00,66.28,8580.93,,,,
06/17/25 14:40:00,65.35,8565.71,,,,
06/17/25 14:45:00,65.35,8577.13,,,,
06/17/25 14:50:00,65.20,8683.67,,,,
06/17/25 14:55:00,65.12,8512.44,,,,
06/17/25 15:00:00,66.28,8561.90,,,,
06/17/25 15:05:00,66.51,8550.49,,,,
06/17/25 15:10:00,65.74,8504.83,,,,
06/17/25 15:15:00,66.28,8409.69,,,,
06/17/25 15:20:00,65.20,8329.78,,,,
06/17/25 15:25:00,65.51,8466.77,,,,
06/17/25 15:30:00,66.51,8424.91,,,,
06/17/25 15:35:00,66.13,8443.94,,,,
06/17/25 15:40:00,65.43,8516.24,,,,
06/17/25 15:45:00,66.67,8493.41,,,,
06/17/25 15:50:00,66.28,8440.14,,,,
06/17/25 15:55:00,66.90,8379.25,,,,
06/17/25 16:00:00,66.05,8329.78,,,,
06/17/25 16:05:00,66.51,8352.61,,,,
06/17/25 16:10:00,66.67,8341.20,,,,
06/17/25 16:15:00,64.27,8188.99,,,,
06/17/25 16:20:00,64.35,8169.96,,,,
06/17/25 16:25:00,63.73,8082.44,,,,
06/17/25 16:30:00,63.11,8013.94,,,,
06/17/25 16:35:00,63.27,7964.47,,,,
06/17/25 16:40:00,63.27,7892.17,,,,
06/17/25 16:45:00,62.73,7774.21,,,,
06/17/25 16:50:00,62.34,7757.09,,,,
06/17/25 16:55:00,61.80,7475.49,,,,
06/17/25 17:00:00,61.80,7488.81,,,,
06/17/25 17:05:00,62.34,7547.79,,,,
