Date Time,Temp (°F) LGR S/N: 22133627 c:1,Button Down LGR S/N: 22133627,Button Up LGR S/N: 22133627,Host Connected LGR S/N: 22133627,End Of File LGR S/N: 22133627
05/23/25 11:35:00,57.79,,,,
05/23/25 11:40:00,58.48,,,,
05/23/25 11:45:00,54.93,,,,
05/23/25 11:50:00,49.68,,,,
05/23/25 11:55:00,44.97,,,,
05/23/25 12:00:00,43.50,,,,
05/23/25 12:05:00,46.05,,,,
05/23/25 12:10:00,48.91,,,,
05/23/25 12:15:00,47.59,,,,
05/23/25 12:20:00,47.21,,,,
05/23/25 12:25:00,46.90,,,,
05/23/25 12:30:00,46.51,,,,
05/23/25 12:35:00,46.59,,,,
05/23/25 12:40:00,47.05,,,,
05/23/25 12:45:00,47.13,,,,
05/23/25 12:50:00,47.21,,,,
05/23/25 12:55:00,47.36,,,,
05/23/25 13:00:00,47.21,,,,
05/23/25 13:05:00,47.44,,,,
05/23/25 13:10:00,47.13,,,,
05/23/25 13:15:00,46.59,,,,
05/23/25 13:20:00,46.36,,,,
05/23/25 13:25:00,46.20,,,,
05/23/25 13:30:00,46.44,,,,
05/23/25 13:35:00,45.74,,,,
05/23/25 13:40:00,44.81,,,,
05/23/25 13:45:00,44.50,,,,
05/23/25 13:50:00,44.50,,,,
05/23/25 13:55:00,44.43,,,,
05/23/25 14:00:00,44.20,,,,
05/23/25 14:05:00,44.74,,,,
05/23/25 14:10:00,45.20,,,,
05/23/25 14:15:00,45.97,,,,
05/23/25 14:20:00,46.44,,,,
05/23/25 14:25:00,46.67,,,,
05/23/25 14:30:00,46.51,,,,
05/23/25 14:35:00,46.20,,,,
05/23/25 14:40:00,47.05,,,,
05/23/25 14:45:00,47.98,,,,
05/23/25 14:50:00,48.37,,,,
05/23/25 14:55:00,48.52,,,,
05/23/25 15:00:00,48.06,,,,
05/23/25 15:05:00,48.67,,,,
05/23/25 15:10:00,49.76,,,,
05/23/25 15:15:00,51.15,,,,
05/23/25 15:20:00,52.30,,,,
05/23/25 15:25:00,53.00,,,,
05/23/25 15:30:00,53.23,,,,
05/23/25 15:35:00,53.39,,,,
05/23/25 15:40:00,53.46,,,,
05/23/25 15:45:00,52.54,,,,
05/23/25 15:50:00,51.69,,,,
05/23/25 15:55:00,51.76,,,,
05/23/25 16:00:00,51.92,,,,
05/23/25 16:05:00,53.69,,,,
05/23/25 16:10:00,54.23,,,,
05/23/25 16:15:00,54.47,,,,
05/23/25 16:20:00,55.01,,,,
05/23/25 16:25:00,54.85,,,,
05/23/25 16:30:00,55.24,,,,
05/23/25 16:35:00,55.08,,,,
05/23/25 16:40:00,55.32,,,,
05/23/25 16:45:00,55.16,,,,
05/23/25 16:50:00,55.55,,,,
05/23/25 16:55:00,56.47,,,,
05/23/25 17:00:00,55.24,,,,
05/23/25 17:05:00,55.55,,,,
05/23/25 17:10:00,56.71,,,,
05/23/25 17:15:00,55.47,,,,
05/23/25 17:20:00,55.01,,,,
05/23/25 17:25:00,55.39,,,,
05/23/25 17:30:00,55.78,,,,
05/23/25 17:35:00,55.24,,,,
05/23/25 17:40:00,54.31,,,,
05/23/25 17:45:00,53.62,,,,
05/23/25 17:50:00,52.84,,,,
05/23/25 17:55:00,52.30,,,,
05/23/25 18:00:00,52.54,,,,
05/23/25 18:05:00,52.15,,,,
05/23/25 18:10:00,50.22,,,,
05/23/25 18:15:00,48.83,,,,
05/23/25 18:20:00,47.90,,,,
05/23/25 18:25:00,47.90,,,,
05/23/25 18:30:00,47.44,,,,
05/23/25 18:35:00,47.21,,,,
05/23/25 18:40:00,47.36,,,,
