Date Time,Temp (°F) LGR S/N: 22133623 c:1,Button Down LGR S/N: 22133623,Button Up LGR S/N: 22133623,Host Connected LGR S/N: 22133623,End Of File LGR S/N: 22133623
05/22/25 15:03:49,56.63,,,,
05/22/25 15:08:49,64.89,,,,
05/22/25 15:13:49,60.41,,,,
05/22/25 15:18:49,57.48,,,,
05/22/25 15:23:49,54.78,,,,
05/22/25 15:28:49,53.62,,,,
05/22/25 15:33:49,53.00,,,,
05/22/25 15:38:49,52.38,,,,
05/22/25 15:43:49,53.00,,,,
05/22/25 15:48:49,53.08,,,,
05/22/25 15:53:49,52.84,,,,
05/22/25 15:58:49,53.08,,,,
05/22/25 16:03:49,52.38,,,,
05/22/25 16:08:49,52.92,,,,
05/22/25 16:13:49,52.92,,,,
05/22/25 16:18:49,53.08,,,,
05/22/25 16:23:49,53.31,,,,
05/22/25 16:28:49,53.23,,,,
05/22/25 16:33:49,52.69,,,,
05/22/25 16:38:49,51.84,,,,
05/22/25 16:43:49,51.38,,,,
05/22/25 16:48:49,51.38,,,,
05/22/25 16:53:49,50.84,,,,
05/22/25 16:58:49,50.06,,,,
05/22/25 17:03:49,50.68,,,,
05/22/25 17:08:49,50.76,,,,
05/22/25 17:13:49,50.68,,,,
05/22/25 17:18:49,50.91,,,,
05/22/25 17:23:49,51.15,,,,
05/22/25 17:28:49,50.68,,,,
05/22/25 17:33:49,50.76,,,,
05/22/25 17:38:49,49.99,,,,
05/22/25 17:43:49,50.45,,,,
05/22/25 17:48:49,52.69,,,,
05/22/25 17:53:49,53.62,,,,
05/22/25 17:58:49,54.23,,,,
05/22/25 18:03:49,55.24,,,,
05/22/25 18:08:49,56.32,,,,
05/22/25 18:13:49,57.09,,,,
05/22/25 18:18:49,57.17,,,,
05/22/25 18:23:49,57.01,,,,
05/22/25 18:28:49,57.01,,,,
05/22/25 18:33:49,56.86,,,,
05/22/25 18:38:49,56.78,,,,
05/22/25 18:43:49,56.55,,,,
05/22/25 18:48:49,56.40,,,,
05/22/25 18:53:49,56.40,,,,
05/22/25 18:58:49,56.40,,,,
05/22/25 19:03:49,56.09,,,,
05/22/25 19:08:49,55.86,,,,
05/22/25 19:13:49,55.47,,,,
05/22/25 19:18:49,55.16,,,,
05/22/25 19:23:49,54.85,,,,
05/22/25 19:28:49,54.54,,,,
05/22/25 19:33:49,54.31,,,,
05/22/25 19:38:49,53.93,,,,
05/22/25 19:43:49,53.69,,,,
05/22/25 19:48:49,53.46,,,,
05/22/25 19:53:49,53.15,,,,
05/22/25 19:58:49,53.00,,,,
