Date Time,Temp (°F) LGR S/N: 22133672 c:1,Button Down LGR S/N: 22133672,Button Up LGR S/N: 22133672,Host Connected LGR S/N: 22133672,End Of File LGR S/N: 22133672
06/16/25 16:50:00,32.38,,,,
06/16/25 16:55:00,32.54,,,,
06/16/25 17:00:00,32.61,,,,
06/16/25 17:05:00,32.46,,,,
06/16/25 17:10:00,32.38,,,,
06/16/25 17:15:00,32.23,,,,
06/16/25 17:20:00,32.38,,,,
06/16/25 17:25:00,32.38,,,,
06/16/25 17:30:00,32.30,,,,
06/16/25 17:35:00,32.38,,,,
06/16/25 17:40:00,32.23,,,,
06/16/25 17:45:00,32.23,,,,
06/16/25 17:50:00,32.30,,,,
06/16/25 17:55:00,32.23,,,,
06/16/25 18:00:00,32.23,,,,
06/16/25 18:05:00,32.23,,,,
06/16/25 18:10:00,32.30,,,,
06/16/25 18:15:00,32.23,,,,
06/16/25 18:20:00,32.30,,,,
06/16/25 18:25:00,32.30,,,,
06/16/25 18:30:00,32.30,,,,
06/16/25 18:35:00,32.46,,,,
06/16/25 18:40:00,32.38,,,,
06/16/25 18:45:00,32.30,,,,
06/16/25 18:50:00,32.38,,,,
06/16/25 18:55:00,32.38,,,,
06/16/25 19:00:00,32.46,,,,
06/16/25 19:05:00,32.46,,,,
06/16/25 19:10:00,32.61,,,,
06/16/25 19:15:00,32.92,,,,
06/16/25 19:20:00,33.38,,,,
06/16/25 19:25:00,34.00,,,,
06/16/25 19:30:00,34.62,,,,
06/16/25 19:35:00,34.23,,,,
06/16/25 19:40:00,34.16,,,,
06/16/25 19:45:00,34.08,,,,
06/16/25 19:50:00,33.85,,,,
06/16/25 19:55:00,33.62,,,,
06/16/25 20:00:00,33.62,,,,
06/16/25 20:05:00,33.38,,,,
06/16/25 20:10:00,33.46,,,,
06/16/25 20:15:00,33.54,,,,
06/16/25 20:20:00,33.69,,,,
06/16/25 20:25:00,33.85,,,,
06/16/25 20:30:00,33.31,,,,
06/16/25 20:35:00,33.00,,,,
06/16/25 20:40:00,32.84,,,,
06/16/25 20:45:00,32.38,,,,
06/16/25 20:50:00,32.15,,,,
06/16/25 20:55:00,32.23,,,,
06/16/25 21:00:00,31.30,,,,
06/16/25 21:05:00,30.68,,,,
06/16/25 21:10:00,30.37,,,,
06/16/25 21:15:00,30.06,,,,
06/16/25 21:20:00,29.83,,,,
06/16/25 21:25:00,29.91,,,,
06/16/25 21:30:00,29.45,,,,
06/16/25 21:35:00,29.91,,,,
06/16/25 21:40:00,30.99,,,,
06/16/25 21:45:00,31.53,,,,
06/16/25 21:50:00,31.84,,,,
06/16/25 21:55:00,31.38,,,,
06/16/25 22:00:00,31.53,,,,
06/16/25 22:05:00,32.00,,,,
06/16/25 22:10:00,32.30,,,,
06/16/25 22:15:00,32.30,,,,
06/16/25 22:20:00,32.54,,,,
06/16/25 22:25:00,32.46,,,,
06/16/25 22:30:00,32.54,,,,
06/16/25 22:35:00,32.46,,,,
06/16/25 22:40:00,32.23,,,,
06/16/25 22:45:00,32.23,,,,
06/16/25 22:50:00,32.30,,,,
06/16/25 22:55:00,32.23,,,,
06/16/25 23:00:00,32.07,,,,
06/16/25 23:05:00,31.53,,,,
06/16/25 23:10:00,31.07,,,,
06/16/25 23:15:00,30.45,,,,
06/16/25 23:20:00,29.45,,,,
06/16/25 23:25:00,28.67,,,,
06/16/25 23:30:00,27.21,,,,
06/16/25 23:35:00,27.59,,,,
06/16/25 23:40:00,25.66,,,,
06/16/25 23:45:00,23.35,,,,
06/16/25 23:50:00,22.19,,,,
06/16/25 23:55:00,21.26,,,,
06/17/25 00:00:00,20.95,,,,
06/17/25 00:05:00,21.11,,,,
06/17/25 00:10:00,20.95,,,,
06/17/25 00:15:00,21.26,,,,
06/17/25 00:20:00,20.95,,,,
06/17/25 00:25:00,20.49,,,,
06/17/25 00:30:00,21.34,,,,
06/17/25 00:35:00,21.34,,,,
06/17/25 00:40:00,22.03,,,,
06/17/25 00:45:00,21.49,,,,
06/17/25 00:50:00,20.88,,,,
06/17/25 00:55:00,20.95,,,,
06/17/25 01:00:00,21.49,,,,
06/17/25 01:05:00,21.72,,,,
06/17/25 01:10:00,23.42,,,,
06/17/25 01:15:00,25.43,,,,
06/17/25 01:20:00,25.59,,,,
06/17/25 01:25:00,25.51,,,,
06/17/25 01:30:00,25.89,,,,
06/17/25 01:35:00,26.74,,,,
06/17/25 01:40:00,27.67,,,,
06/17/25 01:45:00,28.06,,,,
06/17/25 01:50:00,28.29,,,,
06/17/25 01:55:00,27.13,,,,
06/17/25 02:00:00,24.74,,,,
06/17/25 02:05:00,24.20,,,,
06/17/25 02:10:00,23.50,,,,
