Date Time,Temp (°F) LGR S/N: 22133635 c:1,Button Down LGR S/N: 22133635,Button Up LGR S/N: 22133635,Host Connected LGR S/N: 22133635,End Of File LGR S/N: 22133635
06/12/25 12:13:57,54.00,,,,
06/12/25 12:14:57,54.23,,,,
06/12/25 12:15:57,54.54,,,,
06/12/25 12:16:57,54.54,,,,
06/12/25 12:17:57,54.62,,,,
06/12/25 12:18:57,54.62,,,,
06/12/25 12:19:57,54.78,,,,
06/12/25 12:20:57,54.70,,,,
06/12/25 12:21:57,54.62,,,,
06/12/25 12:22:57,54.70,,,,
06/12/25 12:23:57,54.54,,,,
06/12/25 12:24:57,54.39,,,,
06/12/25 12:25:57,54.31,,,,
06/12/25 12:26:57,54.16,,,,
06/12/25 12:27:57,54.16,,,,
06/12/25 12:28:57,53.93,,,,
06/12/25 12:29:57,53.77,,,,
06/12/25 12:30:57,53.69,,,,
06/12/25 12:31:57,53.62,,,,
06/12/25 12:32:57,53.46,,,,
06/12/25 12:33:57,53.39,,,,
06/12/25 12:34:57,53.15,,,,
06/12/25 12:35:57,53.08,,,,
06/12/25 12:36:57,52.84,,,,
06/12/25 12:37:57,52.77,,,,
06/12/25 12:38:57,52.77,,,,
06/12/25 12:39:57,52.84,,,,
06/12/25 12:40:57,52.92,,,,
06/12/25 12:41:57,52.92,,,,
06/12/25 12:42:57,53.00,,,,
06/12/25 12:43:57,52.84,,,,
06/12/25 12:44:57,52.92,,,,
06/12/25 12:45:57,52.92,,,,
06/12/25 12:46:57,52.92,,,,
06/12/25 12:47:57,52.77,,,,
06/12/25 12:48:57,52.46,,,,
06/12/25 12:49:57,52.07,,,,
06/12/25 12:50:57,51.61,,,,
06/12/25 12:51:57,51.07,,,,
06/12/25 12:52:57,50.61,,,,
06/12/25 12:53:57,50.14,,,,
06/12/25 12:54:57,49.76,,,,
06/12/25 12:55:57,49.45,,,,
06/12/25 12:56:57,49.37,,,,
06/12/25 12:57:57,49.14,,,,
06/12/25 12:58:57,49.14,,,,
06/12/25 12:59:57,49.37,,,,
06/12/25 13:00:57,49.52,,,,
06/12/25 13:01:57,49.68,,,,
06/12/25 13:02:57,49.68,,,,
06/12/25 13:03:57,49.52,,,,
06/12/25 13:04:57,49.45,,,,
06/12/25 13:05:57,49.37,,,,
06/12/25 13:06:57,49.37,,,,
06/12/25 13:07:57,49.45,,,,
06/12/25 13:08:57,49.60,,,,
06/12/25 13:09:57,49.60,,,,
06/12/25 13:10:57,49.76,,,,
06/12/25 13:11:57,49.76,,,,
06/12/25 13:12:57,49.91,,,,
06/12/25 13:13:57,49.91,,,,
06/12/25 13:14:57,49.99,,,,
06/12/25 13:15:57,50.06,,,,
06/12/25 13:16:57,49.91,,,,
06/12/25 13:17:57,49.76,,,,
06/12/25 13:18:57,49.68,,,,
06/12/25 13:19:57,49.52,,,,
06/12/25 13:20:57,49.37,,,,
06/12/25 13:21:57,49.14,,,,
06/12/25 13:22:57,48.98,,,,
06/12/25 13:23:57,48.75,,,,
06/12/25 13:24:57,48.75,,,,
06/12/25 13:25:57,48.52,,,,
06/12/25 13:26:57,48.52,,,,
06/12/25 13:27:57,48.44,,,,
06/12/25 13:28:57,48.52,,,,
06/12/25 13:29:57,48.52,,,,
06/12/25 13:30:57,48.52,,,,
06/12/25 13:31:57,48.37,,,,
06/12/25 13:32:57,48.37,,,,
06/12/25 13:33:57,48.37,,,,
06/12/25 13:34:57,48.29,,,,
06/12/25 13:35:57,48.21,,,,
06/12/25 13:36:57,48.13,,,,
06/12/25 13:37:57,48.13,,,,
06/12/25 13:38:57,48.06,,,,
06/12/25 13:39:57,48.21,,,,
06/12/25 13:40:57,48.21,,,,
06/12/25 13:41:57,47.90,,,,
06/12/25 13:42:57,47.59,,,,
06/12/25 13:43:57,47.52,,,,
06/12/25 13:44:57,47.52,,,,
06/12/25 13:45:57,47.44,,,,
06/12/25 13:46:57,47.36,,,,
06/12/25 13:47:57,47.36,,,,
06/12/25 13:48:57,47.36,,,,
06/12/25 13:49:57,47.28,,,,
06/12/25 13:50:57,47.36,,,,
06/12/25 13:51:57,47.28,,,,
06/12/25 13:52:57,47.13,,,,
06/12/25 13:53:57,46.90,,,,
06/12/25 13:54:57,46.67,,,,
06/12/25 13:55:57,46.28,,,,
06/12/25 13:56:57,46.13,,,,
06/12/25 13:57:57,45.82,,,,
06/12/25 13:58:57,45.59,,,,
06/12/25 13:59:57,45.28,,,,
06/12/25 14:00:57,45.05,,,,
06/12/25 14:01:57,44.66,,,,
06/12/25 14:02:57,44.43,,,,
06/12/25 14:03:57,44.12,,,,
06/12/25 14:04:57,44.04,,,,
06/12/25 14:05:57,43.89,,,,
06/12/25 14:06:57,43.42,,,,
06/12/25 14:07:57,42.88,,,,
06/12/25 14:08:57,42.57,,,,
06/12/25 14:09:57,42.19,,,,
06/12/25 14:10:57,41.80,,,,
06/12/25 14:11:57,41.42,,,,
06/12/25 14:12:57,41.03,,,,
06/12/25 14:13:57,40.80,,,,
06/12/25 14:14:57,40.57,,,,
06/12/25 14:15:57,40.41,,,,
06/12/25 14:16:57,40.26,,,,
06/12/25 14:17:57,40.18,,,,
06/12/25 14:18:57,40.10,,,,
06/12/25 14:19:57,39.95,,,,
06/12/25 14:20:57,39.87,,,,
06/12/25 14:21:57,39.95,,,,
06/12/25 14:22:57,39.95,,,,
06/12/25 14:23:57,39.72,,,,
06/12/25 14:24:57,39.72,,,,
06/12/25 14:25:57,39.72,,,,
06/12/25 14:26:57,39.56,,,,
06/12/25 14:27:57,39.56,,,,
06/12/25 14:28:57,39.33,,,,
06/12/25 14:29:57,39.18,,,,
06/12/25 14:30:57,39.25,,,,
06/12/25 14:31:57,39.18,,,,
06/12/25 14:32:57,39.10,,,,
06/12/25 14:33:57,39.41,,,,
06/12/25 14:34:57,39.33,,,,
06/12/25 14:35:57,39.25,,,,
06/12/25 14:36:57,39.10,,,,
06/12/25 14:37:57,38.94,,,,
06/12/25 14:38:57,38.64,,,,
06/12/25 14:39:57,38.17,,,,
06/12/25 14:40:57,38.02,,,,
06/12/25 14:41:57,37.79,,,,
06/12/25 14:42:57,37.63,,,,
06/12/25 14:43:57,37.48,,,,
06/12/25 14:44:57,37.32,,,,
06/12/25 14:45:57,37.25,,,,
06/12/25 14:46:57,37.01,,,,
06/12/25 14:47:57,37.25,,,,
06/12/25 14:48:57,37.71,,,,
06/12/25 14:49:57,38.10,,,,
06/12/25 14:50:57,38.48,,,,
06/12/25 14:51:57,38.64,,,,
06/12/25 14:52:57,38.87,,,,
06/12/25 14:53:57,39.10,,,,
06/12/25 14:54:57,39.25,,,,
06/12/25 14:55:57,39.49,,,,
06/12/25 14:56:57,39.49,,,,
06/12/25 14:57:57,39.64,,,,
06/12/25 14:58:57,39.72,,,,
06/12/25 14:59:57,39.79,,,,
06/12/25 15:00:57,39.79,,,,
06/12/25 15:01:57,39.56,,,,
06/12/25 15:02:57,39.10,,,,
06/12/25 15:03:57,38.10,,,,
06/12/25 15:04:57,37.32,,,,
06/12/25 15:05:57,36.71,,,,
06/12/25 15:06:57,36.40,,,,
06/12/25 15:07:57,36.40,,,,
06/12/25 15:08:57,36.55,,,,
06/12/25 15:09:57,36.40,,,,
06/12/25 15:10:57,35.62,,,,
06/12/25 15:11:57,35.01,,,,
06/12/25 15:12:57,34.62,,,,
06/12/25 15:13:57,34.62,,,,
06/12/25 15:14:57,34.54,,,,
06/12/25 15:15:57,34.62,,,,
06/12/25 15:16:57,34.70,,,,
06/12/25 15:17:57,34.62,,,,
06/12/25 15:18:57,34.08,,,,
06/12/25 15:19:57,33.85,,,,
06/12/25 15:20:57,33.85,,,,
06/12/25 15:21:57,33.85,,,,
06/12/25 15:22:57,34.16,,,,
06/12/25 15:23:57,34.16,,,,
06/12/25 15:24:57,34.31,,,,
06/12/25 15:25:57,34.47,,,,
06/12/25 15:26:57,34.70,,,,
06/12/25 15:27:57,34.54,,,,
06/12/25 15:28:57,34.54,,,,
06/12/25 15:29:57,34.08,,,,
06/12/25 15:30:57,33.93,,,,
06/12/25 15:31:57,33.62,,,,
06/12/25 15:32:57,33.62,,,,
06/12/25 15:33:57,33.62,,,,
06/12/25 15:34:57,33.46,,,,
06/12/25 15:35:57,33.38,,,,
06/12/25 15:36:57,33.23,,,,
06/12/25 15:37:57,33.23,,,,
06/12/25 15:38:57,33.15,,,,
06/12/25 15:39:57,33.15,,,,
06/12/25 15:40:57,33.23,,,,
06/12/25 15:41:57,33.38,,,,
06/12/25 15:42:57,33.46,,,,
06/12/25 15:43:57,33.38,,,,
06/12/25 15:44:57,33.62,,,,
06/12/25 15:45:57,33.85,,,,
06/12/25 15:46:57,34.16,,,,
06/12/25 15:47:57,34.23,,,,
06/12/25 15:48:57,34.16,,,,
06/12/25 15:49:57,34.16,,,,
06/12/25 15:50:57,34.00,,,,
06/12/25 15:51:57,33.69,,,,
06/12/25 15:52:57,33.77,,,,
06/12/25 15:53:57,33.93,,,,
06/12/25 15:54:57,34.31,,,,
06/12/25 15:55:57,34.70,,,,
06/12/25 15:56:57,34.93,,,,
06/12/25 15:57:57,35.01,,,,
06/12/25 15:58:57,35.01,,,,
06/12/25 15:59:57,35.16,,,,
06/12/25 16:00:57,35.39,,,,
06/12/25 16:01:57,35.70,,,,
06/12/25 16:02:57,36.09,,,,
06/12/25 16:03:57,36.47,,,,
06/12/25 16:04:57,37.01,,,,
06/12/25 16:05:57,37.40,,,,
06/12/25 16:06:57,37.79,,,,
06/12/25 16:07:57,37.94,,,,
06/12/25 16:08:57,38.10,,,,
06/12/25 16:09:57,38.33,,,,
06/12/25 16:10:57,38.33,,,,
06/12/25 16:11:57,38.40,,,,
06/12/25 16:12:57,38.33,,,,
06/12/25 16:13:57,37.09,,,,
06/12/25 16:14:57,36.16,,,,
06/12/25 16:15:57,35.47,,,,
06/12/25 16:16:57,35.16,,,,
06/12/25 16:17:57,35.16,,,,
06/12/25 16:18:57,35.24,,,,
06/12/25 16:19:57,35.39,,,,
06/12/25 16:20:57,35.55,,,,
06/12/25 16:21:57,35.93,,,,
06/12/25 16:22:57,36.16,,,,
06/12/25 16:23:57,36.40,,,,
06/12/25 16:24:57,36.71,,,,
06/12/25 16:25:57,37.01,,,,
06/12/25 16:26:57,37.32,,,,
06/12/25 16:27:57,37.79,,,,
06/12/25 16:28:57,38.17,,,,
06/12/25 16:29:57,38.33,,,,
06/12/25 16:30:57,38.48,,,,
06/12/25 16:31:57,38.71,,,,
06/12/25 16:32:57,39.02,,,,
06/12/25 16:33:57,39.41,,,,
06/12/25 16:34:57,39.72,,,,
06/12/25 16:35:57,40.10,,,,
06/12/25 16:36:57,40.26,,,,
06/12/25 16:37:57,40.41,,,,
06/12/25 16:38:57,40.26,,,,
06/12/25 16:39:57,40.03,,,,
06/12/25 16:40:57,39.72,,,,
06/12/25 16:41:57,39.49,,,,
06/12/25 16:42:57,39.25,,,,
06/12/25 16:43:57,38.94,,,,
06/12/25 16:44:57,38.94,,,,
06/12/25 16:45:57,38.71,,,,
06/12/25 16:46:57,38.64,,,,
06/12/25 16:47:57,38.40,,,,
06/12/25 16:48:57,38.10,,,,
06/12/25 16:49:57,37.94,,,,
06/12/25 16:50:57,37.71,,,,
06/12/25 16:51:57,37.55,,,,
06/12/25 16:52:57,37.40,,,,
06/12/25 16:53:57,37.32,,,,
06/12/25 16:54:57,37.09,,,,
06/12/25 16:55:57,36.94,,,,
06/12/25 16:56:57,36.71,,,,
06/12/25 16:57:57,36.47,,,,
06/12/25 16:58:57,36.24,,,,
06/12/25 16:59:57,36.09,,,,
06/12/25 17:00:57,35.86,,,,
06/12/25 17:01:57,35.70,,,,
06/12/25 17:02:57,35.55,,,,
06/12/25 17:03:57,35.39,,,,
06/12/25 17:04:57,35.24,,,,
06/12/25 17:05:57,35.08,,,,
06/12/25 17:06:57,34.93,,,,
06/12/25 17:07:57,34.93,,,,
06/12/25 17:08:57,34.85,,,,
06/12/25 17:09:57,34.77,,,,
06/12/25 17:10:57,34.47,,,,
06/12/25 17:11:57,34.39,,,,
06/12/25 17:12:57,34.23,,,,
06/12/25 17:13:57,34.08,,,,
06/12/25 17:14:57,33.93,,,,
06/12/25 17:15:57,33.77,,,,
06/12/25 17:16:57,33.69,,,,
06/12/25 17:17:57,33.54,,,,
06/12/25 17:18:57,33.46,,,,
06/12/25 17:19:57,33.31,,,,
06/12/25 17:20:57,33.31,,,,
06/12/25 17:21:57,33.15,,,,
06/12/25 17:22:57,33.08,,,,
06/12/25 17:23:57,32.92,,,,
06/12/25 17:24:57,32.84,,,,
06/12/25 17:25:57,32.84,,,,
06/12/25 17:26:57,32.84,,,,
06/12/25 17:27:57,32.84,,,,
06/12/25 17:28:57,32.92,,,,
06/12/25 17:29:57,32.92,,,,
06/12/25 17:30:57,32.92,,,,
06/12/25 17:31:57,32.92,,,,
06/12/25 17:32:57,32.92,,,,
06/12/25 17:33:57,33.08,,,,
06/12/25 17:34:57,33.00,,,,
06/12/25 17:35:57,33.15,,,,
06/12/25 17:36:57,33.15,,,,
06/12/25 17:37:57,33.23,,,,
06/12/25 17:38:57,33.15,,,,
06/12/25 17:39:57,33.15,,,,
06/12/25 17:40:57,33.00,,,,
06/12/25 17:41:57,33.00,,,,
06/12/25 17:42:57,32.92,,,,
06/12/25 17:43:57,32.84,,,,
06/12/25 17:44:57,32.84,,,,
06/12/25 17:45:57,32.61,,,,
06/12/25 17:46:57,32.54,,,,
06/12/25 17:47:57,32.38,,,,
06/12/25 17:48:57,32.30,,,,
06/12/25 17:49:57,32.38,,,,
06/12/25 17:50:57,32.30,,,,
06/12/25 17:51:57,32.30,,,,
06/12/25 17:52:57,32.23,,,,
06/12/25 17:53:57,32.23,,,,
06/12/25 17:54:57,32.23,,,,
06/12/25 17:55:57,32.15,,,,
06/12/25 17:56:57,32.23,,,,
06/12/25 17:57:57,32.23,,,,
06/12/25 17:58:57,32.23,,,,
06/12/25 17:59:57,32.23,,,,
06/12/25 18:00:57,32.23,,,,
06/12/25 18:01:57,32.23,,,,
06/12/25 18:02:57,32.15,,,,
06/12/25 18:03:57,32.23,,,,
06/12/25 18:04:57,32.15,,,,
06/12/25 18:05:57,32.23,,,,
06/12/25 18:06:57,32.15,,,,
06/12/25 18:07:57,32.07,,,,
06/12/25 18:08:57,32.23,,,,
06/12/25 18:09:57,32.15,,,,
06/12/25 18:10:57,32.15,,,,
06/12/25 18:11:57,32.15,,,,
06/12/25 18:12:57,32.15,,,,
06/12/25 18:13:57,32.15,,,,
06/12/25 18:14:57,32.23,,,,
06/12/25 18:15:57,32.07,,,,
06/12/25 18:16:57,32.15,,,,
06/12/25 18:17:57,32.15,,,,
06/12/25 18:18:57,32.07,,,,
06/12/25 18:19:57,32.15,,,,
06/12/25 18:20:57,32.15,,,,
06/12/25 18:21:57,32.15,,,,
06/12/25 18:22:57,32.15,,,,
06/12/25 18:23:57,32.15,,,,
06/12/25 18:24:57,32.15,,,,
06/12/25 18:25:57,32.15,,,,
06/12/25 18:26:57,32.15,,,,
06/12/25 18:27:57,32.23,,,,
06/12/25 18:28:57,32.07,,,,
06/12/25 18:29:57,32.07,,,,
06/12/25 18:30:57,32.23,,,,
06/12/25 18:31:57,32.07,,,,
06/12/25 18:32:57,32.07,,,,
06/12/25 18:33:57,32.15,,,,
06/12/25 18:34:57,32.07,,,,
