Date Time,Temp (°F) LGR S/N: 22038780 c:1,Intensity (lum/ft²) LGR S/N: 22038780 c:2,Button Down LGR S/N: 22038780,Button Up LGR S/N: 22038780,Host Connected LGR S/N: 22038780,End Of File LGR S/N: 22038780
06/22/25 19:00:00,54.54,3485.65,,,,
06/22/25 19:05:00,52.15,3156.49,,,,
06/22/25 19:10:00,50.53,3222.13,,,,
06/22/25 19:15:00,48.83,2828.28,,,,
06/22/25 19:20:00,49.14,2730.30,,,,
06/22/25 19:25:00,49.52,2722.69,,,,
06/22/25 19:30:00,49.37,2696.05,,,,
06/22/25 19:35:00,48.13,2233.71,,,,
06/22/25 19:40:00,46.98,1980.65,,,,
06/22/25 19:45:00,44.97,1504.99,,,,
06/22/25 19:50:00,43.11,1365.62,,,,
06/22/25 19:55:00,41.26,1310.45,,,,
06/22/25 20:00:00,41.18,1262.41,,,,
06/22/25 20:05:00,41.80,1461.71,,,,
06/22/25 20:10:00,42.50,1719.99,,,,
06/22/25 20:15:00,43.19,1608.69,,,,
06/22/25 20:20:00,43.89,1490.72,,,,
06/22/25 20:25:00,44.43,1349.45,,,,
06/22/25 20:30:00,43.35,1272.87,,,,
06/22/25 20:35:00,43.27,1165.37,,,,
06/22/25 20:40:00,43.11,1082.13,,,,
06/22/25 20:45:00,42.19,973.44,,,,
06/22/25 20:50:00,42.27,916.84,,,,
06/22/25 20:55:00,40.64,705.41,,,,
06/22/25 21:00:00,40.26,640.24,,,,
06/22/25 21:05:00,39.72,603.61,,,,
06/22/25 21:10:00,39.64,583.87,,,,
06/22/25 21:15:00,40.10,484.82,,,,
06/22/25 21:20:00,39.02,398.72,,,,
06/22/25 21:25:00,38.40,344.97,,,,
06/22/25 21:30:00,37.86,284.09,,,,
06/22/25 21:35:00,37.01,234.50,,,,
06/22/25 21:40:00,36.71,195.97,,,,
06/22/25 21:45:00,36.16,164.70,,,,
06/22/25 21:50:00,35.93,135.03,,,,
06/22/25 21:55:00,35.70,108.39,,,,
06/22/25 22:00:00,36.16,87.55,,,,
06/22/25 22:05:00,36.09,69.00,,,,
06/22/25 22:10:00,36.40,53.53,,,,
06/22/25 22:15:00,36.16,41.34,,,,
06/22/25 22:20:00,35.55,31.42,,,,
06/22/25 22:25:00,35.93,23.45,,,,
06/22/25 22:30:00,35.47,18.30,,,,
06/22/25 22:35:00,35.32,13.29,,,,
06/22/25 22:40:00,35.32,9.06,,,,
06/22/25 22:45:00,35.55,6.48,,,,
06/22/25 22:50:00,35.78,4.72,,,,
06/22/25 22:55:00,35.47,3.39,,,,
06/22/25 23:00:00,35.70,2.49,,,,
06/22/25 23:05:00,36.16,1.79,,,,
06/22/25 23:10:00,36.01,1.34,,,,
06/22/25 23:15:00,36.16,1.03,,,,
06/22/25 23:20:00,35.70,0.78,,,,
06/22/25 23:25:00,35.32,0.58,,,,
06/22/25 23:30:00,35.24,0.45,,,,
06/22/25 23:35:00,35.24,0.35,,,,
06/22/25 23:40:00,35.78,0.35,,,,
06/22/25 23:45:00,35.47,0.23,,,,
06/22/25 23:50:00,35.39,0.17,,,,
06/22/25 23:55:00,36.01,0.16,,,,
06/23/25 00:00:00,36.09,0.12,,,,
06/23/25 00:05:00,35.39,0.10,,,,
06/23/25 00:10:00,35.86,0.08,,,,
06/23/25 00:15:00,35.93,0.08,,,,
06/23/25 00:20:00,35.62,0.06,,,,
06/23/25 00:25:00,35.39,0.06,,,,
06/23/25 00:30:00,35.78,0.06,,,,
06/23/25 00:35:00,36.24,0.06,,,,
06/23/25 00:40:00,35.62,0.04,,,,
06/23/25 00:45:00,35.39,0.04,,,,
06/23/25 00:50:00,35.16,0.04,,,,
06/23/25 00:55:00,35.55,0.04,,,,
06/23/25 01:00:00,35.86,0.04,,,,
06/23/25 01:05:00,36.09,0.04,,,,
06/23/25 01:10:00,36.16,0.04,,,,
06/23/25 01:15:00,36.24,0.04,,,,
06/23/25 01:20:00,35.70,0.04,,,,
06/23/25 01:25:00,35.86,0.04,,,,
06/23/25 01:30:00,36.40,0.06,,,,
06/23/25 01:35:00,36.01,0.06,,,,
06/23/25 01:40:00,35.78,0.06,,,,
06/23/25 01:45:00,35.24,0.08,,,,
06/23/25 01:50:00,35.16,0.10,,,,
06/23/25 01:55:00,35.55,0.12,,,,
06/23/25 02:00:00,35.70,0.14,,,,
06/23/25 02:05:00,35.78,0.16,,,,
06/23/25 02:10:00,36.55,0.19,,,,
06/23/25 02:15:00,34.85,0.25,,,,
06/23/25 02:20:00,34.93,0.31,,,,
06/23/25 02:25:00,36.47,0.43,,,,
06/23/25 02:30:00,35.86,0.54,,,,
06/23/25 02:35:00,36.32,0.74,,,,
06/23/25 02:40:00,35.47,0.97,,,,
06/23/25 02:45:00,36.01,1.28,,,,
06/23/25 02:50:00,35.93,1.71,,,,
06/23/25 02:55:00,35.86,2.30,,,,
06/23/25 03:00:00,35.70,3.23,,,,
