Date Time,Temp (°F) LGR S/N: 22038781 c:1,Intensity (lum/ft²) LGR S/N: 22038781 c:2,Button Down LGR S/N: 22038781,Button Up LGR S/N: 22038781,Host Connected LGR S/N: 22038781,End Of File LGR S/N: 22038781
06/22/25 17:45:00,59.49,4579.67,,,,
06/22/25 17:50:00,57.79,4332.32,,,,
06/22/25 17:55:00,56.78,4242.90,,,,
06/22/25 18:00:00,57.71,4147.77,,,,
06/22/25 18:05:00,56.86,4151.57,,,,
06/22/25 18:10:00,56.55,4126.84,,,,
06/22/25 18:15:00,55.70,3957.50,,,,
06/22/25 18:20:00,55.08,3753.92,,,,
06/22/25 18:25:00,53.15,3430.47,,,,
06/22/25 18:30:00,52.00,3172.66,,,,
06/22/25 18:35:00,51.84,3182.17,,,,
06/22/25 18:40:00,49.45,2692.24,,,,
06/22/25 18:45:00,49.14,2731.25,,,,
06/22/25 18:50:00,49.52,2817.82,,,,
06/22/25 18:55:00,49.91,2917.71,,,,
06/22/25 19:00:00,49.76,2871.09,,,,
06/22/25 19:05:00,50.37,2804.50,,,,
06/22/25 19:10:00,49.99,2756.93,,,,
06/22/25 19:15:00,50.14,2735.05,,,,
06/22/25 19:20:00,49.91,2683.68,,,,
06/22/25 19:25:00,49.29,2562.86,,,,
06/22/25 19:30:00,48.67,2549.54,,,,
06/22/25 19:35:00,47.21,2414.46,,,,
06/22/25 19:40:00,46.98,2326.94,,,,
06/22/25 19:45:00,47.83,2289.83,,,,
06/22/25 19:50:00,47.52,2234.66,,,,
06/22/25 19:55:00,47.44,2187.09,,,,
06/22/25 20:00:00,47.13,2052.00,,,,
06/22/25 20:05:00,46.82,1974.95,,,,
06/22/25 20:10:00,45.89,1796.57,,,,
06/22/25 20:15:00,45.28,1729.50,,,,
06/22/25 20:20:00,44.35,1601.08,,,,
06/22/25 20:25:00,44.50,1522.59,,,,
06/22/25 20:30:00,44.35,1418.42,,,,
06/22/25 20:35:00,43.11,1230.06,,,,
06/22/25 20:40:00,43.11,1210.56,,,,
06/22/25 20:45:00,43.11,1146.82,,,,
06/22/25 20:50:00,42.81,1053.11,,,,
06/22/25 20:55:00,41.49,923.26,,,,
06/22/25 21:00:00,40.80,843.59,,,,
06/22/25 21:05:00,41.49,776.76,,,,
06/22/25 21:10:00,41.65,682.57,,,,
06/22/25 21:15:00,40.72,580.78,,,,
06/22/25 21:20:00,39.56,482.92,,,,
06/22/25 21:25:00,38.56,395.99,,,,
06/22/25 21:30:00,38.17,302.40,,,,
06/22/25 21:35:00,37.17,257.21,,,,
06/22/25 21:40:00,36.55,219.40,,,,
06/22/25 21:45:00,35.70,183.43,,,,
06/22/25 21:50:00,34.77,150.73,,,,
06/22/25 21:55:00,34.08,121.95,,,,
06/22/25 22:00:00,34.62,96.02,,,,
06/22/25 22:05:00,35.32,74.44,,,,
06/22/25 22:10:00,35.32,57.63,,,,
06/22/25 22:15:00,35.32,44.64,,,,
06/22/25 22:20:00,34.16,34.11,,,,
06/22/25 22:25:00,34.23,26.15,,,,
06/22/25 22:30:00,33.85,20.11,,,,
06/22/25 22:35:00,33.54,14.53,,,,
06/22/25 22:40:00,34.08,9.93,,,,
06/22/25 22:45:00,34.77,7.07,,,,
06/22/25 22:50:00,34.77,5.11,,,,
06/22/25 22:55:00,35.08,3.59,,,,
06/22/25 23:00:00,35.39,2.65,,,,
06/22/25 23:05:00,35.32,1.93,,,,
06/22/25 23:10:00,34.93,1.49,,,,
06/22/25 23:15:00,33.85,1.14,,,,
06/22/25 23:20:00,33.46,0.82,,,,
06/22/25 23:25:00,33.85,0.61,,,,
06/22/25 23:30:00,33.85,0.49,,,,
06/22/25 23:35:00,33.08,0.38,,,,
06/22/25 23:40:00,32.92,0.28,,,,
06/22/25 23:45:00,32.92,0.23,,,,
06/22/25 23:50:00,33.38,0.17,,,,
06/22/25 23:55:00,33.77,0.13,,,,
06/23/25 00:00:00,33.85,0.11,,,,
06/23/25 00:05:00,34.23,0.08,,,,
06/23/25 00:10:00,34.00,0.06,,,,
06/23/25 00:15:00,33.46,0.06,,,,
06/23/25 00:20:00,34.00,0.04,,,,
06/23/25 00:25:00,33.69,0.04,,,,
06/23/25 00:30:00,34.31,0.02,,,,
06/23/25 00:35:00,34.47,0.02,,,,
06/23/25 00:40:00,34.08,0.02,,,,
06/23/25 00:45:00,34.31,0.02,,,,
06/23/25 00:50:00,33.38,0.02,,,,
06/23/25 00:55:00,33.85,0.02,,,,
06/23/25 01:00:00,34.70,0.02,,,,
06/23/25 01:05:00,35.47,0.02,,,,
06/23/25 01:10:00,34.54,0.02,,,,
06/23/25 01:15:00,33.62,0.02,,,,
06/23/25 01:20:00,32.61,0.02,,,,
06/23/25 01:25:00,32.69,0.04,,,,
06/23/25 01:30:00,33.93,0.04,,,,
06/23/25 01:35:00,34.31,0.04,,,,
06/23/25 01:40:00,34.16,0.04,,,,
06/23/25 01:45:00,34.16,0.06,,,,
06/23/25 01:50:00,34.77,0.08,,,,
06/23/25 01:55:00,34.23,0.09,,,,
06/23/25 02:00:00,33.69,0.11,,,,
06/23/25 02:05:00,33.46,0.15,,,,
06/23/25 02:10:00,33.54,0.19,,,,
06/23/25 02:15:00,34.93,0.27,,,,
06/23/25 02:20:00,35.86,0.34,,,,
06/23/25 02:25:00,34.54,0.46,,,,
06/23/25 02:30:00,34.23,0.55,,,,
06/23/25 02:35:00,33.15,0.80,,,,
06/23/25 02:40:00,33.23,0.99,,,,
06/23/25 02:45:00,32.84,1.35,,,,
06/23/25 02:50:00,32.92,1.89,,,,
06/23/25 02:55:00,33.08,2.50,,,,
06/23/25 03:00:00,33.54,3.40,,,,
06/23/25 03:05:00,33.46,4.81,,,,
06/23/25 03:10:00,35.55,6.64,,,,
06/23/25 03:15:00,34.77,8.94,,,,
06/23/25 03:20:00,34.77,12.46,,,,
06/23/25 03:25:00,34.23,17.19,,,,
06/23/25 03:30:00,35.86,23.00,,,,
06/23/25 03:35:00,37.71,31.11,,,,
06/23/25 03:40:00,36.32,41.59,,,,
06/23/25 03:45:00,34.85,54.97,,,,
06/23/25 03:50:00,34.62,73.46,,,,
06/23/25 03:55:00,34.70,94.51,,,,
06/23/25 04:00:00,34.93,122.19,,,,
06/23/25 04:05:00,34.62,150.13,,,,
06/23/25 04:10:00,34.31,178.85,,,,
06/23/25 04:15:00,34.16,210.00,,,,
06/23/25 04:20:00,34.08,246.87,,,,
06/23/25 04:25:00,34.54,288.49,,,,
