"Plot Title: A02 unshielded"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 22038780, SEN S/N: 22038780)","Intensity, lum/ft² (LGR S/N: 22038780, SEN S/N: 22038780)","Button Down (LGR S/N: 22038780, SEN S/N: 22038780)","Button Up (LGR S/N: 22038780, SEN S/N: 22038780)","Host Connected (LGR S/N: 22038780, SEN S/N: 22038780)","End Of File (LGR S/N: 22038780, SEN S/N: 22038780)"
1,06/22/25 07:00:00 PM,54.54,3485.65,,,,
2,06/22/25 07:05:00 PM,52.15,3156.49,,,,
3,06/22/25 07:10:00 PM,50.53,3222.13,,,,
4,06/22/25 07:15:00 PM,48.83,2828.28,,,,
5,06/22/25 07:20:00 PM,49.14,2730.30,,,,
6,06/22/25 07:25:00 PM,49.52,2722.69,,,,
7,06/22/25 07:30:00 PM,49.37,2696.05,,,,
8,06/22/25 07:35:00 PM,48.13,2233.71,,,,
9,06/22/25 07:40:00 PM,46.98,1980.65,,,,
10,06/22/25 07:45:00 PM,44.97,1504.99,,,,
11,06/22/25 07:50:00 PM,43.11,1365.62,,,,
12,06/22/25 07:55:00 PM,41.26,1310.45,,,,
13,06/22/25 08:00:00 PM,41.18,1262.41,,,,
14,06/22/25 08:05:00 PM,41.80,1461.71,,,,
15,06/22/25 08:10:00 PM,42.50,1719.99,,,,
16,06/22/25 08:15:00 PM,43.19,1608.69,,,,
17,06/22/25 08:20:00 PM,43.89,1490.72,,,,
18,06/22/25 08:25:00 PM,44.43,1349.45,,,,
19,06/22/25 08:30:00 PM,43.35,1272.87,,,,
20,06/22/25 08:35:00 PM,43.27,1165.37,,,,
21,06/22/25 08:40:00 PM,43.11,1082.13,,,,
22,06/22/25 08:45:00 PM,42.19,973.44,,,,
23,06/22/25 08:50:00 PM,42.27,916.84,,,,
24,06/22/25 08:55:00 PM,40.64,705.41,,,,
25,06/22/25 09:00:00 PM,40.26,640.24,,,,
26,06/22/25 09:05:00 PM,39.72,603.61,,,,
27,06/22/25 09:10:00 PM,39.64,583.87,,,,
28,06/22/25 09:15:00 PM,40.10,484.82,,,,
29,06/22/25 09:20:00 PM,39.02,398.72,,,,
30,06/22/25 09:25:00 PM,38.40,344.97,,,,
31,06/22/25 09:30:00 PM,37.86,284.09,,,,
32,06/22/25 09:35:00 PM,37.01,234.50,,,,
33,06/22/25 09:40:00 PM,36.71,195.97,,,,
34,06/22/25 09:45:00 PM,36.16,164.70,,,,
35,06/22/25 09:50:00 PM,35.93,135.03,,,,
36,06/22/25 09:55:00 PM,35.70,108.39,,,,
37,06/22/25 10:00:00 PM,36.16,87.55,,,,
38,06/22/25 10:05:00 PM,36.09,69.00,,,,
39,06/22/25 10:10:00 PM,36.40,53.53,,,,
40,06/22/25 10:15:00 PM,36.16,41.34,,,,
