"Plot Title: A03 1m"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 22133634, SEN S/N: 22133634)","Button Down (LGR S/N: 22133634, SEN S/N: 22133634)","Button Up (LGR S/N: 22133634, SEN S/N: 22133634)","Host Connected (LGR S/N: 22133634, SEN S/N: 22133634)","End Of File (LGR S/N: 22133634, SEN S/N: 22133634)"
1,06/21/25 06:14:00 PM,40.64,,,,
2,06/21/25 06:15:00 PM,40.57,,,,
3,06/21/25 06:16:00 PM,40.88,,,,
4,06/21/25 06:17:00 PM,40.95,,,,
5,06/21/25 06:18:00 PM,41.03,,,,
6,06/21/25 06:19:00 PM,41.03,,,,
7,06/21/25 06:20:00 PM,41.03,,,,
8,06/21/25 06:21:00 PM,40.80,,,,
9,06/21/25 06:22:00 PM,40.88,,,,
10,06/21/25 06:23:00 PM,41.03,,,,
11,06/21/25 06:24:00 PM,41.18,,,,
12,06/21/25 06:25:00 PM,41.11,,,,
13,06/21/25 06:26:00 PM,40.95,,,,
14,06/21/25 06:27:00 PM,40.95,,,,
15,06/21/25 06:28:00 PM,40.88,,,,
16,06/21/25 06:29:00 PM,40.64,,,,
17,06/21/25 06:30:00 PM,40.64,,,,
18,06/21/25 06:31:00 PM,40.57,,,,
19,06/21/25 06:32:00 PM,40.57,,,,
20,06/21/25 06:33:00 PM,40.64,,,,
21,06/21/25 06:34:00 PM,40.57,,,,
22,06/21/25 06:35:00 PM,40.33,,,,
23,06/21/25 06:36:00 PM,40.57,,,,
24,06/21/25 06:37:00 PM,40.72,,,,
25,06/21/25 06:38:00 PM,40.72,,,,
26,06/21/25 06:39:00 PM,40.64,,,,
27,06/21/25 06:40:00 PM,40.49,,,,
28,06/21/25 06:41:00 PM,40.18,,,,
29,06/21/25 06:42:00 PM,40.10,,,,
30,06/21/25 06:43:00 PM,40.10,,,,
31,06/21/25 06:44:00 PM,39.95,,,,
32,06/21/25 06:45:00 PM,40.03,,,,
33,06/21/25 06:46:00 PM,40.03,,,,
34,06/21/25 06:47:00 PM,40.03,,,,
35,06/21/25 06:48:00 PM,40.03,,,,
36,06/21/25 06:49:00 PM,39.95,,,,
37,06/21/25 06:50:00 PM,40.03,,,,
38,06/21/25 06:51:00 PM,39.95,,,,
39,06/21/25 06:52:00 PM,39.87,,,,
40,06/21/25 06:53:00 PM,39.95,,,,
41,06/21/25 06:54:00 PM,40.03,,,,
42,06/21/25 06:55:00 PM,40.03,,,,
43,06/21/25 06:56:00 PM,40.10,,,,
44,06/21/25 06:57:00 PM,40.18,,,,
45,06/21/25 06:58:00 PM,40.18,,,,
46,06/21/25 06:59:00 PM,40.26,,,,
47,06/21/25 07:00:00 PM,40.26,,,,
48,06/21/25 07:01:00 PM,40.33,,,,
49,06/21/25 07:02:00 PM,40.33,,,,
50,06/21/25 07:03:00 PM,40.26,,,,
51,06/21/25 07:04:00 PM,40.33,,,,
52,06/21/25 07:05:00 PM,40.26,,,,
53,06/21/25 07:06:00 PM,40.33,,,,
54,06/21/25 07:07:00 PM,40.49,,,,
55,06/21/25 07:08:00 PM,40.41,,,,
56,06/21/25 07:09:00 PM,40.64,,,,
57,06/21/25 07:10:00 PM,40.64,,,,
58,06/21/25 07:11:00 PM,40.64,,,,
59,06/21/25 07:12:00 PM,40.64,,,,
60,06/21/25 07:13:00 PM,40.72,,,,
61,06/21/25 07:14:00 PM,40.72,,,,
62,06/21/25 07:15:00 PM,40.88,,,,
63,06/21/25 07:16:00 PM,40.95,,,,
64,06/21/25 07:17:00 PM,41.03,,,,
65,06/21/25 07:18:00 PM,41.18,,,,
66,06/21/25 07:19:00 PM,41.26,,,,
67,06/21/25 07:20:00 PM,41.34,,,,
68,06/21/25 07:21:00 PM,41.42,,,,
69,06/21/25 07:22:00 PM,41.49,,,,
70,06/21/25 07:23:00 PM,41.72,,,,
71,06/21/25 07:24:00 PM,41.88,,,,
72,06/21/25 07:25:00 PM,42.03,,,,
73,06/21/25 07:26:00 PM,42.27,,,,
74,06/21/25 07:27:00 PM,42.27,,,,
75,06/21/25 07:28:00 PM,42.42,,,,
76,06/21/25 07:29:00 PM,42.34,,,,
77,06/21/25 07:30:00 PM,42.42,,,,
78,06/21/25 07:31:00 PM,42.50,,,,
79,06/21/25 07:32:00 PM,42.42,,,,
80,06/21/25 07:33:00 PM,42.50,,,,
81,06/21/25 07:34:00 PM,42.27,,,,
