#,Date-Time (AKDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,Stopped,End of File
1,06/16/2025 16:50:00,0.38,Logged,,,,,
2,06/16/2025 16:55:00,0.38,,,,,,
3,06/16/2025 17:00:00,0.38,,,,,,
4,06/16/2025 17:05:00,0.25,,,,,,
5,06/16/2025 17:10:00,0.21,,,,,,
6,06/16/2025 17:15:00,0.13,,,,,,
7,06/16/2025 17:20:00,0.13,,,,,,
8,06/16/2025 17:25:00,0.13,,,,,,
9,06/16/2025 17:30:00,0.13,,,,,,
10,06/16/2025 17:35:00,0.81,,,,,,
11,06/16/2025 17:40:00,0.86,,,,,,
12,06/16/2025 17:45:00,0.38,,,,,,
13,06/16/2025 17:50:00,0.38,,,,,,
14,06/16/2025 17:55:00,-0.35,,,,,,
15,06/16/2025 18:00:00,-0.77,,,,,,
16,06/16/2025 18:05:00,-0.13,,,,,,
17,06/16/2025 18:10:00,-0.35,,,,,,
18,06/16/2025 18:15:00,-6.27,,,,,,
19,06/16/2025 18:20:00,-5.79,,,,,,
20,06/16/2025 18:25:00,-3.78,,,,,,
21,06/16/2025 18:30:00,-0.30,,,,,,
22,06/16/2025 18:35:00,0.55,,,,,,
23,06/16/2025 18:40:00,1.16,,,,,,
24,06/16/2025 18:45:00,0.98,,,,,,
25,06/16/2025 18:50:00,2.23,,,,,,
26,06/16/2025 18:55:00,2.36,,,,,,
27,06/16/2025 19:00:00,2.79,,,,,,
28,06/16/2025 19:05:00,3.17,,,,,,
29,06/16/2025 19:10:00,3.47,,,,,,
30,06/16/2025 19:15:00,3.56,,,,,,
31,06/16/2025 19:20:00,3.34,,,,,,
32,06/16/2025 19:25:00,3.13,,,,,,
33,06/16/2025 19:30:00,2.87,,,,,,
34,06/16/2025 19:35:00,2.57,,,,,,
35,06/16/2025 19:40:00,3.04,,,,,,
36,06/16/2025 19:45:00,3.09,,,,,,
37,06/16/2025 19:50:00,3.09,,,,,,
38,06/16/2025 19:55:00,3.64,,,,,,
39,06/16/2025 20:00:00,3.30,,,,,,
40,06/16/2025 20:05:00,2.96,,,,,,
41,06/16/2025 20:10:00,2.96,,,,,,
42,06/16/2025 20:15:00,4.16,,,,,,
43,06/16/2025 20:20:00,4.76,,,,,,
44,06/16/2025 20:25:00,5.02,,,,,,
45,06/16/2025 20:30:00,5.53,,,,,,
46,06/16/2025 20:35:00,5.57,,,,,,
47,06/16/2025 20:40:00,5.87,,,,,,
48,06/16/2025 20:45:00,6.43,,,,,,
49,06/16/2025 20:50:00,6.43,,,,,,
50,06/16/2025 20:55:00,6.86,,,,,,
51,06/16/2025 21:00:00,7.25,,,,,,
52,06/16/2025 21:05:00,7.08,,,,,,
53,06/16/2025 21:10:00,6.95,,,,,,
54,06/16/2025 21:15:00,6.90,,,,,,
55,06/16/2025 21:20:00,7.16,,,,,,
56,06/16/2025 21:25:00,7.29,,,,,,
57,06/16/2025 21:30:00,7.29,,,,,,
58,06/16/2025 21:35:00,7.38,,,,,,
59,06/16/2025 21:40:00,7.63,,,,,,
60,06/16/2025 21:45:00,7.63,,,,,,
61,06/16/2025 21:50:00,7.50,,,,,,
62,06/16/2025 21:55:00,7.50,,,,,,
63,06/16/2025 22:00:00,7.55,,,,,,
64,06/16/2025 22:05:00,8.06,,,,,,
65,06/16/2025 22:10:00,8.11,,,,,,
66,06/16/2025 22:15:00,8.96,,,,,,
67,06/16/2025 22:20:00,9.01,,,,,,
68,06/16/2025 22:25:00,8.71,,,,,,
69,06/16/2025 22:30:00,8.45,,,,,,
70,06/16/2025 22:35:00,8.36,,,,,,
71,06/16/2025 22:40:00,8.32,,,,,,
72,06/16/2025 22:45:00,8.45,,,,,,
73,06/16/2025 22:50:00,8.45,,,,,,
74,06/16/2025 22:55:00,8.92,,,,,,
75,06/16/2025 23:00:00,8.88,,,,,,
76,06/16/2025 23:05:00,9.14,,,,,,
77,06/16/2025 23:10:00,9.09,,,,,,
78,06/16/2025 23:15:00,8.53,,,,,,
79,06/16/2025 23:20:00,9.26,,,,,,
80,06/16/2025 23:25:00,9.61,,,,,,
81,06/16/2025 23:30:00,9.99,,,,,,
82,06/16/2025 23:35:00,10.08,,,,,,
83,06/16/2025 23:40:00,10.55,,,,,,
84,06/16/2025 23:45:00,10.59,,,,,,
85,06/16/2025 23:50:00,10.21,,,,,,
86,06/16/2025 23:55:00,8.79,,,,,,
87,06/17/2025 00:00:00,8.41,,,,,,
88,06/17/2025 00:05:00,8.23,,,,,,
89,06/17/2025 00:10:00,7.20,,,,,,
90,06/17/2025 00:15:00,6.86,,,,,,
91,06/17/2025 00:20:00,6.99,,,,,,
92,06/17/2025 00:25:00,6.35,,,,,,
93,06/17/2025 00:30:00,6.86,,,,,,
94,06/17/2025 00:35:00,6.48,,,,,,
95,06/17/2025 00:40:00,6.56,,,,,,
96,06/17/2025 00:45:00,5.75,,,,,,
97,06/17/2025 00:50:00,5.96,,,,,,
98,06/17/2025 00:55:00,6.95,,,,,,
99,06/17/2025 01:00:00,7.25,,,,,,
100,06/17/2025 01:05:00,7.29,,,,,,
101,06/17/2025 01:10:00,6.86,,,,,,
102,06/17/2025 01:15:00,5.83,,,,,,
103,06/17/2025 01:20:00,5.23,,,,,,
104,06/17/2025 01:25:00,5.45,,,,,,
105,06/17/2025 01:30:00,5.96,,,,,,
106,06/17/2025 01:35:00,5.75,,,,,,
107,06/17/2025 01:40:00,6.39,,,,,,
108,06/17/2025 01:45:00,5.53,,,,,,
109,06/17/2025 01:50:00,5.49,,,,,,
110,06/17/2025 01:55:00,5.06,,,,,,
111,06/17/2025 02:00:00,5.36,,,,,,
112,06/17/2025 02:05:00,5.57,,,,,,
113,06/17/2025 02:10:00,5.79,,,,,,
114,06/17/2025 02:15:00,6.13,,,,,,
115,06/17/2025 02:20:00,6.39,,,,,,
116,06/17/2025 02:25:00,7.55,,,,,,
117,06/17/2025 02:30:00,5.49,,,,,,
118,06/17/2025 02:35:00,4.46,,,,,,
119,06/17/2025 02:40:00,3.64,,,,,,
120,06/17/2025 02:45:00,4.16,,,,,,
121,06/17/2025 02:50:00,3.99,,,,,,
122,06/17/2025 02:55:00,3.60,,,,,,
123,06/17/2025 03:00:00,3.56,,,,,,
124,06/17/2025 03:05:00,4.29,,,,,,
125,06/17/2025 03:10:00,5.36,,,,,,
126,06/17/2025 03:15:00,6.09,,,,,,
127,06/17/2025 03:20:00,5.10,,,,,,
128,06/17/2025 03:25:00,4.46,,,,,,
129,06/17/2025 03:30:00,4.16,,,,,,
130,06/17/2025 03:35:00,3.39,,,,,,
131,06/17/2025 03:40:00,4.12,,,,,,
132,06/17/2025 03:45:00,4.37,,,,,,
133,06/17/2025 03:50:00,3.90,,,,,,
134,06/17/2025 03:55:00,3.34,,,,,,
135,06/17/2025 04:00:00,3.09,,,,,,
136,06/17/2025 04:05:00,4.03,,,,,,
137,06/17/2025 04:10:00,4.03,,,,,,
138,06/17/2025 04:15:00,4.16,,,,,,
139,06/17/2025 04:20:00,3.86,,,,,,
140,06/17/2025 04:25:00,3.60,,,,,,
141,06/17/2025 04:30:00,3.04,,,,,,
142,06/17/2025 04:35:00,3.13,,,,,,
143,06/17/2025 04:40:00,3.34,,,,,,
144,06/17/2025 04:45:00,3.43,,,,,,
145,06/17/2025 04:50:00,3.86,,,,,,
146,06/17/2025 04:55:00,3.56,,,,,,
147,06/17/2025 05:00:00,2.96,,,,,,
148,06/17/2025 05:05:00,3.04,,,,,,
149,06/17/2025 05:10:00,3.21,,,,,,
150,06/17/2025 05:15:00,4.72,,,,,,
151,06/17/2025 05:20:00,6.35,,,,,,
152,06/17/2025 05:25:00,6.99,,,,,,
153,06/17/2025 05:30:00,7.16,,,,,,
154,06/17/2025 05:35:00,6.65,,,,,,
155,06/17/2025 05:40:00,6.95,,,,,,
156,06/17/2025 05:45:00,7.20,,,,,,
157,06/17/2025 05:50:00,7.16,,,,,,
158,06/17/2025 05:55:00,6.65,,,,,,
159,06/17/2025 06:00:00,5.40,,,,,,
160,06/17/2025 06:05:00,5.23,,,,,,
161,06/17/2025 06:10:00,4.84,,,,,,
162,06/17/2025 06:15:00,5.79,,,,,,
163,06/17/2025 06:20:00,6.17,,,,,,
164,06/17/2025 06:25:00,5.40,,,,,,
165,06/17/2025 06:30:00,4.37,,,,,,
166,06/17/2025 06:35:00,4.24,,,,,,
167,06/17/2025 06:40:00,4.42,,,,,,
168,06/17/2025 06:45:00,4.42,,,,,,
169,06/17/2025 06:50:00,4.46,,,,,,
170,06/17/2025 06:55:00,3.86,,,,,,
171,06/17/2025 07:00:00,3.43,,,,,,
172,06/17/2025 07:05:00,4.46,,,,,,
173,06/17/2025 07:10:00,5.49,,,,,,
174,06/17/2025 07:15:00,4.20,,,,,,
175,06/17/2025 07:20:00,4.93,,,,,,
176,06/17/2025 07:25:00,5.19,,,,,,
177,06/17/2025 07:30:00,4.63,,,,,,
178,06/17/2025 07:35:00,5.06,,,,,,
179,06/17/2025 07:40:00,5.75,,,,,,
180,06/17/2025 07:45:00,5.57,,,,,,
181,06/17/2025 07:50:00,5.49,,,,,,
