#,Date-Time (AKDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
1,06/16/2025 16:50:00,0.21,Logged,,,,
2,06/16/2025 16:55:00,0.30,,,,,
3,06/16/2025 17:00:00,0.34,,,,,
4,06/16/2025 17:05:00,0.25,,,,,
5,06/16/2025 17:10:00,0.21,,,,,
6,06/16/2025 17:15:00,0.13,,,,,
7,06/16/2025 17:20:00,0.21,,,,,
8,06/16/2025 17:25:00,0.21,,,,,
9,06/16/2025 17:30:00,0.17,,,,,
10,06/16/2025 17:35:00,0.21,,,,,
11,06/16/2025 17:40:00,0.13,,,,,
12,06/16/2025 17:45:00,0.13,,,,,
13,06/16/2025 17:50:00,0.17,,,,,
14,06/16/2025 17:55:00,0.13,,,,,
15,06/16/2025 18:00:00,0.13,,,,,
16,06/16/2025 18:05:00,0.13,,,,,
17,06/16/2025 18:10:00,0.17,,,,,
18,06/16/2025 18:15:00,0.13,,,,,
19,06/16/2025 18:20:00,0.17,,,,,
20,06/16/2025 18:25:00,0.17,,,,,
21,06/16/2025 18:30:00,0.17,,,,,
22,06/16/2025 18:35:00,0.25,,,,,
23,06/16/2025 18:40:00,0.21,,,,,
24,06/16/2025 18:45:00,0.17,,,,,
25,06/16/2025 18:50:00,0.21,,,,,
26,06/16/2025 18:55:00,0.21,,,,,
27,06/16/2025 19:00:00,0.25,,,,,
28,06/16/2025 19:05:00,0.25,,,,,
29,06/16/2025 19:10:00,0.34,,,,,
30,06/16/2025 19:15:00,0.51,,,,,
31,06/16/2025 19:20:00,0.77,,,,,
32,06/16/2025 19:25:00,1.11,,,,,
33,06/16/2025 19:30:00,1.46,,,,,
34,06/16/2025 19:35:00,1.24,,,,,
35,06/16/2025 19:40:00,1.20,,,,,
36,06/16/2025 19:45:00,1.16,,,,,
37,06/16/2025 19:50:00,1.03,,,,,
38,06/16/2025 19:55:00,0.90,,,,,
39,06/16/2025 20:00:00,0.90,,,,,
40,06/16/2025 20:05:00,0.77,,,,,
41,06/16/2025 20:10:00,0.81,,,,,
42,06/16/2025 20:15:00,0.86,,,,,
43,06/16/2025 20:20:00,0.94,,,,,
44,06/16/2025 20:25:00,1.03,,,,,
45,06/16/2025 20:30:00,0.73,,,,,
46,06/16/2025 20:35:00,0.55,,,,,
47,06/16/2025 20:40:00,0.47,,,,,
48,06/16/2025 20:45:00,0.21,,,,,
49,06/16/2025 20:50:00,0.08,,,,,
50,06/16/2025 20:55:00,0.13,,,,,
51,06/16/2025 21:00:00,-0.39,,,,,
52,06/16/2025 21:05:00,-0.73,,,,,
53,06/16/2025 21:10:00,-0.90,,,,,
54,06/16/2025 21:15:00,-1.08,,,,,
55,06/16/2025 21:20:00,-1.20,,,,,
56,06/16/2025 21:25:00,-1.16,,,,,
57,06/16/2025 21:30:00,-1.42,,,,,
58,06/16/2025 21:35:00,-1.16,,,,,
59,06/16/2025 21:40:00,-0.56,,,,,
60,06/16/2025 21:45:00,-0.26,,,,,
61,06/16/2025 21:50:00,-0.09,,,,,
62,06/16/2025 21:55:00,-0.35,,,,,
63,06/16/2025 22:00:00,-0.26,,,,,
64,06/16/2025 22:05:00,-0.00,,,,,
65,06/16/2025 22:10:00,0.17,,,,,
66,06/16/2025 22:15:00,0.17,,,,,
67,06/16/2025 22:20:00,0.30,,,,,
68,06/16/2025 22:25:00,0.25,,,,,
69,06/16/2025 22:30:00,0.30,,,,,
70,06/16/2025 22:35:00,0.25,,,,,
71,06/16/2025 22:40:00,0.13,,,,,
72,06/16/2025 22:45:00,0.13,,,,,
73,06/16/2025 22:50:00,0.17,,,,,
74,06/16/2025 22:55:00,0.13,,,,,
75,06/16/2025 23:00:00,0.04,,,,,
76,06/16/2025 23:05:00,-0.26,,,,,
77,06/16/2025 23:10:00,-0.52,,,,,
78,06/16/2025 23:15:00,-0.86,,,,,
79,06/16/2025 23:20:00,-1.42,,,,,
80,06/16/2025 23:25:00,-1.85,,,,,
81,06/16/2025 23:30:00,-2.66,,,,,
82,06/16/2025 23:35:00,-2.45,,,,,
83,06/16/2025 23:40:00,-3.52,,,,,
84,06/16/2025 23:45:00,-4.81,,,,,
85,06/16/2025 23:50:00,-5.45,,,,,
86,06/16/2025 23:55:00,-5.97,,,,,
87,06/17/2025 00:00:00,-6.14,,,,,
88,06/17/2025 00:05:00,-6.05,,,,,
89,06/17/2025 00:10:00,-6.14,,,,,
90,06/17/2025 00:15:00,-5.97,,,,,
91,06/17/2025 00:20:00,-6.14,,,,,
92,06/17/2025 00:25:00,-6.39,,,,,
93,06/17/2025 00:30:00,-5.92,,,,,
94,06/17/2025 00:35:00,-5.92,,,,,
