"Plot Title: 10568642"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10568642, SEN S/N: 10568642)","Intensity, lum/ft² (LGR S/N: 10568642, SEN S/N: 10568642)","Bad Battery (LGR S/N: 10568642, SEN S/N: 10568642)","End Of File (LGR S/N: 10568642, SEN S/N: 10568642)"
1,06/15/25 09:00:00 AM,60.024,0.0,,
2,06/15/25 09:05:00 AM,59.337,0.0,,
3,06/15/25 09:10:00 AM,58.476,0.0,,
4,06/15/25 09:15:00 AM,57.785,0.0,,
5,06/15/25 09:20:00 AM,57.268,0.0,,
6,06/15/25 09:25:00 AM,56.577,0.0,,
7,06/15/25 09:30:00 AM,55.884,0.0,,
8,06/15/25 09:35:00 AM,55.364,0.0,,
9,06/15/25 09:40:00 AM,54.669,0.0,,
10,06/15/25 09:45:00 AM,54.147,0.0,,
11,06/15/25 09:50:00 AM,53.623,0.0,,
12,06/15/25 09:55:00 AM,53.100,0.0,,
13,06/15/25 10:00:00 AM,52.750,0.0,,
14,06/15/25 10:05:00 AM,52.401,0.0,,
15,06/15/25 10:10:00 AM,51.874,0.0,,
16,06/15/25 10:15:00 AM,51.523,0.0,,
17,06/15/25 10:20:00 AM,51.172,0.0,,
18,06/15/25 10:25:00 AM,50.819,0.0,,
19,06/15/25 10:30:00 AM,50.643,0.0,,
20,06/15/25 10:35:00 AM,50.290,0.0,,
21,06/15/25 10:40:00 AM,50.113,0.0,,
22,06/15/25 10:45:00 AM,49.759,0.0,,
23,06/15/25 10:50:00 AM,49.582,0.0,,
24,06/15/25 10:55:00 AM,49.228,0.0,,
25,06/15/25 11:00:00 AM,49.050,0.0,,
26,06/15/25 11:05:00 AM,49.404,6400.0,,
27,06/15/25 11:10:00 AM,70.995,8704.0,,
28,06/15/25 11:15:00 AM,90.124,8704.0,,
29,06/15/25 11:20:00 AM,101.685,8192.0,,
30,06/15/25 11:25:00 AM,108.322,6912.0,,
31,06/15/25 11:30:00 AM,110.919,6912.0,,
32,06/15/25 11:35:00 AM,95.590,2816.0,,
33,06/15/25 11:40:00 AM,79.151,0.0,,
34,06/15/25 11:45:00 AM,67.221,0.0,,
35,06/15/25 11:50:00 AM,60.024,0.0,,
36,06/15/25 11:55:00 AM,55.537,0.0,,
37,06/15/25 12:00:00 PM,52.401,0.0,,
38,06/15/25 12:05:00 PM,50.290,0.0,,
39,06/15/25 12:10:00 PM,48.695,0.0,,
40,06/15/25 12:15:00 PM,47.624,0.0,,
41,06/15/25 12:20:00 PM,46.728,0.0,,
42,06/15/25 12:25:00 PM,46.188,0.0,,
43,06/15/25 12:30:00 PM,45.648,0.0,,
44,06/15/25 12:35:00 PM,45.286,0.0,,
45,06/15/25 12:40:00 PM,45.104,0.0,,
46,06/15/25 12:45:00 PM,44.742,0.0,,
47,06/15/25 12:50:00 PM,44.560,0.0,,
48,06/15/25 12:55:00 PM,44.379,0.0,,
49,06/15/25 01:00:00 PM,44.379,0.0,,
50,06/15/25 01:05:00 PM,44.195,0.0,,
51,06/15/25 01:10:00 PM,44.195,0.0,,
52,06/15/25 01:15:00 PM,44.013,0.0,,
53,06/15/25 01:20:00 PM,44.013,0.0,,
54,06/15/25 01:25:00 PM,44.013,0.0,,
55,06/15/25 01:30:00 PM,44.013,0.0,,
56,06/15/25 01:35:00 PM,44.013,0.0,,
57,06/15/25 01:40:00 PM,44.013,0.0,,
58,06/15/25 01:45:00 PM,44.013,0.0,,
59,06/15/25 01:50:00 PM,44.013,0.0,,
60,06/15/25 01:55:00 PM,43.831,0.0,,
61,06/15/25 02:00:00 PM,43.831,0.0,,
62,06/15/25 02:05:00 PM,43.831,0.0,,
63,06/15/25 02:10:00 PM,43.831,0.0,,
64,06/15/25 02:15:00 PM,43.831,0.0,,
65,06/15/25 02:20:00 PM,43.831,0.0,,
66,06/15/25 02:25:00 PM,43.831,0.0,,
67,06/15/25 02:30:00 PM,43.831,0.0,,
68,06/15/25 02:35:00 PM,43.831,0.0,,
69,06/15/25 02:40:00 PM,43.831,0.0,,
70,06/15/25 02:45:00 PM,43.831,0.0,,
71,06/15/25 02:50:00 PM,43.831,0.0,,
72,06/15/25 02:55:00 PM,43.831,0.0,,
73,06/15/25 03:00:00 PM,43.831,0.0,,
74,06/15/25 03:05:00 PM,43.831,0.0,,
75,06/15/25 03:10:00 PM,43.831,0.0,,
76,06/15/25 03:15:00 PM,43.831,0.0,,
77,06/15/25 03:20:00 PM,44.013,0.0,,
78,06/15/25 03:25:00 PM,44.195,0.0,,
79,06/15/25 03:30:00 PM,44.560,3.0,,
80,06/15/25 03:35:00 PM,44.922,2.0,,
81,06/15/25 03:40:00 PM,45.466,3.0,,
82,06/15/25 03:45:00 PM,46.008,0.0,,
83,06/15/25 03:50:00 PM,46.548,1.0,,
84,06/15/25 03:55:00 PM,47.088,1.0,,
85,06/15/25 04:00:00 PM,47.624,4.0,,
86,06/15/25 04:05:00 PM,48.517,6.0,,
87,06/15/25 04:10:00 PM,49.759,1.0,,
88,06/15/25 04:15:00 PM,50.643,1.0,,
89,06/15/25 04:20:00 PM,50.995,0.0,,
90,06/15/25 04:25:00 PM,51.172,1.0,,
91,06/15/25 04:30:00 PM,51.523,1.0,,
92,06/15/25 04:35:00 PM,51.699,1.0,,
93,06/15/25 04:40:00 PM,51.699,1.0,,
94,06/15/25 04:45:00 PM,51.874,1.0,,
95,06/15/25 04:50:00 PM,51.874,0.0,,
96,06/15/25 04:55:00 PM,51.874,0.0,,
97,06/15/25 05:00:00 PM,51.699,0.0,,
98,06/15/25 05:05:00 PM,51.699,0.0,,
99,06/15/25 05:10:00 PM,51.699,0.0,,
100,06/15/25 05:15:00 PM,51.523,1.0,,
101,06/15/25 05:20:00 PM,51.346,2.0,,
102,06/15/25 05:25:00 PM,51.346,1.0,,
103,06/15/25 05:30:00 PM,51.346,0.0,,
104,06/15/25 05:35:00 PM,51.172,0.0,,
105,06/15/25 05:40:00 PM,51.172,0.0,,
106,06/15/25 05:45:00 PM,50.995,0.0,,
107,06/15/25 05:50:00 PM,50.819,0.0,,
108,06/15/25 05:55:00 PM,50.643,0.0,,
109,06/15/25 06:00:00 PM,50.466,1.0,,
110,06/15/25 06:05:00 PM,50.113,0.0,,
111,06/15/25 06:10:00 PM,49.937,0.0,,
112,06/15/25 06:15:00 PM,49.582,0.0,,
113,06/15/25 06:20:00 PM,49.228,0.0,,
114,06/15/25 06:25:00 PM,49.050,0.0,,
115,06/15/25 06:30:00 PM,48.871,0.0,,
116,06/15/25 06:35:00 PM,48.517,0.0,,
117,06/15/25 06:40:00 PM,48.160,0.0,,
118,06/15/25 06:45:00 PM,47.982,0.0,,
119,06/15/25 06:50:00 PM,47.802,0.0,,
120,06/15/25 06:55:00 PM,47.446,0.0,,
121,06/15/25 07:00:00 PM,47.266,0.0,,
122,06/15/25 07:05:00 PM,46.908,0.0,,
123,06/15/25 07:10:00 PM,46.728,0.0,,
124,06/15/25 07:15:00 PM,46.548,0.0,,
125,06/15/25 07:20:00 PM,46.188,0.0,,
126,06/15/25 07:25:00 PM,46.008,0.0,,
127,06/15/25 07:30:00 PM,45.828,0.0,,
128,06/15/25 07:35:00 PM,45.648,0.0,,
129,06/15/25 07:40:00 PM,45.286,0.0,,
130,06/15/25 07:45:00 PM,45.104,0.0,,
131,06/15/25 07:50:00 PM,44.922,0.0,,
132,06/15/25 07:55:00 PM,44.922,0.0,,
133,06/15/25 08:00:00 PM,44.560,0.0,,
134,06/15/25 08:05:00 PM,44.560,0.0,,
135,06/15/25 08:10:00 PM,44.379,0.0,,
136,06/15/25 08:15:00 PM,44.195,0.0,,
137,06/15/25 08:20:00 PM,44.013,0.0,,
138,06/15/25 08:25:00 PM,43.831,0.0,,
139,06/15/25 08:30:00 PM,43.648,0.0,,
140,06/15/25 08:35:00 PM,43.466,0.0,,
141,06/15/25 08:40:00 PM,43.099,0.0,,
142,06/15/25 08:45:00 PM,42.915,0.0,,
143,06/15/25 08:50:00 PM,42.732,0.0,,
144,06/15/25 08:55:00 PM,42.548,0.0,,
145,06/15/25 09:00:00 PM,42.363,0.0,,
146,06/15/25 09:05:00 PM,42.179,0.0,,
147,06/15/25 09:10:00 PM,41.994,0.0,,
