#,Date-Time (AKDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
1,06/17/2025 19:16:00,2.91,Logged,,,,
2,06/17/2025 19:17:00,2.83,,,,,
3,06/17/2025 19:18:00,2.79,,,,,
4,06/17/2025 19:19:00,2.70,,,,,
5,06/17/2025 19:20:00,2.61,,,,,
6,06/17/2025 19:21:00,2.61,,,,,
7,06/17/2025 19:22:00,2.53,,,,,
8,06/17/2025 19:23:00,2.53,,,,,
9,06/17/2025 19:24:00,2.36,,,,,
10,06/17/2025 19:25:00,2.27,,,,,
11,06/17/2025 19:26:00,2.23,,,,,
12,06/17/2025 19:27:00,2.23,,,,,
13,06/17/2025 19:28:00,2.10,,,,,
14,06/17/2025 19:29:00,2.06,,,,,
15,06/17/2025 19:30:00,2.10,,,,,
16,06/17/2025 19:31:00,2.01,,,,,
17,06/17/2025 19:32:00,2.01,,,,,
18,06/17/2025 19:33:00,1.93,,,,,
19,06/17/2025 19:34:00,1.93,,,,,
20,06/17/2025 19:35:00,1.93,,,,,
21,06/17/2025 19:36:00,1.88,,,,,
22,06/17/2025 19:37:00,1.84,,,,,
23,06/17/2025 19:38:00,1.80,,,,,
24,06/17/2025 19:39:00,1.80,,,,,
25,06/17/2025 19:40:00,1.80,,,,,
26,06/17/2025 19:41:00,1.84,,,,,
27,06/17/2025 19:42:00,1.88,,,,,
28,06/17/2025 19:43:00,1.93,,,,,
29,06/17/2025 19:44:00,2.06,,,,,
30,06/17/2025 19:45:00,2.06,,,,,
31,06/17/2025 19:46:00,2.19,,,,,
32,06/17/2025 19:47:00,2.23,,,,,
33,06/17/2025 19:48:00,2.31,,,,,
34,06/17/2025 19:49:00,2.40,,,,,
35,06/17/2025 19:50:00,2.44,,,,,
36,06/17/2025 19:51:00,2.49,,,,,
37,06/17/2025 19:52:00,2.53,,,,,
38,06/17/2025 19:53:00,2.61,,,,,
39,06/17/2025 19:54:00,2.70,,,,,
40,06/17/2025 19:55:00,2.74,,,,,
41,06/17/2025 19:56:00,2.79,,,,,
42,06/17/2025 19:57:00,2.91,,,,,
43,06/17/2025 19:58:00,2.96,,,,,
44,06/17/2025 19:59:00,3.00,,,,,
45,06/17/2025 20:00:00,3.04,,,,,
46,06/17/2025 20:01:00,3.13,,,,,
47,06/17/2025 20:02:00,3.09,,,,,
48,06/17/2025 20:03:00,3.13,,,,,
49,06/17/2025 20:04:00,3.09,,,,,
50,06/17/2025 20:05:00,3.09,,,,,
51,06/17/2025 20:06:00,3.13,,,,,
52,06/17/2025 20:07:00,3.17,,,,,
53,06/17/2025 20:08:00,3.26,,,,,
54,06/17/2025 20:09:00,3.21,,,,,
55,06/17/2025 20:10:00,3.21,,,,,
56,06/17/2025 20:11:00,3.17,,,,,
57,06/17/2025 20:12:00,3.13,,,,,
58,06/17/2025 20:13:00,3.04,,,,,
59,06/17/2025 20:14:00,3.04,,,,,
60,06/17/2025 20:15:00,2.96,,,,,
61,06/17/2025 20:16:00,2.91,,,,,
62,06/17/2025 20:17:00,2.87,,,,,
63,06/17/2025 20:18:00,2.87,,,,,
64,06/17/2025 20:19:00,2.66,,,,,
65,06/17/2025 20:20:00,2.61,,,,,
66,06/17/2025 20:21:00,2.61,,,,,
67,06/17/2025 20:22:00,2.70,,,,,
68,06/17/2025 20:23:00,2.70,,,,,
69,06/17/2025 20:24:00,2.57,,,,,
70,06/17/2025 20:25:00,2.44,,,,,
71,06/17/2025 20:26:00,2.36,,,,,
72,06/17/2025 20:27:00,2.27,,,,,
73,06/17/2025 20:28:00,2.19,,,,,
74,06/17/2025 20:29:00,2.14,,,,,
75,06/17/2025 20:30:00,2.01,,,,,
76,06/17/2025 20:31:00,2.01,,,,,
77,06/17/2025 20:32:00,1.93,,,,,
78,06/17/2025 20:33:00,2.01,,,,,
79,06/17/2025 20:34:00,1.97,,,,,
80,06/17/2025 20:35:00,2.01,,,,,
81,06/17/2025 20:36:00,2.06,,,,,
82,06/17/2025 20:37:00,2.14,,,,,
83,06/17/2025 20:38:00,2.10,,,,,
84,06/17/2025 20:39:00,2.23,,,,,
85,06/17/2025 20:40:00,2.31,,,,,
86,06/17/2025 20:41:00,2.44,,,,,
87,06/17/2025 20:42:00,2.61,,,,,
88,06/17/2025 20:43:00,2.70,,,,,
89,06/17/2025 20:44:00,2.66,,,,,
90,06/17/2025 20:45:00,2.70,,,,,
91,06/17/2025 20:46:00,2.83,,,,,
92,06/17/2025 20:47:00,2.83,,,,,
93,06/17/2025 20:48:00,2.87,,,,,
94,06/17/2025 20:49:00,2.91,,,,,
95,06/17/2025 20:50:00,2.87,,,,,
96,06/17/2025 20:51:00,2.87,,,,,
97,06/17/2025 20:52:00,2.91,,,,,
98,06/17/2025 20:53:00,2.83,,,,,
99,06/17/2025 20:54:00,2.74,,,,,
100,06/17/2025 20:55:00,2.74,,,,,
101,06/17/2025 20:56:00,2.61,,,,,
102,06/17/2025 20:57:00,2.57,,,,,
103,06/17/2025 20:58:00,2.57,,,,,
104,06/17/2025 20:59:00,2.53,,,,,
105,06/17/2025 21:00:00,2.49,,,,,
106,06/17/2025 21:01:00,2.40,,,,,
107,06/17/2025 21:02:00,2.31,,,,,
108,06/17/2025 21:03:00,2.23,,,,,
109,06/17/2025 21:04:00,2.19,,,,,
110,06/17/2025 21:05:00,2.14,,,,,
111,06/17/2025 21:06:00,2.06,,,,,
112,06/17/2025 21:07:00,2.01,,,,,
113,06/17/2025 21:08:00,1.97,,,,,
114,06/17/2025 21:09:00,1.93,,,,,
115,06/17/2025 21:10:00,1.88,,,,,
116,06/17/2025 21:11:00,1.84,,,,,
117,06/17/2025 21:12:00,1.80,,,,,
118,06/17/2025 21:13:00,1.76,,,,,
119,06/17/2025 21:14:00,1.76,,,,,
120,06/17/2025 21:15:00,1.76,,,,,
121,06/17/2025 21:16:00,1.67,,,,,
122,06/17/2025 21:17:00,1.54,,,,,
123,06/17/2025 21:18:00,1.46,,,,,
124,06/17/2025 21:19:00,1.46,,,,,
125,06/17/2025 21:20:00,1.46,,,,,
126,06/17/2025 21:21:00,1.41,,,,,
127,06/17/2025 21:22:00,1.33,,,,,
128,06/17/2025 21:23:00,1.33,,,,,
129,06/17/2025 21:24:00,1.28,,,,,
130,06/17/2025 21:25:00,1.28,,,,,
131,06/17/2025 21:26:00,1.28,,,,,
132,06/17/2025 21:27:00,1.28,,,,,
133,06/17/2025 21:28:00,1.33,,,,,
134,06/17/2025 21:29:00,1.28,,,,,
135,06/17/2025 21:30:00,1.28,,,,,
136,06/17/2025 21:31:00,1.33,,,,,
137,06/17/2025 21:32:00,1.37,,,,,
138,06/17/2025 21:33:00,1.46,,,,,
139,06/17/2025 21:34:00,1.46,,,,,
140,06/17/2025 21:35:00,1.50,,,,,
141,06/17/2025 21:36:00,1.50,,,,,
142,06/17/2025 21:37:00,1.54,,,,,
143,06/17/2025 21:38:00,1.58,,,,,
144,06/17/2025 21:39:00,1.58,,,,,
145,06/17/2025 21:40:00,1.67,,,,,
146,06/17/2025 21:41:00,1.63,,,,,
147,06/17/2025 21:42:00,1.63,,,,,
148,06/17/2025 21:43:00,1.67,,,,,
149,06/17/2025 21:44:00,1.58,,,,,
150,06/17/2025 21:45:00,1.67,,,,,
151,06/17/2025 21:46:00,1.63,,,,,
152,06/17/2025 21:47:00,1.63,,,,,
153,06/17/2025 21:48:00,1.58,,,,,
154,06/17/2025 21:49:00,1.58,,,,,
155,06/17/2025 21:50:00,1.50,,,,,
156,06/17/2025 21:51:00,1.50,,,,,
157,06/17/2025 21:52:00,1.50,,,,,
158,06/17/2025 21:53:00,1.50,,,,,
159,06/17/2025 21:54:00,1.50,,,,,
160,06/17/2025 21:55:00,1.46,,,,,
161,06/17/2025 21:56:00,1.46,,,,,
162,06/17/2025 21:57:00,1.46,,,,,
163,06/17/2025 21:58:00,1.46,,,,,
164,06/17/2025 21:59:00,1.46,,,,,
165,06/17/2025 22:00:00,1.46,,,,,
166,06/17/2025 22:01:00,1.46,,,,,
167,06/17/2025 22:02:00,1.50,,,,,
168,06/17/2025 22:03:00,1.54,,,,,
169,06/17/2025 22:04:00,1.54,,,,,
170,06/17/2025 22:05:00,1.58,,,,,
171,06/17/2025 22:06:00,1.54,,,,,
172,06/17/2025 22:07:00,1.58,,,,,
173,06/17/2025 22:08:00,1.63,,,,,
174,06/17/2025 22:09:00,1.67,,,,,
175,06/17/2025 22:10:00,1.58,,,,,
176,06/17/2025 22:11:00,1.58,,,,,
177,06/17/2025 22:12:00,1.67,,,,,
178,06/17/2025 22:13:00,1.58,,,,,
179,06/17/2025 22:14:00,1.63,,,,,
180,06/17/2025 22:15:00,1.63,,,,,
181,06/17/2025 22:16:00,1.67,,,,,
182,06/17/2025 22:17:00,1.71,,,,,
183,06/17/2025 22:18:00,1.71,,,,,
184,06/17/2025 22:19:00,1.80,,,,,
185,06/17/2025 22:20:00,1.80,,,,,
186,06/17/2025 22:21:00,1.80,,,,,
187,06/17/2025 22:22:00,1.84,,,,,
