#,Date-Time (PDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
1,06/17/2025 19:30:00,11.41,Logged,,,,
2,06/17/2025 19:31:00,11.15,,,,,
3,06/17/2025 19:32:00,10.94,,,,,
4,06/17/2025 19:33:00,10.64,,,,,
5,06/17/2025 19:34:00,10.77,,,,,
6,06/17/2025 19:35:00,10.94,,,,,
7,06/17/2025 19:36:00,11.02,,,,,
8,06/17/2025 19:37:00,11.15,,,,,
9,06/17/2025 19:38:00,11.45,,,,,
10,06/17/2025 19:39:00,11.49,,,,,
11,06/17/2025 19:40:00,11.71,,,,,
12,06/17/2025 19:41:00,11.58,,,,,
13,06/17/2025 19:42:00,11.58,,,,,
14,06/17/2025 19:43:00,11.71,,,,,
15,06/17/2025 19:44:00,11.79,,,,,
16,06/17/2025 19:45:00,11.84,,,,,
17,06/17/2025 19:46:00,12.05,,,,,
18,06/17/2025 19:47:00,12.44,,,,,
19,06/17/2025 19:48:00,12.61,,,,,
20,06/17/2025 19:49:00,12.70,,,,,
21,06/17/2025 19:50:00,13.00,,,,,
22,06/17/2025 19:51:00,13.38,,,,,
23,06/17/2025 19:52:00,13.68,,,,,
24,06/17/2025 19:53:00,13.73,,,,,
25,06/17/2025 19:54:00,13.51,,,,,
26,06/17/2025 19:55:00,13.12,,,,,
27,06/17/2025 19:56:00,12.78,,,,,
28,06/17/2025 19:57:00,12.57,,,,,
29,06/17/2025 19:58:00,12.40,,,,,
30,06/17/2025 19:59:00,12.31,,,,,
31,06/17/2025 20:00:00,12.22,,,,,
32,06/17/2025 20:01:00,11.88,,,,,
33,06/17/2025 20:02:00,11.58,,,,,
34,06/17/2025 20:03:00,11.28,,,,,
35,06/17/2025 20:04:00,11.07,,,,,
36,06/17/2025 20:05:00,10.89,,,,,
37,06/17/2025 20:06:00,10.72,,,,,
38,06/17/2025 20:07:00,10.46,,,,,
39,06/17/2025 20:08:00,10.29,,,,,
40,06/17/2025 20:09:00,10.12,,,,,
41,06/17/2025 20:10:00,9.99,,,,,
42,06/17/2025 20:11:00,9.95,,,,,
43,06/17/2025 20:12:00,9.78,,,,,
