#,Date-Time (PDT),Temperature   (°C),Started,Host Connected,Button Down,Button Up,End of File
1,06/17/2025 16:12:00,8.15,Logged,,,,
2,06/17/2025 16:12:04,,,Logged,,,
3,06/17/2025 16:13:00,8.11,,,,,
4,06/17/2025 16:14:00,7.93,,,,,
5,06/17/2025 16:15:00,7.63,,,,,
6,06/17/2025 16:16:00,7.33,,,,,
7,06/17/2025 16:17:00,7.08,,,,,
8,06/17/2025 16:18:00,6.86,,,,,
9,06/17/2025 16:19:00,6.73,,,,,
10,06/17/2025 16:20:00,6.73,,,,,
11,06/17/2025 16:21:00,6.73,,,,,
12,06/17/2025 16:22:00,6.73,,,,,
13,06/17/2025 16:23:00,6.73,,,,,
14,06/17/2025 16:24:00,6.86,,,,,
15,06/17/2025 16:25:00,6.90,,,,,
16,06/17/2025 16:26:00,6.99,,,,,
17,06/17/2025 16:27:00,7.08,,,,,
18,06/17/2025 16:28:00,7.08,,,,,
19,06/17/2025 16:29:00,7.12,,,,,
20,06/17/2025 16:30:00,7.20,,,,,
21,06/17/2025 16:31:00,7.08,,,,,
22,06/17/2025 16:32:00,6.95,,,,,
23,06/17/2025 16:33:00,6.86,,,,,
24,06/17/2025 16:34:00,6.69,,,,,
25,06/17/2025 16:35:00,6.69,,,,,
26,06/17/2025 16:36:00,6.65,,,,,
27,06/17/2025 16:37:00,6.65,,,,,
28,06/17/2025 16:38:00,6.73,,,,,
29,06/17/2025 16:39:00,6.78,,,,,
30,06/17/2025 16:40:00,6.73,,,,,
31,06/17/2025 16:41:00,6.78,,,,,
32,06/17/2025 16:42:00,6.82,,,,,
33,06/17/2025 16:43:00,6.90,,,,,
34,06/17/2025 16:44:00,6.95,,,,,
35,06/17/2025 16:45:00,6.95,,,,,
36,06/17/2025 16:46:00,7.03,,,,,
37,06/17/2025 16:47:00,7.08,,,,,
38,06/17/2025 16:48:00,7.12,,,,,
39,06/17/2025 16:49:00,7.20,,,,,
40,06/17/2025 16:50:00,7.38,,,,,
41,06/17/2025 16:51:00,7.50,,,,,
42,06/17/2025 16:52:00,7.59,,,,,
43,06/17/2025 16:53:00,7.72,,,,,
44,06/17/2025 16:54:00,7.76,,,,,
45,06/17/2025 16:55:00,7.63,,,,,
46,06/17/2025 16:56:00,7.59,,,,,
47,06/17/2025 16:57:00,7.55,,,,,
48,06/17/2025 16:58:00,7.55,,,,,
49,06/17/2025 16:59:00,7.59,,,,,
50,06/17/2025 17:00:00,7.63,,,,,
51,06/17/2025 17:01:00,7.68,,,,,
52,06/17/2025 17:02:00,7.68,,,,,
53,06/17/2025 17:03:00,7.55,,,,,
54,06/17/2025 17:04:00,7.42,,,,,
55,06/17/2025 17:05:00,7.29,,,,,
56,06/17/2025 17:06:00,7.29,,,,,
57,06/17/2025 17:07:00,7.25,,,,,
58,06/17/2025 17:08:00,7.29,,,,,
59,06/17/2025 17:09:00,7.20,,,,,
60,06/17/2025 17:10:00,7.12,,,,,
61,06/17/2025 17:11:00,7.03,,,,,
62,06/17/2025 17:12:00,7.03,,,,,
63,06/17/2025 17:13:00,7.08,,,,,
64,06/17/2025 17:14:00,7.08,,,,,
65,06/17/2025 17:15:00,7.12,,,,,
66,06/17/2025 17:16:00,7.12,,,,,
67,06/17/2025 17:17:00,7.12,,,,,
68,06/17/2025 17:18:00,7.08,,,,,
69,06/17/2025 17:19:00,7.12,,,,,
70,06/17/2025 17:20:00,7.12,,,,,
71,06/17/2025 17:21:00,7.20,,,,,
72,06/17/2025 17:22:00,7.20,,,,,
73,06/17/2025 17:23:00,7.20,,,,,
74,06/17/2025 17:24:00,7.16,,,,,
75,06/17/2025 17:25:00,7.20,,,,,
76,06/17/2025 17:26:00,7.25,,,,,
77,06/17/2025 17:27:00,7.20,,,,,
78,06/17/2025 17:28:00,7.08,,,,,
79,06/17/2025 17:29:00,6.90,,,,,
80,06/17/2025 17:30:00,6.78,,,,,
81,06/17/2025 17:31:00,6.73,,,,,
82,06/17/2025 17:32:00,6.60,,,,,
83,06/17/2025 17:33:00,6.52,,,,,
