#,Date-Time (PDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
1,06/17/2025 16:11:00,7.89,Logged,,,,
2,06/17/2025 16:12:00,7.89,,,,,
3,06/17/2025 16:13:00,8.02,,,,,
4,06/17/2025 16:14:00,8.23,,,,,
5,06/17/2025 16:15:00,8.19,,,,,
6,06/17/2025 16:16:00,7.89,,,,,
7,06/17/2025 16:17:00,7.72,,,,,
8,06/17/2025 16:18:00,7.55,,,,,
9,06/17/2025 16:19:00,7.50,,,,,
10,06/17/2025 16:20:00,7.50,,,,,
11,06/17/2025 16:21:00,7.59,,,,,
12,06/17/2025 16:22:00,7.72,,,,,
13,06/17/2025 16:23:00,7.76,,,,,
14,06/17/2025 16:24:00,7.85,,,,,
15,06/17/2025 16:25:00,7.93,,,,,
16,06/17/2025 16:26:00,8.11,,,,,
17,06/17/2025 16:27:00,8.19,,,,,
18,06/17/2025 16:28:00,8.36,,,,,
19,06/17/2025 16:29:00,8.53,,,,,
20,06/17/2025 16:30:00,8.66,,,,,
21,06/17/2025 16:31:00,8.58,,,,,
22,06/17/2025 16:32:00,8.41,,,,,
23,06/17/2025 16:33:00,8.19,,,,,
24,06/17/2025 16:34:00,8.06,,,,,
25,06/17/2025 16:35:00,7.98,,,,,
26,06/17/2025 16:36:00,7.89,,,,,
27,06/17/2025 16:37:00,7.89,,,,,
28,06/17/2025 16:38:00,8.02,,,,,
29,06/17/2025 16:39:00,8.02,,,,,
30,06/17/2025 16:40:00,8.02,,,,,
31,06/17/2025 16:41:00,8.02,,,,,
32,06/17/2025 16:42:00,8.15,,,,,
33,06/17/2025 16:43:00,8.19,,,,,
34,06/17/2025 16:44:00,8.15,,,,,
35,06/17/2025 16:45:00,8.28,,,,,
36,06/17/2025 16:46:00,8.36,,,,,
37,06/17/2025 16:47:00,8.41,,,,,
38,06/17/2025 16:48:00,8.41,,,,,
39,06/17/2025 16:49:00,8.53,,,,,
40,06/17/2025 16:50:00,8.75,,,,,
41,06/17/2025 16:51:00,8.92,,,,,
42,06/17/2025 16:52:00,9.09,,,,,
43,06/17/2025 16:53:00,9.35,,,,,
44,06/17/2025 16:54:00,9.48,,,,,
45,06/17/2025 16:55:00,9.31,,,,,
46,06/17/2025 16:56:00,9.18,,,,,
47,06/17/2025 16:57:00,9.26,,,,,
48,06/17/2025 16:58:00,9.26,,,,,
49,06/17/2025 16:59:00,9.31,,,,,
50,06/17/2025 17:00:00,9.35,,,,,
51,06/17/2025 17:01:00,9.39,,,,,
52,06/17/2025 17:02:00,9.39,,,,,
53,06/17/2025 17:03:00,9.18,,,,,
54,06/17/2025 17:04:00,9.01,,,,,
55,06/17/2025 17:05:00,8.83,,,,,
56,06/17/2025 17:06:00,8.83,,,,,
57,06/17/2025 17:07:00,8.83,,,,,
58,06/17/2025 17:08:00,8.88,,,,,
59,06/17/2025 17:09:00,8.75,,,,,
60,06/17/2025 17:10:00,8.62,,,,,
61,06/17/2025 17:11:00,8.58,,,,,
62,06/17/2025 17:12:00,8.53,,,,,
63,06/17/2025 17:13:00,8.58,,,,,
64,06/17/2025 17:14:00,8.62,,,,,
65,06/17/2025 17:15:00,8.62,,,,,
66,06/17/2025 17:16:00,8.71,,,,,
67,06/17/2025 17:17:00,8.66,,,,,
68,06/17/2025 17:18:00,8.66,,,,,
69,06/17/2025 17:19:00,8.71,,,,,
70,06/17/2025 17:20:00,8.79,,,,,
71,06/17/2025 17:21:00,8.79,,,,,
72,06/17/2025 17:22:00,8.88,,,,,
73,06/17/2025 17:23:00,8.88,,,,,
74,06/17/2025 17:24:00,8.83,,,,,
75,06/17/2025 17:25:00,8.92,,,,,
76,06/17/2025 17:26:00,9.01,,,,,
77,06/17/2025 17:27:00,8.96,,,,,
78,06/17/2025 17:28:00,8.88,,,,,
79,06/17/2025 17:29:00,8.75,,,,,
80,06/17/2025 17:30:00,8.58,,,,,
81,06/17/2025 17:31:00,8.36,,,,,
82,06/17/2025 17:32:00,8.11,,,,,
83,06/17/2025 17:33:00,8.06,,,,,
84,06/17/2025 17:34:00,8.23,,,,,
85,06/17/2025 17:35:00,8.28,,,,,
86,06/17/2025 17:36:00,8.32,,,,,
