"Plot Title: 10568622"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10568622, SEN S/N: 10568622)","Intensity, lum/ft² (LGR S/N: 10568622, SEN S/N: 10568622)","End Of File (LGR S/N: 10568622, SEN S/N: 10568622)"
1,06/15/25 09:00:00 AM,63.455,0.0,
2,06/15/25 09:05:00 AM,62.598,0.0,
3,06/15/25 09:10:00 AM,61.569,0.0,
4,06/15/25 09:15:00 AM,60.712,0.0,
5,06/15/25 09:20:00 AM,59.851,0.0,
6,06/15/25 09:25:00 AM,59.164,0.0,
7,06/15/25 09:30:00 AM,58.303,0.0,
8,06/15/25 09:35:00 AM,57.614,0.0,
9,06/15/25 09:40:00 AM,56.750,0.0,
10,06/15/25 09:45:00 AM,56.230,0.0,
11,06/15/25 09:50:00 AM,55.537,0.0,
12,06/15/25 09:55:00 AM,54.842,0.0,
13,06/15/25 10:00:00 AM,54.322,0.0,
14,06/15/25 10:05:00 AM,53.623,0.0,
15,06/15/25 10:10:00 AM,53.100,0.0,
16,06/15/25 10:15:00 AM,52.750,0.0,
17,06/15/25 10:20:00 AM,52.225,0.0,
18,06/15/25 10:25:00 AM,51.874,0.0,
19,06/15/25 10:30:00 AM,51.523,0.0,
20,06/15/25 10:35:00 AM,51.172,0.0,
21,06/15/25 10:40:00 AM,50.819,0.0,
22,06/15/25 10:45:00 AM,50.466,0.0,
23,06/15/25 10:50:00 AM,50.113,0.0,
24,06/15/25 10:55:00 AM,49.759,0.0,
25,06/15/25 11:00:00 AM,49.582,0.0,
26,06/15/25 11:05:00 AM,49.582,6144.0,
27,06/15/25 11:10:00 AM,63.455,12288.0,
28,06/15/25 11:15:00 AM,81.621,15360.0,
29,06/15/25 11:20:00 AM,95.976,16384.0,
30,06/15/25 11:25:00 AM,112.690,2688.0,
31,06/15/25 11:30:00 AM,103.104,3072.0,
32,06/15/25 11:35:00 AM,87.733,17408.0,
33,06/15/25 11:40:00 AM,87.552,18432.0,
34,06/15/25 11:45:00 AM,87.186,18432.0,
35,06/15/25 11:50:00 AM,84.654,18432.0,
36,06/15/25 11:55:00 AM,82.508,18432.0,
37,06/15/25 12:00:00 PM,80.735,18432.0,
38,06/15/25 12:05:00 PM,80.735,19456.0,
39,06/15/25 12:10:00 PM,81.621,19456.0,
40,06/15/25 12:15:00 PM,83.935,19456.0,
41,06/15/25 12:20:00 PM,84.834,19456.0,
42,06/15/25 12:25:00 PM,84.834,19456.0,
43,06/15/25 12:30:00 PM,85.915,20480.0,
44,06/15/25 12:35:00 PM,87.552,20480.0,
45,06/15/25 12:40:00 PM,94.825,20480.0,
46,06/15/25 12:45:00 PM,86.823,20480.0,
47,06/15/25 12:50:00 PM,88.466,20480.0,
48,06/15/25 12:55:00 PM,87.915,20480.0,
49,06/15/25 01:00:00 PM,85.554,20480.0,
50,06/15/25 01:05:00 PM,84.474,20480.0,
51,06/15/25 01:10:00 PM,82.330,20480.0,
52,06/15/25 01:15:00 PM,80.735,20480.0,
53,06/15/25 01:20:00 PM,81.442,20480.0,
54,06/15/25 01:25:00 PM,83.935,20480.0,
55,06/15/25 01:30:00 PM,83.399,20480.0,
56,06/15/25 01:35:00 PM,83.221,20480.0,
57,06/15/25 01:40:00 PM,83.935,20480.0,
58,06/15/25 01:45:00 PM,86.097,20480.0,
59,06/15/25 01:50:00 PM,79.326,2432.0,
60,06/15/25 01:55:00 PM,59.164,152.0,
61,06/15/25 02:00:00 PM,57.441,136.0,
62,06/15/25 02:05:00 PM,57.268,144.0,
63,06/15/25 02:10:00 PM,57.614,125.0,
64,06/15/25 02:15:00 PM,57.268,114.0,
65,06/15/25 02:20:00 PM,56.577,101.0,
66,06/15/25 02:25:00 PM,56.230,105.0,
67,06/15/25 02:30:00 PM,57.268,102.0,
68,06/15/25 02:35:00 PM,57.096,88.0,
69,06/15/25 02:40:00 PM,56.923,81.0,
70,06/15/25 02:45:00 PM,57.614,67.0,
71,06/15/25 02:50:00 PM,57.614,65.0,
72,06/15/25 02:55:00 PM,57.785,13.0,
73,06/15/25 03:00:00 PM,58.131,12.0,
74,06/15/25 03:05:00 PM,58.131,12.0,
75,06/15/25 03:10:00 PM,58.131,0.0,
76,06/15/25 03:15:00 PM,58.993,0.0,
77,06/15/25 03:20:00 PM,60.024,0.0,
78,06/15/25 03:25:00 PM,60.368,0.0,
79,06/15/25 03:30:00 PM,60.883,10.0,
80,06/15/25 03:35:00 PM,61.398,53.0,
81,06/15/25 03:40:00 PM,61.398,0.0,
82,06/15/25 03:45:00 PM,61.741,0.0,
83,06/15/25 03:50:00 PM,62.598,0.0,
84,06/15/25 03:55:00 PM,62.425,0.0,
85,06/15/25 04:00:00 PM,61.227,0.0,
86,06/15/25 04:05:00 PM,60.712,0.0,
87,06/15/25 04:10:00 PM,57.441,0.0,
88,06/15/25 04:15:00 PM,51.699,0.0,
89,06/15/25 04:20:00 PM,47.982,0.0,
90,06/15/25 04:25:00 PM,45.286,0.0,
91,06/15/25 04:30:00 PM,43.282,0.0,
92,06/15/25 04:35:00 PM,41.810,0.0,
93,06/15/25 04:40:00 PM,40.696,0.0,
94,06/15/25 04:45:00 PM,40.134,0.0,Logged
