"Plot Title: B02 1m"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 22133663, SEN S/N: 22133663)","Button Down (LGR S/N: 22133663, SEN S/N: 22133663)","Button Up (LGR S/N: 22133663, SEN S/N: 22133663)","Host Connected (LGR S/N: 22133663, SEN S/N: 22133663)","Stopped (LGR S/N: 22133663, SEN S/N: 22133663)","End Of File (LGR S/N: 22133663, SEN S/N: 22133663)"
1,06/12/25 12:21:00 PM,50.22,,,,,
2,06/12/25 12:22:00 PM,50.22,,,,,
3,06/12/25 12:23:00 PM,49.99,,,,,
4,06/12/25 12:24:00 PM,49.60,,,,,
5,06/12/25 12:25:00 PM,49.14,,,,,
6,06/12/25 12:26:00 PM,48.67,,,,,
7,06/12/25 12:27:00 PM,48.37,,,,,
8,06/12/25 12:28:00 PM,48.06,,,,,
9,06/12/25 12:29:00 PM,47.75,,,,,
10,06/12/25 12:30:00 PM,47.59,,,,,
11,06/12/25 12:31:00 PM,47.67,,,,,
12,06/12/25 12:32:00 PM,47.67,,,,,
13,06/12/25 12:33:00 PM,47.83,,,,,
14,06/12/25 12:34:00 PM,47.67,,,,,
15,06/12/25 12:35:00 PM,47.44,,,,,
16,06/12/25 12:36:00 PM,47.28,,,,,
17,06/12/25 12:37:00 PM,47.05,,,,,
18,06/12/25 12:38:00 PM,46.90,,,,,
19,06/12/25 12:39:00 PM,46.59,,,,,
20,06/12/25 12:40:00 PM,46.44,,,,,
21,06/12/25 12:41:00 PM,46.28,,,,,
22,06/12/25 12:42:00 PM,46.20,,,,,
23,06/12/25 12:43:00 PM,46.05,,,,,
24,06/12/25 12:44:00 PM,45.89,,,,,
25,06/12/25 12:45:00 PM,45.74,,,,,
26,06/12/25 12:46:00 PM,45.66,,,,,
27,06/12/25 12:47:00 PM,45.59,,,,,
28,06/12/25 12:48:00 PM,45.51,,,,,
29,06/12/25 12:49:00 PM,45.28,,,,,
30,06/12/25 12:50:00 PM,45.12,,,,,
31,06/12/25 12:51:00 PM,44.97,,,,,
32,06/12/25 12:52:00 PM,44.74,,,,,
33,06/12/25 12:53:00 PM,44.50,,,,,
34,06/12/25 12:54:00 PM,44.35,,,,,
35,06/12/25 12:55:00 PM,44.12,,,,,
36,06/12/25 12:56:00 PM,43.81,,,,,
37,06/12/25 12:57:00 PM,43.73,,,,,
38,06/12/25 12:58:00 PM,43.58,,,,,
39,06/12/25 12:59:00 PM,43.58,,,,,
40,06/12/25 01:00:00 PM,43.50,,,,,
41,06/12/25 01:01:00 PM,43.58,,,,,
42,06/12/25 01:02:00 PM,43.58,,,,,
43,06/12/25 01:03:00 PM,43.35,,,,,
44,06/12/25 01:04:00 PM,43.27,,,,,
45,06/12/25 01:05:00 PM,43.19,,,,,
46,06/12/25 01:06:00 PM,43.04,,,,,
47,06/12/25 01:07:00 PM,42.96,,,,,
48,06/12/25 01:08:00 PM,43.04,,,,,
49,06/12/25 01:09:00 PM,43.04,,,,,
50,06/12/25 01:10:00 PM,43.19,,,,,
51,06/12/25 01:11:00 PM,43.27,,,,,
52,06/12/25 01:12:00 PM,43.27,,,,,
53,06/12/25 01:13:00 PM,43.19,,,,,
54,06/12/25 01:14:00 PM,43.11,,,,,
55,06/12/25 01:15:00 PM,42.96,,,,,
56,06/12/25 01:16:00 PM,42.73,,,,,
57,06/12/25 01:17:00 PM,42.57,,,,,
58,06/12/25 01:18:00 PM,42.34,,,,,
59,06/12/25 01:19:00 PM,42.11,,,,,
60,06/12/25 01:20:00 PM,41.96,,,,,
61,06/12/25 01:21:00 PM,41.65,,,,,
62,06/12/25 01:22:00 PM,41.57,,,,,
63,06/12/25 01:23:00 PM,41.42,,,,,
64,06/12/25 01:24:00 PM,41.34,,,,,
65,06/12/25 01:25:00 PM,41.18,,,,,
66,06/12/25 01:26:00 PM,41.18,,,,,
67,06/12/25 01:27:00 PM,41.26,,,,,
68,06/12/25 01:28:00 PM,41.34,,,,,
69,06/12/25 01:29:00 PM,41.34,,,,,
70,06/12/25 01:30:00 PM,41.57,,,,,
71,06/12/25 01:31:00 PM,41.65,,,,,
72,06/12/25 01:32:00 PM,41.72,,,,,
73,06/12/25 01:33:00 PM,41.80,,,,,
74,06/12/25 01:34:00 PM,41.80,,,,,
75,06/12/25 01:35:00 PM,41.80,,,,,
76,06/12/25 01:36:00 PM,41.88,,,,,
77,06/12/25 01:37:00 PM,41.88,,,,,
78,06/12/25 01:38:00 PM,41.72,,,,,
79,06/12/25 01:39:00 PM,41.72,,,,,
80,06/12/25 01:40:00 PM,41.57,,,,,
81,06/12/25 01:41:00 PM,41.57,,,,,
82,06/12/25 01:42:00 PM,41.34,,,,,
83,06/12/25 01:43:00 PM,41.18,,,,,
84,06/12/25 01:44:00 PM,41.11,,,,,
85,06/12/25 01:45:00 PM,41.42,,,,,
86,06/12/25 01:46:00 PM,41.49,,,,,
87,06/12/25 01:47:00 PM,41.57,,,,,
88,06/12/25 01:48:00 PM,41.65,,,,,
89,06/12/25 01:49:00 PM,41.72,,,,,
90,06/12/25 01:50:00 PM,41.80,,,,,
91,06/12/25 01:51:00 PM,41.88,,,,,
92,06/12/25 01:52:00 PM,42.03,,,,,
93,06/12/25 01:53:00 PM,42.03,,,,,
94,06/12/25 01:54:00 PM,41.72,,,,,
95,06/12/25 01:55:00 PM,41.57,,,,,
96,06/12/25 01:56:00 PM,41.34,,,,,
97,06/12/25 01:57:00 PM,41.18,,,,,
98,06/12/25 01:58:00 PM,40.88,,,,,
99,06/12/25 01:59:00 PM,40.72,,,,,
100,06/12/25 02:00:00 PM,40.57,,,,,
101,06/12/25 02:01:00 PM,40.33,,,,,
102,06/12/25 02:02:00 PM,40.03,,,,,
103,06/12/25 02:03:00 PM,39.87,,,,,
104,06/12/25 02:04:00 PM,39.79,,,,,
105,06/12/25 02:05:00 PM,39.64,,,,,
106,06/12/25 02:06:00 PM,39.64,,,,,
107,06/12/25 02:07:00 PM,39.49,,,,,
108,06/12/25 02:08:00 PM,39.49,,,,,
109,06/12/25 02:09:00 PM,39.25,,,,,
110,06/12/25 02:10:00 PM,39.25,,,,,
111,06/12/25 02:11:00 PM,39.18,,,,,
112,06/12/25 02:12:00 PM,39.02,,,,,
113,06/12/25 02:13:00 PM,38.87,,,,,
114,06/12/25 02:14:00 PM,38.79,,,,,
115,06/12/25 02:15:00 PM,38.79,,,,,
116,06/12/25 02:16:00 PM,38.71,,,,,
117,06/12/25 02:17:00 PM,38.79,,,,,
118,06/12/25 02:18:00 PM,38.64,,,,,
119,06/12/25 02:19:00 PM,38.71,,,,,
120,06/12/25 02:20:00 PM,38.71,,,,,
121,06/12/25 02:21:00 PM,38.64,,,,,
122,06/12/25 02:22:00 PM,38.71,,,,,
123,06/12/25 02:23:00 PM,38.79,,,,,
124,06/12/25 02:24:00 PM,38.71,,,,,
125,06/12/25 02:25:00 PM,38.79,,,,,
126,06/12/25 02:26:00 PM,38.71,,,,,
127,06/12/25 02:27:00 PM,38.79,,,,,
128,06/12/25 02:28:00 PM,38.64,,,,,
129,06/12/25 02:29:00 PM,38.64,,,,,
130,06/12/25 02:30:00 PM,38.71,,,,,
131,06/12/25 02:31:00 PM,39.33,,,,,
132,06/12/25 02:32:00 PM,40.03,,,,,
133,06/12/25 02:33:00 PM,40.57,,,,,
134,06/12/25 02:34:00 PM,40.95,,,,,
135,06/12/25 02:35:00 PM,41.34,,,,,
136,06/12/25 02:36:00 PM,41.26,,,,,
137,06/12/25 02:37:00 PM,41.18,,,,,
138,06/12/25 02:38:00 PM,40.80,,,,,
139,06/12/25 02:39:00 PM,40.41,,,,,
140,06/12/25 02:40:00 PM,40.03,,,,,
141,06/12/25 02:41:00 PM,39.87,,,,,
142,06/12/25 02:42:00 PM,39.79,,,,,
143,06/12/25 02:43:00 PM,39.72,,,,,
144,06/12/25 02:44:00 PM,39.79,,,,,
145,06/12/25 02:45:00 PM,39.72,,,,,
146,06/12/25 02:46:00 PM,39.79,,,,,
147,06/12/25 02:47:00 PM,39.64,,,,,
148,06/12/25 02:48:00 PM,39.72,,,,,
149,06/12/25 02:49:00 PM,39.87,,,,,
150,06/12/25 02:50:00 PM,40.03,,,,,
151,06/12/25 02:51:00 PM,40.26,,,,,
152,06/12/25 02:52:00 PM,40.57,,,,,
153,06/12/25 02:53:00 PM,40.88,,,,,
154,06/12/25 02:54:00 PM,41.03,,,,,
155,06/12/25 02:55:00 PM,41.34,,,,,
156,06/12/25 02:56:00 PM,41.57,,,,,
157,06/12/25 02:57:00 PM,41.80,,,,,
158,06/12/25 02:58:00 PM,42.11,,,,,
159,06/12/25 02:59:00 PM,42.34,,,,,
160,06/12/25 03:00:00 PM,42.27,,,,,
161,06/12/25 03:01:00 PM,42.19,,,,,
162,06/12/25 03:02:00 PM,42.11,,,,,
163,06/12/25 03:03:00 PM,41.96,,,,,
164,06/12/25 03:04:00 PM,41.96,,,,,
165,06/12/25 03:05:00 PM,41.96,,,,,
166,06/12/25 03:06:00 PM,41.65,,,,,
167,06/12/25 03:07:00 PM,41.49,,,,,
168,06/12/25 03:08:00 PM,41.26,,,,,
169,06/12/25 03:09:00 PM,41.26,,,,,
170,06/12/25 03:10:00 PM,41.03,,,,,
171,06/12/25 03:11:00 PM,40.95,,,,,
172,06/12/25 03:12:00 PM,40.80,,,,,
173,06/12/25 03:13:00 PM,40.57,,,,,
174,06/12/25 03:14:00 PM,40.33,,,,,
175,06/12/25 03:15:00 PM,40.10,,,,,
176,06/12/25 03:16:00 PM,39.95,,,,,
177,06/12/25 03:17:00 PM,39.72,,,,,
178,06/12/25 03:18:00 PM,39.72,,,,,
179,06/12/25 03:19:00 PM,39.49,,,,,
180,06/12/25 03:20:00 PM,39.41,,,,,
181,06/12/25 03:21:00 PM,39.18,,,,,
182,06/12/25 03:22:00 PM,39.18,,,,,
183,06/12/25 03:23:00 PM,39.10,,,,,
184,06/12/25 03:24:00 PM,38.94,,,,,
185,06/12/25 03:25:00 PM,38.94,,,,,
186,06/12/25 03:26:00 PM,38.87,,,,,
187,06/12/25 03:27:00 PM,38.87,,,,,
188,06/12/25 03:28:00 PM,38.71,,,,,
189,06/12/25 03:29:00 PM,38.64,,,,,
190,06/12/25 03:30:00 PM,38.56,,,,,
191,06/12/25 03:31:00 PM,38.48,,,,,
192,06/12/25 03:32:00 PM,38.40,,,,,
193,06/12/25 03:33:00 PM,38.25,,,,,
194,06/12/25 03:34:00 PM,38.02,,,,,
195,06/12/25 03:35:00 PM,37.94,,,,,
196,06/12/25 03:36:00 PM,37.79,,,,,
197,06/12/25 03:37:00 PM,37.63,,,,,
198,06/12/25 03:38:00 PM,37.55,,,,,
199,06/12/25 03:39:00 PM,37.48,,,,,
200,06/12/25 03:40:00 PM,37.40,,,,,
201,06/12/25 03:41:00 PM,37.25,,,,,
202,06/12/25 03:42:00 PM,37.17,,,,,
203,06/12/25 03:43:00 PM,36.94,,,,,
204,06/12/25 03:44:00 PM,36.94,,,,,
205,06/12/25 03:45:00 PM,36.94,,,,,
206,06/12/25 03:46:00 PM,36.78,,,,,
207,06/12/25 03:47:00 PM,36.86,,,,,
208,06/12/25 03:48:00 PM,36.71,,,,,
209,06/12/25 03:49:00 PM,36.71,,,,,
210,06/12/25 03:50:00 PM,36.71,,,,,
211,06/12/25 03:51:00 PM,36.63,,,,,
212,06/12/25 03:52:00 PM,36.71,,,,,
213,06/12/25 03:53:00 PM,36.71,,,,,
214,06/12/25 03:54:00 PM,36.71,,,,,
215,06/12/25 03:55:00 PM,36.63,,,,,
216,06/12/25 03:56:00 PM,36.78,,,,,
217,06/12/25 03:57:00 PM,36.78,,,,,
218,06/12/25 03:58:00 PM,36.78,,,,,
219,06/12/25 03:59:00 PM,36.86,,,,,
220,06/12/25 04:00:00 PM,36.78,,,,,
221,06/12/25 04:01:00 PM,36.78,,,,,
222,06/12/25 04:02:00 PM,36.78,,,,,
223,06/12/25 04:03:00 PM,36.63,,,,,
224,06/12/25 04:04:00 PM,36.63,,,,,
225,06/12/25 04:05:00 PM,36.78,,,,,
226,06/12/25 04:06:00 PM,36.86,,,,,
227,06/12/25 04:07:00 PM,36.86,,,,,
228,06/12/25 04:08:00 PM,36.94,,,,,
229,06/12/25 04:09:00 PM,36.94,,,,,
230,06/12/25 04:10:00 PM,36.94,,,,,
231,06/12/25 04:11:00 PM,36.78,,,,,
232,06/12/25 04:12:00 PM,36.86,,,,,
233,06/12/25 04:13:00 PM,37.01,,,,,
234,06/12/25 04:14:00 PM,37.17,,,,,
235,06/12/25 04:15:00 PM,37.40,,,,,
236,06/12/25 04:16:00 PM,37.48,,,,,
237,06/12/25 04:17:00 PM,37.55,,,,,
238,06/12/25 04:18:00 PM,37.63,,,,,
239,06/12/25 04:19:00 PM,37.71,,,,,
240,06/12/25 04:20:00 PM,37.71,,,,,
241,06/12/25 04:21:00 PM,37.79,,,,,
