"Plot Title: B03 2m"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 22133635, SEN S/N: 22133635)","Button Down (LGR S/N: 22133635, SEN S/N: 22133635)","Button Up (LGR S/N: 22133635, SEN S/N: 22133635)","Host Connected (LGR S/N: 22133635, SEN S/N: 22133635)","End Of File (LGR S/N: 22133635, SEN S/N: 22133635)"
1,06/12/25 12:13:57 PM,54.00,,,,
2,06/12/25 12:14:57 PM,54.23,,,,
3,06/12/25 12:15:57 PM,54.54,,,,
4,06/12/25 12:16:57 PM,54.54,,,,
5,06/12/25 12:17:57 PM,54.62,,,,
6,06/12/25 12:18:57 PM,54.62,,,,
7,06/12/25 12:19:57 PM,54.78,,,,
8,06/12/25 12:20:57 PM,54.70,,,,
9,06/12/25 12:21:57 PM,54.62,,,,
10,06/12/25 12:22:57 PM,54.70,,,,
11,06/12/25 12:23:57 PM,54.54,,,,
12,06/12/25 12:24:57 PM,54.39,,,,
13,06/12/25 12:25:57 PM,54.31,,,,
14,06/12/25 12:26:57 PM,54.16,,,,
15,06/12/25 12:27:57 PM,54.16,,,,
16,06/12/25 12:28:57 PM,53.93,,,,
17,06/12/25 12:29:57 PM,53.77,,,,
18,06/12/25 12:30:57 PM,53.69,,,,
19,06/12/25 12:31:57 PM,53.62,,,,
20,06/12/25 12:32:57 PM,53.46,,,,
21,06/12/25 12:33:57 PM,53.39,,,,
22,06/12/25 12:34:57 PM,53.15,,,,
23,06/12/25 12:35:57 PM,53.08,,,,
24,06/12/25 12:36:57 PM,52.84,,,,
25,06/12/25 12:37:57 PM,52.77,,,,
26,06/12/25 12:38:57 PM,52.77,,,,
27,06/12/25 12:39:57 PM,52.84,,,,
28,06/12/25 12:40:57 PM,52.92,,,,
29,06/12/25 12:41:57 PM,52.92,,,,
30,06/12/25 12:42:57 PM,53.00,,,,
31,06/12/25 12:43:57 PM,52.84,,,,
32,06/12/25 12:44:57 PM,52.92,,,,
33,06/12/25 12:45:57 PM,52.92,,,,
34,06/12/25 12:46:57 PM,52.92,,,,
35,06/12/25 12:47:57 PM,52.77,,,,
36,06/12/25 12:48:57 PM,52.46,,,,
37,06/12/25 12:49:57 PM,52.07,,,,
38,06/12/25 12:50:57 PM,51.61,,,,
39,06/12/25 12:51:57 PM,51.07,,,,
40,06/12/25 12:52:57 PM,50.61,,,,
41,06/12/25 12:53:57 PM,50.14,,,,
42,06/12/25 12:54:57 PM,49.76,,,,
43,06/12/25 12:55:57 PM,49.45,,,,
44,06/12/25 12:56:57 PM,49.37,,,,
45,06/12/25 12:57:57 PM,49.14,,,,
46,06/12/25 12:58:57 PM,49.14,,,,
47,06/12/25 12:59:57 PM,49.37,,,,
48,06/12/25 01:00:57 PM,49.52,,,,
49,06/12/25 01:01:57 PM,49.68,,,,
50,06/12/25 01:02:57 PM,49.68,,,,
51,06/12/25 01:03:57 PM,49.52,,,,
52,06/12/25 01:04:57 PM,49.45,,,,
53,06/12/25 01:05:57 PM,49.37,,,,
54,06/12/25 01:06:57 PM,49.37,,,,
55,06/12/25 01:07:57 PM,49.45,,,,
56,06/12/25 01:08:57 PM,49.60,,,,
57,06/12/25 01:09:57 PM,49.60,,,,
58,06/12/25 01:10:57 PM,49.76,,,,
59,06/12/25 01:11:57 PM,49.76,,,,
60,06/12/25 01:12:57 PM,49.91,,,,
61,06/12/25 01:13:57 PM,49.91,,,,
62,06/12/25 01:14:57 PM,49.99,,,,
63,06/12/25 01:15:57 PM,50.06,,,,
64,06/12/25 01:16:57 PM,49.91,,,,
65,06/12/25 01:17:57 PM,49.76,,,,
66,06/12/25 01:18:57 PM,49.68,,,,
67,06/12/25 01:19:57 PM,49.52,,,,
68,06/12/25 01:20:57 PM,49.37,,,,
69,06/12/25 01:21:57 PM,49.14,,,,
70,06/12/25 01:22:57 PM,48.98,,,,
71,06/12/25 01:23:57 PM,48.75,,,,
72,06/12/25 01:24:57 PM,48.75,,,,
73,06/12/25 01:25:57 PM,48.52,,,,
74,06/12/25 01:26:57 PM,48.52,,,,
75,06/12/25 01:27:57 PM,48.44,,,,
76,06/12/25 01:28:57 PM,48.52,,,,
77,06/12/25 01:29:57 PM,48.52,,,,
78,06/12/25 01:30:57 PM,48.52,,,,
79,06/12/25 01:31:57 PM,48.37,,,,
80,06/12/25 01:32:57 PM,48.37,,,,
81,06/12/25 01:33:57 PM,48.37,,,,
82,06/12/25 01:34:57 PM,48.29,,,,
83,06/12/25 01:35:57 PM,48.21,,,,
84,06/12/25 01:36:57 PM,48.13,,,,
85,06/12/25 01:37:57 PM,48.13,,,,
86,06/12/25 01:38:57 PM,48.06,,,,
87,06/12/25 01:39:57 PM,48.21,,,,
88,06/12/25 01:40:57 PM,48.21,,,,
89,06/12/25 01:41:57 PM,47.90,,,,
90,06/12/25 01:42:57 PM,47.59,,,,
91,06/12/25 01:43:57 PM,47.52,,,,
92,06/12/25 01:44:57 PM,47.52,,,,
93,06/12/25 01:45:57 PM,47.44,,,,
94,06/12/25 01:46:57 PM,47.36,,,,
95,06/12/25 01:47:57 PM,47.36,,,,
96,06/12/25 01:48:57 PM,47.36,,,,
97,06/12/25 01:49:57 PM,47.28,,,,
98,06/12/25 01:50:57 PM,47.36,,,,
99,06/12/25 01:51:57 PM,47.28,,,,
