"Plot Title: C02 2m"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 22133637, SEN S/N: 22133637)","Button Down (LGR S/N: 22133637, SEN S/N: 22133637)","Button Up (LGR S/N: 22133637, SEN S/N: 22133637)","Host Connected (LGR S/N: 22133637, SEN S/N: 22133637)","End Of File (LGR S/N: 22133637, SEN S/N: 22133637)"
1,06/20/25 05:04:00 PM,45.35,,,,
2,06/20/25 05:05:00 PM,44.89,,,,
3,06/20/25 05:06:00 PM,43.66,,,,
4,06/20/25 05:07:00 PM,42.57,,,,
5,06/20/25 05:08:00 PM,42.65,,,,
6,06/20/25 05:09:00 PM,42.50,,,,
7,06/20/25 05:10:00 PM,42.42,,,,
8,06/20/25 05:11:00 PM,42.42,,,,
9,06/20/25 05:12:00 PM,42.73,,,,
10,06/20/25 05:13:00 PM,43.04,,,,
11,06/20/25 05:14:00 PM,43.89,,,,
12,06/20/25 05:15:00 PM,45.05,,,,
13,06/20/25 05:16:00 PM,45.51,,,,
14,06/20/25 05:17:00 PM,45.82,,,,
15,06/20/25 05:18:00 PM,46.20,,,,
16,06/20/25 05:19:00 PM,46.90,,,,
17,06/20/25 05:20:00 PM,47.67,,,,
18,06/20/25 05:21:00 PM,47.90,,,,
19,06/20/25 05:22:00 PM,47.98,,,,
20,06/20/25 05:23:00 PM,47.67,,,,
21,06/20/25 05:24:00 PM,48.06,,,,
22,06/20/25 05:25:00 PM,48.44,,,,
23,06/20/25 05:26:00 PM,48.21,,,,
24,06/20/25 05:27:00 PM,48.06,,,,
25,06/20/25 05:28:00 PM,47.98,,,,
26,06/20/25 05:29:00 PM,47.90,,,,
27,06/20/25 05:30:00 PM,47.83,,,,
28,06/20/25 05:31:00 PM,47.59,,,,
29,06/20/25 05:32:00 PM,47.59,,,,
30,06/20/25 05:33:00 PM,47.75,,,,
31,06/20/25 05:34:00 PM,48.13,,,,
32,06/20/25 05:35:00 PM,48.91,,,,
33,06/20/25 05:36:00 PM,49.83,,,,
34,06/20/25 05:37:00 PM,50.76,,,,
35,06/20/25 05:38:00 PM,51.15,,,,
36,06/20/25 05:39:00 PM,51.22,,,,
37,06/20/25 05:40:00 PM,51.61,,,,
38,06/20/25 05:41:00 PM,51.92,,,,
39,06/20/25 05:42:00 PM,51.53,,,,
40,06/20/25 05:43:00 PM,50.91,,,,
41,06/20/25 05:44:00 PM,51.07,,,,
42,06/20/25 05:45:00 PM,51.30,,,,
43,06/20/25 05:46:00 PM,51.69,,,,
44,06/20/25 05:47:00 PM,52.07,,,,
45,06/20/25 05:48:00 PM,52.46,,,,
46,06/20/25 05:49:00 PM,51.84,,,,
47,06/20/25 05:50:00 PM,51.38,,,,
48,06/20/25 05:51:00 PM,50.76,,,,
49,06/20/25 05:52:00 PM,50.37,,,,
50,06/20/25 05:53:00 PM,49.99,,,,
51,06/20/25 05:54:00 PM,49.68,,,,
52,06/20/25 05:55:00 PM,49.52,,,,
53,06/20/25 05:56:00 PM,49.29,,,,
54,06/20/25 05:57:00 PM,49.29,,,,
55,06/20/25 05:58:00 PM,49.68,,,,
56,06/20/25 05:59:00 PM,49.52,,,,
57,06/20/25 06:00:00 PM,49.68,,,,
58,06/20/25 06:01:00 PM,49.83,,,,
59,06/20/25 06:02:00 PM,50.22,,,,
60,06/20/25 06:03:00 PM,50.30,,,,
61,06/20/25 06:04:00 PM,50.45,,,,
62,06/20/25 06:05:00 PM,50.45,,,,
63,06/20/25 06:06:00 PM,49.60,,,,
64,06/20/25 06:07:00 PM,49.06,,,,
65,06/20/25 06:08:00 PM,48.67,,,,
66,06/20/25 06:09:00 PM,48.91,,,,
67,06/20/25 06:10:00 PM,49.52,,,,
68,06/20/25 06:11:00 PM,49.29,,,,
69,06/20/25 06:12:00 PM,48.75,,,,
70,06/20/25 06:13:00 PM,48.13,,,,
71,06/20/25 06:14:00 PM,47.67,,,,
72,06/20/25 06:15:00 PM,48.29,,,,
73,06/20/25 06:16:00 PM,49.06,,,,
74,06/20/25 06:17:00 PM,49.83,,,,
75,06/20/25 06:18:00 PM,49.60,,,,
76,06/20/25 06:19:00 PM,49.06,,,,
77,06/20/25 06:20:00 PM,49.29,,,,
78,06/20/25 06:21:00 PM,48.60,,,,
79,06/20/25 06:22:00 PM,48.60,,,,
80,06/20/25 06:23:00 PM,49.14,,,,
81,06/20/25 06:24:00 PM,49.99,,,,
82,06/20/25 06:25:00 PM,50.99,,,,
83,06/20/25 06:26:00 PM,51.07,,,,
84,06/20/25 06:27:00 PM,49.83,,,,
85,06/20/25 06:28:00 PM,49.37,,,,
86,06/20/25 06:29:00 PM,48.75,,,,
87,06/20/25 06:30:00 PM,47.83,,,,
88,06/20/25 06:31:00 PM,47.59,,,,
89,06/20/25 06:32:00 PM,47.59,,,,
90,06/20/25 06:33:00 PM,47.67,,,,
91,06/20/25 06:34:00 PM,47.98,,,,
92,06/20/25 06:35:00 PM,47.98,,,,
93,06/20/25 06:36:00 PM,47.75,,,,
94,06/20/25 06:37:00 PM,47.75,,,,
95,06/20/25 06:38:00 PM,47.44,,,,
96,06/20/25 06:39:00 PM,47.28,,,,
97,06/20/25 06:40:00 PM,47.05,,,,
98,06/20/25 06:41:00 PM,47.05,,,,
99,06/20/25 06:42:00 PM,46.98,,,,
100,06/20/25 06:43:00 PM,46.90,,,,
101,06/20/25 06:44:00 PM,46.82,,,,
102,06/20/25 06:45:00 PM,46.67,,,,
103,06/20/25 06:46:00 PM,46.67,,,,
104,06/20/25 06:47:00 PM,47.59,,,,
105,06/20/25 06:48:00 PM,47.52,,,,
106,06/20/25 06:49:00 PM,48.60,,,,
107,06/20/25 06:50:00 PM,49.91,,,,
108,06/20/25 06:51:00 PM,50.68,,,,
109,06/20/25 06:52:00 PM,50.14,,,,
110,06/20/25 06:53:00 PM,50.06,,,,
111,06/20/25 06:54:00 PM,49.83,,,,
112,06/20/25 06:55:00 PM,49.52,,,,
113,06/20/25 06:56:00 PM,49.68,,,,
114,06/20/25 06:57:00 PM,49.37,,,,
115,06/20/25 06:58:00 PM,49.14,,,,
116,06/20/25 06:59:00 PM,49.06,,,,
117,06/20/25 07:00:00 PM,49.22,,,,
118,06/20/25 07:01:00 PM,48.75,,,,
119,06/20/25 07:02:00 PM,48.37,,,,
120,06/20/25 07:03:00 PM,47.90,,,,
121,06/20/25 07:04:00 PM,47.13,,,,
122,06/20/25 07:05:00 PM,46.51,,,,
123,06/20/25 07:06:00 PM,45.74,,,,
124,06/20/25 07:07:00 PM,45.05,,,,
125,06/20/25 07:08:00 PM,44.58,,,,
126,06/20/25 07:09:00 PM,44.27,,,,
127,06/20/25 07:10:00 PM,43.89,,,,
128,06/20/25 07:11:00 PM,43.50,,,,
129,06/20/25 07:12:00 PM,43.35,,,,
130,06/20/25 07:13:00 PM,43.04,,,,
131,06/20/25 07:14:00 PM,42.81,,,,
132,06/20/25 07:15:00 PM,42.57,,,,
133,06/20/25 07:16:00 PM,42.73,,,,
134,06/20/25 07:17:00 PM,42.88,,,,
135,06/20/25 07:18:00 PM,43.27,,,,
136,06/20/25 07:19:00 PM,43.35,,,,
137,06/20/25 07:20:00 PM,43.66,,,,
138,06/20/25 07:21:00 PM,43.66,,,,
139,06/20/25 07:22:00 PM,43.58,,,,
140,06/20/25 07:23:00 PM,43.11,,,,
141,06/20/25 07:24:00 PM,42.65,,,,
142,06/20/25 07:25:00 PM,43.19,,,,
143,06/20/25 07:26:00 PM,42.96,,,,
144,06/20/25 07:27:00 PM,42.88,,,,
145,06/20/25 07:28:00 PM,42.88,,,,
146,06/20/25 07:29:00 PM,42.81,,,,
147,06/20/25 07:30:00 PM,42.34,,,,
148,06/20/25 07:31:00 PM,41.88,,,,
149,06/20/25 07:32:00 PM,41.49,,,,
150,06/20/25 07:33:00 PM,40.95,,,,
151,06/20/25 07:34:00 PM,40.64,,,,
152,06/20/25 07:35:00 PM,40.49,,,,
153,06/20/25 07:36:00 PM,40.26,,,,
154,06/20/25 07:37:00 PM,40.26,,,,
155,06/20/25 07:38:00 PM,40.18,,,,
156,06/20/25 07:39:00 PM,40.18,,,,
157,06/20/25 07:40:00 PM,40.72,,,,
158,06/20/25 07:41:00 PM,40.80,,,,
159,06/20/25 07:42:00 PM,40.80,,,,
160,06/20/25 07:43:00 PM,41.11,,,,
161,06/20/25 07:44:00 PM,41.18,,,,
162,06/20/25 07:45:00 PM,40.95,,,,
163,06/20/25 07:46:00 PM,40.88,,,,
164,06/20/25 07:47:00 PM,40.88,,,,
165,06/20/25 07:48:00 PM,41.11,,,,
166,06/20/25 07:49:00 PM,41.26,,,,
167,06/20/25 07:50:00 PM,41.65,,,,
168,06/20/25 07:51:00 PM,41.96,,,,
169,06/20/25 07:52:00 PM,42.42,,,,
170,06/20/25 07:53:00 PM,42.96,,,,
171,06/20/25 07:54:00 PM,43.73,,,,
172,06/20/25 07:55:00 PM,44.35,,,,
173,06/20/25 07:56:00 PM,44.81,,,,
174,06/20/25 07:57:00 PM,45.20,,,,
175,06/20/25 07:58:00 PM,45.74,,,,
176,06/20/25 07:59:00 PM,46.20,,,,
177,06/20/25 08:00:00 PM,46.59,,,,
178,06/20/25 08:01:00 PM,46.98,,,,
