"Plot Title: D01 1m"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 22133652, SEN S/N: 22133652)","Button Down (LGR S/N: 22133652, SEN S/N: 22133652)","Button Up (LGR S/N: 22133652, SEN S/N: 22133652)","Host Connected (LGR S/N: 22133652, SEN S/N: 22133652)","End Of File (LGR S/N: 22133652, SEN S/N: 22133652)"
1,06/21/25 05:19:00 PM,42.88,,,,
2,06/21/25 05:20:00 PM,42.57,,,,
3,06/21/25 05:21:00 PM,42.65,,,,
4,06/21/25 05:22:00 PM,42.88,,,,
5,06/21/25 05:23:00 PM,43.04,,,,
6,06/21/25 05:24:00 PM,42.88,,,,
7,06/21/25 05:25:00 PM,42.96,,,,
8,06/21/25 05:26:00 PM,43.27,,,,
9,06/21/25 05:27:00 PM,43.19,,,,
10,06/21/25 05:28:00 PM,43.66,,,,
11,06/21/25 05:29:00 PM,44.04,,,,
12,06/21/25 05:30:00 PM,44.20,,,,
13,06/21/25 05:31:00 PM,44.50,,,,
14,06/21/25 05:32:00 PM,44.89,,,,
15,06/21/25 05:33:00 PM,44.81,,,,
16,06/21/25 05:34:00 PM,44.50,,,,
17,06/21/25 05:35:00 PM,44.43,,,,
18,06/21/25 05:36:00 PM,44.43,,,,
19,06/21/25 05:37:00 PM,44.35,,,,
20,06/21/25 05:38:00 PM,44.12,,,,
21,06/21/25 05:39:00 PM,43.96,,,,
22,06/21/25 05:40:00 PM,43.96,,,,
23,06/21/25 05:41:00 PM,43.73,,,,
24,06/21/25 05:42:00 PM,43.66,,,,
25,06/21/25 05:43:00 PM,43.73,,,,
26,06/21/25 05:44:00 PM,44.27,,,,
27,06/21/25 05:45:00 PM,44.97,,,,
28,06/21/25 05:46:00 PM,45.05,,,,
29,06/21/25 05:47:00 PM,45.28,,,,
30,06/21/25 05:48:00 PM,45.20,,,,
31,06/21/25 05:49:00 PM,45.05,,,,
32,06/21/25 05:50:00 PM,44.97,,,,
33,06/21/25 05:51:00 PM,44.89,,,,
34,06/21/25 05:52:00 PM,44.81,,,,
35,06/21/25 05:53:00 PM,44.50,,,,
36,06/21/25 05:54:00 PM,44.12,,,,
37,06/21/25 05:55:00 PM,43.96,,,,
38,06/21/25 05:56:00 PM,43.73,,,,
39,06/21/25 05:57:00 PM,43.42,,,,
40,06/21/25 05:58:00 PM,43.50,,,,
41,06/21/25 05:59:00 PM,43.58,,,,
42,06/21/25 06:00:00 PM,43.58,,,,
43,06/21/25 06:01:00 PM,43.42,,,,
44,06/21/25 06:02:00 PM,43.27,,,,
45,06/21/25 06:03:00 PM,43.27,,,,
46,06/21/25 06:04:00 PM,43.19,,,,
47,06/21/25 06:05:00 PM,43.27,,,,
48,06/21/25 06:06:00 PM,43.42,,,,
49,06/21/25 06:07:00 PM,43.50,,,,
50,06/21/25 06:08:00 PM,43.50,,,,
51,06/21/25 06:09:00 PM,43.73,,,,
52,06/21/25 06:10:00 PM,43.89,,,,
53,06/21/25 06:11:00 PM,44.27,,,,
54,06/21/25 06:12:00 PM,45.05,,,,
55,06/21/25 06:13:00 PM,45.43,,,,
56,06/21/25 06:14:00 PM,46.05,,,,
