"Plot Title: D01 2m"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 22133646, SEN S/N: 22133646)","Host Connected (LGR S/N: 22133646, SEN S/N: 22133646)","Button Down (LGR S/N: 22133646, SEN S/N: 22133646)","Button Up (LGR S/N: 22133646, SEN S/N: 22133646)","End Of File (LGR S/N: 22133646, SEN S/N: 22133646)"
1,06/21/25 05:18:00 PM,41.65,,,,
2,06/21/25 05:18:12 PM,,Logged,,,
3,06/21/25 05:19:00 PM,41.34,,,,
4,06/21/25 05:20:00 PM,41.26,,,,
5,06/21/25 05:21:00 PM,41.57,,,,
6,06/21/25 05:22:00 PM,41.88,,,,
7,06/21/25 05:23:00 PM,42.11,,,,
8,06/21/25 05:24:00 PM,42.27,,,,
9,06/21/25 05:25:00 PM,42.27,,,,
10,06/21/25 05:26:00 PM,42.50,,,,
11,06/21/25 05:27:00 PM,42.57,,,,
12,06/21/25 05:28:00 PM,43.11,,,,
13,06/21/25 05:29:00 PM,43.58,,,,
14,06/21/25 05:30:00 PM,43.81,,,,
15,06/21/25 05:31:00 PM,44.12,,,,
16,06/21/25 05:32:00 PM,44.66,,,,
17,06/21/25 05:33:00 PM,44.43,,,,
18,06/21/25 05:34:00 PM,44.27,,,,
19,06/21/25 05:35:00 PM,44.04,,,,
20,06/21/25 05:36:00 PM,44.20,,,,
21,06/21/25 05:37:00 PM,44.20,,,,
22,06/21/25 05:38:00 PM,43.89,,,,
23,06/21/25 05:39:00 PM,43.81,,,,
24,06/21/25 05:40:00 PM,43.66,,,,
25,06/21/25 05:41:00 PM,43.50,,,,
26,06/21/25 05:42:00 PM,43.66,,,,
27,06/21/25 05:43:00 PM,43.89,,,,
28,06/21/25 05:44:00 PM,44.66,,,,
29,06/21/25 05:45:00 PM,45.59,,,,
30,06/21/25 05:46:00 PM,45.74,,,,
31,06/21/25 05:47:00 PM,45.97,,,,
32,06/21/25 05:48:00 PM,45.82,,,,
33,06/21/25 05:49:00 PM,45.66,,,,
34,06/21/25 05:50:00 PM,45.51,,,,
35,06/21/25 05:51:00 PM,45.66,,,,
36,06/21/25 05:52:00 PM,45.51,,,,
37,06/21/25 05:53:00 PM,45.20,,,,
38,06/21/25 05:54:00 PM,44.74,,,,
39,06/21/25 05:55:00 PM,44.35,,,,
40,06/21/25 05:56:00 PM,43.96,,,,
41,06/21/25 05:57:00 PM,43.73,,,,
42,06/21/25 05:58:00 PM,43.73,,,,
43,06/21/25 05:59:00 PM,43.96,,,,
44,06/21/25 06:00:00 PM,43.81,,,,
45,06/21/25 06:01:00 PM,43.50,,,,
46,06/21/25 06:02:00 PM,43.35,,,,
47,06/21/25 06:03:00 PM,43.19,,,,
48,06/21/25 06:04:00 PM,43.19,,,,
49,06/21/25 06:05:00 PM,43.50,,,,
50,06/21/25 06:06:00 PM,43.66,,,,
51,06/21/25 06:07:00 PM,43.58,,,,
52,06/21/25 06:08:00 PM,43.96,,,,
53,06/21/25 06:09:00 PM,44.50,,,,
54,06/21/25 06:10:00 PM,45.20,,,,
55,06/21/25 06:11:00 PM,46.20,,,,
56,06/21/25 06:12:00 PM,47.21,,,,
57,06/21/25 06:13:00 PM,47.90,,,,
58,06/21/25 06:14:00 PM,48.37,,,,
59,06/21/25 06:15:00 PM,48.37,,,,
60,06/21/25 06:16:00 PM,48.37,,,,
