"Plot Title: E01 1m"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 22133647, SEN S/N: 22133647)","Button Down (LGR S/N: 22133647, SEN S/N: 22133647)","Button Up (LGR S/N: 22133647, SEN S/N: 22133647)","Host Connected (LGR S/N: 22133647, SEN S/N: 22133647)","End Of File (LGR S/N: 22133647, SEN S/N: 22133647)"
1,06/21/25 04:24:00 PM,46.51,,,,
2,06/21/25 04:25:00 PM,46.44,,,,
3,06/21/25 04:26:00 PM,46.51,,,,
4,06/21/25 04:27:00 PM,46.36,,,,
5,06/21/25 04:28:00 PM,46.13,,,,
6,06/21/25 04:29:00 PM,45.89,,,,
7,06/21/25 04:30:00 PM,45.82,,,,
8,06/21/25 04:31:00 PM,46.20,,,,
9,06/21/25 04:32:00 PM,46.59,,,,
10,06/21/25 04:33:00 PM,46.67,,,,
11,06/21/25 04:34:00 PM,46.44,,,,
12,06/21/25 04:35:00 PM,46.82,,,,
13,06/21/25 04:36:00 PM,47.05,,,,
14,06/21/25 04:37:00 PM,47.05,,,,
15,06/21/25 04:38:00 PM,47.21,,,,
16,06/21/25 04:39:00 PM,47.36,,,,
17,06/21/25 04:40:00 PM,47.67,,,,
18,06/21/25 04:41:00 PM,47.98,,,,
19,06/21/25 04:42:00 PM,48.21,,,,
20,06/21/25 04:43:00 PM,48.52,,,,
21,06/21/25 04:44:00 PM,48.67,,,,
22,06/21/25 04:45:00 PM,48.83,,,,
23,06/21/25 04:46:00 PM,48.75,,,,
24,06/21/25 04:47:00 PM,48.83,,,,
25,06/21/25 04:48:00 PM,48.91,,,,
26,06/21/25 04:49:00 PM,49.06,,,,
27,06/21/25 04:50:00 PM,49.22,,,,
28,06/21/25 04:51:00 PM,48.91,,,,
29,06/21/25 04:52:00 PM,48.67,,,,
30,06/21/25 04:53:00 PM,48.60,,,,
31,06/21/25 04:54:00 PM,48.60,,,,
32,06/21/25 04:55:00 PM,48.67,,,,
33,06/21/25 04:56:00 PM,48.44,,,,
34,06/21/25 04:57:00 PM,47.83,,,,
35,06/21/25 04:58:00 PM,47.36,,,,
36,06/21/25 04:59:00 PM,47.05,,,,
37,06/21/25 05:00:00 PM,47.59,,,,
38,06/21/25 05:01:00 PM,48.06,,,,
39,06/21/25 05:02:00 PM,48.29,,,,
40,06/21/25 05:03:00 PM,48.44,,,,
41,06/21/25 05:04:00 PM,48.60,,,,
42,06/21/25 05:05:00 PM,48.83,,,,
43,06/21/25 05:06:00 PM,48.75,,,,
44,06/21/25 05:07:00 PM,48.52,,,,
45,06/21/25 05:08:00 PM,48.29,,,,
46,06/21/25 05:09:00 PM,47.90,,,,
47,06/21/25 05:10:00 PM,47.44,,,,
48,06/21/25 05:11:00 PM,47.05,,,,
49,06/21/25 05:12:00 PM,46.59,,,,
50,06/21/25 05:13:00 PM,46.59,,,,
51,06/21/25 05:14:00 PM,46.67,,,,
52,06/21/25 05:15:00 PM,46.44,,,,
53,06/21/25 05:16:00 PM,46.28,,,,
54,06/21/25 05:17:00 PM,46.05,,,,
55,06/21/25 05:18:00 PM,45.97,,,,
56,06/21/25 05:19:00 PM,45.97,,,,
57,06/21/25 05:20:00 PM,45.89,,,,
58,06/21/25 05:21:00 PM,45.82,,,,
59,06/21/25 05:22:00 PM,45.82,,,,
60,06/21/25 05:23:00 PM,45.82,,,,
61,06/21/25 05:24:00 PM,45.82,,,,
62,06/21/25 05:25:00 PM,45.74,,,,
63,06/21/25 05:26:00 PM,45.89,,,,
64,06/21/25 05:27:00 PM,46.13,,,,
65,06/21/25 05:28:00 PM,46.28,,,,
66,06/21/25 05:29:00 PM,46.36,,,,
67,06/21/25 05:30:00 PM,47.13,,,,
68,06/21/25 05:31:00 PM,47.52,,,,
69,06/21/25 05:32:00 PM,47.98,,,,
70,06/21/25 05:33:00 PM,48.21,,,,
71,06/21/25 05:34:00 PM,48.13,,,,
72,06/21/25 05:35:00 PM,48.21,,,,
73,06/21/25 05:36:00 PM,48.29,,,,
74,06/21/25 05:37:00 PM,48.29,,,,
75,06/21/25 05:38:00 PM,48.37,,,,
76,06/21/25 05:39:00 PM,48.52,,,,
77,06/21/25 05:40:00 PM,48.60,,,,
78,06/21/25 05:41:00 PM,48.60,,,,
79,06/21/25 05:42:00 PM,48.44,,,,
80,06/21/25 05:43:00 PM,48.44,,,,
81,06/21/25 05:44:00 PM,48.44,,,,
82,06/21/25 05:45:00 PM,48.44,,,,
83,06/21/25 05:46:00 PM,48.44,,,,
84,06/21/25 05:47:00 PM,48.37,,,,
85,06/21/25 05:48:00 PM,48.29,,,,
86,06/21/25 05:49:00 PM,48.06,,,,
87,06/21/25 05:50:00 PM,47.75,,,,
88,06/21/25 05:51:00 PM,47.28,,,,
89,06/21/25 05:52:00 PM,46.98,,,,
90,06/21/25 05:53:00 PM,46.51,,,,
91,06/21/25 05:54:00 PM,46.05,,,,
92,06/21/25 05:55:00 PM,45.59,,,,
93,06/21/25 05:56:00 PM,45.28,,,,
94,06/21/25 05:57:00 PM,45.05,,,,
95,06/21/25 05:58:00 PM,44.74,,,,
96,06/21/25 05:59:00 PM,44.43,,,,
97,06/21/25 06:00:00 PM,44.04,,,,
98,06/21/25 06:01:00 PM,43.96,,,,
99,06/21/25 06:02:00 PM,43.89,,,,
100,06/21/25 06:03:00 PM,43.81,,,,
101,06/21/25 06:04:00 PM,43.81,,,,
102,06/21/25 06:05:00 PM,43.66,,,,
103,06/21/25 06:06:00 PM,43.58,,,,
104,06/21/25 06:07:00 PM,43.73,,,,
105,06/21/25 06:08:00 PM,43.66,,,,
106,06/21/25 06:09:00 PM,43.50,,,,
107,06/21/25 06:10:00 PM,43.42,,,,
108,06/21/25 06:11:00 PM,43.35,,,,
109,06/21/25 06:12:00 PM,43.35,,,,
110,06/21/25 06:13:00 PM,43.11,,,,
111,06/21/25 06:14:00 PM,43.04,,,,
112,06/21/25 06:15:00 PM,43.04,,,,
113,06/21/25 06:16:00 PM,42.81,,,,
114,06/21/25 06:17:00 PM,42.96,,,,
115,06/21/25 06:18:00 PM,42.81,,,,
116,06/21/25 06:19:00 PM,42.81,,,,
117,06/21/25 06:20:00 PM,42.96,,,,
118,06/21/25 06:21:00 PM,43.04,,,,
119,06/21/25 06:22:00 PM,43.11,,,,
120,06/21/25 06:23:00 PM,43.19,,,,
121,06/21/25 06:24:00 PM,43.19,,,,
122,06/21/25 06:25:00 PM,43.19,,,,
123,06/21/25 06:26:00 PM,43.11,,,,
124,06/21/25 06:27:00 PM,42.96,,,,
125,06/21/25 06:28:00 PM,42.96,,,,
126,06/21/25 06:29:00 PM,43.42,,,,
127,06/21/25 06:30:00 PM,43.81,,,,
128,06/21/25 06:31:00 PM,44.12,,,,
129,06/21/25 06:32:00 PM,44.20,,,,
130,06/21/25 06:33:00 PM,44.35,,,,
131,06/21/25 06:34:00 PM,44.12,,,,
132,06/21/25 06:35:00 PM,43.81,,,,
133,06/21/25 06:36:00 PM,43.58,,,,
134,06/21/25 06:37:00 PM,43.50,,,,
135,06/21/25 06:38:00 PM,43.50,,,,
136,06/21/25 06:39:00 PM,43.58,,,,
137,06/21/25 06:40:00 PM,43.66,,,,
138,06/21/25 06:41:00 PM,43.81,,,,
139,06/21/25 06:42:00 PM,44.12,,,,
140,06/21/25 06:43:00 PM,44.35,,,,
141,06/21/25 06:44:00 PM,44.66,,,,
142,06/21/25 06:45:00 PM,44.81,,,,
143,06/21/25 06:46:00 PM,44.81,,,,
144,06/21/25 06:47:00 PM,44.97,,,,
145,06/21/25 06:48:00 PM,45.28,,,,
146,06/21/25 06:49:00 PM,45.43,,,,
147,06/21/25 06:50:00 PM,45.59,,,,
148,06/21/25 06:51:00 PM,45.82,,,,
149,06/21/25 06:52:00 PM,45.89,,,,
150,06/21/25 06:53:00 PM,46.05,,,,
151,06/21/25 06:54:00 PM,46.13,,,,
152,06/21/25 06:55:00 PM,46.36,,,,
153,06/21/25 06:56:00 PM,46.90,,,,
154,06/21/25 06:57:00 PM,47.52,,,,
155,06/21/25 06:58:00 PM,48.21,,,,
156,06/21/25 06:59:00 PM,48.91,,,,
157,06/21/25 07:00:00 PM,49.37,,,,
158,06/21/25 07:01:00 PM,49.60,,,,
159,06/21/25 07:02:00 PM,50.14,,,,
160,06/21/25 07:03:00 PM,50.53,,,,
161,06/21/25 07:04:00 PM,50.45,,,,
162,06/21/25 07:05:00 PM,50.30,,,,
163,06/21/25 07:06:00 PM,50.37,,,,
164,06/21/25 07:07:00 PM,50.53,,,,
165,06/21/25 07:08:00 PM,50.22,,,,
166,06/21/25 07:09:00 PM,49.68,,,,
167,06/21/25 07:10:00 PM,49.29,,,,
168,06/21/25 07:11:00 PM,48.91,,,,
169,06/21/25 07:12:00 PM,48.60,,,,
170,06/21/25 07:13:00 PM,48.37,,,,
171,06/21/25 07:14:00 PM,48.21,,,,
172,06/21/25 07:15:00 PM,47.98,,,,
173,06/21/25 07:16:00 PM,47.75,,,,
174,06/21/25 07:17:00 PM,47.44,,,,
175,06/21/25 07:18:00 PM,47.13,,,,
176,06/21/25 07:19:00 PM,47.05,,,,
177,06/21/25 07:20:00 PM,46.74,,,,
178,06/21/25 07:21:00 PM,46.44,,,,
179,06/21/25 07:22:00 PM,46.36,,,,
180,06/21/25 07:23:00 PM,46.20,,,,
181,06/21/25 07:24:00 PM,45.89,,,,
182,06/21/25 07:25:00 PM,45.66,,,,
183,06/21/25 07:26:00 PM,45.51,,,,
184,06/21/25 07:27:00 PM,45.35,,,,
185,06/21/25 07:28:00 PM,44.97,,,,
186,06/21/25 07:29:00 PM,44.74,,,,
187,06/21/25 07:30:00 PM,44.43,,,,
188,06/21/25 07:31:00 PM,44.27,,,,
189,06/21/25 07:32:00 PM,44.04,,,,
190,06/21/25 07:33:00 PM,44.04,,,,
191,06/21/25 07:34:00 PM,44.04,,,,
192,06/21/25 07:35:00 PM,44.04,,,,
193,06/21/25 07:36:00 PM,44.20,,,,
194,06/21/25 07:37:00 PM,44.12,,,,
195,06/21/25 07:38:00 PM,44.12,,,,
196,06/21/25 07:39:00 PM,44.20,,,,
197,06/21/25 07:40:00 PM,44.20,,,,
198,06/21/25 07:41:00 PM,44.50,,,,
199,06/21/25 07:42:00 PM,44.66,,,,
200,06/21/25 07:43:00 PM,44.81,,,,
201,06/21/25 07:44:00 PM,45.12,,,,
202,06/21/25 07:45:00 PM,45.59,,,,
203,06/21/25 07:46:00 PM,45.97,,,,
204,06/21/25 07:47:00 PM,46.13,,,,
205,06/21/25 07:48:00 PM,46.28,,,,
206,06/21/25 07:49:00 PM,46.59,,,,
207,06/21/25 07:50:00 PM,46.74,,,,
208,06/21/25 07:51:00 PM,46.98,,,,
209,06/21/25 07:52:00 PM,47.44,,,,
210,06/21/25 07:53:00 PM,47.90,,,,
211,06/21/25 07:54:00 PM,48.06,,,,
212,06/21/25 07:55:00 PM,48.13,,,,
213,06/21/25 07:56:00 PM,48.13,,,,
214,06/21/25 07:57:00 PM,48.21,,,,
215,06/21/25 07:58:00 PM,48.21,,,,
216,06/21/25 07:59:00 PM,48.37,,,,
217,06/21/25 08:00:00 PM,48.60,,,,
218,06/21/25 08:01:00 PM,48.60,,,,
219,06/21/25 08:02:00 PM,48.52,,,,
220,06/21/25 08:03:00 PM,48.60,,,,
221,06/21/25 08:04:00 PM,48.44,,,,
222,06/21/25 08:05:00 PM,48.29,,,,
223,06/21/25 08:06:00 PM,48.29,,,,
224,06/21/25 08:07:00 PM,48.06,,,,
225,06/21/25 08:08:00 PM,48.13,,,,
226,06/21/25 08:09:00 PM,47.98,,,,
227,06/21/25 08:10:00 PM,47.52,,,,
228,06/21/25 08:11:00 PM,47.21,,,,
229,06/21/25 08:12:00 PM,46.74,,,,
230,06/21/25 08:13:00 PM,46.36,,,,
231,06/21/25 08:14:00 PM,46.05,,,,
232,06/21/25 08:15:00 PM,45.89,,,,
233,06/21/25 08:16:00 PM,46.05,,,,
234,06/21/25 08:17:00 PM,46.28,,,,
235,06/21/25 08:18:00 PM,46.28,,,,
236,06/21/25 08:19:00 PM,46.20,,,,
237,06/21/25 08:20:00 PM,45.97,,,,
238,06/21/25 08:21:00 PM,45.82,,,,
239,06/21/25 08:22:00 PM,45.74,,,,
240,06/21/25 08:23:00 PM,45.43,,,,
241,06/21/25 08:24:00 PM,45.28,,,,
242,06/21/25 08:25:00 PM,45.35,,,,
243,06/21/25 08:26:00 PM,45.12,,,,
244,06/21/25 08:27:00 PM,44.97,,,,
