"Plot Title: E01 2m"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 22133653, SEN S/N: 22133653)","Button Down (LGR S/N: 22133653, SEN S/N: 22133653)","Button Up (LGR S/N: 22133653, SEN S/N: 22133653)","Host Connected (LGR S/N: 22133653, SEN S/N: 22133653)","Stopped (LGR S/N: 22133653, SEN S/N: 22133653)","End Of File (LGR S/N: 22133653, SEN S/N: 22133653)"
1,06/21/25 04:23:00 PM,38.40,,,,,
2,06/21/25 04:24:00 PM,39.25,,,,,
3,06/21/25 04:25:00 PM,40.26,,,,,
4,06/21/25 04:26:00 PM,41.42,,,,,
5,06/21/25 04:27:00 PM,42.03,,,,,
6,06/21/25 04:28:00 PM,42.34,,,,,
7,06/21/25 04:29:00 PM,42.57,,,,,
8,06/21/25 04:30:00 PM,43.19,,,,,
9,06/21/25 04:31:00 PM,44.04,,,,,
10,06/21/25 04:32:00 PM,44.27,,,,,
11,06/21/25 04:33:00 PM,44.58,,,,,
12,06/21/25 04:34:00 PM,44.89,,,,,
13,06/21/25 04:35:00 PM,45.51,,,,,
14,06/21/25 04:36:00 PM,45.82,,,,,
15,06/21/25 04:37:00 PM,45.66,,,,,
16,06/21/25 04:38:00 PM,46.20,,,,,
17,06/21/25 04:39:00 PM,46.36,,,,,
18,06/21/25 04:40:00 PM,46.44,,,,,
19,06/21/25 04:41:00 PM,46.44,,,,,
20,06/21/25 04:42:00 PM,46.51,,,,,
21,06/21/25 04:43:00 PM,46.51,,,,,
22,06/21/25 04:44:00 PM,46.59,,,,,
23,06/21/25 04:45:00 PM,46.59,,,,,
24,06/21/25 04:46:00 PM,46.59,,,,,
25,06/21/25 04:47:00 PM,46.74,,,,,
26,06/21/25 04:48:00 PM,46.82,,,,,
27,06/21/25 04:49:00 PM,46.74,,,,,
28,06/21/25 04:50:00 PM,46.74,,,,,
29,06/21/25 04:51:00 PM,46.90,,,,,
30,06/21/25 04:52:00 PM,46.82,,,,,
31,06/21/25 04:53:00 PM,46.82,,,,,
32,06/21/25 04:54:00 PM,46.98,,,,,
33,06/21/25 04:55:00 PM,46.82,,,,,
34,06/21/25 04:56:00 PM,46.44,,,,,
35,06/21/25 04:57:00 PM,45.97,,,,,
36,06/21/25 04:58:00 PM,45.74,,,,,
37,06/21/25 04:59:00 PM,45.89,,,,,
38,06/21/25 05:00:00 PM,46.67,,,,,
39,06/21/25 05:01:00 PM,47.36,,,,,
40,06/21/25 05:02:00 PM,47.59,,,,,
41,06/21/25 05:03:00 PM,47.75,,,,,
42,06/21/25 05:04:00 PM,47.83,,,,,
43,06/21/25 05:05:00 PM,47.98,,,,,
44,06/21/25 05:06:00 PM,47.75,,,,,
45,06/21/25 05:07:00 PM,47.59,,,,,
46,06/21/25 05:08:00 PM,47.13,,,,,
47,06/21/25 05:09:00 PM,46.82,,,,,
48,06/21/25 05:10:00 PM,46.28,,,,,
49,06/21/25 05:11:00 PM,45.97,,,,,
50,06/21/25 05:12:00 PM,45.59,,,,,
51,06/21/25 05:13:00 PM,45.74,,,,,
52,06/21/25 05:14:00 PM,45.89,,,,,
53,06/21/25 05:15:00 PM,45.74,,,,,
54,06/21/25 05:16:00 PM,45.59,,,,,
55,06/21/25 05:17:00 PM,45.35,,,,,
56,06/21/25 05:18:00 PM,45.35,,,,,
57,06/21/25 05:19:00 PM,45.43,,,,,
58,06/21/25 05:20:00 PM,45.35,,,,,
59,06/21/25 05:21:00 PM,45.35,,,,,
60,06/21/25 05:22:00 PM,45.59,,,,,
61,06/21/25 05:23:00 PM,45.74,,,,,
62,06/21/25 05:24:00 PM,45.66,,,,,
63,06/21/25 05:25:00 PM,45.82,,,,,
64,06/21/25 05:26:00 PM,45.97,,,,,
65,06/21/25 05:27:00 PM,46.05,,,,,
66,06/21/25 05:28:00 PM,46.28,,,,,
67,06/21/25 05:29:00 PM,46.74,,,,,
68,06/21/25 05:30:00 PM,47.44,,,,,
69,06/21/25 05:31:00 PM,48.13,,,,,
70,06/21/25 05:32:00 PM,48.29,,,,,
71,06/21/25 05:33:00 PM,48.37,,,,,
72,06/21/25 05:34:00 PM,48.37,,,,,
73,06/21/25 05:35:00 PM,48.75,,,,,
74,06/21/25 05:36:00 PM,48.52,,,,,
75,06/21/25 05:37:00 PM,48.37,,,,,
76,06/21/25 05:38:00 PM,48.37,,,,,
77,06/21/25 05:39:00 PM,48.44,,,,,
78,06/21/25 05:40:00 PM,48.37,,,,,
79,06/21/25 05:41:00 PM,48.44,,,,,
80,06/21/25 05:42:00 PM,48.21,,,,,
81,06/21/25 05:43:00 PM,48.06,,,,,
82,06/21/25 05:44:00 PM,47.83,,,,,
83,06/21/25 05:45:00 PM,47.75,,,,,
84,06/21/25 05:46:00 PM,47.52,,,,,
85,06/21/25 05:47:00 PM,47.28,,,,,
86,06/21/25 05:48:00 PM,47.05,,,,,
87,06/21/25 05:49:00 PM,46.82,,,,,
88,06/21/25 05:50:00 PM,46.36,,,,,
89,06/21/25 05:51:00 PM,45.82,,,,,
90,06/21/25 05:52:00 PM,45.51,,,,,
91,06/21/25 05:53:00 PM,45.12,,,,,
92,06/21/25 05:54:00 PM,44.66,,,,,
93,06/21/25 05:55:00 PM,44.35,,,,,
94,06/21/25 05:56:00 PM,44.12,,,,,
95,06/21/25 05:57:00 PM,43.89,,,,,
96,06/21/25 05:58:00 PM,43.73,,,,,
97,06/21/25 05:59:00 PM,43.42,,,,,
98,06/21/25 06:00:00 PM,43.27,,,,,
99,06/21/25 06:01:00 PM,43.19,,,,,
100,06/21/25 06:02:00 PM,43.27,,,,,
101,06/21/25 06:03:00 PM,43.11,,,,,
102,06/21/25 06:04:00 PM,43.19,,,,,
103,06/21/25 06:05:00 PM,43.27,,,,,
104,06/21/25 06:06:00 PM,43.35,,,,,
105,06/21/25 06:07:00 PM,43.50,,,,,
106,06/21/25 06:08:00 PM,43.42,,,,,
107,06/21/25 06:09:00 PM,43.27,,,,,
108,06/21/25 06:10:00 PM,43.35,,,,,
109,06/21/25 06:11:00 PM,43.35,,,,,
110,06/21/25 06:12:00 PM,43.27,,,,,
111,06/21/25 06:13:00 PM,43.11,,,,,
112,06/21/25 06:14:00 PM,43.04,,,,,
113,06/21/25 06:15:00 PM,42.81,,,,,
114,06/21/25 06:16:00 PM,42.57,,,,,
115,06/21/25 06:17:00 PM,42.88,,,,,
116,06/21/25 06:18:00 PM,42.81,,,,,
117,06/21/25 06:19:00 PM,42.81,,,,,
118,06/21/25 06:20:00 PM,43.19,,,,,
119,06/21/25 06:21:00 PM,43.42,,,,,
120,06/21/25 06:22:00 PM,43.42,,,,,
121,06/21/25 06:23:00 PM,43.58,,,,,
122,06/21/25 06:24:00 PM,43.50,,,,,
123,06/21/25 06:25:00 PM,43.58,,,,,
124,06/21/25 06:26:00 PM,43.42,,,,,
125,06/21/25 06:27:00 PM,43.27,,,,,
126,06/21/25 06:28:00 PM,43.35,,,,,
127,06/21/25 06:29:00 PM,43.96,,,,,
128,06/21/25 06:30:00 PM,44.43,,,,,
129,06/21/25 06:31:00 PM,44.66,,,,,
130,06/21/25 06:32:00 PM,44.74,,,,,
131,06/21/25 06:33:00 PM,44.66,,,,,
132,06/21/25 06:34:00 PM,44.20,,,,,
133,06/21/25 06:35:00 PM,43.89,,,,,
134,06/21/25 06:36:00 PM,43.66,,,,,
135,06/21/25 06:37:00 PM,43.89,,,,,
136,06/21/25 06:38:00 PM,44.12,,,,,
137,06/21/25 06:39:00 PM,44.20,,,,,
138,06/21/25 06:40:00 PM,44.27,,,,,
139,06/21/25 06:41:00 PM,44.27,,,,,
140,06/21/25 06:42:00 PM,44.50,,,,,
141,06/21/25 06:43:00 PM,45.05,,,,,
142,06/21/25 06:44:00 PM,45.51,,,,,
143,06/21/25 06:45:00 PM,45.97,,,,,
144,06/21/25 06:46:00 PM,46.13,,,,,
145,06/21/25 06:47:00 PM,46.44,,,,,
146,06/21/25 06:48:00 PM,46.82,,,,,
147,06/21/25 06:49:00 PM,46.90,,,,,
148,06/21/25 06:50:00 PM,46.74,,,,,
149,06/21/25 06:51:00 PM,46.74,,,,,
150,06/21/25 06:52:00 PM,47.13,,,,,
151,06/21/25 06:53:00 PM,47.44,,,,,
152,06/21/25 06:54:00 PM,47.59,,,,,
153,06/21/25 06:55:00 PM,47.59,,,,,
154,06/21/25 06:56:00 PM,48.21,,,,,
155,06/21/25 06:57:00 PM,48.60,,,,,
156,06/21/25 06:58:00 PM,49.29,,,,,
157,06/21/25 06:59:00 PM,49.76,,,,,
158,06/21/25 07:00:00 PM,49.99,,,,,
159,06/21/25 07:01:00 PM,50.06,,,,,
160,06/21/25 07:02:00 PM,50.30,,,,,
161,06/21/25 07:03:00 PM,50.53,,,,,
162,06/21/25 07:04:00 PM,50.45,,,,,
163,06/21/25 07:05:00 PM,50.14,,,,,
164,06/21/25 07:06:00 PM,49.99,,,,,
165,06/21/25 07:07:00 PM,49.99,,,,,
166,06/21/25 07:08:00 PM,49.76,,,,,
