"Plot Title: G02 2m"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 22133628, SEN S/N: 22133628)","Button Down (LGR S/N: 22133628, SEN S/N: 22133628)","Button Up (LGR S/N: 22133628, SEN S/N: 22133628)","Host Connected (LGR S/N: 22133628, SEN S/N: 22133628)","End Of File (LGR S/N: 22133628, SEN S/N: 22133628)"
1,06/22/25 06:41:00 PM,40.57,,,,
2,06/22/25 06:42:00 PM,40.80,,,,
3,06/22/25 06:43:00 PM,41.11,,,,
4,06/22/25 06:44:00 PM,41.18,,,,
5,06/22/25 06:45:00 PM,41.42,,,,
6,06/22/25 06:46:00 PM,41.57,,,,
7,06/22/25 06:47:00 PM,41.72,,,,
8,06/22/25 06:48:00 PM,41.57,,,,
9,06/22/25 06:49:00 PM,41.65,,,,
10,06/22/25 06:50:00 PM,41.80,,,,
11,06/22/25 06:51:00 PM,41.88,,,,
12,06/22/25 06:52:00 PM,41.88,,,,
13,06/22/25 06:53:00 PM,41.88,,,,
14,06/22/25 06:54:00 PM,41.88,,,,
15,06/22/25 06:55:00 PM,42.03,,,,
16,06/22/25 06:56:00 PM,42.03,,,,
17,06/22/25 06:57:00 PM,42.03,,,,
18,06/22/25 06:58:00 PM,42.11,,,,
19,06/22/25 06:59:00 PM,42.34,,,,
20,06/22/25 07:00:00 PM,42.73,,,,
21,06/22/25 07:01:00 PM,42.96,,,,
22,06/22/25 07:02:00 PM,43.11,,,,
23,06/22/25 07:03:00 PM,43.11,,,,
24,06/22/25 07:04:00 PM,43.11,,,,
25,06/22/25 07:05:00 PM,43.35,,,,
26,06/22/25 07:06:00 PM,43.66,,,,
27,06/22/25 07:07:00 PM,43.73,,,,
28,06/22/25 07:08:00 PM,43.58,,,,
29,06/22/25 07:09:00 PM,43.19,,,,
30,06/22/25 07:10:00 PM,43.35,,,,
31,06/22/25 07:11:00 PM,44.04,,,,
32,06/22/25 07:12:00 PM,44.74,,,,
33,06/22/25 07:13:00 PM,44.66,,,,
34,06/22/25 07:14:00 PM,44.43,,,,
35,06/22/25 07:15:00 PM,43.73,,,,
36,06/22/25 07:16:00 PM,43.42,,,,
37,06/22/25 07:17:00 PM,43.81,,,,
38,06/22/25 07:18:00 PM,44.20,,,,
39,06/22/25 07:19:00 PM,43.96,,,,
40,06/22/25 07:20:00 PM,43.58,,,,
41,06/22/25 07:21:00 PM,43.19,,,,
42,06/22/25 07:22:00 PM,43.11,,,,
43,06/22/25 07:23:00 PM,43.50,,,,
44,06/22/25 07:24:00 PM,43.58,,,,
45,06/22/25 07:25:00 PM,43.35,,,,
46,06/22/25 07:26:00 PM,43.19,,,,
47,06/22/25 07:27:00 PM,43.19,,,,
48,06/22/25 07:28:00 PM,42.88,,,,
49,06/22/25 07:29:00 PM,42.34,,,,
50,06/22/25 07:30:00 PM,42.27,,,,
51,06/22/25 07:31:00 PM,42.19,,,,
52,06/22/25 07:32:00 PM,42.03,,,,
53,06/22/25 07:33:00 PM,41.80,,,,
54,06/22/25 07:34:00 PM,41.57,,,,
55,06/22/25 07:35:00 PM,41.49,,,,
56,06/22/25 07:36:00 PM,41.42,,,,
57,06/22/25 07:37:00 PM,41.42,,,,
58,06/22/25 07:38:00 PM,41.57,,,,
59,06/22/25 07:39:00 PM,41.57,,,,
60,06/22/25 07:40:00 PM,41.42,,,,
61,06/22/25 07:41:00 PM,41.18,,,,
62,06/22/25 07:42:00 PM,41.26,,,,
63,06/22/25 07:43:00 PM,41.34,,,,
64,06/22/25 07:44:00 PM,41.26,,,,
65,06/22/25 07:45:00 PM,41.49,,,,
66,06/22/25 07:46:00 PM,41.49,,,,
67,06/22/25 07:47:00 PM,41.57,,,,
68,06/22/25 07:48:00 PM,41.57,,,,
69,06/22/25 07:49:00 PM,41.34,,,,
70,06/22/25 07:50:00 PM,41.34,,,,
71,06/22/25 07:51:00 PM,41.26,,,,
72,06/22/25 07:52:00 PM,41.34,,,,
73,06/22/25 07:53:00 PM,41.49,,,,
74,06/22/25 07:54:00 PM,41.72,,,,
75,06/22/25 07:55:00 PM,42.03,,,,
76,06/22/25 07:56:00 PM,42.34,,,,
77,06/22/25 07:57:00 PM,42.57,,,,
78,06/22/25 07:58:00 PM,42.50,,,,
79,06/22/25 07:59:00 PM,42.57,,,,
80,06/22/25 08:00:00 PM,42.50,,,,
81,06/22/25 08:01:00 PM,42.65,,,,
82,06/22/25 08:02:00 PM,42.42,,,,
83,06/22/25 08:03:00 PM,42.19,,,,
84,06/22/25 08:04:00 PM,42.34,,,,
85,06/22/25 08:05:00 PM,42.34,,,,
86,06/22/25 08:06:00 PM,42.11,,,,
87,06/22/25 08:07:00 PM,41.96,,,,
88,06/22/25 08:08:00 PM,41.96,,,,
89,06/22/25 08:09:00 PM,41.88,,,,
90,06/22/25 08:10:00 PM,41.88,,,,
91,06/22/25 08:11:00 PM,41.88,,,,
92,06/22/25 08:12:00 PM,41.42,,,,
93,06/22/25 08:13:00 PM,41.18,,,,
94,06/22/25 08:14:00 PM,41.26,,,,
