"Plot Title: C01 1m"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 22133655, SEN S/N: 22133655)","Button Down (LGR S/N: 22133655, SEN S/N: 22133655)","Button Up (LGR S/N: 22133655, SEN S/N: 22133655)","Host Connected (LGR S/N: 22133655, SEN S/N: 22133655)","End Of File (LGR S/N: 22133655, SEN S/N: 22133655)"
1,06/23/25 05:17:00 AM,42.96,,,,
2,06/23/25 05:18:00 AM,43.04,,,,
3,06/23/25 05:19:00 AM,43.11,,,,
4,06/23/25 05:20:00 AM,43.04,,,,
5,06/23/25 05:21:00 AM,42.81,,,,
6,06/23/25 05:22:00 AM,42.65,,,,
7,06/23/25 05:23:00 AM,42.34,,,,
8,06/23/25 05:24:00 AM,42.11,,,,
9,06/23/25 05:25:00 AM,41.96,,,,
10,06/23/25 05:26:00 AM,41.80,,,,
11,06/23/25 05:27:00 AM,41.72,,,,
12,06/23/25 05:28:00 AM,41.57,,,,
13,06/23/25 05:29:00 AM,41.57,,,,
14,06/23/25 05:30:00 AM,41.65,,,,
15,06/23/25 05:31:00 AM,41.72,,,,
16,06/23/25 05:32:00 AM,41.80,,,,
17,06/23/25 05:33:00 AM,41.96,,,,
18,06/23/25 05:34:00 AM,42.19,,,,
19,06/23/25 05:35:00 AM,42.19,,,,
20,06/23/25 05:36:00 AM,42.27,,,,
21,06/23/25 05:37:00 AM,42.34,,,,
22,06/23/25 05:38:00 AM,42.57,,,,
23,06/23/25 05:39:00 AM,42.81,,,,
24,06/23/25 05:40:00 AM,42.96,,,,
25,06/23/25 05:41:00 AM,43.04,,,,
26,06/23/25 05:42:00 AM,43.42,,,,
27,06/23/25 05:43:00 AM,43.58,,,,
28,06/23/25 05:44:00 AM,43.66,,,,
29,06/23/25 05:45:00 AM,43.58,,,,
30,06/23/25 05:46:00 AM,43.58,,,,
31,06/23/25 05:47:00 AM,43.50,,,,
32,06/23/25 05:48:00 AM,43.58,,,,
33,06/23/25 05:49:00 AM,43.58,,,,
34,06/23/25 05:50:00 AM,43.73,,,,
35,06/23/25 05:51:00 AM,44.04,,,,
36,06/23/25 05:52:00 AM,44.35,,,,
37,06/23/25 05:53:00 AM,44.58,,,,
38,06/23/25 05:54:00 AM,44.97,,,,
39,06/23/25 05:55:00 AM,45.12,,,,
40,06/23/25 05:56:00 AM,45.28,,,,
