"Plot Title: 10383462"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10383462, SEN S/N: 10383462)","Intensity, lum/ft² (LGR S/N: 10383462, SEN S/N: 10383462)","Coupler Attached (LGR S/N: 10383462, SEN S/N: 10383462)","Host Connected (LGR S/N: 10383462, SEN S/N: 10383462)","Stopped (LGR S/N: 10383462, SEN S/N: 10383462)","End Of File (LGR S/N: 10383462, SEN S/N: 10383462)"
1,06/22/25 08:00:00 AM,65.851,1.0,,,,
2,06/22/25 08:05:00 AM,65.851,7.0,,,,
3,06/22/25 08:10:00 AM,71.168,0.0,,,,
4,06/22/25 08:15:00 AM,69.622,0.0,,,,
5,06/22/25 08:20:00 AM,67.735,0.0,,,,
6,06/22/25 08:25:00 AM,66.366,0.0,,,,
7,06/22/25 08:30:00 AM,65.167,0.0,,,,
8,06/22/25 08:35:00 AM,64.310,0.0,,,,
9,06/22/25 08:40:00 AM,63.282,0.0,,,,
10,06/22/25 08:45:00 AM,62.425,0.0,,,,
11,06/22/25 08:50:00 AM,62.940,0.0,,,,
12,06/22/25 08:55:00 AM,67.050,0.0,,,,
13,06/22/25 09:00:00 AM,65.680,0.0,,,,
14,06/22/25 09:05:00 AM,63.626,0.0,,,,
15,06/22/25 09:10:00 AM,61.227,0.0,,,,
16,06/22/25 09:15:00 AM,59.164,0.0,,,,
17,06/22/25 09:20:00 AM,57.268,0.0,,,,
18,06/22/25 09:25:00 AM,55.884,0.0,,,,
19,06/22/25 09:30:00 AM,54.147,0.0,,,,
20,06/22/25 09:35:00 AM,52.925,0.0,,,,
21,06/22/25 09:40:00 AM,57.441,0.0,,,,
22,06/22/25 09:45:00 AM,58.647,0.0,,,,
23,06/22/25 09:50:00 AM,61.398,0.0,,,,
24,06/22/25 09:55:00 AM,69.278,0.0,,,,
25,06/22/25 10:00:00 AM,73.407,0.0,,,,
26,06/22/25 10:05:00 AM,75.832,0.0,,,,
27,06/22/25 10:10:00 AM,77.400,0.0,,,,
28,06/22/25 10:15:00 AM,78.449,0.0,,,,
29,06/22/25 10:20:00 AM,79.502,0.0,,,,
30,06/22/25 10:25:00 AM,80.735,0.0,,,,
31,06/22/25 10:30:00 AM,81.975,0.0,,,,
32,06/22/25 10:35:00 AM,83.399,0.0,,,,
33,06/22/25 10:40:00 AM,84.474,0.0,,,,
34,06/22/25 10:45:00 AM,85.014,0.0,,,,
35,06/22/25 10:50:00 AM,85.554,0.0,,,,
36,06/22/25 10:55:00 AM,86.097,0.0,,,,
37,06/22/25 11:00:00 AM,86.459,0.0,,,,
38,06/22/25 11:05:00 AM,86.641,0.0,,,,
39,06/22/25 11:10:00 AM,86.823,0.0,,,,
40,06/22/25 11:15:00 AM,87.004,0.0,,,,
41,06/22/25 11:20:00 AM,87.186,0.0,,,,
42,06/22/25 11:25:00 AM,87.368,0.0,,,,
43,06/22/25 11:30:00 AM,88.282,0.0,,,,
44,06/22/25 11:35:00 AM,87.552,0.0,,,,
45,06/22/25 11:40:00 AM,86.641,0.0,,,,
46,06/22/25 11:45:00 AM,86.097,0.0,,,,
47,06/22/25 11:50:00 AM,85.374,0.0,,,,
48,06/22/25 11:55:00 AM,84.295,0.0,,,,
49,06/22/25 12:00:00 PM,83.043,0.0,,,,
50,06/22/25 12:05:00 PM,81.090,0.0,,,,
51,06/22/25 12:10:00 PM,79.853,0.0,,,,
52,06/22/25 12:15:00 PM,80.382,0.0,,,,
53,06/22/25 12:20:00 PM,82.152,0.0,,,,
54,06/22/25 12:25:00 PM,83.043,0.0,,,,
55,06/22/25 12:30:00 PM,83.935,0.0,,,,
56,06/22/25 12:35:00 PM,81.442,0.0,,,,
57,06/22/25 12:40:00 PM,77.574,0.0,,,,
58,06/22/25 12:45:00 PM,74.098,0.0,,,,
59,06/22/25 12:50:00 PM,71.512,0.0,,,,
60,06/22/25 12:55:00 PM,69.622,0.0,,,,
61,06/22/25 01:00:00 PM,68.077,0.0,,,,
62,06/22/25 01:05:00 PM,66.879,0.0,,,,
63,06/22/25 01:10:00 PM,66.193,0.0,,,,
64,06/22/25 01:15:00 PM,65.851,0.0,,,,
65,06/22/25 01:20:00 PM,65.851,0.0,,,,
66,06/22/25 01:25:00 PM,66.022,0.0,,,,
67,06/22/25 01:30:00 PM,66.366,0.0,,,,
68,06/22/25 01:35:00 PM,66.879,0.0,,,,
69,06/22/25 01:40:00 PM,67.564,0.0,,,,
70,06/22/25 01:45:00 PM,68.421,0.0,,,,
71,06/22/25 01:50:00 PM,69.278,0.0,,,,
72,06/22/25 01:55:00 PM,70.308,0.0,,,,
73,06/22/25 02:00:00 PM,71.168,0.0,,,,
74,06/22/25 02:05:00 PM,72.199,0.0,,,,
75,06/22/25 02:10:00 PM,73.234,0.0,,,,
76,06/22/25 02:15:00 PM,74.098,0.0,,,,
77,06/22/25 02:20:00 PM,74.964,0.0,,,,
78,06/22/25 02:25:00 PM,75.659,0.0,,,,
79,06/22/25 02:30:00 PM,76.528,0.0,,,,
80,06/22/25 02:35:00 PM,77.050,0.0,,,,
81,06/22/25 02:40:00 PM,77.400,0.0,,,,
82,06/22/25 02:45:00 PM,77.400,0.0,,,,
83,06/22/25 02:50:00 PM,77.400,0.0,,,,
84,06/22/25 02:55:00 PM,77.400,0.0,,,,
85,06/22/25 03:00:00 PM,77.749,0.0,,,,
86,06/22/25 03:05:00 PM,77.400,0.0,,,,
87,06/22/25 03:10:00 PM,76.006,0.0,,,,
88,06/22/25 03:15:00 PM,75.484,0.0,,,,
89,06/22/25 03:20:00 PM,74.964,0.0,,,,
90,06/22/25 03:25:00 PM,74.446,0.0,,,,
91,06/22/25 03:30:00 PM,73.580,0.0,,,,
92,06/22/25 03:35:00 PM,72.891,0.0,,,,
93,06/22/25 03:40:00 PM,72.028,0.0,,,,
94,06/22/25 03:45:00 PM,70.995,0.0,,,,
95,06/22/25 03:50:00 PM,68.934,0.0,,,,
96,06/22/25 03:55:00 PM,66.537,0.0,,,,
97,06/22/25 04:00:00 PM,64.481,0.0,,,,
98,06/22/25 04:05:00 PM,62.598,0.0,,,,
99,06/22/25 04:10:00 PM,60.883,0.0,,,,
100,06/22/25 04:15:00 PM,59.337,0.0,,,,
101,06/22/25 04:20:00 PM,57.958,0.0,,,,
102,06/22/25 04:25:00 PM,56.577,0.0,,,,
103,06/22/25 04:30:00 PM,54.842,0.0,,,,
104,06/22/25 04:35:00 PM,53.100,0.0,,,,
105,06/22/25 04:40:00 PM,51.523,0.0,,,,
106,06/22/25 04:45:00 PM,50.466,0.0,,,,
107,06/22/25 04:50:00 PM,50.113,0.0,,,,
108,06/22/25 04:55:00 PM,49.582,0.0,,,,
109,06/22/25 05:00:00 PM,48.871,0.0,,,,
110,06/22/25 05:05:00 PM,47.982,0.0,,,,
111,06/22/25 05:10:00 PM,47.266,0.0,,,,
112,06/22/25 05:15:00 PM,46.728,0.0,,,,
113,06/22/25 05:20:00 PM,46.369,0.0,,,,
114,06/22/25 05:25:00 PM,46.188,0.0,,,,
115,06/22/25 05:30:00 PM,46.188,0.0,,,,
116,06/22/25 05:35:00 PM,46.188,0.0,,,,
117,06/22/25 05:40:00 PM,46.188,0.0,,,,
118,06/22/25 05:45:00 PM,46.369,0.0,,,,
119,06/22/25 05:50:00 PM,46.548,0.0,,,,
120,06/22/25 05:55:00 PM,46.548,0.0,,,,
121,06/22/25 06:00:00 PM,46.369,0.0,,,,
122,06/22/25 06:05:00 PM,46.188,0.0,,,,
123,06/22/25 06:10:00 PM,45.828,0.0,,,,
124,06/22/25 06:15:00 PM,45.286,0.0,,,,
125,06/22/25 06:20:00 PM,44.560,0.0,,,,
126,06/22/25 06:25:00 PM,43.831,0.0,,,,
127,06/22/25 06:30:00 PM,43.282,0.0,,,,
128,06/22/25 06:35:00 PM,42.548,0.0,,,,
129,06/22/25 06:40:00 PM,42.179,0.0,,,,
130,06/22/25 06:45:00 PM,41.810,0.0,,,,
131,06/22/25 06:50:00 PM,41.625,0.0,,,,
132,06/22/25 06:55:00 PM,41.439,0.0,,,,
133,06/22/25 07:00:00 PM,41.254,0.0,,,,
134,06/22/25 07:05:00 PM,41.254,0.0,,,,
135,06/22/25 07:10:00 PM,41.254,0.0,,,,
136,06/22/25 07:15:00 PM,41.067,0.0,,,,
137,06/22/25 07:20:00 PM,41.067,0.0,,,,
138,06/22/25 07:25:00 PM,41.254,0.0,,,,
139,06/22/25 07:30:00 PM,41.254,0.0,,,,
140,06/22/25 07:35:00 PM,41.439,0.0,,,,
141,06/22/25 07:40:00 PM,41.439,0.0,,,,
142,06/22/25 07:45:00 PM,41.625,0.0,,,,
143,06/22/25 07:50:00 PM,41.994,0.0,,,,
144,06/22/25 07:55:00 PM,42.179,0.0,,,,
145,06/22/25 08:00:00 PM,42.363,0.0,,,,
146,06/22/25 08:05:00 PM,42.732,0.0,,,,
147,06/22/25 08:10:00 PM,42.915,0.0,,,,
148,06/22/25 08:15:00 PM,43.282,0.0,,,,
149,06/22/25 08:20:00 PM,43.648,0.0,,,,
150,06/22/25 08:25:00 PM,44.013,0.0,,,,
151,06/22/25 08:30:00 PM,44.195,0.0,,,,
152,06/22/25 08:35:00 PM,44.560,0.0,,,,
153,06/22/25 08:40:00 PM,44.922,0.0,,,,
154,06/22/25 08:45:00 PM,45.286,0.0,,,,
155,06/22/25 08:50:00 PM,45.466,0.0,,,,
156,06/22/25 08:55:00 PM,45.828,0.0,,,,
157,06/22/25 09:00:00 PM,46.008,0.0,,,,
158,06/22/25 09:05:00 PM,46.188,0.0,,,,
159,06/22/25 09:10:00 PM,46.548,0.0,,,,
160,06/22/25 09:15:00 PM,46.728,0.0,,,,
161,06/22/25 09:20:00 PM,46.908,0.0,,,,
162,06/22/25 09:25:00 PM,47.088,0.0,,,,
163,06/22/25 09:30:00 PM,47.088,0.0,,,,
164,06/22/25 09:35:00 PM,47.088,0.0,,,,
165,06/22/25 09:40:00 PM,47.266,0.0,,,,
166,06/22/25 09:45:00 PM,47.266,0.0,,,,
167,06/22/25 09:50:00 PM,47.266,0.0,,,,
168,06/22/25 09:55:00 PM,47.088,0.0,,,,
169,06/22/25 10:00:00 PM,47.088,0.0,,,,
170,06/22/25 10:05:00 PM,46.908,0.0,,,,
171,06/22/25 10:10:00 PM,46.908,0.0,,,,
172,06/22/25 10:15:00 PM,46.728,0.0,,,,
173,06/22/25 10:20:00 PM,46.548,0.0,,,,
174,06/22/25 10:25:00 PM,46.369,0.0,,,,
175,06/22/25 10:30:00 PM,46.188,0.0,,,,
176,06/22/25 10:35:00 PM,46.008,0.0,,,,
177,06/22/25 10:40:00 PM,45.828,0.0,,,,
