"Plot Title: C8"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 21715628, SEN S/N: 21715628)","Intensity, lum/ft² (LGR S/N: 21715628, SEN S/N: 21715628)","Button Down (LGR S/N: 21715628, SEN S/N: 21715628)","Button Up (LGR S/N: 21715628, SEN S/N: 21715628)","Host Connected (LGR S/N: 21715628, SEN S/N: 21715628)","End Of File (LGR S/N: 21715628, SEN S/N: 21715628)"
1,07/18/24 05:00:00 AM,69.68,7.63,,,,
2,07/18/24 05:15:00 AM,70.06,0.52,,,,
3,07/18/24 05:30:00 AM,70.22,2.05,,,,
4,07/18/24 05:45:00 AM,69.83,0.00,,,,
5,07/18/24 06:00:00 AM,69.29,0.00,,,,
6,07/18/24 06:15:00 AM,69.29,0.00,,,,
7,07/18/24 06:30:00 AM,69.29,0.00,,,,
8,07/18/24 06:45:00 AM,69.45,0.00,,,,
9,07/18/24 07:00:00 AM,69.52,0.00,,,,
10,07/18/24 07:15:00 AM,69.60,0.00,,,,
11,07/18/24 07:30:00 AM,68.98,0.00,,,,
12,07/18/24 07:45:00 AM,67.67,0.00,,,,
13,07/18/24 08:00:00 AM,66.28,0.00,,,,
14,07/18/24 08:15:00 AM,65.05,0.00,,,,
15,07/18/24 08:30:00 AM,63.19,0.00,,,,
16,07/18/24 08:45:00 AM,60.72,0.00,,,,
17,07/18/24 09:00:00 AM,58.48,0.00,,,,
18,07/18/24 09:15:00 AM,56.55,0.00,,,,
19,07/18/24 09:30:00 AM,55.01,0.00,,,,
20,07/18/24 09:45:00 AM,53.54,0.00,,,,
21,07/18/24 10:00:00 AM,52.23,0.00,,,,
22,07/18/24 10:15:00 AM,51.22,0.00,,,,
23,07/18/24 10:30:00 AM,50.61,0.00,,,,
24,07/18/24 10:45:00 AM,50.30,0.00,,,,
25,07/18/24 11:00:00 AM,49.91,0.00,,,,
26,07/18/24 11:15:00 AM,49.52,0.00,,,,
27,07/18/24 11:30:00 AM,49.37,0.00,,,,
28,07/18/24 11:45:00 AM,49.37,0.00,,,,
29,07/18/24 12:00:00 PM,49.68,0.00,,,,
30,07/18/24 12:15:00 PM,50.14,0.00,,,,
31,07/18/24 12:30:00 PM,50.61,0.00,,,,
32,07/18/24 12:45:00 PM,51.15,0.00,,,,
33,07/18/24 01:00:00 PM,51.69,0.00,,,,
34,07/18/24 01:15:00 PM,52.38,0.00,,,,
35,07/18/24 01:30:00 PM,52.92,0.00,,,,
36,07/18/24 01:45:00 PM,53.62,0.00,,,,
37,07/18/24 02:00:00 PM,54.31,0.00,,,,
38,07/18/24 02:15:00 PM,56.40,0.00,,,,
39,07/18/24 02:30:00 PM,59.72,0.00,,,,
