#,Date-Time (PDT),Temperature   (°C),Light   (lux),Host Connected,Started,Button Down,Button Up,Stopped,End of File
1,06/19/2025 15:54:37,,,Logged,,,,,
2,06/19/2025 15:55:00,24.19,92282.88,,Logged,,,,
3,06/19/2025 16:00:00,23.72,92323.84,,,,,,
4,06/19/2025 16:05:00,22.91,91955.20,,,,,,
5,06/19/2025 16:10:00,22.65,91176.96,,,,,,
6,06/19/2025 16:15:00,23.12,91873.28,,,,,,
7,06/19/2025 16:20:00,23.42,91299.84,,,,,,
8,06/19/2025 16:25:00,23.59,89538.56,,,,,,
9,06/19/2025 16:30:00,24.41,88637.44,,,,,,
10,06/19/2025 16:35:00,24.71,87531.52,,,,,,
11,06/19/2025 16:40:00,23.51,87040.00,,,,,,
12,06/19/2025 16:45:00,22.99,85975.04,,,,,,
13,06/19/2025 16:50:00,23.46,84910.08,,,,,,
14,06/19/2025 16:55:00,24.36,84090.88,,,,,,
15,06/19/2025 17:00:00,25.14,82903.04,,,,,,
16,06/19/2025 17:05:00,25.74,83148.80,,,,,,
17,06/19/2025 17:10:00,25.87,82534.40,,,,,,
18,06/19/2025 17:15:00,26.04,81960.96,,,,,,
19,06/19/2025 17:20:00,25.69,81960.96,,,,,,
20,06/19/2025 17:25:00,24.92,83066.88,,,,,,
21,06/19/2025 17:30:00,24.45,84254.72,,,,,,
22,06/19/2025 17:35:00,24.84,82452.48,,,,,,
23,06/19/2025 17:40:00,24.79,81428.48,,,,,,
24,06/19/2025 17:45:00,25.99,83886.08,,,,,,
25,06/19/2025 17:50:00,27.54,84049.92,,,,,,
26,06/19/2025 17:55:00,28.10,81551.36,,,,,,
27,06/19/2025 18:00:00,26.85,78970.88,,,,,,
28,06/19/2025 18:05:00,25.05,78151.68,,,,,,
29,06/19/2025 18:10:00,23.08,78520.32,,,,,,
30,06/19/2025 18:15:00,21.83,79994.88,,,,,,
31,06/19/2025 18:20:00,21.88,82063.36,,,,,,
32,06/19/2025 18:25:00,22.52,83312.64,,,,,,
33,06/19/2025 18:30:00,22.22,84008.96,,,,,,
34,06/19/2025 18:35:00,22.13,85360.64,,,,,,
35,06/19/2025 18:40:00,21.45,83374.08,,,,,,
36,06/19/2025 18:45:00,21.45,81756.16,,,,,,
37,06/19/2025 18:50:00,20.85,75694.08,,,,,,
38,06/19/2025 18:55:00,20.85,70328.32,,,,,,
39,06/19/2025 19:00:00,21.02,70430.72,,,,,,
40,06/19/2025 19:05:00,21.58,66334.72,,,,,,
41,06/19/2025 19:10:00,20.85,62504.96,,,,,,
42,06/19/2025 19:15:00,18.83,58900.48,,,,,,
43,06/19/2025 19:20:00,17.84,58634.24,,,,,,
44,06/19/2025 19:25:00,17.20,55111.68,,,,,,
45,06/19/2025 19:30:00,16.64,51589.12,,,,,,
46,06/19/2025 19:35:00,16.51,50135.04,,,,,,
47,06/19/2025 19:40:00,16.04,48578.56,,,,,,
48,06/19/2025 19:45:00,15.74,48906.24,,,,,,
49,06/19/2025 19:50:00,16.26,52776.96,,,,,,
50,06/19/2025 19:55:00,17.07,59248.64,,,,,,
51,06/19/2025 20:00:00,17.76,63262.72,,,,,,
52,06/19/2025 20:05:00,16.17,48107.52,,,,,,
53,06/19/2025 20:10:00,12.44,42024.96,,,,,,
54,06/19/2025 20:15:00,12.22,47841.28,,,,,,
55,06/19/2025 20:20:00,10.04,19292.16,,,,,,
