#,Date-Time (PDT),Temperature   (°C),Host Connected,Started,Button Down,Button Up,End of File
1,06/17/2025 14:04:53,,Logged,,,,
2,06/17/2025 14:05:00,6.22,,Logged,,,
3,06/17/2025 14:06:00,6.05,,,,,
4,06/17/2025 14:07:00,5.87,,,,,
5,06/17/2025 14:08:00,5.79,,,,,
6,06/17/2025 14:09:00,5.75,,,,,
7,06/17/2025 14:10:00,5.66,,,,,
8,06/17/2025 14:11:00,5.66,,,,,
9,06/17/2025 14:12:00,5.57,,,,,
10,06/17/2025 14:13:00,5.57,,,,,
11,06/17/2025 14:14:00,5.62,,,,,
12,06/17/2025 14:15:00,5.62,,,,,
13,06/17/2025 14:16:00,5.70,,,,,
14,06/17/2025 14:17:00,5.70,,,,,
15,06/17/2025 14:18:00,5.75,,,,,
16,06/17/2025 14:19:00,5.83,,,,,
17,06/17/2025 14:20:00,5.75,,,,,
18,06/17/2025 14:21:00,5.79,,,,,
19,06/17/2025 14:22:00,5.79,,,,,
20,06/17/2025 14:23:00,5.83,,,,,
21,06/17/2025 14:24:00,5.83,,,,,
22,06/17/2025 14:25:00,5.87,,,,,
23,06/17/2025 14:26:00,5.96,,,,,
24,06/17/2025 14:27:00,6.00,,,,,
25,06/17/2025 14:28:00,6.09,,,,,
26,06/17/2025 14:29:00,6.09,,,,,
27,06/17/2025 14:30:00,6.09,,,,,
28,06/17/2025 14:31:00,6.05,,,,,
29,06/17/2025 14:32:00,6.09,,,,,
30,06/17/2025 14:33:00,6.13,,,,,
31,06/17/2025 14:34:00,6.13,,,,,
32,06/17/2025 14:35:00,6.17,,,,,
33,06/17/2025 14:36:00,6.09,,,,,
34,06/17/2025 14:37:00,6.00,,,,,
35,06/17/2025 14:38:00,5.92,,,,,
36,06/17/2025 14:39:00,5.87,,,,,
37,06/17/2025 14:40:00,5.79,,,,,
38,06/17/2025 14:41:00,5.79,,,,,
39,06/17/2025 14:42:00,5.75,,,,,
40,06/17/2025 14:43:00,5.70,,,,,
41,06/17/2025 14:44:00,5.62,,,,,
42,06/17/2025 14:45:00,5.62,,,,,
43,06/17/2025 14:46:00,5.62,,,,,
44,06/17/2025 14:47:00,5.66,,,,,
45,06/17/2025 14:48:00,5.75,,,,,
46,06/17/2025 14:49:00,5.70,,,,,
47,06/17/2025 14:50:00,5.66,,,,,
48,06/17/2025 14:51:00,5.62,,,,,
49,06/17/2025 14:52:00,5.57,,,,,
50,06/17/2025 14:53:00,5.53,,,,,
51,06/17/2025 14:54:00,5.57,,,,,
52,06/17/2025 14:55:00,5.66,,,,,
53,06/17/2025 14:56:00,5.70,,,,,
54,06/17/2025 14:57:00,5.79,,,,,
55,06/17/2025 14:58:00,5.79,,,,,
56,06/17/2025 14:59:00,5.87,,,,,
57,06/17/2025 15:00:00,6.00,,,,,
58,06/17/2025 15:01:00,6.09,,,,,
59,06/17/2025 15:02:00,6.17,,,,,
60,06/17/2025 15:03:00,6.22,,,,,
61,06/17/2025 15:04:00,6.13,,,,,
62,06/17/2025 15:05:00,6.05,,,,,
63,06/17/2025 15:06:00,5.96,,,,,
64,06/17/2025 15:07:00,5.83,,,,,
65,06/17/2025 15:08:00,5.83,,,,,
66,06/17/2025 15:09:00,5.83,,,,,
67,06/17/2025 15:10:00,5.87,,,,,
68,06/17/2025 15:11:00,6.05,,,,,
69,06/17/2025 15:12:00,6.13,,,,,
70,06/17/2025 15:13:00,6.13,,,,,
71,06/17/2025 15:14:00,6.17,,,,,
72,06/17/2025 15:15:00,6.17,,,,,
73,06/17/2025 15:16:00,6.13,,,,,
74,06/17/2025 15:17:00,6.09,,,,,
75,06/17/2025 15:18:00,6.05,,,,,
76,06/17/2025 15:19:00,5.92,,,,,
77,06/17/2025 15:20:00,6.00,,,,,
78,06/17/2025 15:21:00,6.05,,,,,
79,06/17/2025 15:22:00,6.09,,,,,
80,06/17/2025 15:23:00,6.13,,,,,
81,06/17/2025 15:24:00,6.22,,,,,
82,06/17/2025 15:25:00,6.22,,,,,
83,06/17/2025 15:26:00,6.30,,,,,
84,06/17/2025 15:27:00,6.30,,,,,
85,06/17/2025 15:28:00,6.39,,,,,
86,06/17/2025 15:29:00,6.43,,,,,
87,06/17/2025 15:30:00,6.60,,,,,
88,06/17/2025 15:31:00,6.65,,,,,
89,06/17/2025 15:32:00,6.60,,,,,
90,06/17/2025 15:33:00,6.56,,,,,
91,06/17/2025 15:34:00,6.48,,,,,
92,06/17/2025 15:35:00,6.43,,,,,
93,06/17/2025 15:36:00,6.35,,,,,
94,06/17/2025 15:37:00,6.35,,,,,
95,06/17/2025 15:38:00,6.26,,,,,
96,06/17/2025 15:39:00,6.22,,,,,
97,06/17/2025 15:40:00,6.13,,,,,
98,06/17/2025 15:41:00,6.09,,,,,
99,06/17/2025 15:42:00,6.22,,,,,
100,06/17/2025 15:43:00,6.22,,,,,
101,06/17/2025 15:44:00,6.48,,,,,
102,06/17/2025 15:45:00,6.73,,,,,
103,06/17/2025 15:46:00,6.73,,,,,
104,06/17/2025 15:47:00,6.60,,,,,
105,06/17/2025 15:48:00,6.56,,,,,
106,06/17/2025 15:49:00,6.56,,,,,
107,06/17/2025 15:50:00,6.69,,,,,
108,06/17/2025 15:51:00,6.69,,,,,
109,06/17/2025 15:52:00,6.86,,,,,
110,06/17/2025 15:53:00,6.90,,,,,
111,06/17/2025 15:54:00,7.03,,,,,
112,06/17/2025 15:55:00,6.90,,,,,
113,06/17/2025 15:56:00,6.86,,,,,
114,06/17/2025 15:57:00,6.69,,,,,
115,06/17/2025 15:58:00,6.60,,,,,
116,06/17/2025 15:59:00,6.56,,,,,
117,06/17/2025 16:00:00,6.60,,,,,
118,06/17/2025 16:01:00,6.73,,,,,
119,06/17/2025 16:02:00,6.86,,,,,
120,06/17/2025 16:03:00,6.90,,,,,
121,06/17/2025 16:04:00,6.86,,,,,
122,06/17/2025 16:05:00,6.73,,,,,
123,06/17/2025 16:06:00,6.73,,,,,
124,06/17/2025 16:07:00,6.73,,,,,
125,06/17/2025 16:08:00,6.69,,,,,
126,06/17/2025 16:09:00,6.82,,,,,
127,06/17/2025 16:10:00,6.78,,,,,
128,06/17/2025 16:11:00,6.60,,,,,
129,06/17/2025 16:12:00,6.30,,,,,
130,06/17/2025 16:13:00,6.30,,,,,
131,06/17/2025 16:14:00,6.13,,,,,
132,06/17/2025 16:15:00,6.17,,,,,
133,06/17/2025 16:16:00,6.09,,,,,
134,06/17/2025 16:17:00,6.13,,,,,
135,06/17/2025 16:18:00,6.13,,,,,
136,06/17/2025 16:19:00,6.09,,,,,
137,06/17/2025 16:20:00,6.05,,,,,
138,06/17/2025 16:21:00,6.05,,,,,
139,06/17/2025 16:22:00,5.96,,,,,
140,06/17/2025 16:23:00,5.92,,,,,
141,06/17/2025 16:24:00,5.83,,,,,
142,06/17/2025 16:25:00,5.79,,,,,
143,06/17/2025 16:26:00,5.75,,,,,
144,06/17/2025 16:27:00,5.66,,,,,
145,06/17/2025 16:28:00,5.62,,,,,
146,06/17/2025 16:29:00,5.57,,,,,
147,06/17/2025 16:30:00,5.57,,,,,
148,06/17/2025 16:31:00,5.66,,,,,
149,06/17/2025 16:32:00,5.70,,,,,
150,06/17/2025 16:33:00,5.75,,,,,
