#,Date-Time (PDT),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,Host Connected,Stopped,End of File
1,06/17/2025 17:50:00,20.16,80629.76,Logged,,,,,
2,06/17/2025 17:51:15,,,,Logged,Logged,,,
3,06/17/2025 17:51:17,,,,,,Logged,,
4,06/17/2025 17:55:00,20.03,80138.24,,,,,,
5,06/17/2025 18:00:00,15.91,32829.44,,,,,,
6,06/17/2025 18:05:00,19.65,81244.16,,,,,,
7,06/17/2025 18:10:00,20.98,50565.12,,,,,,
8,06/17/2025 18:15:00,22.26,74997.76,,,,,,
9,06/17/2025 18:20:00,23.59,75120.64,,,,,,
10,06/17/2025 18:25:00,27.63,73113.60,,,,,,
11,06/17/2025 18:30:00,28.83,74997.76,,,,,,
12,06/17/2025 18:35:00,27.54,76001.28,,,,,,
13,06/17/2025 18:40:00,23.34,71823.36,,,,,,
14,06/17/2025 18:45:00,16.77,35246.08,,,,,,
15,06/17/2025 18:50:00,18.57,56135.68,,,,,,
16,06/17/2025 18:55:00,18.53,48373.76,,,,,,
17,06/17/2025 19:00:00,19.43,55480.32,,,,,,
18,06/17/2025 19:05:00,15.10,28190.72,,,,,,
19,06/17/2025 19:10:00,9.78,19532.80,,,,,,
20,06/17/2025 19:15:00,12.14,57057.28,,,,,,
21,06/17/2025 19:20:00,16.26,62955.52,,,,,,
22,06/17/2025 19:25:00,20.07,54620.16,,,,,,
23,06/17/2025 19:30:00,19.39,60784.64,,,,,,
24,06/17/2025 19:35:00,18.57,41164.80,,,,,,
25,06/17/2025 19:40:00,17.37,49991.68,,,,,,
26,06/17/2025 19:45:00,19.52,55050.24,,,,,,
27,06/17/2025 19:50:00,17.97,54968.32,,,,,,
28,06/17/2025 19:55:00,19.82,50442.24,,,,,,
29,06/17/2025 20:00:00,19.90,50176.00,,,,,,
30,06/17/2025 20:05:00,15.48,33761.28,,,,,,
31,06/17/2025 20:10:00,14.58,41748.48,,,,,,
32,06/17/2025 20:15:00,16.26,41748.48,,,,,,
33,06/17/2025 20:20:00,16.60,40253.44,,,,,,
34,06/17/2025 20:25:00,16.60,39014.40,,,,,,
35,06/17/2025 20:30:00,17.07,40622.08,,,,,,
36,06/17/2025 20:35:00,16.64,38410.24,,,,,,
37,06/17/2025 20:40:00,14.24,24750.08,,,,,,
38,06/17/2025 20:45:00,12.74,24565.76,,,,,,
39,06/17/2025 20:50:00,11.41,24043.52,,,,,,
40,06/17/2025 20:55:00,11.15,26245.12,,,,,,
41,06/17/2025 21:00:00,13.21,27289.60,,,,,,
42,06/17/2025 21:05:00,13.68,27054.08,,,,,,
43,06/17/2025 21:10:00,13.68,24442.88,,,,,,
44,06/17/2025 21:15:00,13.21,18165.76,,,,,,
45,06/17/2025 21:20:00,11.19,12431.36,,,,,,
46,06/17/2025 21:25:00,12.35,22333.44,,,,,,
47,06/17/2025 21:30:00,12.87,19189.76,,,,,,
48,06/17/2025 21:35:00,12.82,18104.32,,,,,,
49,06/17/2025 21:40:00,12.01,15052.80,,,,,,
50,06/17/2025 21:45:00,9.26,12999.68,,,,,,
51,06/17/2025 21:50:00,8.36,12267.52,,,,,,
52,06/17/2025 21:55:00,7.93,9610.24,,,,,,
53,06/17/2025 22:00:00,7.50,7385.60,,,,,,
54,06/17/2025 22:05:00,7.25,6430.72,,,,,,
55,06/17/2025 22:10:00,6.99,5969.92,,,,,,
56,06/17/2025 22:15:00,6.90,4975.36,,,,,,
57,06/17/2025 22:20:00,6.65,3920.64,,,,,,
58,06/17/2025 22:25:00,5.66,3188.48,,,,,,
59,06/17/2025 22:30:00,5.23,2736.64,,,,,,
60,06/17/2025 22:35:00,5.70,2172.16,,,,,,
61,06/17/2025 22:40:00,5.27,1731.84,,,,,,
62,06/17/2025 22:45:00,5.36,1437.44,,,,,,
63,06/17/2025 22:50:00,5.27,1305.92,,,,,,
64,06/17/2025 22:55:00,5.19,1050.24,,,,,,
65,06/17/2025 23:00:00,5.36,777.92,,,,,,
66,06/17/2025 23:05:00,5.40,562.56,,,,,,
67,06/17/2025 23:10:00,5.62,432.96,,,,,,
68,06/17/2025 23:15:00,5.45,343.04,,,,,,
69,06/17/2025 23:20:00,5.02,264.08,,,,,,
70,06/17/2025 23:25:00,4.67,217.76,,,,,,
71,06/17/2025 23:30:00,4.59,171.44,,,,,,
72,06/17/2025 23:35:00,4.67,119.04,,,,,,
73,06/17/2025 23:40:00,4.84,79.70,,,,,,
74,06/17/2025 23:45:00,4.72,62.12,,,,,,
75,06/17/2025 23:50:00,4.76,45.02,,,,,,
76,06/17/2025 23:55:00,5.15,29.46,,,,,,
77,06/18/2025 00:00:00,4.84,22.64,,,,,,
78,06/18/2025 00:05:00,4.33,18.33,,,,,,
79,06/18/2025 00:10:00,3.86,12.81,,,,,,
80,06/18/2025 00:15:00,3.47,10.04,,,,,,
81,06/18/2025 00:20:00,4.59,8.12,,,,,,
82,06/18/2025 00:25:00,4.37,5.78,,,,,,
83,06/18/2025 00:30:00,3.64,4.92,,,,,,
84,06/18/2025 00:35:00,3.17,3.86,,,,,,
85,06/18/2025 00:40:00,3.56,3.19,,,,,,
86,06/18/2025 00:45:00,3.47,2.55,,,,,,
87,06/18/2025 00:50:00,3.69,1.91,,,,,,
88,06/18/2025 00:55:00,3.52,1.70,,,,,,
89,06/18/2025 01:00:00,3.69,1.27,,,,,,
90,06/18/2025 01:05:00,3.64,1.06,,,,,,
91,06/18/2025 01:10:00,3.69,0.85,,,,,,
92,06/18/2025 01:15:00,3.86,0.63,,,,,,
93,06/18/2025 01:20:00,3.86,0.42,,,,,,
94,06/18/2025 01:25:00,4.29,0.63,,,,,,
95,06/18/2025 01:30:00,4.46,0.42,,,,,,
96,06/18/2025 01:35:00,4.54,0.42,,,,,,
97,06/18/2025 01:40:00,4.46,0.42,,,,,,
98,06/18/2025 01:45:00,4.37,0.42,,,,,,
99,06/18/2025 01:50:00,4.16,0.42,,,,,,
100,06/18/2025 01:55:00,3.82,0.00,,,,,,
101,06/18/2025 02:00:00,3.94,0.00,,,,,,
102,06/18/2025 02:05:00,3.86,0.00,,,,,,
103,06/18/2025 02:10:00,3.69,0.00,,,,,,
104,06/18/2025 02:15:00,3.90,0.42,,,,,,
105,06/18/2025 02:20:00,3.90,0.00,,,,,,
106,06/18/2025 02:25:00,3.94,0.63,,,,,,
107,06/18/2025 02:30:00,3.77,0.21,,,,,,
108,06/18/2025 02:35:00,3.64,0.42,,,,,,
109,06/18/2025 02:40:00,3.39,0.42,,,,,,
110,06/18/2025 02:45:00,3.13,0.42,,,,,,
111,06/18/2025 02:50:00,3.52,0.63,,,,,,
112,06/18/2025 02:55:00,3.60,0.85,,,,,,
113,06/18/2025 03:00:00,3.52,1.06,,,,,,
114,06/18/2025 03:05:00,3.26,1.49,,,,,,
115,06/18/2025 03:10:00,3.21,2.13,,,,,,
116,06/18/2025 03:15:00,3.13,2.98,,,,,,
117,06/18/2025 03:20:00,3.21,3.65,,,,,,
118,06/18/2025 03:25:00,3.13,4.50,,,,,,
119,06/18/2025 03:30:00,3.39,5.78,,,,,,
120,06/18/2025 03:35:00,3.47,7.27,,,,,,
121,06/18/2025 03:40:00,3.52,10.89,,,,,,
122,06/18/2025 03:45:00,3.39,16.62,,,,,,
123,06/18/2025 03:50:00,3.52,22.22,,,,,,
124,06/18/2025 03:55:00,3.43,29.57,,,,,,
125,06/18/2025 04:00:00,3.39,42.04,,,,,,
126,06/18/2025 04:05:00,3.52,57.38,,,,,,
127,06/18/2025 04:10:00,3.52,75.02,,,,,,
128,06/18/2025 04:15:00,3.47,102.84,,,,,,
129,06/18/2025 04:20:00,2.91,146.64,,,,,,
130,06/18/2025 04:25:00,2.57,200.72,,,,,,
131,06/18/2025 04:30:00,3.04,268.32,,,,,,
132,06/18/2025 04:35:00,3.17,338.88,,,,,,
133,06/18/2025 04:40:00,3.26,438.08,,,,,,
134,06/18/2025 04:45:00,3.47,528.96,,,,,,
135,06/18/2025 04:50:00,3.43,654.24,,,,,,
136,06/18/2025 04:55:00,3.56,721.28,,,,,,
137,06/18/2025 05:00:00,3.77,879.68,,,,,,
138,06/18/2025 05:05:00,3.64,971.84,,,,,,
139,06/18/2025 05:10:00,3.73,1080.96,,,,,,
140,06/18/2025 05:15:00,3.94,1397.12,,,,,,
141,06/18/2025 05:20:00,3.90,1890.56,,,,,,
142,06/18/2025 05:25:00,4.37,2185.60,,,,,,
143,06/18/2025 05:30:00,4.59,2529.92,,,,,,
144,06/18/2025 05:35:00,4.59,3347.20,,,,,,
145,06/18/2025 05:40:00,4.33,3904.00,,,,,,
146,06/18/2025 05:45:00,4.42,4494.08,,,,,,
147,06/18/2025 05:50:00,4.54,5754.88,,,,,,
148,06/18/2025 05:55:00,4.84,6236.16,,,,,,
149,06/18/2025 06:00:00,4.72,6213.12,,,,,,
150,06/18/2025 06:05:00,4.63,6243.84,,,,,,
151,06/18/2025 06:10:00,4.63,7861.76,,,,,,
152,06/18/2025 06:15:00,5.02,8680.96,,,,,,
153,06/18/2025 06:20:00,5.02,8865.28,,,,,,
154,06/18/2025 06:25:00,5.02,11095.04,,,,,,
155,06/18/2025 06:30:00,5.40,12753.92,,,,,,
156,06/18/2025 06:35:00,5.45,12119.04,,,,,,
157,06/18/2025 06:40:00,5.45,12247.04,,,,,,
158,06/18/2025 06:45:00,5.36,12431.36,,,,,,
159,06/18/2025 06:50:00,5.53,12774.40,,,,,,
160,06/18/2025 06:55:00,5.66,12656.64,,,,,,
161,06/18/2025 07:00:00,5.70,13066.24,,,,,,
162,06/18/2025 07:05:00,6.09,14039.04,,,,,,
163,06/18/2025 07:10:00,5.96,15247.36,,,,,,
164,06/18/2025 07:15:00,6.09,16133.12,,,,,,
165,06/18/2025 07:20:00,6.30,17715.20,,,,,,
166,06/18/2025 07:25:00,6.86,23418.88,,,,,,
167,06/18/2025 07:30:00,7.08,22200.32,,,,,,
168,06/18/2025 07:35:00,6.60,20024.32,,,,,,
169,06/18/2025 07:40:00,6.60,20541.44,,,,,,
170,06/18/2025 07:45:00,6.56,21094.40,,,,,,
171,06/18/2025 07:50:00,6.56,23152.64,,,,,,
172,06/18/2025 07:55:00,6.95,27381.76,,,,,,
173,06/18/2025 08:00:00,7.33,27146.24,,,,,,
