#,Date-Time (AKDT),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,Host Connected,End of File
1,06/19/2025 16:30:00,16.81,50790.40,Logged,,,,
2,06/19/2025 16:35:00,12.52,42270.72,,,,,
3,06/19/2025 16:40:00,11.67,70512.64,,,,,
4,06/19/2025 16:45:00,14.67,72273.92,,,,,
5,06/19/2025 16:50:00,16.77,71106.56,,,,,
6,06/19/2025 16:55:00,16.77,69242.88,,,,,
7,06/19/2025 17:00:00,17.29,69181.44,,,,,
8,06/19/2025 17:05:00,15.78,47472.64,,,,,
9,06/19/2025 17:10:00,17.29,65269.76,,,,,
10,06/19/2025 17:15:00,17.84,65679.36,,,,,
11,06/19/2025 17:20:00,17.07,69222.40,,,,,
12,06/19/2025 17:25:00,19.17,73072.64,,,,,
13,06/19/2025 17:30:00,18.36,70492.16,,,,,
14,06/19/2025 17:35:00,19.56,66662.40,,,,,
15,06/19/2025 17:40:00,19.22,65167.36,,,,,
16,06/19/2025 17:45:00,19.35,64368.64,,,,,
17,06/19/2025 17:50:00,18.83,60477.44,,,,,
18,06/19/2025 17:55:00,18.10,55459.84,,,,,
19,06/19/2025 18:00:00,18.27,51978.24,,,,,
20,06/19/2025 18:05:00,18.14,53350.40,,,,,
21,06/19/2025 18:10:00,18.02,55050.24,,,,,
22,06/19/2025 18:15:00,17.76,55521.28,,,,,
23,06/19/2025 18:20:00,16.39,48660.48,,,,,
24,06/19/2025 18:25:00,11.92,34693.12,,,,,
25,06/19/2025 18:30:00,12.57,41062.40,,,,,
26,06/19/2025 18:35:00,13.08,38768.64,,,,,
27,06/19/2025 18:40:00,13.00,37324.80,,,,,
28,06/19/2025 18:45:00,13.43,37027.84,,,,,
29,06/19/2025 18:50:00,13.90,36188.16,,,,,
30,06/19/2025 18:55:00,13.94,37027.84,,,,,
31,06/19/2025 19:00:00,14.07,39680.00,,,,,
32,06/19/2025 19:05:00,14.75,42762.24,,,,,
33,06/19/2025 19:10:00,16.43,46223.36,,,,,
34,06/19/2025 19:15:00,13.81,31774.72,,,,,
35,06/19/2025 19:20:00,12.18,28743.68,,,,,
36,06/19/2025 19:25:00,11.54,19164.16,,,,,
37,06/19/2025 19:30:00,9.35,15580.16,,,,,
38,06/19/2025 19:35:00,8.41,14464.00,,,,,
39,06/19/2025 19:40:00,8.41,14535.68,,,,,
40,06/19/2025 19:45:00,8.53,13235.20,,,,,
41,06/19/2025 19:50:00,8.15,13491.20,,,,,
42,06/19/2025 19:55:00,7.98,16650.24,,,,,
43,06/19/2025 20:00:00,8.75,17664.00,,,,,
44,06/19/2025 20:05:00,8.49,15672.32,,,,,
45,06/19/2025 20:10:00,8.11,14991.36,,,,,
46,06/19/2025 20:15:00,8.62,13475.84,,,,,
47,06/19/2025 20:20:00,7.50,12257.28,,,,,
48,06/19/2025 20:25:00,6.95,11914.24,,,,,
49,06/19/2025 20:30:00,6.43,11197.44,,,,,
50,06/19/2025 20:35:00,5.87,8668.16,,,,,
51,06/19/2025 20:40:00,3.99,6755.84,,,,,
52,06/19/2025 20:45:00,2.57,6725.12,,,,,
53,06/19/2025 20:50:00,2.53,7974.40,,,,,
54,06/19/2025 20:55:00,2.70,7528.96,,,,,
55,06/19/2025 21:00:00,2.79,5578.24,,,,,
56,06/19/2025 21:05:00,2.70,4153.60,,,,,
57,06/19/2025 21:10:00,2.14,3456.00,,,,,
58,06/19/2025 21:15:00,1.84,3123.20,,,,,
59,06/19/2025 21:20:00,1.76,2739.20,,,,,
60,06/19/2025 21:25:00,1.54,2229.12,,,,,
61,06/19/2025 21:30:00,1.41,1802.24,,,,,
62,06/19/2025 21:35:00,1.80,1665.92,,,,,
63,06/19/2025 21:40:00,2.14,1610.24,,,,,
64,06/19/2025 21:45:00,2.14,1379.20,,,,,
65,06/19/2025 21:50:00,2.36,1036.80,,,,,
66,06/19/2025 21:55:00,2.57,882.56,,,,,
67,06/19/2025 22:00:00,2.36,701.44,,,,,
68,06/19/2025 22:05:00,2.40,555.52,,,,,
69,06/19/2025 22:10:00,2.14,448.80,,,,,
70,06/19/2025 22:15:00,2.40,333.92,,,,,
71,06/19/2025 22:20:00,2.44,267.12,,,,,
72,06/19/2025 22:25:00,2.14,203.84,,,,,
73,06/19/2025 22:30:00,2.01,152.28,,,,,
74,06/19/2025 22:35:00,2.01,110.44,,,,,
75,06/19/2025 22:40:00,1.80,80.90,,,,,
76,06/19/2025 22:45:00,1.80,58.66,,,,,
77,06/19/2025 22:50:00,1.84,42.28,,,,,
78,06/19/2025 22:55:00,2.27,31.15,,,,,
79,06/19/2025 23:00:00,2.87,23.57,,,,,
80,06/19/2025 23:05:00,2.96,18.62,,,,,
81,06/19/2025 23:10:00,2.96,13.94,,,,,
82,06/19/2025 23:15:00,2.61,10.18,,,,,
83,06/19/2025 23:20:00,2.53,7.74,,,,,
84,06/19/2025 23:25:00,2.87,5.97,,,,,
85,06/19/2025 23:30:00,3.09,4.42,,,,,
86,06/19/2025 23:35:00,2.61,3.32,,,,,
87,06/19/2025 23:40:00,2.49,2.43,,,,,
88,06/19/2025 23:45:00,2.44,1.99,,,,,
89,06/19/2025 23:50:00,2.74,1.54,,,,,
90,06/19/2025 23:55:00,2.83,1.10,,,,,
91,06/20/2025 00:00:00,2.27,0.88,,,,,
92,06/20/2025 00:05:00,2.40,0.66,,,,,
93,06/20/2025 00:10:00,2.66,0.44,,,,,
94,06/20/2025 00:15:00,3.17,0.44,,,,,
95,06/20/2025 00:20:00,2.87,0.44,,,,,
96,06/20/2025 00:25:00,2.61,0.22,,,,,
97,06/20/2025 00:30:00,2.53,0.22,,,,,
98,06/20/2025 00:35:00,2.83,0.22,,,,,
99,06/20/2025 00:40:00,3.17,0.22,,,,,
100,06/20/2025 00:45:00,2.83,0.22,,,,,
101,06/20/2025 00:50:00,2.53,0.22,,,,,
102,06/20/2025 00:55:00,2.10,0.22,,,,,
103,06/20/2025 01:00:00,1.88,0.22,,,,,
104,06/20/2025 01:05:00,2.10,0.22,,,,,
105,06/20/2025 01:10:00,1.80,0.22,,,,,
106,06/20/2025 01:15:00,2.06,0.22,,,,,
107,06/20/2025 01:20:00,2.40,1.10,,,,,
108,06/20/2025 01:25:00,2.23,0.44,,,,,
109,06/20/2025 01:30:00,2.10,0.44,,,,,
110,06/20/2025 01:35:00,2.53,1.10,,,,,
111,06/20/2025 01:40:00,2.66,0.66,,,,,
112,06/20/2025 01:45:00,2.79,0.66,,,,,
