#,Date-Time (AKDT),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,Host Connected,Stopped,End of File
1,06/22/2025 17:45:00,15.27,49295.36,Logged,,,,,
2,06/22/2025 17:50:00,14.33,46632.96,,,,,,
3,06/22/2025 17:55:00,13.77,45670.40,,,,,,
4,06/22/2025 18:00:00,14.28,44646.40,,,,,,
5,06/22/2025 18:05:00,13.81,44687.36,,,,,,
6,06/22/2025 18:10:00,13.64,44421.12,,,,,,
7,06/22/2025 18:15:00,13.17,42598.40,,,,,,
8,06/22/2025 18:20:00,12.82,40407.04,,,,,,
9,06/22/2025 18:25:00,11.75,36925.44,,,,,,
10,06/22/2025 18:30:00,11.11,34150.40,,,,,,
11,06/22/2025 18:35:00,11.02,34252.80,,,,,,
12,06/22/2025 18:40:00,9.69,28979.20,,,,,,
13,06/22/2025 18:45:00,9.52,29399.04,,,,,,
14,06/22/2025 18:50:00,9.74,30330.88,,,,,,
15,06/22/2025 18:55:00,9.95,31406.08,,,,,,
16,06/22/2025 19:00:00,9.86,30904.32,,,,,,
17,06/22/2025 19:05:00,10.21,30187.52,,,,,,
18,06/22/2025 19:10:00,9.99,29675.52,,,,,,
19,06/22/2025 19:15:00,10.08,29440.00,,,,,,
20,06/22/2025 19:20:00,9.95,28887.04,,,,,,
21,06/22/2025 19:25:00,9.61,27586.56,,,,,,
22,06/22/2025 19:30:00,9.26,27443.20,,,,,,
23,06/22/2025 19:35:00,8.45,25989.12,,,,,,
24,06/22/2025 19:40:00,8.32,25047.04,,,,,,
25,06/22/2025 19:45:00,8.79,24647.68,,,,,,
26,06/22/2025 19:50:00,8.62,24053.76,,,,,,
27,06/22/2025 19:55:00,8.58,23541.76,,,,,,
28,06/22/2025 20:00:00,8.41,22087.68,,,,,,
29,06/22/2025 20:05:00,8.23,21258.24,,,,,,
30,06/22/2025 20:10:00,7.72,19338.24,,,,,,
31,06/22/2025 20:15:00,7.38,18616.32,,,,,,
32,06/22/2025 20:20:00,6.86,17233.92,,,,,,
33,06/22/2025 20:25:00,6.95,16389.12,,,,,,
34,06/22/2025 20:30:00,6.86,15267.84,,,,,,
35,06/22/2025 20:35:00,6.17,13240.32,,,,,,
36,06/22/2025 20:40:00,6.17,13030.40,,,,,,
37,06/22/2025 20:45:00,6.17,12344.32,,,,,,
38,06/22/2025 20:50:00,6.00,11335.68,,,,,,
39,06/22/2025 20:55:00,5.27,9937.92,,,,,,
40,06/22/2025 21:00:00,4.89,9080.32,,,,,,
41,06/22/2025 21:05:00,5.27,8360.96,,,,,,
42,06/22/2025 21:10:00,5.36,7347.20,,,,,,
43,06/22/2025 21:15:00,4.84,6251.52,,,,,,
44,06/22/2025 21:20:00,4.20,5198.08,,,,,,
45,06/22/2025 21:25:00,3.64,4262.40,,,,,,
46,06/22/2025 21:30:00,3.43,3255.04,,,,,,
47,06/22/2025 21:35:00,2.87,2768.64,,,,,,
48,06/22/2025 21:40:00,2.53,2361.60,,,,,,
49,06/22/2025 21:45:00,2.06,1974.40,,,,,,
50,06/22/2025 21:50:00,1.54,1622.40,,,,,,
51,06/22/2025 21:55:00,1.16,1312.64,,,,,,
52,06/22/2025 22:00:00,1.46,1033.60,,,,,,
53,06/22/2025 22:05:00,1.84,801.28,,,,,,
54,06/22/2025 22:10:00,1.84,620.32,,,,,,
55,06/22/2025 22:15:00,1.84,480.48,,,,,,
56,06/22/2025 22:20:00,1.20,367.20,,,,,,
57,06/22/2025 22:25:00,1.24,281.52,,,,,,
58,06/22/2025 22:30:00,1.03,216.48,,,,,,
59,06/22/2025 22:35:00,0.86,156.40,,,,,,
60,06/22/2025 22:40:00,1.16,106.92,,,,,,
61,06/22/2025 22:45:00,1.54,76.06,,,,,,
62,06/22/2025 22:50:00,1.54,55.04,,,,,,
63,06/22/2025 22:55:00,1.71,38.64,,,,,,
64,06/22/2025 23:00:00,1.88,28.55,,,,,,
65,06/22/2025 23:05:00,1.84,20.75,,,,,,
66,06/22/2025 23:10:00,1.63,16.00,,,,,,
67,06/22/2025 23:15:00,1.03,12.29,,,,,,
68,06/22/2025 23:20:00,0.81,8.81,,,,,,
69,06/22/2025 23:25:00,1.03,6.56,,,,,,
70,06/22/2025 23:30:00,1.03,5.31,,,,,,
71,06/22/2025 23:35:00,0.60,4.08,,,,,,
72,06/22/2025 23:40:00,0.51,3.06,,,,,,
73,06/22/2025 23:45:00,0.51,2.45,,,,,,
74,06/22/2025 23:50:00,0.77,1.84,,,,,,
75,06/22/2025 23:55:00,0.98,1.43,,,,,,
76,06/23/2025 00:00:00,1.03,1.22,,,,,,
77,06/23/2025 00:05:00,1.24,0.81,,,,,,
78,06/23/2025 00:10:00,1.11,0.61,,,,,,
79,06/23/2025 00:15:00,0.81,0.61,,,,,,
80,06/23/2025 00:20:00,1.11,0.40,,,,,,
81,06/23/2025 00:25:00,0.94,0.40,,,,,,
82,06/23/2025 00:30:00,1.28,0.20,,,,,,
83,06/23/2025 00:35:00,1.37,0.20,,,,,,
84,06/23/2025 00:40:00,1.16,0.20,,,,,,
85,06/23/2025 00:45:00,1.28,0.20,,,,,,
86,06/23/2025 00:50:00,0.77,0.20,,,,,,
87,06/23/2025 00:55:00,1.03,0.20,,,,,,
88,06/23/2025 01:00:00,1.50,0.20,,,,,,
