datetime,site_id,height_cm,notes
6/19/25 21:00,windward1,34,0 = top edge of the topmost tape band
6/20/25 21:00,windward1,40,
6/21/25 21:00,windward1,45,
6/22/25 21:00,windward1,48,
6/23/25 21:00,windward1,50,
6/24/25 21:00,windward1,54,
6/25/25 21:00,windward1,57,
6/26/25 21:00,windward1,60,
6/27/25 21:00,windward1,63,
6/28/25 21:00,windward1,63,
6/29/25 21:00,windward1,62,snowed
6/30/25 21:00,windward1,63,
7/1/25 21:00,windward1,68,
7/2/25 21:00,windward1,70,
7/3/25 21:00,windward1,74,
7/4/25 21:00,windward1,79,
7/5/25 21:00,windward1,81,
7/6/25 21:00,windward1,83,
7/7/25 21:00,windward1,83,
7/8/25 21:00,windward1,63,snowed
7/9/25 21:00,windward1,71,"snow redistribution, not melt"
7/10/25 21:00,windward1,63,snowed
7/11/25 21:00,windward1,72,"snow redistribution, not melt"
7/12/25 21:00,windward1,72,snowed and redistributed
7/13/25 21:00,windward1,76,
7/14/25 21:00,windward1,80,
7/15/25 21:00,windward1,84,
7/16/25 21:00,windward1,87,
7/17/25 21:00,windward1,89,
7/18/25 21:00,windward1,90,
7/19/25 21:00,windward1,92,
7/20/25 21:00,windward1,95,
7/21/25 21:00,windward1,101,
7/22/25 21:00,windward1,106,
7/23/25 21:00,windward1,106,
7/24/25 21:00,windward1,112,
7/25/25 21:00,windward1,114,
7/26/25 21:00,windward1,115,
7/27/25 21:00,windward1,118,
7/28/25 21:00,windward1,120,
7/29/25 21:00,windward1,123,
6/18/25 21:00,lee2,48,0 = top edge of the topmost tape band
6/19/25 21:00,lee2,52,
6/20/25 21:00,lee2,60,
6/21/25 21:00,lee2,69,
6/22/25 21:00,lee2,78,
6/23/25 21:00,lee2,85,
6/24/25 21:00,lee2,89,
6/25/25 21:00,lee2,98,
6/26/25 21:00,lee2,104,
6/27/25 21:00,lee2,109,
6/28/25 21:00,lee2,113,
6/29/25 21:00,lee2,118,
6/30/25 21:00,lee2,124,
7/1/25 21:00,lee2,130,
7/2/25 21:00,lee2,137,
7/3/25 21:00,lee2,141,
7/4/25 21:00,lee2,148,
7/5/25 21:00,lee2,154,
7/6/25 21:00,lee2,159,
7/7/25 21:00,lee2,166,
7/8/25 21:00,lee2,169,
7/9/25 21:00,lee2,175,
7/10/25 21:00,lee2,180,bare ice exposed
7/11/25 21:00,lee2,184,
7/12/25 21:00,lee2,189,
7/13/25 21:00,lee2,193,
7/14/25 21:00,lee2,202,
7/15/25 21:00,lee2,205,
7/16/25 21:00,lee2,209,
7/17/25 21:00,lee2,214,
7/18/25 21:00,lee2,222,
7/19/25 21:00,lee2,228,
7/20/25 21:00,lee2,233,
7/21/25 21:00,lee2,240,
7/22/25 21:00,lee2,242,
7/23/25 21:00,lee2,246,
7/24/25 21:00,lee2,252,
7/25/25 21:00,lee2,253,
7/26/25 21:00,lee2,255,
7/27/25 21:00,lee2,258,
7/28/25 21:00,lee2,263,
7/29/25 21:00,lee2,267,
7/30/25 21:00,lee2,272,
7/31/25 21:00,lee2,275,
8/1/25 21:00,lee2,279,
8/2/25 21:00,lee2,280,
8/3/25 21:00,lee2,281,
6/22/25 21:00,windward2,5,0 = top edge of the topmost tape band
6/23/25 21:00,windward2,6,
6/24/25 21:00,windward2,12,
6/25/25 21:00,windward2,18,
6/26/25 21:00,windward2,23,
6/27/25 21:00,windward2,26,
6/28/25 21:00,windward2,30,
6/29/25 21:00,windward2,33,
6/30/25 21:00,windward2,37,
7/1/25 21:00,windward2,42,
7/2/25 21:00,windward2,44,
7/3/25 21:00,windward2,48,
7/4/25 21:00,windward2,51,
7/5/25 21:00,windward2,54,
7/6/25 21:00,windward2,59,
7/7/25 21:00,windward2,62,
7/8/25 21:00,windward2,58,snowed
7/9/25 21:00,windward2,62,
7/10/25 21:00,windward2,63,
7/11/25 21:00,windward2,66,
7/12/25 21:00,windward2,68,
7/13/25 21:00,windward2,70,
7/14/25 21:00,windward2,72,
7/15/25 21:00,windward2,73,
7/16/25 21:00,windward2,76,
7/17/25 21:00,windward2,79,
7/18/25 21:00,windward2,83,
7/19/25 21:00,windward2,86,
7/20/25 21:00,windward2,89,
7/21/25 21:00,windward2,95,
7/22/25 21:00,windward2,99,
7/23/25 21:00,windward2,101,
7/24/25 21:00,windward2,102,
7/25/25 21:00,windward2,104,
7/26/25 21:00,windward2,106,
6/19/25 21:00,divide,34,"0 = top edge of the topmost tape band. Because bottom of pole isn't initially visible, value calculated by subtracting height difference from deployment notes"
6/20/25 21:00,divide,37,
6/21/25 21:00,divide,44,
6/22/25 21:00,divide,50,
6/23/25 21:00,divide,54,
6/24/25 21:00,divide,63,
6/25/25 21:00,divide,72,
6/26/25 21:00,divide,68,higher uncertainty
6/27/25 21:00,divide,70,higher uncertainty
6/28/25 21:00,divide,74,
6/29/25 21:00,divide,76,
6/30/25 21:00,divide,73,higher uncertainty
7/1/25 21:00,divide,76,
7/2/25 21:00,divide,78,
7/3/25 21:00,divide,82,
7/4/25 21:00,divide,84,
7/5/25 21:00,divide,89,Can almost see base
7/6/25 21:00,divide,91,
7/7/25 21:00,divide,91,
7/8/25 08:20,divide,86,"confirmed height, bottom of pole visible. Camera was covered in rime overnight. Snowing."
7/8/25 21:00,divide,70,snowing
7/9/25 21:00,divide,80,"snow redistributed, not melt"
7/10/25 21:00,divide,73,snowing
7/11/25 21:00,divide,78,
7/12/25 21:00,divide,78,
7/13/25 21:00,divide,81,
7/14/25 21:00,divide,86,
7/15/25 21:00,divide,89,
7/16/25 21:00,divide,93,
7/17/25 21:00,divide,94,
7/18/25 21:00,divide,97,
7/19/25 21:00,divide,99,
7/20/25 21:00,divide,102,
7/21/25 21:00,divide,104,
7/22/25 21:00,divide,104,Can't quite see base
7/23/25 21:00,divide,112,Base visible
7/24/25 21:00,divide,114,
7/25/25 21:00,divide,114,
7/26/25 21:00,divide,114,
