site_id,site_type,latitude,longitude
A01,standard,58.60378198738002,-134.17976892875762
A02,rm_young,58.6343315841754,-134.23702065045165
A03,standard,58.656475452489836,-134.27776008853
A04,rm_young,58.66965942448515,-134.3062928433119
A05,standard,58.69180425936393,-134.26047339336822
A06,intensive,58.71795581511836,-134.21217805950764
A07,standard,58.74522121105697,-134.19745307556678
A08,rm_young,58.76946752593566,-134.19427012583267
A09,standard,58.79001899418808,-134.19182561985417
A10,intensive,58.81494075043849,-134.18213692403043
A11,standard,58.83766250192577,-134.16699212035155
A12,intensive,58.85856427389704,-134.15758757380732
A13,rm_young,58.88270150186473,-134.13547925962484
A14,standard,58.90973715670847,-134.10743296300282
A15,intensive,58.93606896808881,-134.09981298247382
A16,standard,58.952010128120065,-134.0875754672332
A17,rm_young,58.98167881845333,-134.0782259362418
A18,intensive,59.018705335785114,-134.085875835357
A19,standard,59.030848543408176,-134.08895236292932
B01,exploratory,58.64724527827597,-134.1848427300747
B02,exploratory,58.64839067467605,-134.1875686321535
B03,standard,58.64093440496724,-134.19572264056376
B04,standard,58.637801171341124,-134.18208497934162
B05,exploratory,58.64190852542499,-134.16977179575537
B06,exploratory,58.642676574309846,-134.16047710686763
F03,exploratory,58.813637607410385,-134.16299557690212
F04,exploratory,58.806667932762615,-134.1415620617879
G01,standard,58.650405425118244,-134.21070743942437
G02,standard,58.641968039180995,-134.22267618538152
G03,standard,58.63766116125864,-134.23087108551542
G04,standard,58.631515121235864,-134.24302100934025
G05,standard,58.628164327283194,-134.2499001970651
G06,standard,58.62217612865622,-134.26324228448055
T02,standard,58.82822,-134.31925
T03,exploratory,58.825554162841314,-134.31966525919864
T04,exploratory,58.83173473333333,-134.3044998166667
T05,exploratory,58.824179599999994,-134.3178614166667
T06,exploratory,58.83003,-134.31188
T07,exploratory,58.83229,-134.3391
T08,exploratory,58.83004986666667,-134.33025463333334
T09,rm_young,58.8351788764405,-134.27851989147743
X05,standard,58.90793231963343,-134.21788822657547
X06,standard,58.947751450706264,-134.3236247555354
