mean_speed_bin,source,n,max_below_mean_count,mean_speed_mean_m_s,maximum_speed_mean_m_s,excess_median_m_s,excess_p05_m_s,excess_p95_m_s,ratio_median,ratio_p95
0.25–1,pace,5945,0,0.6605010765349033,1.501892851135408,0.7109000000000001,0.24140000000000006,1.7169,2.1660027990095814,4.539683288570128
0.25–1,rmyoung,6626,0,0.6990774969212195,1.0172758828856021,0.26,0.07199999999999995,0.7659999999999999,1.3956682947167787,2.2188369450213568
0–0.25,pace,6629,5,0.02930117664806155,0.22376632976316183,0.0,0.0,0.9006799999999983,8.334714167357083,147.94117647058823
0–0.25,rmyoung,397,0,0.1422418135768262,0.35612090680100755,0.21600000000000003,0.0,0.4671999999999998,2.5416782439566545,5.0
1–2,pace,10025,0,1.4969603591022445,2.3679885286783042,0.7109000000000001,0.2582,1.9851999999999999,1.4742086752637749,2.4271376182204207
1–2,rmyoung,13476,0,1.4981528643514397,1.9109105075690116,0.31599999999999984,0.08400000000000007,1.04,1.2156479249999632,1.7310806925859827
2–3,pace,8314,0,2.4849493264373343,3.455841111378398,0.8215999999999997,0.3286000000000002,2.1495,1.3372917405175468,1.8958204517644013
2–3,rmyoung,10933,0,2.463834263239733,2.988597823104363,0.3900000000000001,0.12400000000000011,1.3599999999999999,1.1601186063750926,1.557832073144222
3–5,pace,10535,0,3.9102092928334127,5.198542002847652,1.12,0.4828999999999999,2.6256999999999997,1.2903225806451615,1.6734212436486815
3–5,rmyoung,14001,0,3.8880281419898575,4.551221341332762,0.5099999999999998,0.1679999999999997,1.6739999999999995,1.131739572736521,1.4422501496110114
5–8,pace,8502,0,6.323887720536344,8.207265584568338,1.7102000000000004,0.8986999999999998,3.4772350000000007,1.26836454365685,1.5455947905585252
5–8,rmyoung,7721,0,6.172619284419118,7.117205025255796,0.7900000000000009,0.2940000000000005,2.131999999999999,1.128731343283582,1.3484846782216315
8–12,pace,2644,0,9.145689977307113,11.667164901664147,2.337300000000001,1.3787099999999999,4.296989999999998,1.2552320239567147,1.4665230678970682
8–12,rmyoung,1987,0,9.159730242576748,10.504453950679418,1.186,0.4732010000000005,2.636999999999997,1.1296294988854747,1.2883187046689013
>12,pace,122,0,12.806630327868852,16.627860655737702,3.6635,2.3148050000000007,5.948175,1.2859520794352624,1.47221900093977
>12,rmyoung,551,0,59.66697638838476,92.33495462794919,23.412000000000006,0.0,79.125,1.3056875750770356,4.794783981279633
