source,site_id,height,n,max_below_mean_count,mean_speed_mean_m_s,maximum_speed_mean_m_s,excess_median_m_s,excess_p05_m_s,excess_p95_m_s,ratio_median,ratio_p95
pace,A06,2m,10117,1,1.5251665810022734,2.366889196402096,0.7343999999999999,0.0,1.9314999999999998,1.5706479313036692,4.167357083678541
pace,A10,2m,9487,2,2.2468331295456943,3.1446645936544746,0.8216000000000001,0.0,1.8869099999999959,1.3719429039003543,4.3824127324417645
pace,A12,2m,12103,0,2.5500729488556555,3.499139469553004,0.8216000000000001,0.0,2.4748,1.3348371259868639,2.4568991301926033
pace,A15,2m,9225,0,4.879441810298103,6.349250406504065,1.2810000000000001,0.3286000000000002,3.268159999999994,1.2737383806341778,1.9505424753695066
pace,A18,2m,11784,2,4.062200814663951,5.5671479972844535,1.3648,0.0,3.419890000000002,1.3353194501799304,6.523994811932555
rmyoung,A02,2m,6635,0,2.2382987194257726,2.578027128862095,0.28800000000000003,0.08400000000000007,0.778,1.13882863340564,1.5183578104138846
rmyoung,A04,2m,10082,0,2.330397687770284,2.694243205713152,0.30000000000000004,0.08599999999999985,0.8340000000000005,1.139977187755897,1.495595829738629
rmyoung,A08,2m,9488,0,3.349885912679174,4.12462584317032,0.39400000000000013,0.11000000000000004,1.3119999999999996,1.1790019619719794,1.8666830870279145
rmyoung,A13,2m,10871,0,4.751313126290129,5.731343942599577,0.5179999999999998,0.11399999999999988,1.7449999999999997,1.1359404096834265,1.4918041544977836
rmyoung,A17,2m,7194,0,5.5161731246594385,6.338725326661106,0.6860000000000004,0.15200000000000014,1.974699999999999,1.1311582847467956,1.4016563284989805
rmyoung,T09,2m,11422,0,3.8103620646033964,5.640069164769742,0.6400000000000001,0.16200000500000014,2.465899999999998,1.3514378931715163,2.107402429936279
