datetime_utc,wind_speed_avg,wind_speed_max,source,maximum_definition,site_id,height,maximum_sensor_id,mean_sensor_id,source_file,excess_m_s,ratio
2026-06-24 23:32:50,0.0034,0.0,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,-0.0034,0.0
2026-06-24 23:37:50,4.7383,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.8007,1.380030812738746
2026-06-24 23:42:50,4.5002,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.5297999999999998,1.11772810097329
2026-06-24 23:47:50,4.4566,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.5734000000000004,1.1286631064039852
2026-06-24 23:52:50,3.8832,4.527,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.6438000000000001,1.1657911001236094
2026-06-24 23:57:50,3.4908,4.024,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.5331999999999999,1.1527443565944768
2026-06-25 00:02:50,4.1648,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.3682000000000007,1.32851517479831
2026-06-25 00:07:50,4.9763,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.0596999999999994,1.2129493800614914
2026-06-25 00:12:50,5.0468,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9891999999999994,1.1960053895537766
2026-06-25 00:17:50,5.0535,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9824999999999999,1.1944197091124964
2026-06-25 00:22:50,4.8757,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.6573000000000002,1.134811411694731
2026-06-25 00:27:50,4.9663,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.0696999999999992,1.215391740329823
2026-06-25 00:32:50,5.4659,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.5760999999999994,1.2883514151374886
2026-06-25 00:37:50,5.2815,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.7544999999999993,1.1428571428571428
2026-06-25 00:42:50,5.4089,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.6330999999999998,1.301928303351883
2026-06-25 00:47:50,5.3184,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.7176,1.134927797833935
2026-06-25 00:52:50,5.9019,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.1400999999999994,1.1931750792117792
2026-06-25 00:57:50,6.1031,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9388999999999994,1.1538398518785533
2026-06-25 01:02:50,6.8911,8.048,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.1569000000000003,1.1678832116788322
2026-06-25 01:07:50,6.9682,8.551,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.5827999999999998,1.2271461783530897
2026-06-25 01:12:50,7.26,8.551,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.2910000000000004,1.177823691460055
2026-06-25 01:17:50,7.5886,9.054,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.4654000000000007,1.1931054476451521
2026-06-25 01:22:50,7.0219,8.551,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.5291000000000006,1.2177615745026276
2026-06-25 01:27:50,6.9615,8.048,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.0865,1.1560726854844503
2026-06-25 01:32:50,7.213,8.048,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.835,1.115763205323721
2026-06-25 01:37:50,7.203,8.048,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.8449999999999998,1.1173122310148549
2026-06-25 01:42:50,6.4988,8.048,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.5492,1.2383824706099587
2026-06-25 01:47:50,5.2278,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.8141999999999996,1.3470293431271279
2026-06-25 01:52:50,7.1057,8.048,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9423000000000004,1.132611846827195
2026-06-25 01:57:50,7.26,9.054,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.7940000000000005,1.247107438016529
2026-06-25 02:02:50,7.8971,9.557,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.6599000000000004,1.2101910828025477
2026-06-25 02:07:50,7.8937,9.054,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.1603000000000003,1.1469906381038044
2026-06-25 02:12:50,7.8066,9.054,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.2473999999999998,1.159787871800784
2026-06-25 02:17:50,7.659,9.054,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.3950000000000005,1.18213866039953
2026-06-25 02:22:50,7.2901,8.551,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.2609000000000004,1.1729605903897067
2026-06-25 02:27:50,6.0796,8.048,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.9684,1.32377130074347
2026-06-25 02:32:50,5.4894,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.5526,1.282836011221627
2026-06-25 02:37:50,6.3646,8.551,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,2.1864,1.343525123338466
