"TOA5","Number 34-RM","CR350","11710","CR350.1.8.1","CPU:rmy93500_sdi12.CRB","54723","Weather"
"TIMESTAMP","RECORD","WindSpeed_ms_WVc(1)","WindSpeed_ms_WVc(2)","WindSpeed_ms_WVc(3)","WindSpeed_ms_Max","WindSpeed_ms_TMx","WindSpeed_ms_Std","Temperature_C_Avg","Temperature_C_Std","RelHumidity_pct_Avg","RelHumidity_pct_Std","Pressure_hPa_Avg","Pressure_hPa_Std","RainTips","Rainfall_mm","LoggerTemp_C_Avg","BattV","WindStatusCode","StatusCode"
"TS","RN","","","","","","","","","","","","","","","","","",""
"","","WVc","WVc","WVc","Max","TMx","Std","Avg","Std","Avg","Std","Avg","Std","Smp","Smp","Avg","Smp","Smp","Smp"
"2026-06-22 13:25:00",0,4.35,327.4996,2.201385,4.98,"2026-06-22 13:23:00",0.5185235,2.9,0,85.86667,0.1247234,896.0667,0.04712895,0,0,8.862342,12.75509,0,0
"2026-06-22 13:30:00",1,4.344,331.5074,8.227142,5.15,"2026-06-22 13:27:00",0.5874215,3.2,0.1788854,85.52,0.62418,896.08,0.03999024,0,0,9.120422,12.76743,0,0
"2026-06-22 13:35:00",2,4.332,335.8293,7.005923,4.7,"2026-06-22 13:34:00",0.2885411,3.48,0.1939072,84.92,0.4019954,896.06,0.04897783,0,0,8.515077,12.77809,0,0
"2026-06-22 13:40:00",3,4.392,330.162,15.1277,5.12,"2026-06-22 13:38:00",0.5590133,3.8,0.1264911,83.94,0.48415,896.08,0.03999024,0,0,7.943607,12.76519,0,0
"2026-06-22 13:45:00",4,4.429999,323.8003,3.999784,4.8,"2026-06-22 13:45:00",0.2826305,3.96,0.1356466,83.26,0.4758135,896.1,0,0,0,7.613065,12.7736,0,0
"2026-06-22 13:50:00",5,4.39,320.9937,6.747039,4.74,"2026-06-22 13:46:00",0.2709243,4.22,0.09797973,82.9,0.384707,896.1,0,0,0,7.409593,12.76575,0,0
"2026-06-22 13:55:00",6,3.534,313.3824,4.471558,4.21,"2026-06-22 13:51:00",0.367075,3.92,0.2481935,82.7,0.784855,896.1,0,0,0,7.289384,12.7635,0,0
"2026-06-22 14:00:00",7,3.856,318.5962,6.97705,4.3,"2026-06-22 13:56:00",0.29857,3.8,0.1788855,84.84,0.6053092,896.06,0.04897783,0,0,7.253035,12.76631,0,0
"2026-06-22 14:05:00",8,3.812,309.1395,14.62231,4.36,"2026-06-22 14:05:00",0.3981156,3.68,0.2925747,84,1.705286,896,0,0,0,7.277575,12.76799,0,0
"2026-06-22 14:10:00",9,3.68,309.4442,8.69081,4.06,"2026-06-22 14:09:00",0.2350319,3.72,0.09797961,84.6,0.5059639,896.1,0,0,0,7.311481,12.75621,0,0
"2026-06-22 14:15:00",10,2.944,295.2218,12.13882,3.37,"2026-06-22 14:11:00",0.2556247,3.38,0.04000006,84.98,0.4019945,896.1,0,0,0,7.37109,12.76407,0,0
"2026-06-22 14:20:00",11,2.716,309.9556,18.11793,3.64,"2026-06-22 14:20:00",0.5685279,3.18,0.09797961,85.74,0.8014976,896.1,0,0,0,7.428132,12.76631,0,0
"2026-06-22 14:25:00",12,4.32,316.1674,8.784055,5.17,"2026-06-22 14:24:00",0.5201923,3.54,0.12,85.42,0.9703606,896.1,0,0,0,7.469276,12.75677,0,0
"2026-06-22 14:30:00",13,3.896,325.3032,10.0722,4.68,"2026-06-22 14:30:00",0.5946965,3.5,0.1264911,86.06,0.6887671,896.1,0,0,0,7.467962,12.76126,0,0
"2026-06-22 14:35:00",14,4.79,313.1439,5.221255,5.44,"2026-06-22 14:34:00",0.652135,3.3,0.1095446,85.36,0.8138793,896.1,0,0,0,7.405213,12.76463,0,0
"2026-06-22 14:40:00",15,4.584,315.4204,2.715137,5.34,"2026-06-22 14:37:00",0.3972204,3.68,0.09797961,85.18,0.713863,896.2,0,0,0,7.316067,12.75453,0,0
"2026-06-22 14:45:00",16,4.384,316.7601,1.114574,4.81,"2026-06-22 14:42:00",0.4366967,3.32,0.04000006,85.34,0.5462605,896.16,0.04900774,0,0,7.2026,12.75621,0,0
"2026-06-22 14:50:00",17,4.874,317.6002,1.643,5.78,"2026-06-22 14:50:00",0.4888191,3.36,0.04898987,85.48,0.0979781,896.18,0.04001465,0,0,7.085801,12.7607,0,0
"2026-06-22 14:55:00",18,4.82,319.4199,2.96061,5.2,"2026-06-22 14:54:00",0.2944147,3.28,0.09797964,85.36,0.1200002,896.1,0,0,0,6.960171,12.75509,0,0
"2026-06-22 15:00:00",19,4.28,321.4201,1.443996,4.5,"2026-06-22 14:57:00",0.143527,3.02,0.0979795,86.36,0.195959,896.1,0,0,0,6.82182,12.76182,0,0
"2026-06-22 15:05:00",20,4.174,317.0638,5.852917,4.38,"2026-06-22 15:02:00",0.2466252,3.3,0.1095446,86.82,0.5635592,896.1,0,0,0,6.685869,12.75341,0,0
"2026-06-22 15:10:00",21,4.23,312.5197,2.495632,4.69,"2026-06-22 15:07:00",0.2855871,3.26,0.08000002,85.82,0.370945,896.12,0.04001465,0,0,6.584041,12.75509,0,0
"2026-06-22 15:15:00",22,4.812,315.881,3.728229,5.35,"2026-06-22 15:15:00",0.4150372,3.02,0.0979795,86.64,0.2332391,896.18,0.04001465,0,0,6.512155,12.75902,0,0
"2026-06-22 15:20:00",23,4.752,315.4221,4.845625,5.1,"2026-06-22 15:19:00",0.2877081,3.18,0.09797961,86.38,0.3187463,896.14,0.04900774,0,0,6.444752,12.75509,0,0
