"TOA5","A-17-RM","CR350","11709","CR350.Std.01.07","CPU:rmy93500_sdi12.CRB","54723","Weather"
"TIMESTAMP","RECORD","WindSpeed_ms_WVc(1)","WindSpeed_ms_WVc(2)","WindSpeed_ms_WVc(3)","WindSpeed_ms_Max","WindSpeed_ms_TMx","WindSpeed_ms_Std","Temperature_C_Avg","Temperature_C_Std","RelHumidity_pct_Avg","RelHumidity_pct_Std","Pressure_hPa_Avg","Pressure_hPa_Std","RainTips","Rainfall_mm","LoggerTemp_C_Avg","BattV","WindStatusCode","StatusCode"
"TS","RN","","","","","","","","","","","","","","","","","",""
"","","WVc","WVc","WVc","Max","TMx","Std","Avg","Std","Avg","Std","Avg","Std","Smp","Smp","Avg","Smp","Smp","Smp"
"2026-06-14 21:25:00",0,0.02,165.95,76.75732,0.04,"2026-06-14 21:23:00",0.01632993,16.26667,0.09428036,53.43333,0.3091206,881.5,0,0,0,15.90535,12.83783,0,0
"2026-06-16 10:55:00",1,"NAN",0,0,"NAN","2026-06-16 10:55:00","NAN","NAN","NAN",0,0,0,0,0,0,19.0543,0,0,0
"2026-06-24 12:40:00",2,5.4275,203.0502,66.03402,5.71,"2026-06-24 12:39:00",0.190837,2.7,0,86.15,0.1802775,843.45,0.04998779,0,0,5.943493,12.78423,0,0
"2026-06-24 12:45:00",3,3.608,186.8235,52.88088,5.86,"2026-06-24 12:43:00",2.348884,2.6,0,85.92,0.1166201,843.44,0.04897783,0,0,6.799968,12.77195,0,0
"2026-06-24 12:50:00",4,4.846,208.12,45.0931,5.41,"2026-06-24 12:47:00",0.415336,2.44,0.07999993,86.12,0.07483201,843.48,0.03999024,0,0,7.133554,12.74906,0,0
"2026-06-24 12:55:00",5,5.438,146.645,53.58533,5.93,"2026-06-24 12:53:00",0.283083,2.62,0.116619,85.43999,0.3006673,843.42,0.03999024,0,0,7.643286,12.76023,0,0
"2026-06-24 13:00:00",6,5.588,188.9402,2.560159,5.81,"2026-06-24 12:59:00",0.2093228,2.64,0.04898987,85.48,0.14697,843.32,0.04001465,0,0,7.440117,12.76023,0,0
"2026-06-24 13:05:00",7,5.95,186.7207,3.13219,6.23,"2026-06-24 13:02:00",0.2334952,2.82,0.09797961,85.32,0.09798184,843.3,0,0,0,6.90149,12.76358,0,0
"2026-06-24 13:10:00",8,5.75,183.24,1.312329,6.31,"2026-06-24 13:10:00",0.4600435,2.64,0.04898986,86.16,0.3555283,843.28,0.03999024,0,0,6.479491,12.76078,0,0
"2026-06-24 13:15:00",9,5.744,184.3593,3.09475,6.23,"2026-06-24 13:14:00",0.3526244,2.62,0.04000006,86.2,0.1264928,843.22,0.03999024,0,0,6.159648,12.74906,0,0
"2026-06-24 13:20:00",10,6.292,188.6401,1.552636,6.9,"2026-06-24 13:17:00",0.472161,2.86,0.08000002,85.76,0.1200017,843.22,0.03999024,0,0,5.988068,12.75576,0,0
"2026-06-24 13:25:00",11,6.461999,188.7003,1.961493,7.28,"2026-06-24 13:25:00",0.6572185,2.94,0.07999992,85.84,0.1200017,843.2,0,0,0,5.848951,12.75241,0,0
"2026-06-24 13:30:00",12,6.524,190.3197,2.069967,7.22,"2026-06-24 13:29:00",0.440209,3.22,0.09797961,85.68,0.1326655,843.16,0.04900774,0,0,5.780344,12.74962,0,0
"2026-06-24 13:35:00",13,6.33,191.9801,1.462049,7.16,"2026-06-24 13:32:00",0.6236985,3.14,0.08000002,85.24,0.08000183,843.14,0.04900774,0,0,5.801856,12.76023,0,0
"2026-06-24 13:40:00",14,6.142,194.1597,1.871264,6.84,"2026-06-24 13:38:00",0.3567857,3.1,0,85.2,0.1264916,843.1,0,0,0,5.792973,12.74906,0,0
"2026-06-24 13:45:00",15,5.482,192.2596,2.682095,6.56,"2026-06-24 13:41:00",0.6098328,3.1,0,84.96,0.2870547,843.1,0,0,0,5.780796,12.75353,0,0
"2026-06-24 13:50:00",16,6.136,190.2,0.8433946,6.31,"2026-06-24 13:48:00",0.1304761,2.94,0.07999993,84.8,0.1549199,843.06,0.04897783,0,0,5.764155,12.74794,0,0
"2026-06-24 13:55:00",17,5.82,187.1396,1.803757,6.17,"2026-06-24 13:53:00",0.3274751,2.9,0,84.96,0.1356445,843.06,0.04897783,0,0,5.756886,12.74739,0,0
"2026-06-24 14:00:00",18,5.662,186.1802,2.081666,6.56,"2026-06-24 14:00:00",0.613397,2.82,0.09797961,84.9,0.2097622,843,0,0,0,5.642228,12.74571,0,0
"2026-06-24 14:05:00",19,6.07,188.78,1.055314,6.82,"2026-06-24 14:03:00",0.526574,3.1,0.126491,84.24,0.2939378,843,0,0,0,5.576338,12.74683,0,0
"2026-06-24 14:10:00",20,5.93,190.7409,3.032544,6.56,"2026-06-24 14:09:00",0.5252808,3.1,0,84.12,0.09797809,842.92,0.03999024,0,0,5.530044,12.75576,0,0
"2026-06-24 14:15:00",21,6.112,189.8406,3.185361,6.62,"2026-06-24 14:14:00",0.2802427,3.1,0,83.52,0.2399988,842.9,0,0,0,5.519669,12.74627,0,0
"2026-06-24 14:20:00",22,5.72,189.5593,3.333795,6.42,"2026-06-24 14:19:00",0.534902,3.1,0,83.24,0.08000221,842.86,0.04900774,0,0,5.593976,12.74683,0,0
"2026-06-24 14:25:00",23,5.548,190.2798,2.521291,6.01,"2026-06-24 14:21:00",0.3653164,3.22,0.09797961,82.42,0.3544007,842.8,0,0,0,5.730212,12.7379,0,0
