"TOA5","T-08-RM","CR350","11706","CR350.Std.01.07","CPU:rmy93500_sdi12.CRB","54723","Weather"
"TIMESTAMP","RECORD","WindSpeed_ms_WVc(1)","WindSpeed_ms_WVc(2)","WindSpeed_ms_WVc(3)","WindSpeed_ms_Max","WindSpeed_ms_TMx","WindSpeed_ms_Std","Temperature_C_Avg","Temperature_C_Std","RelHumidity_pct_Avg","RelHumidity_pct_Std","Pressure_hPa_Avg","Pressure_hPa_Std","RainTips","Rainfall_mm","LoggerTemp_C_Avg","BattV","WindStatusCode","StatusCode"
"TS","RN","","","","","","","","","","","","","","","","","",""
"","","WVc","WVc","WVc","Max","TMx","Std","Avg","Std","Avg","Std","Avg","Std","Smp","Smp","Avg","Smp","Smp","Smp"
"2026-06-21 20:35:00",18,"NAN",13.50905,25.10983,"NAN","2026-06-21 20:34:00","NAN","NAN","NAN",16.4,28.40563,208.875,361.7821,0,0,9.680367,12.90724,0,0
"2026-06-21 20:40:00",19,"NAN",55.30001,2.701903,"NAN","2026-06-21 20:36:00","NAN","NAN","NAN",64.74,0.7761436,835.36,0.08000794,0,0,10.21428,12.88995,0,0
"2026-06-21 20:45:00",20,1.212,57.52636,19.7322,1.45,"2026-06-21 20:45:00",0.1337759,8,0,62.94,0.287054,835.3,0,0,0,10.33828,12.89329,0,0
"2026-06-21 20:50:00",21,0.91,64.009,8.027702,1.64,"2026-06-21 20:46:00",0.5450138,8,0,62.06,0.2939385,835.3,0,0,0,10.25681,12.88548,0,0
"2026-06-21 20:55:00",22,0.9480001,58.04023,13.03139,1.22,"2026-06-21 20:53:00",0.3096708,8.16,0.07999993,61.1,0.1673313,835.3,0,0,0,10.11036,12.89106,0,0
"2026-06-21 21:00:00",23,1.046,56.82293,10.62292,1.17,"2026-06-21 20:57:00",0.1233856,8.08,0.0979795,60.82,0.2039605,835.3,0,0,0,9.967446,12.88437,0,0
"2026-06-21 21:05:00",24,0.7640001,53.49849,3.192402,0.86,"2026-06-21 21:01:00",0.07605262,7.88,0.0979795,60.42,0.09797996,835.3,0,0,0,9.807913,12.87991,0,0
"2026-06-21 21:10:00",25,0.6980001,52.08081,6.015864,0.77,"2026-06-21 21:07:00",0.07222187,7.68,0.09797972,60.7,0.1264916,835.26,0.04897783,0,0,9.634149,12.87823,0,0
"2026-06-21 21:15:00",26,0.614,18.92792,14.26908,0.79,"2026-06-21 21:12:00",0.1931424,7.6,0,61.94,0.224499,835.2,0,0,0,9.359733,12.87545,0,0
"2026-06-21 21:20:00",27,0.684,36.65422,7.657198,0.74,"2026-06-21 21:18:00",0.05571355,7.54,0.04898975,61.96,0.233239,835.2,0,0,0,9.053303,12.876,0,0
"2026-06-21 21:25:00",28,0.4080001,41.30119,19.02459,0.54,"2026-06-21 21:21:00",0.09453043,7.5,0,62.32,0.2315167,835.2,0,0,0,8.72764,12.87154,0,0
"2026-06-21 21:30:00",29,0.132,8.449997,10.37634,0.36,"2026-06-21 21:27:00",0.1627759,7.34,0.07999993,62.34,0.205913,835.2,0,0,0,8.399975,12.86931,0,0
"2026-06-21 21:35:00",30,0.672,290.7864,10.82048,0.9,"2026-06-21 21:33:00",0.1800444,7.3,0,63.28,0.2039603,835.2,0,0,0,8.079679,12.8721,0,0
"2026-06-21 21:40:00",31,0.546,270.8145,15.98328,0.73,"2026-06-21 21:39:00",0.2765936,7.3,0,63.4,0.1897374,835.3,0,0,0,7.758474,12.86596,0,0
"2026-06-21 21:45:00",32,0.346,298.2437,33.6312,0.82,"2026-06-21 21:43:00",0.3131517,7.18,0.09797972,63.02,0.4621691,835.3,0,0,0,7.468978,12.87043,0,0
"2026-06-21 21:50:00",33,0.508,45.20153,25.76777,0.88,"2026-06-21 21:46:00",0.1969162,6.94,0.07999993,63.86,0.2416599,835.3,0,0,0,7.210412,12.86485,0,0
"2026-06-21 21:55:00",34,0.248,78.72193,26.5795,0.54,"2026-06-21 21:55:00",0.2155365,6.8,0,64.7,0.4690419,835.38,0.04001465,0,0,6.951594,12.87043,0,0
"2026-06-21 22:00:00",35,0.9459999,112.3686,16.02973,1.37,"2026-06-21 21:58:00",0.357301,6.8,0,66.08,0.2561265,835.32,0.04001465,0,0,6.71754,12.86485,0,0
"2026-06-21 22:05:00",36,1.618,107.7613,13.31112,2.01,"2026-06-21 22:02:00",0.2934894,6.88,0.03999997,65,1.031505,835.3,0,0,0,6.510147,12.86429,0,0
"2026-06-21 22:10:00",37,1.828,74.94121,9.79925,2.31,"2026-06-21 22:09:00",0.3217701,7.06,0.07999993,62.46,0.6499228,835.3,0,0,0,6.412729,12.86875,0,0
"2026-06-21 22:15:00",38,1.854,70.90926,15.9197,2.22,"2026-06-21 22:14:00",0.2705254,7.22,0.09797972,60.92,0.4955806,835.3,0,0,0,6.342699,12.86429,0,0
"2026-06-21 22:20:00",39,0.9859999,93.51064,16.21421,1.36,"2026-06-21 22:18:00",0.1907459,7.3,0,59.04,0.4079218,835.3,0,0,0,6.324564,12.86541,0,0
"2026-06-21 22:25:00",40,0.47,147.1667,37.71109,0.64,"2026-06-21 22:22:00",0.1193315,7.3,0,58.42,0.09797902,835.3,0,0,0,6.303578,12.85927,0,0
"2026-06-21 22:30:00",41,0.482,189.4376,22.53303,0.71,"2026-06-21 22:28:00",0.1407693,7.3,0,58.46,0.2497997,835.3,0,0,0,6.240946,12.84142,0,0
