Date,site_temp_min,site_temp_max,site_temp_WMO,site_temp_USGS,Barom,RelHum,WindGustSpeed,WindSpeed,VecAvgWindDir
2012/07/10,-2.1,1.3,-0.4,-1.1,5.9,98.0,nan,nan,nan
2012/07/11,-2.6,1.9,-0.4,-0.8,5.9,97.4,nan,3.3,nan
2012/07/12,-1.2,6.1,2.4,3.9,5.9,65.5,nan,2.5,83
2012/07/13,3.5,5.0,4.3,4.3,5.9,95.2,nan,2.7,132
2012/07/14,2.4,8.3,5.3,4.6,5.9,90.1,nan,0.9,221
2012/07/15,4.6,8.3,6.5,7.0,6.0,66.6,nan,1.7,158
2012/07/16,0.7,5.1,2.9,2.1,6.0,99.4,nan,2.5,nan
2012/07/17,0.4,7.5,4.0,4.6,6.0,86.1,nan,1.1,252
2012/07/18,3.2,9.4,6.3,6.4,6.0,73.3,nan,1.5,nan
2012/07/19,6.8,10.1,8.4,8.0,6.0,71.2,nan,7.2,nan
2012/07/20,7.3,11.5,9.4,9.5,6.0,66.9,nan,1.3,nan
2012/07/21,5.6,9.5,7.5,7.7,6.0,83.3,nan,2.1,nan
2012/07/22,4.1,10.1,7.1,6.5,5.9,91.1,nan,1.4,274
2012/07/23,4.7,6.4,5.5,5.8,6.0,95.7,nan,1.7,263
2012/07/24,2.8,7.9,5.3,5.3,5.9,90.0,nan,1.0,21
2012/07/25,5.7,10.5,8.1,7.6,5.9,61.0,nan,2.9,nan
2012/07/26,9.3,12.7,11.0,10.9,5.9,54.6,nan,3.8,nan
2012/07/27,4.7,10.8,7.7,7.7,5.9,78.2,nan,1.8,98
2012/07/28,3.0,6.0,4.5,4.5,5.9,82.4,nan,1.5,152
2012/07/29,2.6,4.7,3.6,3.5,5.9,82.4,nan,1.6,132
2012/07/30,2.4,4.2,3.3,3.2,5.9,94.1,nan,1.8,183
2012/07/31,1.0,2.6,1.8,1.8,5.9,94.0,nan,4.1,nan
2012/08/01,1.0,4.2,2.6,2.6,5.9,94.2,nan,1.3,221
2012/08/02,2.4,3.7,3.0,2.9,5.9,95.4,nan,3.9,nan
2012/08/03,2.1,3.0,2.6,2.6,6.0,99.6,nan,3.1,nan
2012/08/04,1.8,6.9,4.3,4.3,6.0,81.1,nan,2.5,79
2012/08/05,3.7,4.6,4.1,4.1,6.0,87.5,nan,3.6,nan
2012/08/06,4.3,7.0,5.7,5.5,6.0,92.9,nan,5.0,nan
2012/08/07,6.3,8.3,7.3,7.1,6.0,91.8,nan,4.2,nan
2012/08/08,3.9,8.7,6.3,6.3,6.0,88.9,nan,3.8,nan
2012/08/09,0.0,3.8,1.9,0.7,6.0,99.4,nan,3.1,nan
2012/08/10,-0.1,2.6,1.3,1.0,6.0,98.8,nan,2.7,nan
2012/08/11,0.5,5.2,2.9,3.3,6.0,90.2,nan,3.6,96
2012/08/12,2.6,4.6,3.6,4.0,6.0,91.4,nan,3.3,nan
2012/08/13,1.9,7.9,4.9,4.9,6.0,82.1,nan,2.1,38
2012/08/14,7.2,10.9,9.1,8.6,6.0,67.1,nan,2.3,58
2012/08/15,6.4,9.4,7.9,7.7,6.0,78.0,nan,1.9,262
2012/08/16,2.7,7.0,4.9,5.0,6.0,91.6,nan,2.9,nan
2012/08/17,2.7,6.6,4.7,5.1,6.0,91.6,nan,6.2,nan
2012/08/18,3.9,6.5,5.2,5.0,6.0,82.8,nan,3.1,137
2012/08/19,3.6,8.5,6.0,6.5,6.0,47.4,nan,2.0,nan
2012/08/20,4.8,7.1,5.9,6.2,6.0,66.1,nan,1.8,191
2012/08/21,4.2,7.0,5.6,5.3,6.0,85.2,nan,0.9,221
2012/08/22,2.2,4.7,3.5,3.6,6.0,97.6,nan,1.5,nan
2012/08/23,1.9,3.2,2.5,2.5,6.0,99.8,nan,2.4,nan
2012/08/24,1.3,2.4,1.9,1.8,6.0,97.2,nan,1.9,173
2012/08/25,0.6,1.6,1.1,1.3,6.0,99.4,nan,1.1,215
2012/08/26,1.7,6.7,4.2,4.2,6.0,78.4,nan,4.5,nan
2012/08/27,3.3,6.6,5.0,4.8,6.0,75.9,nan,2.1,200
2012/08/28,-0.0,4.0,2.0,1.9,6.0,92.4,nan,5.5,nan
2012/08/29,0.0,3.6,1.8,1.7,6.0,73.1,nan,7.4,nan
2012/08/30,2.8,7.4,5.1,5.0,6.0,67.3,nan,2.0,337
2012/08/31,2.2,5.5,3.9,3.7,6.0,77.3,nan,1.5,257
2012/09/01,0.8,3.8,2.3,1.7,6.0,80.6,nan,4.9,131
2012/09/02,-1.1,0.8,-0.1,-0.1,6.0,99.3,nan,2.9,nan
2012/09/03,0.0,3.3,1.7,1.6,6.0,99.4,nan,2.6,nan
2012/09/04,-0.4,3.5,1.5,1.6,6.0,99.5,nan,4.6,nan
2012/09/05,-1.0,2.8,0.9,0.9,6.1,99.8,nan,3.0,nan
2012/09/06,-1.4,2.7,0.6,-0.3,6.1,100.0,nan,4.4,nan
2012/09/07,-2.6,2.4,-0.1,-0.5,6.1,97.1,nan,3.5,172
2012/09/08,0.5,3.0,1.7,1.8,6.1,95.7,nan,4.9,184
2012/09/09,-1.9,0.2,-0.8,-1.0,6.1,99.0,nan,nan,nan
2012/09/10,-3.1,1.1,-1.0,-1.9,6.1,97.4,nan,1.4,246
2012/09/11,-3.0,-1.2,-2.1,-2.2,6.1,99.4,nan,2.9,nan
2012/09/12,-1.3,1.7,0.2,0.5,6.1,97.9,nan,4.3,191
2012/09/13,-0.7,2.1,0.7,1.0,6.1,93.7,nan,4.9,nan
2012/09/14,-2.4,0.1,-1.2,-1.1,6.1,99.9,nan,nan,nan
2012/09/15,-2.0,0.3,-0.8,-0.9,6.1,100.0,nan,1.9,nan
2012/09/16,-1.2,2.9,0.9,0.2,6.2,92.6,nan,3.2,185
2012/09/17,-1.7,1.8,0.0,0.6,6.1,99.1,nan,3.7,nan
2012/09/18,-3.4,-0.8,-2.1,-2.1,6.1,97.8,nan,2.1,nan
2012/09/19,-1.6,5.3,1.9,2.7,6.2,84.0,nan,3.0,nan
2012/09/20,5.5,10.9,8.2,8.6,6.2,90.6,nan,2.2,259
2012/09/21,5.7,10.6,8.1,8.2,6.2,81.1,nan,2.6,116
2012/09/22,2.1,9.2,5.6,6.4,6.2,80.6,nan,6.9,nan
2012/09/23,-0.7,3.1,1.2,1.9,6.2,93.6,nan,4.9,nan
2012/09/24,-1.6,-0.1,-0.9,-0.9,6.2,99.5,nan,nan,nan
2012/09/25,-1.9,-0.1,-1.0,-0.8,6.2,93.6,nan,nan,nan
2012/09/26,-2.6,-0.2,-1.4,-1.5,6.2,93.3,nan,6.3,nan
2012/09/27,-3.0,0.8,-1.1,-1.8,6.2,98.7,nan,6.9,nan
2012/09/28,-2.7,-1.4,-2.0,-1.9,6.2,98.0,nan,5.5,199
2012/09/29,-4.1,-2.1,-3.1,-2.9,6.1,98.8,nan,2.8,206
2012/09/30,-5.9,-2.5,-4.2,-4.5,6.1,92.3,nan,2.9,206
2012/10/01,-6.2,-3.4,-4.8,-5.1,6.1,76.8,nan,2.1,259
2012/10/02,-6.5,-0.2,-3.3,-4.5,6.0,58.2,nan,1.3,40
2012/10/03,-5.5,-0.9,-3.2,-4.0,6.1,82.0,nan,2.7,nan
2012/10/04,-0.9,3.8,1.5,1.5,6.2,99.7,nan,2.6,257
2012/10/05,3.7,7.4,5.6,5.3,6.1,96.7,nan,2.3,nan
2012/10/06,4.1,9.4,6.8,5.8,6.1,72.4,nan,1.7,264
2012/10/07,4.6,7.2,5.9,5.7,6.1,69.5,nan,1.8,nan
2012/10/08,5.0,10.3,7.6,7.4,6.1,61.2,nan,1.1,271
2012/10/09,1.2,7.5,4.3,5.4,6.1,57.9,nan,3.4,99
2012/10/10,-2.0,1.1,-0.4,-1.0,6.1,83.8,nan,7.5,nan
2012/10/11,-7.0,-1.3,-4.1,-4.9,6.1,84.1,nan,8.3,nan
2012/10/12,-4.9,-0.7,-2.8,-2.7,6.1,92.0,nan,3.9,nan
2012/10/13,-2.5,-0.1,-1.3,-1.7,6.2,98.4,nan,4.8,189
2012/10/14,-2.4,-1.1,-1.8,-1.7,6.1,88.2,nan,7.6,nan
2012/10/15,-3.7,-1.4,-2.6,-2.7,6.1,93.9,nan,6.3,nan
2012/10/16,-6.1,-2.6,-4.4,-4.8,6.1,97.4,nan,3.0,228
2012/10/17,-9.0,-5.9,-7.4,-7.5,6.1,94.4,nan,5.2,nan
2012/10/18,-9.8,-7.4,-8.6,-8.4,6.1,92.1,nan,3.3,nan
2012/10/19,-10.3,-8.7,-9.5,-9.3,6.1,78.1,nan,8.8,51
2012/10/20,-12.6,-10.4,-11.5,-11.3,6.0,81.2,nan,17.1,nan
2012/10/21,-14.5,-12.0,-13.3,-13.4,5.9,80.7,nan,23.0,nan
2012/10/22,-12.6,-11.4,-12.0,-12.0,6.0,79.3,nan,19.3,nan
2012/10/23,-11.9,-10.6,-11.3,-11.3,6.0,79.4,nan,20.6,nan
2012/10/24,-13.4,-11.0,-12.2,-12.8,6.0,80.7,nan,22.9,nan
2012/10/25,-14.2,-12.6,-13.4,-13.4,5.9,74.8,nan,15.6,nan
2012/10/26,-13.2,-9.3,-11.3,-11.6,5.9,51.1,nan,5.9,nan
2012/10/27,-15.4,-12.3,-13.9,-13.4,5.9,56.3,nan,8.3,nan
2012/10/28,-16.6,-13.6,-15.1,-15.2,5.9,63.8,nan,7.8,25
2012/10/29,-17.0,-10.4,-13.7,-13.8,5.9,45.7,nan,8.0,nan
2012/10/30,-12.1,-8.1,-10.1,-10.3,5.9,83.5,nan,3.7,nan
2012/10/31,-9.1,-6.9,-8.0,-7.9,6.0,85.5,nan,7.2,nan
2012/11/01,-8.4,-3.3,-5.9,-6.4,6.0,74.9,nan,5.3,94
2012/11/02,-5.0,-1.3,-3.1,-2.6,6.1,73.4,nan,8.1,nan
2012/11/03,-5.8,-4.5,-5.1,-5.1,6.1,90.3,nan,7.8,nan
2012/11/04,-4.9,-1.7,-3.3,-3.9,6.1,88.5,nan,10.3,95
2012/11/05,-6.8,-1.9,-4.3,-4.9,6.1,96.6,nan,4.2,204
2012/11/06,-6.7,-5.1,-5.9,-5.8,6.1,91.4,nan,7.1,nan
2012/11/07,-11.2,-6.0,-8.6,-8.3,6.0,77.3,nan,5.8,nan
2012/11/08,-9.6,-3.2,-6.4,-7.1,6.0,60.2,nan,1.6,nan
2012/11/09,-8.7,-5.6,-7.1,-7.3,6.0,36.4,nan,4.8,nan
2012/11/10,-10.1,-7.0,-8.5,-8.7,6.0,83.1,nan,3.9,134
2012/11/11,-7.5,-5.0,-6.2,-6.1,6.0,91.9,nan,2.6,nan
2012/11/12,-5.9,-3.8,-4.8,-4.8,6.1,96.2,nan,1.7,94
2012/11/13,-6.8,-5.4,-6.1,-6.0,6.1,97.1,nan,1.9,nan
2012/11/14,-7.4,-5.2,-6.3,-6.1,6.1,96.7,nan,4.4,226
